Magazine Title: 삼천리 第6卷 第7號
Publication Date: 1934년 06월 01일
Article Title: 이 달의 書翰集 (This Month's Letter Collection)
Author: Various (Collection of letters)
Article Type: 사고·편집후기 (Announcements/Editor's Notes)

This Month's Letter Collection

Respectfully Submitted, For Your Tranquil Eyes,
Regarding the recent request for a Chinese poem (漢詩) due to a certain feeling, I have absolutely no grounding in Chinese poetry, so there is no way for me to comply. I ask for your understanding.
P.S. I also gratefully read the May issue of your esteemed magazine. In the introductory remarks titled "Recollections of Figures from the End of the Korean Empire," phrases such as the statement that I "enlisted in the military again" after returning to Korea are completely erroneous, as I have been engaged solely in religious work since my return until the present day. This substitutes another's life story for my own, thereby inviting negative criticism from observers; this is something you should particularly consider. Also, referring to Mr. Yu Kil-chun (兪吉濬氏) as Prime Minister is also a misprint; please issue a correction.
Furthermore, the statement that I associated with Mr. Kim Ok-kyun (金玉均氏) while he was in exile in Tokyo is incorrect. Political figures remember that my period of exile was after Mr. Kim's death. These are errors in the article; please kindly correct them.
Kwŏn Tong-jin
To Mr. Kim Tong-hwan

Respected Sir, The manuscript you requested is extremely troublesome. However, as it is a major issue that cannot be ignored, I am sending it separately, so please receive it. If I were to put it in a single phrase, "Originally, common insects fly far away from the smell of gunpowder, and in fearsome situations, various petty individuals scurry for cover like rats." If that is still unclear, perhaps one should just offer an exclamation like "Under the bright moon and sparse stars, the magpie flies south." In any case, it seems he sought refuge within the XX-powered carapace, using this opportunity. I end my words here and pray for your well-being and tranquility.
Kim Yak-su
To Mr. Kim Tong-hwan

Early Summer
I received your esteemed instructions today, the day before the deadline, transferred from elsewhere. In any case, complying with your esteemed request this time is almost impossible. As for myself, (abridged) I am a person living such-and-such a life. For such a person to write a poem under that theme—it is utterly impossible, and even if I were to write something that could pass, it would surely be off-topic. Thus, it is impossible either way. Overall, I think this time's idea was not well-conceived. Respectfully,
15th day, 3rd month, Kapsul year
I hope the manuscript titled "To the Concerned Personage" (有憂의 人士에 與함) is returned without being lost.
Corrections for the 2nd installment of "To the Concerned Personage"
Page 3, Line 8: "惟利性" (Self-interest nature) should be "惟理性" (Rational nature). Page 4, Line 7: "矛楯한갑" (Is it contradictory?) should be "矛楯인가" (Is it contradictory?). Same page, Line 16: "恥鄕이 되게 하는 嫌이 없지 안함니다. 孫文이가 儒學을 排擊하얏건만 三民主義 圖說은 徹頭徹尾 春秋三世主義를 譯謄햇더이다. 나의 이 말은 孫文 崇拜를 忌하는 意로써 나오는 것이 아니라. 이 忌崇自是하는 自由平等을 主張하면서" should be moved to Page 5, Line 5: Gradually viewing the human world under 無 (the missing character <179> is an error for 無字).
Sŏl Che T'ae-hŭi
To Esteemed Elder Brother Kim Tong-hwan

Readers saw the love poem of the famous Sŏngch'ŏn (成川) kisaeng Puryong (芙蓉) on page 132 of the published May issue. Regarding this poem, I will speak as I have heard. This poem consists of 18 stanzas (次第), but it seems the 16th and 18th couplets were not included. The two couplets are as follows, and since it is Puryong's love poem, it is said there is also an 18-stanza response from her counterpart. Please publish that in the next issue.
16. Waiting a thousand leagues for someone is hard, waiting is hard; is the gentleman's affection so fickle?
Leaving the gate three times to look, leaving to look; ask her, what is the maiden's resentment?
18. Sincere joy, broad-mindedness, a good gentleman; crossing the river with delight, new affection under the candlelight, happily facing each other.
Do not let a frail young woman return to heaven bearing resentment; may her sorrowful spirit not follow you under the moon.
Addendum: Thinking without thinking, forcibly climbing Moranbong Peak (牧丹峯); alas, crimson beauty ages, trying to forget is hard, determination is strong (floating work) Blue Pavilion (碧樓) "Always grieving the green's* decay" (*衰), sadly chanting a white-haired poem. This is how I heard and understood it.
Kim Wŏn-jo, Ulsan (蔚山), North Kyŏngsang Province (慶北)

Respectfully Replying, I duly received your esteemed letter dated April 23rd. As the master does not compose poetry, we cannot meet your esteemed requirement. Please understand with generosity.
Kyŏngsŏng-bu Sungin-dong 81
Pak Yŏng-hyo (朴泳孝) Family Office
To Mr. Kim Tong-hwan

Received your gracious letter, replying. Apologies for the delay.
I received both copies of your esteemed magazine and pray from afar for the development of "Samch'ŏlli." Since the day Mr. Pak passed away, I have been confined to bed, diagnosed with pleurisy, and have been suffering for three months now. Fortunately, having found the excellent Dr. Kim, although I wasn't hospitalized, I received daily treatment, achieving results better than hospitalization. Although still bedridden, I have recently been able to move slightly and barely manage to hold a pen for correspondence. I am thinking of perhaps going out after about a week. These days, while lying down, I gaze at the sunlight and plants outside the garden with the joy of a small child. I am now keenly feeling the necessity of health, which I used to neglect. I sympathize with your magazine's new plans, and though I intend to write the manuscript you mentioned, my energy does not yet permit it. However, once I fully recover, if the thought occurs, I will write and send it immediately. Perhaps next month.
I pray for your continued good health.
Yi Hyo-sŏk
To Mr. Kim Tong-hwan

Respectfully, In this season of spring flowers, I pray for the ever-increasing prosperity of your esteemed company and shout 'Hurrah!' with raised hands for the continued publication of Samch'ŏlli.
Elder Brother, please strive hard for Samch'ŏlli and elevate the comprehensive, or rather, literary magazine we anticipate to a high standard.
Last year-end, I was very disappointed not to meet you (when I went up to Seoul) as you were traveling.
Thank you very much for worrying about my health.<180> I have been bedridden since December and am still completely abstaining from food and drink due to a stomach ailment. I barely manage to move and sustain myself by consuming small amounts of nutritious substances daily. I am indescribably weak. On top of that, after finishing "Rainbow" and writing a novel for Tokyo, my nerves have also weakened. However, through my indomitable fight against illness, I am gradually recovering, so please do not worry at all. Believe me, I will certainly not die before producing a masterpiece in our language.
There is no particular reason why I must go to the Tonga Ilbo. Sending regards via letter is sufficient.
I dearly wish to attend your company's lecture meeting this time, but as mentioned above, it is unavoidable. I trust, Elder Brother, that you will forgive me for the sake of my future.
Also, I must write for the May and June issues of a certain Tokyo magazine, and a creative piece for another major magazine by the end of the month. Whipping my weak body, I am struggling to write 4 or 5 pages a day. However, I am determined to write for Samch'ŏlli, so I will write and send something when the opportunity arises later.
Please generously forgive just this. As I discussed with Mr. Yi Kŭn-mu, I will actively support Samch'ŏlli.
(Around the 26th of this month, my short story "(A Man Called Kwŏn)" will be published by Kaizōsha (改造社). It includes 7 pieces such as "Garbo" (がルボウ). However, "Pursued People" (奮起者 - The Roused) was banned and removed. Price: One Yen).
I will make my first trip to Tokyo in early May. I will return home in late May or early June (health permitting).
I hope for an opportunity to meet you, and please work steadily to produce a magazine comparable to Kaizō.
Please convey my regards to Messrs. Pak Yŏng-hŭi, Yu Chin-o, and Kim Pyŏng-je.
Chang Hyŏk-chu
To Mr. Kim Tong-hwan

Respectfully Conveying Deepest Regards, I have received your repeated kind attentions but failed to send thanks, causing me much trepidation and shame. I humbly present one piece, "The Provincial Governor"; the writing is clumsy and the brushwork rough. If it is unusable, discarding it would also be fortunate. There are matters I should discuss in person, but circumstances prevent it, so I send this message instead.
Hong Mok-ch'un

It has been quite some time since I received your letter.
I was very grateful. Due to being bedridden for a long time, I cannot offer anything worth seeing, but merely rummaged through old manuscripts and transcribed something suitable. This is only to avoid going against your wishes; please forgive me.
I pray for your distant well-being and the fine growth of Samch'ŏlli.
May 14th, Afternoon, from Ch'ŏnggup'o
Sin Sŏk-chŏng

Respectfully, Although it has been some days since receiving your order, amid extreme busyness, not only has the deadline passed, but I originally do not compose poetry. Moreover, forcing thoughts merely for the sake of writing poetry, without it coming from true feeling, is something I cannot do.
Kim Ch'ang-je<181>
<179-181>

**Summary**

This collection comprises letters sent to Kim Tong-hwan, likely the editor of *Samch'ŏlli* magazine, in mid-1934. Several prominent figures respond to requests for contributions, mostly declining due to lack of expertise (Kwŏn Tong-jin, Pak Yŏng-hyo's office, Kim Ch'ang-je), prior commitments, or poor health (Yi Hyo-sŏk, Chang Hyŏk-chu, Sin Sŏk-chŏng). Some letters offer corrections to previous articles, notably Kwŏn Tong-jin refuting claims about his post-return activities and association with Kim Ok-kyun, and Sŏl T'ae-hŭi providing errata for his own article. Others discuss literary matters, like Kim Wŏn-jo adding missing verses to a kisaeng's poem and requesting its counterpart, or Chang Hyŏk-chu mentioning his recent publications and upcoming trip to Tokyo. The letters provide glimpses into the writers' personal lives, health struggles, and engagement with the magazine and the broader literary/political scene. For historians, these letters offer valuable insights into the networks and interactions among Korean intellectuals during the colonial period, the operational aspects of a major cultural magazine like *Samch'ŏlli* (soliciting content, handling corrections), personal health challenges faced by writers, and direct commentary on historical facts and figures (like Yu Kil-chun and Kim Ok-kyun) as perceived by contemporaries. Chang Hyŏk-chu's letter is particularly revealing about the pressures of writing for both Korean and Japanese publications, including dealing with censorship ('Pursued People' being banned).

**Named Entities**

權東鎭	권동진	Kwŏn Tong-jin
兪吉濬	유길준	Yu Kil-chun
金玉均	김옥균	Kim Ok-kyun
東京	도쿄	Tokyo
金東煥	김동환	Kim Tong-hwan
金若水	김약수	Kim Yak-su
薛弟泰熙	설제태희	Sŏl Che T'ae-hŭi (likely Sŏl T'ae-hŭi, with 'Che' possibly meaning younger brother or indicating humility)
孫文	손문	Sun Wen (Sun Yat-sen)
成川	성천	Sŏngch'ŏn
芙容	부용	Puryong
慶北	경북	Kyŏngbuk (North Kyŏngsang Province)
蔚山	울산	Ulsan
金元祚	김원조	Kim Wŏn-jo
朴泳孝	박영효	Pak Yŏng-hyo
京城府	경성부	Kyŏngsŏng-bu (Seoul City)
崇仁洞	숭인동	Sungin-dong
李孝石	이효석	Yi Hyo-sŏk
朴氏	박씨	Mr. Pak (Referring to Pak Yŏng-hyo, likely)
金氏	김씨	Dr. Kim
張赫宙	장혁주	Chang Hyŏk-chu
三千里	삼천리	Samch'ŏlli (Refers to the magazine itself, but listing as it's treated like an entity)
東亞日報	동아일보	Tonga Ilbo
李根茂	이근무	Yi Kŭn-mu
改造社	개조사	Kaizōsha
朴英熙	박영희	Pak Yŏng-hŭi
兪鎭午	유진오	Yu Chin-o
金炳濟	김병제	Kim Pyŏng-je
洪木春	홍목춘	Hong Mok-ch'un
辛夕汀	신석정	Sin Sŏk-chŏng
靑丘圃	청구포	Ch'ŏnggup'o (Likely a pen name or place name associated with Sin Sŏk-chŏng)
金昶濟	김창제	Kim Ch'ang-je

**Glossary**

書翰集	서한집	Collection of letters
拜頌	배송	Respectfully submitted/presented (Polite opening)
時安	시안	For your tranquil eyes/reading (Polite phrase)
今般	금반	This time, recently
漢詩	한시	Chinese poetry, poetry written in Chinese characters
素養	소양	Cultivation, accomplishment, grounding
全無	전무	Completely lacking, nonexistent
奉副	봉부	To comply with (a request/order), to meet expectations (Humble)
恕諒	서량	Understanding, forgiveness (Polite)
追啓	추계	P.S., Postscript
貴	귀	Your (esteemed)
雜誌	잡지	Magazine
拜讀	배독	To read (esteemed material) (Humble)
韓末	한말	End of the Korean Empire period
題記辭	제기사	Introductory remarks, preface
歸國	귀국	Return to one's country
軍籍	군적	Military register/service
句語	구어	Phrase, sentence
現今	현금	Present time, now
宗敎事業	종교사업	Religious work/enterprise
從事	종사	To be engaged in, to pursue (an occupation)
身分	신분	Status, position
全然	전연	Completely, entirely
誤記	오기	Error in writing, mistake
經歷談	경력담	Account of one's career/experience
觀者	관자	Observer, reader
惡評	악평	Negative criticism, bad review
自取	자취	To bring upon oneself
首相	수상	Prime Minister
誤植	오식	Misprint, typographical error
訂正	정정	Correction
亡命	망명	Exile, seeking asylum abroad
交遊	교유	To associate with, to mingle with
政界人士	정계인사	Political figures
此等	차등	These things, such items
記事錯誤	기사착오	Error in an article
幸혀	행혀	Fortunately, kindly (Older spelling of 행여)
敬啓者	경계자	Respected Sir (Formal letter opening)
付托	부탁	Request, entrusting with
甚히	심히	Extremely, very (Older spelling of 심히)
거북함니다	거북합니다	It is awkward, uncomfortable (Polite, older form)
黙過	묵과	To overlook, to ignore
別送	별송	Sending separately
밧으시며	받으시며	Please receive (Polite, older spelling of 받으시며)
詠歎	영탄	Exclamation, expressive sigh
局面	국면	Situation, phase
小輩	소배	Petty people, insignificant persons
包頭鼠竄	포두서찬	To cover one's head and scurry away like a rat (Idiom for fleeing in panic/shame)
未詳	미상	Unclear, uncertain
月明星稀	월명성희	Bright moon and sparse stars (Classical phrase)
烏鵲	오작	Crow and magpie
南飛	남비	Flying south
機會	기회	Opportunity, chance
權力的	권력적	Power-related, authoritative
甲殼	갑각	Carapace, shell
避亂所	피란소	Place of refuge
貴體	귀체	Your esteemed body/person (Polite)
淸安	청안	Well-being, tranquility (Polite)
貴示	귀시	Your esteemed instruction/letter
期限	기한	Deadline
明日	명일	Tomorrow
自家	자가	One's own home/place
轉屬	전속	Transfer (of document/jurisdiction)
拜承	배승	To receive (humbly)
如何間	여하간	In any case, anyway
鄙人	비인	I, me (Humble pronoun)
萬無	만무	Absolutely impossible
題外	제외	Outside the topic, irrelevant
於此而彼	어차이피	In this way and that way, either way
都體	도체	Overall, generally (Older form of 도대체)
考案	고안	Idea, plan, device
不宣	불선	Respectfully (Closing phrase, lit. 'not fully expressed')
虛失	허실	Loss, disappearance
還送	환송	Return, send back
正誤	정오	Correction, errata
惟利性	유리성	Profit-seeking nature, self-interest
惟理性	유리성	Rational nature, reason
矛楯	모순	Contradiction
儒學	유학	Confucianism
排擊	배격	To attack, to denounce
三民主義	삼민주의	Three Principles of the People (Sun Yat-sen's ideology)
圖說	도설	Illustrated explanation, diagram
徹頭徹尾	철두철미	Thoroughly, from beginning to end
春秋三世主義	춘추삼세주의	Spring and Autumn Annals Three Ages Doctrine
譯謄	역등	To translate and transcribe
崇拜	숭배	Worship, adoration
忌	기	To dislike, to shun
自是	자시	Self-righteousness
自由平等	자유평등	Freedom and equality
漸漸	점점	Gradually
奪字	탈자	Missing character/word
次第	차제	Order, sequence; stanza
其中	기중	Among them
記載	기재	Record, mention, description
안헛는가	않았는가	Was it not? (Older spelling)
兩	량	Two, both
句	구	Phrase, couplet
갓사옵고	같사옵고	Is like (Polite, older form)
相對者	상대자	Counterpart, the person addressed
回答	회답	Reply, answer
잇다	있다	There is/are (Older spelling)
號	호	Issue (of a publication)
하여 주소서	하여 주소서	Please do (Polite request)
千里	천리	A thousand leagues (Fig. great distance)
待人難	대인난	Waiting for someone is difficult
君子	군자	Gentleman, noble person
薄情	박정	Fickle, unfeeling
如是耶	여시야	Is it like this? (Classical interrogative)
三時	삼시	Three times (Perhaps refers to morning, noon, evening)
出門望	출문망	To go out the gate and look/wait
娥女	아녀	Maiden, young woman
怨恨	원한	Resentment, grudge
問其何	문기하	Ask what it is (Classical structure)
誠歡	성환	Sincere joy
寬仁	관인	Broad-minded and benevolent
快意	쾌의	Delight, satisfaction
渡江	도강	Crossing the river
新情	신정	New affection/feelings
燭下	촉하	Under the candlelight
欣共對	흔공대	Happily facing each other together
勿使	물사	Do not let/cause (Classical prohibitive)
軟弱	연약	Weak, frail
兒女子	아녀자	Young woman, girl
含怨	함원	To bear resentment
歸天	귀천	To return to heaven (die)
哀魂	애혼	Sorrowful spirit
月下	월하	Under the moon
莫相隨	막상수	Do not follow each other (Classical prohibitive)
追而	추이	Additionally, furthermore
不思自思	불사자사	Thinking without thinking (Paradoxical phrase)
强登	강등	To climb forcibly/with effort
牧丹峯	목단봉	Moranbong Peak (Famous hill in P'yŏngyang)
可惜	가석	Alas, regrettable
紅顔	홍안	Crimson face (Youthful beauty)
老	로	To age, grow old
欲忘難	욕망난	Trying to forget is difficult
志强	지강	Determination is strong
浮作	부작	Floating work (?) (Meaning unclear, perhaps 'impromptu composition')
碧樓	벽루	Blue Pavilion (Possibly a place name or literary allusion)
每傷	매상	Always grieving
綠*衰	녹쇠	Greenery's decay (* likely 艸 radical on top of 衰 = 蓑, meaning straw raincoat, but context suggests 'decay' - possible typo for 衰 itself)
悵吟	창음	To chant sadly/disappointedly
白頭詞	백두사	White-haired poem (Poem of old age)
알엇슴니다	알았습니다	I understood/knew (Polite, older form)
拜復	배복	Respectfully replying (Polite opening)
謹受	근수	To receive respectfully/carefully
主人	주인	Master (of the house), head of household
지으시지 아니함으로	지으시지 아니하므로	Because (he) does not compose (Honorific)
貴需	귀수	Your esteemed need/request
應할 수 업사오니	응할 수 없사오니	Cannot comply (Polite, older spelling/form)
俯諒	부량	To understand generously, condescend to understand (Polite)
惠書	혜서	Gracious letter (Polite)
답	답	Reply
狀	장	Letter, document; condition
느저	늦어	Being late (Older spelling)
未安	미안	Sorry, apologetic
部	부	Copy (counter for publications)
바덧사오며	받았사오며	Received (Polite, older form)
發展	발전	Development, progress
멀니서	멀리서	From afar (Older spelling)
비나이다	빕니다	I pray/wish (Polite, older form)
生	생	I, me (Humble pronoun used by scholars/writers)
作故	작고	To pass away
病褥	병욕	Sickbed
눕게 된 것	눕게 된 것	The fact of becoming bedridden
肋膜炎	늑막염	Pleurisy
診斷	진단	Diagnosis
于於今	어어금	Up until now (Archaic)
箇月	개월	Months (Counter)
알어 오든 中	앓아 오던 중	While having been ill
多幸	다행	Fortunately
良醫	양의	Good doctor
어더	얻어	Having obtained/found (Older spelling)
入院	입원	Hospitalization
施療	시료	Medical treatment
結果	결과	Result
以上	이상	More than, above
効果	효과	Effect, result
病臥	병와	Lying ill in bed
昨今	작금	Recently, these days
若干	약간	Slightly, somewhat
起動	기동	To get up and move
