**Header Section:**
Magazine Title: 삼천리 第六卷 第七號
Publication Date: 1934년 06월 01일
Article Title: 余의 轉向理由, -朝鮮共産黨員 某의 手記- (My Reasons for Defection - A Memoir by a Certain Korean Communist Party Member)
Author: 某 (Anonymous)
Article Type: 회고·수기 (Memoir/Personal Account)

**Body Text Translation:**
My Reasons for Defection - A Memoir by a Certain Korean Communist Party Member

Since Sano Manabu (佐野學) in Tōkyō declared his severance from the International Communist Party and defected, the world has been watching closely to see what kind of ripples this would cause among Chosŏn's ideological activists. Recently, a certain prominent figure currently imprisoned in Sŏdaemun Prison (西大門刑務所) in connection with the Korean Communist Party Domestic Work Committee (朝鮮共産黨 國內工作委員會) incident published a lengthy document criticizing the "Comintern" (컨민텐) policy from within prison, along with a memoir of his defection. The content is lengthy, and lacking the freedom to publish it explicitly, only the main points are summarized below.
Furthermore, regarding the aforementioned Domestic Work Committee incident, it was a large-scale secret society case involving approximately one hundred defendants, and at the time of the arrests, it greatly stirred the atmosphere of the peninsula.

1 The Disaster of Factional Strife

Looking back at the history of the Korean Communist Party's movement, it has truly been characterized by factional strife (派爭).
Factional strife is the greatest cancer on the movement's path. There is no reason for such factions—the Shanghai Faction (上海派), the Nikolsk Faction (尼市派), the Tuesday Faction (火曜派), the Seoul Faction (서울派), the North Wind Faction (北風派), the ML Faction (ML派), etc.—to exist among activists on the same path, heading toward the same principles and the same goal, engaging in divisive struggles. Nevertheless, on our movement's path, the power struggles of these factions have recurred so often that there has hardly been a peaceful day. Although conscientious comrades fought hard to eliminate this deplorable evil habit, seeking the eradication of factions and the settlement of factional strife, the fortress of factionalism has always remained unshakable. The Communist Party, whose life depends on absolute secrecy, has repeatedly suffered tragic collapses due to this factional strife. The Domestic Work Committee incident, in which I was involved, was also discovered precisely because of this factional strife, resulting in the arrest of numerous comrades all at once.<96>

2 Regarding Policy and Tactics

Regarding policy and tactics, our movement hitherto had weaknesses. First, concerning the movement's direction, the fixed, monotonous formalism lost its power to guide the actual movement, and the methods for the organizational structure of the Communist Party, its external organizations, fraction (푸락숀) activities, and the struggle for hegemony (헤께모니) always followed a fixed pattern, inevitably repeating failures. To put it more concretely, although a national united front (民族的 協同戰線) was aimed for, it was impossible for certain reasons. The powerlessness of the Japanese Communist Party regarding Chosŏn, the political indifference of the Korean people, and the flaws of simple Korean-style houses lacking defensive measures for underground secret meetings—thus, no matter how cleverly conducted the clandestine operations were, they were prone to failure.

3 Disregard for Chosŏn's Specific Characteristics

The International Communist Party (國際共産黨) disregarded Chosŏn's historical and social specific characteristics. The Comintern (곤민턴) based its guidance solely on the experience of Russia (露西亞XX), attempting to direct and regulate the XX of various countries around the world, each possessing distinct national characteristics and cultural particularities; herein lay a great flaw. As each nation has a different historical background, the formalized guidance policy of the International Communist Party cannot be said to have been without flaws in the process of implementation.

4 Theoretical Contradictions

The point where I felt a contradiction in Marxist materialism (맑스 唯物論), the foundational theory of communism, is the idea that "humans, like other matter, are merely matter, and the human spirit is nothing but a reflection of matter." If that is the case, how does it explain metaphysical culture such as religion and philosophy, created by the efforts of the human soul? Marxist materialism is too biased and irrational to answer this question.

5 Future Direction

It must be a legal, moderate, and mass-based movement suitable for the reality of Chosŏn. (Remainder omitted - original text)<97>

**Summary**

This article is a memoir by an anonymous, high-ranking member of the Korean Communist Party, written from Sŏdaemun Prison in 1934, explaining his reasons for defecting ('chŏnhyang'). He cites persistent, destructive factionalism within the party (naming several factions) as a primary cause, leading directly to the exposure of his own Domestic Work Committee. He criticizes the party's rigid, formulaic policies and tactics, detached from Korean realities, and the failure to build a national united front. He also faults the Comintern for imposing a Russia-centric model that ignored Korea's unique historical and social context. Finally, he expresses philosophical disagreement with Marxist materialism's explanation of human consciousness and culture. He concludes that the future path must be a legal, moderate, mass-based movement adapted to Korea's specific situation.

Historians would find this article valuable for its firsthand account of the internal dynamics and disillusionment within the Korean communist movement during the colonial period. It explicitly details the severe impact of factionalism (a recurring theme in Korean political history), critiques Comintern policies from a Korean perspective, and provides a personal rationale for 'chŏnhyang' (political conversion/defection under pressure), a significant phenomenon among intellectuals and activists in 1930s Korea and Japan. The critique of Marxist theory adds an ideological dimension to the defection narrative.

**Named Entities**

佐野學	さの まなぶ	Sano Manabu
國際共産黨	국제공산당	International Communist Party / Comintern
朝鮮	조선	Chosŏn
朝鮮共産黨	조선공산당	Korean Communist Party
國內工作委員會	국내공작위원회	Domestic Work Committee
西大門刑務所	서대문형무소	Sŏdaemun Prison
上海派	상해파	Shanghai Faction
尼市派	이시파	Nikolsk Faction
火曜派	화요파	Tuesday Faction
서울派	서울파	Seoul Faction
北風派	북풍파	North Wind Faction
ML派	엠엘파	ML Faction
日本共産黨	일본공산당	Japanese Communist Party
露西亞	노서아	Russia
맑스	마르크스	Marx
東京	동경	Tōkyō

**Glossary**

余	여	I, my (formal, archaic pronoun)
轉向	전향	Defection, conversion (political term 'tenkō'/'chŏnhyang')
手記	수기	Memoir, personal account
某	모	A certain person, Mr. X, anonymous subject marker
絶綠	절록	Severance, breaking ties (modern: 절연)
以來	이래	Since
思想運動者	사상운동자	Ideological activist
如何한	여하한	What kind of, any sort of (older form of 어떠한)
波紋	파문	Ripples, repercussions
注視	주시	Watch closely, pay attention
最近	최근	Recently
拘禁	구금	Imprisonment, detention
巨頭	거두	Prominent figure, leader
獄內	옥내	Inside prison
컨민텐	코민테른	Comintern (phonetic transcription)
批判	비판	Criticism
同時	동시	Simultaneously
發表	발표	Publication, announcement
赤裸裸하게	적나라하게	Explicitly, nakedly, plainly
簡單하게	간단하게	Simply, briefly
要領	요령	Main points, gist
抄記	초기	Summarize, extract notes
如左	여좌	As follows (archaic expression)
前記	전기	Aforementioned
被告數	피고수	Number of defendants
達하는	달하는	Reaching, amounting to
大規模	대규모	Large-scale
秘密結社	비밀결사	Secret society
檢擧	검거	Arrest, roundup
當時	당시	At that time
半島	반도	Peninsula (referring to Korea)
空氣	공기	Atmosphere, mood
驚動시켜 놋든	경동시켜 놓았던	Which had greatly stirred/shocked (놋든 is an older form of 놓았던)
歷代	역대	Successive generations, historical
運動史	운동사	History of a movement
회고하면	회고하면	Looking back, recalling
實로	실로	Truly, indeed
一貫하엿다	일관하였다	Was consistent, characterized by (하엿다 is older form of 하였다)
派爭	파쟁	Factional strife, factional struggle
運動線上	운동선상	On the path/line of the movement
最大	최대	Greatest, largest
癌	암	Cancer (used metaphorically)
等	등	Etc., and others
가튼	같은	Same (older spelling)
目標	목표	Goal, objective
향하야	향하여	Towards (older spelling)
나아가는	나아가는	Advancing, proceeding
同一線上	동일선상	On the same line/path
分類相爭	분류상쟁	Divisive struggles, fighting among divisions
까닭이 업다	까닭이 없다	There is no reason (업다 is older form of 없다)
그러컨만	그러건만	Nevertheless, however (older form)
從來	종래	Hitherto, conventionally
우리	우리	Our
運動線	운동선	Movement line/path
派閥	파벌	Faction, clique
勢力싸홈	세력싸움	Power struggle (싸홈 is older spelling of 싸움)
하느한 때든지	어느 한 때든지	At any given time (하느한 is older form)
寧日	영일	Peaceful day
업스리만치	없으리만치	To the extent that there wasn't (older form)
번복되어 왓다	반복되어 왔다	Has been repeated (번복 can also mean overturn, but here repetition fits context)
痛恨할	통탄할	Deplorable, lamentable
惡弊	악폐	Evil habit, vice
업시하고저	없이하고자	Wanting to eliminate (older form)
뜻잇는	뜻있는	Conscientious, having intent (older spelling)
同志	동지	Comrade
撲滅	박멸	Eradication
淸算	청산	Settlement, liquidation (of issues)
위하야	위하여	For the sake of (older spelling)
만히	많이	Many, much (older spelling)
奮鬪하엿건만	분투하였건만	Although fought hard (하엿건만 older form)
언제든지	언제든지	Always, whenever
城塞	성채	Fortress, stronghold
確乎不拔	확고부발	Unshakable, firmly established
絶對秘密	절대비밀	Absolute secrecy
生命	생명	Life
悲慘한	비참한	Tragic, miserable
陷沒	함몰	Collapse, downfall
關係한	관계한	Related to, involved in
發覺되어	발각되어	Being discovered, exposed
多數	다수	Numerous, many
一朝에	일조에	All at once, in a single morning
當하게 된 것이다	당하게 된 것이다	Came to suffer/face
政策	정책	Policy
戰術	전술	Tactics
잇서	있어	Regarding, in (older spelling)
弱點	약점	Weakness
잇섯다	있었다	There was/were (older spelling)
爲先	우선	First of all (archaic usage)
運動方針	운동방침	Movement direction/policy
固定한	고정한	Fixed, rigid
千篇一律的	천편일률적	Monotonous, uniform, cookie-cutter
公式主義	공식주의	Formalism
實際運動	실제운동	Actual movement, practical activities
指揮	지휘	Command, direction
