Magazine Title: 삼천리 제6권 제7호
Publication Date: 1934-06-01
Article Title: 文人奇話 (Anecdotes about Literary Figures)
Article Type: 소식 (News/Updates)

Anecdotes about Literary Figures

Pyŏkch'o (碧初), while writing "Im Kkŏkchŏng chŏn" (林巨正傳), prepared a detailed memorandum noting the distance in *ri* (里) from Pongsan (鳳山) to the Imjin River (臨津江) ferry crossing. Somehow, he lost that piece of paper covered in tiny writing, causing him distress for a while. Fortunately, he found it after 4 or 5 days and breathed a sigh of relief.

Years ago (年前) in P'yŏngyang (平壤), when Yanagi Muneyoshi (柳宗悅) gave a lecture, the novelist Chŏn Yŏngt'aek (田榮澤氏) served as the interpreter. He committed a major blunder (大妄發) by translating "Omatsuri sawagi" (御祭リ騷ぎ - festival ruckus) as "the act of making noise during ancestral rites."

This spring (今春), An Sŏ (岸曙), accompanied by his wife (同夫人), frequented the horse racing track (競馬場) outside Tongdaemun (東大門) for horse racing (競馬). In just a few days (不過數日), he lost 200 *wŏn* (圓). It seems he wrongly followed in the footsteps of Tongin (東仁), who, according to an old story (故事), became rich from horse racing (競馬成富) several years ago by winning 3,000 *wŏn* in a day or two.

P'albang (八峰) is busy running around (奔走) Ch'ungch'ŏng Province (忠淸道) and Hwanghae Province (黃海道) prospecting for gold mines (金鑛). If the gold mine (金鑛) were sympathetic (有情), it surely (應當) would reveal itself (現身).

Recently, Yohan (이 요한), Paekhwa (白華), Wŏlt'an (月灘), An Sŏ (岸曙), and P'ain (파인) have been returning to Tang poetry (唐詩). Is this proving the words of their senior, Pyŏkch'o (碧初), that "Eastern people (東洋人) eventually fall back into Chinese poetry (漢詩)"?

Historian (史家) Aeru (崖溜) Kwŏn Chin'gyu (權眞奎), while traveling in a certain region (某 地方), wrote "Author" (著作) as his occupation on the lodging registration form (宿泊届). The inspecting policeman (臨檢巡査公) asked, "Are you a chopstick (젓가락) maker?"

Yubang (惟邦) Kim Ch'anyŏng (金瓚永), while traveling in the countryside with a certain friend (某友), wrote "Painter" (畵家) as his occupation. The inspecting policeman (臨檢巡査公) said, "Ah, so you're a painter (繪描き)?". He deeply regretted (長恨) not being able to write "Artist" (藝術家).

After Ch'unwŏn's (春園) wife (夫人) went to Kangwŏn Province (江原道) for recuperation (靜養次),<250> he followed her west just a few days later (數日后). He is one of the devoted husbands (愛妻家).

Female writer (女流作家) Chang Tŏkcho (張德祚) recently had the happy event (慶事) of childbirth (近解産). Her husband (夫君) Pak Myŏnghwan (朴明煥) is eagerly awaiting (鶴首苦待) her works (作品).

Tongin (東仁), having exhausted (消盡) a family fortune of 200,000 *wŏn* (萬圓 財産) at the house by the ferry in P'yŏngyang (平壤), now laments (而今長嘆曰), "It's because the house site itself was inauspicious (凶家)."

Hoewŏl (懷月) Pak Yŏnghŭi (朴英熙) forcefully negotiated (强行談判) with Hyŏndae P'yŏngnonsa (現代評論社) to pay the manuscript fee (原稿料) for Yi Kiyŏng's (李箕永) confiscated (押收) manuscript, which they initially refused to pay, securing 40 *wŏn* (圓) for him. Though it's in the past, it's a beautiful story of friendship (友情美談).

Regarding Hugo's work (유-고作品) "Ah, Mujŏng" (아-無情 - Les Misérables): 30 years ago (年 前) from now, Hong Myŏnghŭi (洪命憙) lectured at Posŏng School (普成學校) in Seoul (서울). Among those captivated while listening (聽講心醉) was Yang Paekhwa (梁白華在). Also, Hamong's (何夢) adaptation (飜案) and Yuktan's (六堂) abridged translation (抄譯) were published (登載) in "Ch'ŏngch'un" (靑春). This is a memorable episode from history (古史).

Ch'unsŏng (春城) No Chayŏng (盧子泳), in Sŏngbuktong (城北洞), famous for its beautiful scenery (泉石의 美), makes a living (生業) through cosmetics manufacturing (化粧品製造). Among literary figures (文人), there is also the playwright (劇作家) Hyŏn Ch'ŏl (玄哲) who is a cosmetics merchant (化粧品商).

The French literature scholar (佛文學者) and poet (詩人) Yi Hŏnsu (李軒氺) has taken up (就任) a commissioned position (囑託) at the Broadcasting Section (放送課) of the Communications Bureau (遞信局). Playwright (劇作家) Kim Unjŏng (金雲汀) and poet (詩人) Yi Hayun (異河潤) are in the Literature and Arts Department (文藝部) of JODK.

An Sŏ (岸曙) has leaped forward (躍進) into the popular song world (流行歌界) via records (레코-드). He has already composed over 140 songs and released them to the market (市場). How prosperous (盛哉)!

Sanghŏ (尙虛) Yi T'aejun's (李泰俊) talented writing (才筆) grows stronger as he continues (愈往愈健). He has taken up his pen for another long novel (長篇).<251>

**Summary**

This article presents a series of short anecdotes about various Korean literary figures active in 1934. It touches upon their writing processes (Pyŏkch'o's meticulous notes for "Im Kkŏkchŏng chŏn"), personal lives (Ch'unwŏn's devotion to his wife, Chang Tŏkcho's childbirth), financial situations (An Sŏ's gambling losses, Tongin's squandered fortune, P'albang's gold prospecting, No Chayŏng's cosmetics business), interactions with Japanese terms and authorities (Chŏn Yŏngt'aek's translation error, police mistaking writers' occupations), career shifts (Yi Hŏnsu's radio job, An Sŏ's success in songwriting), literary trends (return to Tang poetry), and acts of friendship (Pak Yŏnghŭi helping Yi Kiyŏng). The piece offers glimpses into the diverse activities, struggles, and connections within the literary circle of colonial Korea. Historians might find the anecdotes about writers' financial activities (gambling, mining, business ventures), their interactions with colonial police (misunderstandings of occupation), the mention of specific Japanese cultural elements like "Omatsuri sawagi" and the policeman's Japanese phrase, and the details about broadcasting (JODK) particularly revealing about the socio-economic conditions and cultural landscape of the period.

**Named Entities**

碧初	벽초	Pyŏkch'o
林巨正傳	임거정전	Im Kkŏkchŏng chŏn
鳳山	봉산	Pongsan
臨津江	임진강	Imjin'gang
平壤	평양	P'yŏngyang
柳宗悅	유종열	Yanagi Muneyoshi
田榮澤氏	전영택씨	Chŏn Yŏngt'aekssi
岸曙	안서	An Sŏ
東大門	동대문	Tongdaemun
東仁	동인	Tongin
八峰	팔봉	P'albang
忠淸道	충청도	Ch'ungch'ŏngdo
黃海道	황해도	Hwanghaedo
요한	요한	Yohan
白華	백화	Paekhwa
月灘	월탄	Wŏlt'an
파인	파인	P'ain
崖溜	애류	Aeru
權眞奎	권진규	Kwŏn Chin'gyu
惟邦	유방	Yubang
金瓚永	김찬영	Kim Ch'anyŏng
春園	춘원	Ch'unwŏn
江原道	강원도	Kangwŏndo
張德祚	장덕조	Chang Tŏkcho
朴明煥	박명환	Pak Myŏnghwan
懷月	회월	Hoewŏl
朴英熙	박영희	Pak Yŏnghŭi
李箕永	이기영	Yi Kiyŏng
現代評論社	현대평론사	Hyŏndae P'yŏngnonsa
서울	서울	Sŏul
普成學校	보성학교	Posŏng Hakkyo
洪命憙	홍명희	Hong Myŏnghŭi
梁白華	양백화	Yang Paekhwa
何夢	하몽	Hamong
六堂	육당	Yuktan
靑春	청춘	Ch'ŏngch'un (Magazine Name)
春城	춘성	Ch'unsŏng
盧子泳	노자영	No Chayŏng
城北洞	성북동	Sŏngbuktong
玄哲	현철	Hyŏn Ch'ŏl
李軒氺	이헌수	Yi Hŏnsu
遞信局 放送課	체신국 방송과	Communications Bureau Broadcasting Section
JODK	-	JODK (Call sign for Keijō Central Broadcasting Station)
金雲汀	김운정	Kim Unjŏng
異河潤	이하윤	Yi Hayun
尙虛	상허	Sanghŏ
李泰俊	이태준	Yi T'aejun

**Glossary**

奇話	기화	Strange tales; anecdotes
몃	몇	How many (older spelling)
仔細	자세	Detailed
備忘錄	비망록	Memorandum; notes
豫備	예비	Preparation
엇저다가	어쩌다가	Somehow; by chance (older spelling)
깨알가치	깨알같이	Like sesame seeds; meticulously small (older spelling)
조히	종이	Paper (older spelling)
紛失	분실	Loss; misplacement
차저	찾아	Found; searched for (older spelling)
年前	연전	Years ago
通譯	통역	Interpretation; interpreter
御祭リ騷ぎ	-	Festival ruckus (Japanese term)
妄發	망발	Absurd remark; blunder
同夫人	동부인	With his wife
競馬	경마	Horse racing
不過	불과	Merely; only
損	손	Loss (financial)
競馬成富	경마성부	Becoming rich through horse racing
故事	고사	Old story; anecdote
발벗든 듯	발붙인 듯	Seems to have set foot in/gotten involved in (likely typo/older form of 발붙인듯)
金鑛	금광	Gold mine
奔走	분주	Running about busily
踏沙	답사	Field survey; exploration (esp. for mining)
有情	유정	Having feelings; being sympathetic
應當	응당	Naturally; should
現身	현신	To appear; reveal oneself
도라드는	돌아드는	Returning to (older spelling)
떠러진다	떨어진다	Falls into; ends up as (older spelling)
証左	증좌	Proof; evidence
史家	사가	Historian
宿泊届	숙박계	Lodging report/registration (Japanese system term)
著作	저작	Writing; authorship
臨檢	임검	Inspection; check (by authorities)
巡査	순사	Policeman (colonial era term, often implies Japanese police)
젓가락	젓가락	Chopsticks
썻더니	썼더니	Wrote (older spelling)
繪描き	-	Painter (Japanese term)
藝術家	예술가	Artist
長恨	장한	Deep regret
靜養次	정양차	For the purpose of recuperation
뛰다라	뒤따라	Following after (older spelling)
愛妻家	애처가	Devoted husband (lit. wife-loving man)
女流作家	여류작가	Female writer
近解産	근해산	Recent childbirth
慶事	경사	Happy event
夫君	부군	Husband (formal)
鶴首苦待	학수고대	Eagerly awaiting (lit. craning one's neck like a crane)
消盡	소진	Exhaustion; spending all
而今長嘆曰	이금장탄왈	Now sighs deeply, saying... (literary phrase)
凶家	흉가	Inauspicious house/site (geomancy term)
押收	압수	Confiscation; seizure
原稿料	원고료	Manuscript fee
强行談判	강행담판	Forced negotiation; strong bargaining
友情美談	우정미담	Beautiful story of friendship
유-고作品	유고작품	Hugo's work (Les Misérables implied)
聽講心醉	청강심취	Listening attentively and being captivated
飜案	번안	Adaptation (of a foreign work)
抄譯	초역	Abridged translation
登載	등재	Publication; listing
泉石	천석	Springs and rocks; natural scenery
化粧品製造	화장품제조	Cosmetics manufacturing
生業	생업	Livelihood; occupation
文人	문인	Literary person; writer; intellectual
劇作家	극작가	Playwright
佛文學者	불문학자	Scholar of French literature
遞信局	체신국	Communications Bureau
放送課	방송과	Broadcasting Section
囑託	촉탁	Commissioned employee; non-regular staff
就任	취임	Assuming a post
文藝部	문예부	Literature and Arts Department
流行歌界	유행가계	Popular song world/scene
躍進	약진	Rapid advance; leap forward
盛哉	성재	How prosperous!; Splendid! (Exclamatory Hanja phrase)
才筆	재필	Talented writing; literary skill
愈往愈健	유왕유건	Becoming stronger/more vigorous as it progresses (literary phrase)


---------------------------


잡지명	삼천리 제6권 제7호
발행일	1934년 06월 01일
기사제목	文人奇話
기사형태	소식

文人奇話
碧初 「林巨正傳」을 쓰는데 鳳山서 臨津江나루까지 몃 里式으로 仔細한 備忘錄을 豫備 그만 엇저다가 깨알가치 쓴 그 조히 쪼각을 紛失 한동안 苦痛. 多幸히 4,5日만에 차저 한숨은 쉬엇지만.

年前 平壤서 柳宗悅 講演때 通譯을 小說家 田榮澤氏 하엿는데 「御祭リ騷ぎ」를 「제사 때 떠드는 짓」이라고 大 妄發.

