**Header Section:**
Magazine Title: 삼천리 第11卷 第7號
Publication Date: 1939년 06월 01일 (June 1, 1939)
Article Title: 上海서 맛난 汪兆銘 -胡汪蔣聯合時代의 그의 印象- (Meeting Wang Zhaoming in Shanghai -My Impressions of Him During the Hu-Wang-Chiang United Era-)
Author: 洪陽明 (Hong Yangmyŏng)
Article Type: 회고·수기 (Memoir/Recollection)

**Body Text Translation:**
Meeting Wang Zhaoming in Shanghai -My Impressions of Him During the Hu-Wang-Chiang United Era-
						Hong Yangmyŏng

A broad forehead, eyes sparkling with brilliance and seemingly brimming with talent (才氣*發). A complex face, appearing composed like a scholar yet overflowing with the passion of a fighter. This was my first, and also last, impression of Wang Jingwei (汪精衛). The time was early November, 8 years ago in Shōwa 6 (1931), and the place was Wang Jingwei's residence on Avenue Dubail (白克路) in the French Concession (佛租界) of Shanghai (上海).

Wang Jingwei, pushed by the overwhelming public opinion demanding "Hu-Wang-Chiang Unite, Jointly Face the National Crisis" (胡汪蔣聯合, 共赴國難), along with Chiang Kai-shek (蔣介石) and Hu Hanmin (胡漢民), had come to Shanghai. It was as if he had forgotten that just 3-4 months prior, he had been calling for the overthrow of Chiang Kai-shek, establishing a separate National Government (國民政府) in Guangdong (廣東), and even preparing for a punitive expedition against Chiang. This was right after the September 18th Manchurian Incident (918滿洲事變), where the great tide of Chinese national unity created a climate for this politician of many twists and turns to compromise unconditionally with Chiang Kai-shek, his enemy for the past 5-6 years. Along with Wang Jingwei, Hu Hanmin, now deceased, naturally also came from Guangdong to Shanghai, appearing on the stage of the Hu-Wang-Chiang United Front drama under the watchful eyes of 400 million people. Earlier that year, around April, preceding the National Convention (國民會議) in July, Hu Hanmin had clashed head-on with Chiang Kai-shek while debating the Provisional Constitution issue (約法問題). Chiang, who already considered Hu a thorn in his side, immediately had his guards place Hu under house arrest, restricting his residence to Tangshan (湯山) outside Nanjing (南京). At that time, Hu Hanmin's position in the National Government was President of the Legislative Yuan (立法院長), while Chiang Kai-shek was Chairman of the Military Affairs Commission (軍事委員長). For Chiang to place Hu, the President of the Legislative Yuan, under house arrest over the Provisional Constitution issue was legally <102> unthinkable. However, from this point on, Chiang Kai-shek's power to control the National Government and the Kuomintang (國民黨) at will was arguably established, as almost no one debated the right or wrong of it. Hu Hanmin, a Kuomintang elder thus humiliated, went to Guangdong around June with Sun Fo (孫科) and others, embraced the military power of the Southwestern faction (西南派) leaders like Chen Jitang (陳濟棠), Li Zongren (李宗仁), and Bai Chongxi (白崇禧), communicated with Feng Yuxiang (馮玉祥) and Yan Xishan (閻錫山) in the North, and simultaneously pushed forward Wang Jingwei—who was dispirited (映映不樂) after his Wang-Yan (*閻*) joint anti-Chiang military action to establish a Beijing Government the previous year (1930) had failed miserably due to Zhang Xueliang's (張學良) support for Chiang Kai-shek and the good fighting of Chiang's army. Just before the National Convention, which was meant to pass the Provisional Constitution, was convened, they issued a nationwide anti-Chiang telegram (全國엊� 反蔣通電), creating a situation that deeply impressed upon the world that China's unification was still far off. If I recall correctly, the National Convention opened around mid-July of that year. This meeting was considered a historic gathering marking the end of the tutelage period, and not only from all of China (全支) but also widely including overseas Chinese (華僑), representatives of the Party and other organizations, indeed almost all key figures under the Kuomintang's rule, <103> except for the aforementioned Guangdong faction, were present. It was the largest gathering since the establishment of the Kuomintang regime. As a special correspondent for the Chosun Ilbo (朝鮮日報) occupying a corner of the press seats at this meeting, I can still dimly picture the booming voice of the chairman, the bearded Censorate President (監察院長) Yu Youren (于右任), and the student-like pose of Zhang Xueliang, who, full of pride in his capacity as Deputy Commander of the Army, Navy, and Air Force (陸海空軍 副司令) and acting as Chiang's adjutant, also skillfully performed the chairman's duties. It renews my sense of the transience of human affairs. However, this meeting was intended to boast of the reality of unified China both domestically and internationally, but with the anti-Chiang telegram establishing the Guangdong National Government centered around Hu Hanmin and Wang Jingwei being issued just before the opening, Chiang Kai-shek seemed deeply displeased. Sitting in the Government Committee member's seat, he kept folding and unfolding his handkerchief, showing signs of unease and impatience (不安馬燥). Yet, when reporting on the anti-Chiang movement in Guangdong, Chiang showed no hint of excitement, simply stating, "It is regrettable that a few loyal and influential Party members, who should still obey the Central Government, are unfortunately misguidedly attempting political maneuvers detrimental to the future of the Party and the nation. However, I believe this will fade away as a relic of the past now that unification is complete," and said no more, making me feel deeply that he indeed knew his worth. Turning back (却說), the confrontation between Chiang Kai-shek versus Wang Jingwei and Hu Hanmin had thus reached a point in August-September where it was about to develop into a full-scale military conflict, with troop deployments (排列) and battle plans laid out by both sides. It was truly the eve of a civil war drama, on the verge of erupting (一觸卽發), when suddenly, on September 18th, the Manchurian Incident erupted, drawing a major demarcation line in the situation in East Asia. Amidst this historic great reverberation, the discordant notes of the civil war drama were stopped (스텁되고). As described above (叙上), the unconditional arrival (來到) in Shanghai of the two giants, Wang and Hu, from the Guangdong Government, the establishment of a compromise with Chiang Kai-shek irrespective of all past face (體面不拘), and the emergence of the Chiang-Wang Cooperation (蔣汪合作) with Wang Jingwei's appointment as President of the Executive Yuan (行政院長) occurred. Hu Hanmin, ultimately finding himself incompatible with Chiang like ice and hot coals (氷炭不相容), soon returned to Guangdong and continued his persistent (執拗한) anti-Chiang movement, saying things like "If we cannot eliminate dictatorship, we cannot establish democracy," until he sadly passed away last year, as is well known (周知). It could be said that the differing personalities of the flexible Wang and the cool-headed Hu led to different fateful relationships with Chiang Kai-shek.

Returning to the beginning, it was in this atmosphere that Wang Jingwei settled his long-standing hostile relationship with Chiang Kai-shek and came from Guangdong to Shanghai. At the wharf (埠頭), tens of thousands of students lined up holding banners like "Welcome Mr. Wang" (歡迎 汪先生) to greet (마젔다) him. <104>
I saw then, in the fervent welcome procession by students from various Shanghai universities for Wang, how much more popular he was among China's youth and student masses compared to Hu or Chiang. A few days after he entered his private residence (私邸) on Avenue Dubail – this grand mansion is said to be owned by his wife, Madam Chen Bijun (陳壁君 女史), the daughter of a wealthy overseas Chinese from Nanyang – there was a joint press conference with Chinese reporters, followed by one with foreign reporters. As a member at the back (末席) of the latter group, I had the pleasant memory of being able to observe his every move and stillness (一動一靜) closely for about 30 minutes. Wang's state of mind (心境) at this time seemed extremely delicate (微妙); on his wise-looking (賢哲) pale face, there lingered somewhere a trace (一沫) of anxiety. However, the refined gentlemanly demeanor he projected, his eyes that seemed to understand everything, having weathered all sorts of storms and battles (山戰水戰), and his courteous (慇懃) yet cheerful gestures (제스추어) were sufficient to impress everyone (一同) that he was indeed a great figure. Questions and answers were translated into English through his secretary; his Chinese accent was, of course, a strong, fast baritone typical of Guangdong (廣東的). "You," someone seemed to ask a rather blunt (露骨的인) question, "established the Wuhan Government (武漢政府) in 1927, allied with the Communist Party, and opposed Chiang Kai-shek's Kuomintang Nanjing Government. Subsequently, you continued anti-Chiang activities, collaborating with the *Yan* (*閻*) faction in Beijing, and then there was the recent Guangdong Incident. Now, sweeping aside (一掃하고) 4-5 years of confrontation to collaborate with Chiang – isn't there bound to be some friction, no matter how much it's a national demand (要望)?"
At this, Wang smiled and replied with extremely suggestive (암시적이고 示唆的인) words:
"Lesser objectives are encompassed by the greater objective. Small paths lead to the main road (大路)."
He seemed relatively talkative (多辯). However, as an outstanding writer and orator (문장가요 웅변가이라) renowned throughout China, there was nothing unnatural in his speech. His fresh (淸新한) face, seemingly gentle yet capable of intensity, was much smarter (스마트한) than in photographs. Although nearly 50 at the time, he not only gave off the youthful vibe (절믄 기분) of a young man with soaring spirit (志氣方壯), but his face itself was that of a young man (절믄 사람이였다). At age 22, while studying in Japan (日本 유학), Wang met Sun Yat-sen (孫文) and joined the Chinese Alliance (中國同盟會), the predecessor of the Kuomintang. He published magnificent articles (雄篇) on nationalism and other topics in the organ paper Minbao (民報), subsequently engaged in debate (論戰* 交) with the Constitutional Monarchist (保皇派) Liang Qichao (梁啓超), making a name for himself through writing (文名). He then moved from writing to direct action. Passionate and sensitive (熱血多感), at age 30, he went to Beijing (北京) and attempted to assassinate (爆死식히려다가) the Prince Regent (攝政王), but was arrested and sentenced to death. However, spared due to the goodwill of Prince Su (肅觀王), who cherished (앳긴) his outstanding talent (才*), his sentence was commuted by one degree (減一等), and he was released following the Xinhai Revolution (辛亥革命) <105> – he was a man who had experienced such things. Having hovered between life and death (生死間을 彷徨한), his turbulent life of 30 years, both at home and abroad (海內海外), followed the fate (軍命) of the Chinese masses and the line (路線) of the Kuomintang. Not only one of the theoretical architects (構圖者) of the Three Principles of the People (三民主義), but also possessing outstanding political and diplomatic capabilities (역량), he was unable to realize his ambitions (抱負) after collaborating with Chiang Kai-shek in 1931 because he lacked military power (군의 실력*). He went through various twists and turns (곡절을 격것다가). After the Manchurian Incident, under the slogan (標語) "negotiate on one hand, resist on the other" (일면 교섭 일면 저항), he skillfully worked to foster (促成하기에 노력하야) the momentum (機運) for Sino-Japanese cooperation (日支合作) even amidst the blind anti-Japanese trend (맹목적인 抗日潮流) within parts of the Kuomintang. He followed a realistic course (현실적인 코-스) responding to the new situation in Asia (亞細亞의 新局面), as is well known to the world (世人이 周知하는 바이다). After the outbreak of the Sino-Japanese Incident (日支事變 勃發), he spoke of Japan policy with vague arguments (막연한 論旨) such as "sacrifice is necessary," raising doubts about his true intentions (眞意). However, it could be said this was unavoidable rhetoric (遁辭) amidst the overwhelming anti-Japanese tide within the National Government. Responding to the Konoe Statement (近衛聲明) on December 22nd last year, he issued his historic statement towards Japan (對日聲明) on the 28th. His departure (*領하노이로 온 것) from the blind masses (群盲) in Chongqing (重慶), oblivious (沒覺하는) to the reality of East Asia and advocating long-term resistance (長期抗戰論), drew a major line (一大劃線을 끄은 것) in the consciousness of the Chinese people. It was truly a bold action that only a genuine leader with courage and a spirit of sacrifice could take. Of course, his arguments still show a lack of thorough understanding (인식 부족한 점) of the East Asian Cooperative Body (東亞協同體), but the basic foundation (基礎素養) for him to become a true warrior (戰士交*) for Greater Asianism (大亞細亞主義) was established during his dealings with Japan (日本에 대* 外中) over the last 5-6 years. Also, Chen Gongbo (陳公*) and **Meng* (*孟*) of the Reorganization Clique (改組*), who have acted in concert (折**) with him, are still in ***Chongqing (***慶). Seen this way, perhaps even Chiang Kai-shek partially agrees (一部分 首肯지하면서도) with Wang Jingwei's views but is dragged along by the blind anti-war faction, committing the folly of useless sacrifice (*牲), possibly *instinctively opposing (*性的으로 反*) it? One cannot but hope (바라마지 안는 바이다) that the day when the clear vision (達觀) of a wise leader like Wang Jingwei guides the anti-war camp draws near (갓가올 것을).
(April 5th) <106>

Madam Wang, Chen Bijun (汪夫人陣壁君) - Known as a Japan-savvy woman (知日여성) -
Where is Wang Zhaoming's wife, Chen Bijun (陣壁君)? It is said she acts together with Wang, but while Song Meiling (宋美齡) is a socialite-type (*社*型) wife, Chen is known as a supportive wife (內助型) filled with fire-like passion, reputed to be a woman knowledgeable about Japan (知*여성의 而目).
Chen Bijun is 42 this year, three years older than Song Meiling. She was one melted by the fire when Wang Zhaoming was pouring his passion into revolution in Tokyo (동경서). At a time when they pretended (거짓말을 꾸며든 때) to be husband and wife as a method (*法) to avoid people's eyes, it wasn't a time to dream of romance before revolution, but for her, it seems it was a matter that determined her life.
When Wang failed in his attempt to *assassinate* (*死를 *하다가) the then **Prince Regent (**王) in Beijing and was imprisoned (入獄하든때), the woman he was engaged (約婚한) to broke off the engagement, fearing implication (累罪). The only woman who visited his prison window (獄窓을 차즌) was Chen *Bijun* (陣*君).
To the question, "Will you bear the criminal accusation of being a traitor's wife?" she answered, "I am content (滿足합니다)." That is how Wang and Chen Bijun came to be united. The Shanghai Times (上海時報) once serialized a *story* (*物) titled "Jing****" (「精****」)* *다.
Her political ** may fall short compared to Song Meiling, but as a woman activist (女**) who served as a member of the 2nd, 4th, and 5th Kuomintang Central *** Committee (國民堂中央***員), her acting in concert with Wang is natural as a wife, but the influence she wields in political circles (政界) and women's circles (婦人界) must make **women (**女性에게) reconsider (*번 생각하게) Wang's statement. <103> <102-106>

**Summary**

The article is a memoir by Hong Yangmyŏng recalling his meeting with Wang Jingwei in Shanghai in November 1931. This was during the brief "Hu-Wang-Chiang United Era," a temporary truce between Wang, Hu Hanmin, and Chiang Kai-shek forced by the Manchurian Incident, despite their previous intense rivalries. Hong describes Wang's charismatic yet complex personality and recounts a press conference where Wang deflected questions about his political reversals with metaphorical answers. The author traces Wang's revolutionary past, his political struggles against Chiang, and his eventual shift towards advocating peace and cooperation with Japan after the Sino-Japanese War began, culminating in his controversial 1938 statement responding to the Konoe Statement and his departure from Chongqing. The author presents Wang's final decision as a courageous, realistic move by a true leader, albeit acknowledging his understanding of the "East Asian Cooperative Body" might be incomplete, and expresses hope for Wang's vision to prevail. A short appended note discusses Wang's wife, Chen Bijun, contrasting her passionate, supportive nature with Song Meiling's socialite style, and highlighting her revolutionary background and political involvement.

From the perspective of Korean colonial history, this article is significant as it shows a Korean journalist (洪陽明) reporting on high-level Chinese politics for a major Korean newspaper (朝鮮日報 mentioned as his affiliation, though the article is in 삼천리). Published in 1939 under Japanese rule, the author's sympathetic, even laudatory, portrayal of Wang Jingwei's turn towards collaboration with Japan aligns with the pro-Japanese stance increasingly common, or mandated, in Korean media by this time. Historians might find the article useful for understanding how collaborationist figures like Wang Jingwei were presented to Korean audiences, potentially shaping perceptions of resistance versus cooperation, and reflecting the broader political pressures and narratives within the Japanese empire during the war. The explicit support for Wang's "realistic course" and criticism of Chongqing's "blind" resistance offers insight into the discourse promoted in colonial Korea.

**Named Entities**

汪兆銘	왕조명	Wang Zhaoming (Wang Jingwei)
胡漢民	호한민	Hu Hanmin
汪精衛	왕정위	Wang Jingwei
蔣介石	장개석	Chiang Kai-shek
洪陽明	홍양명	Hong Yangmyŏng
上海	상해	Shanghai
佛租界	불조계	French Concession
白克路	백극로	Avenue Dubail (Baike Road)
昭和	소화	Shōwa (Japanese era name)
廣東	광동	Guangdong
國民政府	국민정부	National Government (Republic of China)
滿洲事變	만주사변	Manchurian Incident
支那	지나	China (common term in Japanese/Korean usage at the time)
南京	남경	Nanjing
湯山	탕산	Tangshan
立法院長	입법원장	President of the Legislative Yuan
軍事委員長	군사위원장	Chairman of the Military Affairs Commission
國民黨	국민당	Kuomintang (KMT)
孫科	손과	Sun Fo
陳濟棠	진제당	Chen Jitang
李宗仁	이종인	Li Zongren
白崇禧	백숭희	Bai Chongxi
西南派	서남파	Southwestern Faction
馮玉祥	풍옥상	Feng Yuxiang
閻錫山	염석산	Yan Xishan
北京	북경	Beijing
張學良	장학량	Zhang Xueliang
朝鮮日報	조선일보	Chosun Ilbo (Korean newspaper)
于右任	우우임	Yu Youren
監察院長	감찰원장	President of the Censorate Yuan
陸海空軍副司令	육해공군 부사령	Deputy Commander of the Army, Navy, and Air Force
近衛	고노에	Konoe (referring to the Konoe Statement)
重慶	중경	Chongqing
陳壁君	진벽군	Chen Bijun
宋美齡	송미령	Song Meiling
동경	동경	Tokyo
梁啓超	양계초	Liang Qichao
攝政王	섭정왕	Prince Regent (referring to Prince Chun, Zaifeng)
肅觀王	숙관왕	Prince Su (Shanqi)
辛亥革命	신해혁명	Xinhai Revolution
中國同盟會	중국동맹회	Tongmenghui (Chinese Alliance)
民報	민보	Minbao (Newspaper)
陳公*	진공*	Chen Gong(bo) (likely Chen Gongbo 陳公博)
**孟*	**맹*	**(Gu) Meng(yu) (likely Gu Mengyu 顧孟餘)

**Glossary**

맛난	만난	Met (older spelling of 만난)
널븐	넓은	Wide, broad (older spelling of 넓은)
얼골	얼굴	Face (older spelling of 얼굴)
從容	종용	Composed, calm
鬪士	투사	Fighter, warrior
저택	저택	Mansion, residence
밀니워	밀리어	Being pushed, swayed by (older spelling/form of 밀리어)
부르짓고	부르짖고	Shouting, crying out (older spelling of 부르짖고)
씨슨 듯이	씻은 듯이	As if washed away, completely
이저버리고	잊어버리고	Forgetting (older spelling of 잊어버리고)
맨드렀섰기	만들었었기	Because (it) had created/made (older spelling/form of 만들었기)
압두고	앞두고	Ahead of, before
하여곰	하여금	Make (someone) do (causative suffix, older form of -게 하다)
좌우하다	좌우하다	To control, sway, influence
장로	장로	Elder
이르켯다가	일으켰다가	Having started/caused and then... (older spelling of 일으켰다가)
옹호	옹호	Support, advocacy
여지없이	여지없이	Mercilessly, without room (for doubt/failure)
열니는	열리는	Opening, convening (older spelling of 열리는)
특파원	특파원	Special correspondent
기자석	기자석	Press seats
의장	의장	Chairman
목리	목소리	Voice (likely dialectal or older form/typo for 목소리)
포-즈	포즈	Pose
떠도라	떠돌아	Wandering, circulating (older spelling of 떠돌아)
뽑내려	뽐내려	Intending to boast/show off (older spelling of 뽐내려)
안저	앉아	Sitting (older spelling of 앉아)
저벗다 피였다	접었다 폈다	Folded and unfolded
었전지	어쩐지	Somehow, for some reason (older spelling of 어쩐지)
사러지는	사라지는	Disappearing (older spelling of 사라지는)
끄칠	그칠	To stop, cease (older spelling of 그칠)
바야흐로	바야흐로	Just about to, on the verge of
一觸卽發	일촉즉발	Volatile situation, touch-and-go
俄然	아연	Suddenly, abruptly
끄은	그은	Drew (a line) (older spelling of 그은)
勃發	발발	Outbreak, eruption (of war, incident)
스텁되다	스톱되다	To be stopped (loanword 'stop' + 되다)
來到	내도	Arrival (Sino-Korean word, less common now than 도착)
취임	취임	Inauguration, taking office
출현되다	출현하다	To appear, emerge (되다 suffix is slightly redundant here)
氷炭不相容	빙탄불상용	Incompatible as ice and hot coals (idiom)
執拗한	집요한	Persistent, tenacious (older spelling of 집요한)
쓸쓸히	쓸쓸히	Lonely, solitarily
周知	주지	Well-known
유연성	유연성	Flexibility
냉철한	냉철한	Cool-headed, discerning
달이한	달리한	Made different (older form of 달리한)
도라가서	돌아가서	Returning (older spelling of 돌아가서)
埠頭	부두	Wharf, pier
마젔다	맞았다	Greeted, welcomed (older spelling of 맞았다)
사저	사저	Private residence
드러 간	들어간	Entered (older spelling of 들어간)
末席	말석	Lowest seat, back seat
一動一靜	일동일정	Every move and stillness
심경	심경	State of mind, mentality
微妙	미묘	Delicate, subtle
賢哲	현철	Wise and sagacious
一沫	일말	A trace, a touch
떠돌다	떠돌다	To linger, float around
세련된	세련된	Refined, sophisticated
慇懃	은근	Courteous, polite; subtle
一同	일동	All present, the whole company
족하다	족하다	To be sufficient, enough
비서	비서	Secretary
억세고	억세고	Strong, tough, harsh (accent)
바리톤調	바리톤조	Baritone tone
過般	과반	Recently, the other day
一掃하다	일소하다	To sweep away, clear out
要望	요망	Demand, request, desire
圓滑히	원활히	Smoothly (older spelling of 원활히)
露骨的인	노골적인	Blunt, frank, explicit
띄우면서	띄우면서	While wearing/showing (a smile)
포함되다	포함되다	To be included, encompassed
大路	대로	Main road, highway
통하다	통하다	To lead to, connect
암시적	암시적	Suggestive, hinting
示唆的인	시사적인	Suggestive, implicative
답변	답변	Answer, reply
多辯	다변	Talkative
탁월한	탁월한	Outstanding, excellent
문장가	문장가	Master writer
웅변가	웅변가	Orator
조곰도	조금도	Not even a little (older spelling of 조금도)
부자연한	부자연한	Unnatural
온순한	온순한	Gentle, meek
격렬할 듯한	격렬할 듯한	Seemingly intense/fierce
淸新한	청신한	Fresh, new
훨신	훨씬	Much more (older spelling of 훨씬)
스마트한	스마트한	Smart (loanword)
志氣方壯	지기방장	High-spirited, full of youthful vigor (idiom)
절믄	젊은	Young (older spelling of 젊은)
유학	유학	Studying abroad
前身	전신	Predecessor (body/organization)
機關紙	기관지	Organ paper (of an organization)
雄篇	웅편	Magnificent writing, masterpiece
발표하다	발표하다	To publish, announce
保皇派	보황파	Constitutional Monarchist Faction (lit. Protect the Emperor Faction)
文名	문명	Literary fame
날주고	날리고	Making famous (older form/spelling related to 날리다)
나아가	나아가	Advancing, moving on to
熱血多感	열혈다감	Passionate and sensitive (lit. hot blood, much feeling)
爆死식히려다가	폭사시키려다가	Attempting to assassinate by bombing
체포되다	체포되다	To be arrested
사형선고	사형선고	Death sentence
바덧다가	받았다가	Having received and then... (older spelling of 받았다가)
앳긴	아낀	Cherished, valued (older spelling of 아낀)
호의	호의	Goodwill, favor
減一等	감일등	Sentence commuted by one degree
석방되다	석방되다	To be released
生死間	생사간	Between life and death
彷徨하다	방황하다	To wander, roam
파란 많은	파란 많은	Turbulent, full of ups and downs
海內海外	해내해외	At home and abroad
路線	노선	Line, course (political)
沿하여	연하여	Along, following
거러 왔다	걸어 왔다	Has walked (older spelling of 걸어왔다)
이론적	이론적	Theoretical
構圖者	구도자	Architect, planner (lit. one who draws the composition)
역량	역량	Capability, capacity
못가지기 때문에	못 가졌기 때문에	Because (he) could not possess (older form)
抱負	포부	Ambition, aspiration
실현하다	실현하다	To realize, fulfill
곡절	곡절	Twists and turns, complications
격것다가	겪었다가	Having experienced and then... (older spelling of 겪었다가)
標語	표어	Slogan
내걸다	내걸다	To put up, hang out (a slogan)
맹목적인	맹목적인	Blind, indiscriminate
抗日潮流	항일조류	Anti-Japanese trend/current
교묘히	교묘히	Skillfully, cleverly
日支合作	일지합작	Sino-Japanese cooperation (支 refers to China)
機運	기운	Momentum, opportunity, climate
促成하다	촉성하다	To promote, foster, expedite
대응한	대응한	Corresponding to, responding to
현실적인	현실적인	Realistic
코-스	코스	Course (loanword)
世人	세인	The world's people, the public
勃發	발발	Outbreak (duplicate entry, see above)
희생	희생	Sacrifice
막연한	막연한	Vague, obscure
論旨	논지	Argument, point
眞意	진의	True intention, real meaning
의심케 하다	의심케 하다	To cause doubt, make suspicious (older causative form)
압도적인	압도적인	Overwhelming
었절 수 없는	어쩔 수 없는	Unavoidable, inevitable (older spelling of 어쩔)
遁辭	둔사	Evasion, pretext, rhetoric
호응하다	호응하다	To respond (positively), comply with
漂然히	표연히	Lightly, wanderlingly, aloofly
沒覺하다	몰각하다	To be oblivious to, unaware of
長期抗戰論	장기항전론	Theory/argument for long-term resistance war
群盲	군맹	Blind masses, ignorant crowd
용기	용기	Courage
희생적 정신	희생적 정신	Spirit of sacrifice
진정한	진정한	True, genuine
지도자	지도자	Leader
取하지 못할	취하지 못할	Unable to take/adopt
대담한	대담한	Bold, daring
철저한	철저한	Thorough, complete
東亞協同體	동아협동체	East Asian Cooperative Body (term used in Japanese wartime propaganda)
인식	인식	Recognition, awareness, understanding
大亞細亞主義	대아세아주의	Greater Asianism (ideology promoted by Japan)
基礎素養	기초소양	Basic grounding, fundamental knowledge/cultivation
확립되다	확립되다	To be established
현명한	현명한	Wise, sagacious
達觀	달관	Clear insight, philosophical view, enlightenment
하로밧비	하루바삐	Quickly, speedily (older spelling of 하루바삐)
갓가올 것을	가까울 것을	That (it) will be near (older spelling of 가까울)
바라마지 안는 바이다	바라마지 않는 바이다	Cannot but hope/wish earnestly
여사	여사	Madam, Mrs. (honorific for women)
知日	지일	Knowledgeable about Japan
일홈	이름	Name (older spelling of 이름)
정열	정열	Passion, ardor
품은	품은	Harboring, embracing
內助型	내조형	Supportive type (wife assisting husband)
지정하다	지칭하다	To call, designate (likely typo for 지칭)
녹아버린 자다	녹아버린 자다	Is one who melted
꾸며든 때	꾸몄던 때	When (they) fabricated/pretended
좌우하다	좌우하다	To determine, control (duplicate entry, see above)
入獄하든때	입옥하던 때	When (he) was imprisoned (older spelling/form)
約婚한	약혼한	Engaged (to be married)
累罪	누죄	Implication in a crime, involvement
무서워서	무서워서	Being afraid
파혼했든	파혼했던	Had broken off the engagement (older spelling)
獄窓	옥창	Prison window
차즌	찾은	Visited (older spelling of 찾은)
반역자	반역자	Traitor
처	처	Wife
죄명	죄명	Name of crime, charge
입을테냐	입을 테냐	Will you bear/wear (the accusation)? (older form)
뭇는 말에	묻는 말에	To the question asked (older spelling of 묻는)
滿足합니다	만족합니다	I am content/satisfied
결합	결합	Union, joining
連載	연재	Serialization (in a publication)
뒤떠러졌을지	뒤떨어졌을지	May fall short, might be inferior (older spelling of 뒤떨어졌을지)
역임햇든	역임했던	Had served successively in posts (older spelling of 역임했던)
女**	여**	Woman ** (obscured, possibly 女傑 female hero or 女權운동가 women's rights activist etc.)
당연한	당연한	Natural, rightful
政界	정계	Political world/circles
婦人界	부인계	Women's circles/world
영향	영향	Influence, effect
성명서	성명서	Statement, declaration


---------------------------


잡지명	삼천리 제11권 제7호
발행일	1939년 06월 01일
기사제목	上海서 맛난 汪兆銘 -胡汪蔣聯合時代의 그의 印象-
필자	洪陽明
기사형태	회고·수기

上海서 맛난 汪兆銘 -胡汪蔣聯合時代의 그의 印象-
						洪陽明
널븐 이마, 精彩 있고도 才氣*發할 듯한 눈. 학자와 같이 從容한 듯하면서도 鬪士와 같은 열정이 넘치는 복잡한 얼골. 이것이 汪精衛에게 받은 나의 첬 인상으로 또한 마즈막 인상이다. 때는 8년 전인 昭和6년의 11월 초순, 곳은 上海의 佛租界 白克路 汪精衛의 저택에서이다.

