Magazine Title: 삼천리 제11권 제7호
Publication Date: 1939년 06월 01일
Article Title: 劇團高協通信, 關北巡禮記 (Theater Troupe Kohyŏp Correspondence, A Pilgrimage Record of Kwanbuk)
Author: 沈影, 盧載信, 池季順氏로부터 (From Sim Yŏng, No Chae-sin, Chi Kye-sun ssi)
Article Type: 기행문 (Travelogue)

**First Letter**

We began in Wŏnsan on April 1st, toured 2,000 ri (approx. 800 km) of Kwanbuk all the way to Yongjŏng in Kando, and are now on our way back.
North Korea, seen again after about 8 years, has changed astonishingly. Among the changes, Hamhŭng, Ch'ŏngjin, Najin, and Unggi have become especially splendid, truly developed beyond recognition; in a word, all facilities have become quite civilized. However, although people say that hearts grow harsh as civilization advances, the Kwanbuk people's hearts are unchanged from past to present – generous, kind, and with a certain trustworthiness amidst their bluntness, making it a place where traveling never feels tiresome. How could one bear not to visit again? When the wild grapes and kiwis are ready to be picked, I shall surely return to witness the autumn moonrise over Ch'ŏngjin Harbor, which seems to part the sea as it rises.
Sŏ Wŏl-yŏng (from Ch'ŏngjin)

Everywhere, the children walking along the road – laughing, crying, or acting cute – especially the boys around ten years old, make me very happy. The joy of continually meeting these cute, young ones, not in the theater but newly on the roadside – I receive from them the comfort for a traveler's heart that only a father can feel. I grew attached to one such Manchurian child over two days; the little fellow clung to my coattails, saying "ch'angsi ch'angsi." On the day I left, he insisted on coming along, and had his parents not barely managed to stop him, I almost missed my train time. It seems the trouble started when I bought him a pair of rubber shoes because his were all worn out.<183> O, young ones in foreign lands, next time I want to bring plays to entertain you.
Pak Che-haeng (from Yongjŏng)

I'm worried about the recording date for "Kukkyŏng" (Border). Even so, I certainly cannot abandon the group's work midway for personal reasons. Here is Najin. After the play, I strolled along the beach, whistling far, far away towards the reflection of the emerging port's underwater palace (水中宮) on the water and the dark horizon beyond. A patrol boat (警備船) speeds past beneath my feet – this too is unrelated to my whistling. Adieu! Be well, Najin!
T'ae Ŭl-min (from Najin)

The docks – fishing boats – lighthouse – sailors – the harbor late at night – all these scenes are places my shadow once passed. But that ancient fishing village (漁村) down below is gone, and concrete houses (洋灰집) are densely packed in its place. Though only 7 or 8 years have passed, it's not that long ago, yet does it give such a feeling of drastic change (隔世之觀)? My remembered harbor… Alas, Unggi!
Chu In-gyu (from Unggi)

Although it's a long tour, it's not too arduous, because this time there is no so-called "noriuch'i" (freeloading/unplanned additions). Father, please don't worry.
Following my colleagues, I came out to Mangyangjŏng Pavilion (望洋亭), said to be more beautiful than Hae Kŭmgang. It was a bright day where one didn't feel the cold even while catching crabs and clams. We also viewed the honeycomb-like Russo-Japanese War historic site (日露戰蹟) at Pujuk (不築) from here and rested while listening to the explanations provided by the local teachers. A pleasant day!
Chi Kye-sun (from Sŏngjin)

Hurrying the connecting bus, we rushed to Nongjŏng Station (農城驛) just as the train went "Beep!". My comrades looked out with worried faces. The hot spring water was nice and the friendship was appreciated, but C-kun, your excessive kindness almost made me depart all alone.
Yu Hyŏn (from Nongjŏng Hot Spring)

"I'll pay for all the studies you want to do. Kye-sun, please become my adopted daughter," she said, hugging me tightly. That "auntie" (아즈머니), who was said to have lived alone from age 20, when she became a widow, until 40. There, in that village (Pukch'ŏng), under the dimly flickering electric light – is she still well now, three years later?
Yu Kye-sŏn (in the train)

The scene in the waiting room at Hŭngnam, waiting for the Hamhŭng-bound hire car (하이야-). English words at every turn, German words at every turn (or so it seems). Though their clothes are grease-stained factory uniforms, their heads <184> must belong to frighteningly important people.
Yi Chae-hyŏn (from Hŭngnam)

An old pine tree inside a walled enclosure, growing lying along the ground, is barely visible over the wall from the hire car (하이야-). The study (書齊) where that esteemed person (그 어른) used to study – right there is Pon'gung (本宮). It's regrettable that I cannot stop by to see it. In the square before it, a plane lands gently at Namchak (南着) airfield.
No Chae-sin (from Pon'gung)

Instead of seeing Pon'gung, we climbed Pallyongsan Ch'imadae (盤龍山 馳馬台). Elevation 2,000 ch'ŏk (feet?). Helping the women who were falling behind, we reached the summit – flat land on the mountaintop. This too is a historic site (古蹟) where that esteemed person (그 어른) used to ride swift horses. Below lies the vast Hamhŭng Plain (咸興開明). Hamhŭng truly seems like the capital of Kwanbuk, its scale is dignified.
Pak Ch'ang-hwan (from Hamhŭng)

Looking back on the traces of over a month, since it was our debut tour (處女公演), I feel there were flaws and shortcomings somewhere, and thus feel regret. Next time, I will surely make up for it. I will also come having selected more substantial scripts.
As I envision the stage for our second tour upon the gently rising spring waves, the grassy fields flickering past the train window – we have already passed Kalma (葛麻).
Sim Yŏng (Passing Wŏnsan) <185>

**Summary**

This travelogue compiles short reflections from members of the Kohyŏp theater troupe during their tour of the Kwanbuk region (northern Hamgyŏng area) and Kando in the spring of 1939. The actors describe the significant modernization and development they witness in cities like Hamhŭng, Ch'ŏngjin, Najin, and Unggi after an eight-year absence, contrasting this with the perceived unchanging generosity and sincerity of the local people. They share personal anecdotes from various locations, including interactions with locals, reflections on past memories, sightseeing excursions to places like Mangyangjŏng and a Russo-Japanese War site, and thoughts on their performances and future plans. From a historical perspective, the article offers glimpses into the Japanese colonial-era development of northern Korea's infrastructure (ports, airfields, potential industrial sites like Hŭngnam with foreign presence), the persistence of traditional culture alongside modernization, travel conditions (trains, buses/hire cars), and the experiences of traveling performers navigating this changing landscape. The mention of "that esteemed person" (그 어른) associated with historic sites like Pon'gung and Ch'imadae is intriguing and might refer to a figure significant within the colonial narrative or local history, warranting further investigation.

**Named Entities**

沈影	심영	Sim Yŏng
盧載信	노재신	No Chae-sin
池季順	지계순	Chi Kye-sun
高協	고협	Kohyŏp
關北	관북	Kwanbuk
元山	원산	Wŏnsan
間島	간도	Kando
龍井	용정	Yongjŏng
北朝鮮	북조선	North Korea (Northern part of colonial Korea)
咸興	함흥	Hamhŭng
淸津	청진	Ch'ŏngjin
羅津	나진	Najin
雄基	웅기	Unggi
徐月影	서월영	Sŏ Wŏl-yŏng
朴齊行	박제행	Pak Che-haeng
滿洲	만주	Manchuria
國境	국경	Kukkyŏng
太乙民	태을민	T'ae Ŭl-min
朱仁奎	주인규	Chu In-gyu
城津	성진	Sŏngjin
望洋亭	망양정	Mangyangjŏng
海金剛	해금강	Hae Kŭmgang
不築	부축	Pujuk
日露戰蹟	일로전적	Russo-Japanese War Historic Site
柳玄	유현	Yu Hyŏn
農城驛	농성역	Nongjŏng Station
農井溫泉	농정온천	Nongjŏng Hot Spring
劉桂仙	유계선	Yu Kye-sŏn
北靑	북청	Pukch'ŏng
李載玄	이재현	Yi Chae-hyŏn
興南	흥남	Hŭngnam
本宮	본궁	Pon'gung
南着	남착	Namchak
朴昌煥	박창환	Pak Ch'ang-hwan
盤龍山	반룡산	Pallyongsan
馳馬台	치마대	Ch'imadae
咸興開明	함흥개명	Hamhŭng Plain (or Hamhŭng Kaemyŏng)
葛麻	갈마	Kalma

**Glossary**

關北	관북	Region covering North & South Hamgyŏng Provinces (lit. 'North of the Pass')
도라	돌아	To turn, go around (older spelling of 돌아)
歸路에 就하였읍니다	귀로에 취하였습니다	Have set out on the return journey (older polite ending -읍니다 instead of -습니다)
놀납게	놀랍게	Surprisingly, astonishingly (older spelling)
훌늉하게	훌륭하게	Splendidly, magnificently (older spelling)
몰나보게	몰라보게	To the point of being unrecognizable (older spelling)
하여젔읍니다	하여졌습니다	Has become (older spelling/form of 해졌습니다)
그렇나	그러나	But, however (older spelling)
야박하여진다고들	야박하여진다고들	(People) say it becomes harsh/unkind
너그럽고	너그럽고	Generous, magnanimous
후하고	후하고	Generous, liberal (with money/goods)
무뚝뚝한	무뚝뚝한	Blunt, curt, brusque
실속스러움이	실속스러움이	Substantiality, trustworthiness, sincerity (noun form)
겨웁지 않은	겨웁지 않은	Not tiresome, not burdensome (from older verb 겹다 'be burdensome')
었지	어찌	How, why (older spelling)
차저	찾아	To find, visit (older spelling)
가오리다	가오리다	Will go (older volitional/promising form)
여나문살	열아문살	Ten-odd years old (older form combining 열 'ten' and 남은 'remaining/odd')
반값읍니다	반갑습니다	Am glad/pleased to see (older spelling/ending)
귀였고	귀엽고	Cute, lovely (older spelling)
늣기는	느끼는	Feeling (older spelling)
旅情	여정	Sentiment of travel, traveler's feelings
慰撫	위무	Consolation, comfort
디렸는데	들였는데	Became fond of, attached to (들이다 - older spelling of 들였는데)
녀석	녀석	Fellow, guy (colloquial term for a boy/man)
매달닙니다	매달립니다	Clings to (older ending)
따러	따라	Following (older spelling)
나스는데	나서는데	Sets out, comes forward (older spelling)
않었든들	않았든들	If (they) had not... (older conditional form)
노칠번 했지오	놓칠 뻔 했지요	Almost missed (older spelling; -지오 ending)
떠러젔기에	떨어졌기에	Because it was worn out (older spelling)
컬네	켤레	Pair (counter for shoes, socks)
너이를	너희를	You (plural, object form - older spelling)
錄音	녹음	Recording (sound)
그렇타고	그렇다고	Even so, nevertheless (older spelling)
거르며	거닐며	Strolling, walking leisurely
水中宮	수중궁	Underwater palace
컴컴한	캄캄한	Pitch-dark (older spelling)
멀니	멀리	Far away (older spelling)
달니는	달리는	Running, speeding (older spelling)
警備船	경비선	Patrol boat, guard ship
아디-아우!	아듀!	Adieu! Farewell! (likely transliteration)
어선	어선	Fishing boat
등태	등대	Lighthouse (older spelling/dialect)
마도로스	마도로스	Sailor (loanword, likely from Japanese マドロス via English 'matross')
深夜	심야	Deep night, late night
浦口	포구	Harbor entrance, inlet, port
太古的	태고적	Ancient, primeval
아래ㅅ마을	아랫마을	Lower village (uses older ㅅ genitive marker)
洋灰집	양회집	Concrete house (lit. 'Western ash house')
빽빽이	빽빽이	Densely, tightly packed
들안젔기란	들어앉았기란	That they have settled in / are built (older spelling/form)
隔世之觀	격세지감	Feeling that the world has changed drastically
回想	회상	Recollection, reminiscence
고되지 않은	고되지 않은	Not arduous, not painful
노리우찌	노리우찌	Freeloading, unplanned additions/disruptions (likely from Japanese のりうち, referring perhaps to people joining tour unexpectedly)
거이	게	Crab (older spelling/dialect)
잡어도	잡아도	Even catching (older spelling)
춘 줄	추운 줄	That it is cold (older spelling of 추운)
몰으는	모르는	Not knowing (older spelling)
가튼	같은	Like, similar to (older spelling)
不築	부축	Pujuk (place name)
日露戰蹟	일로전적	Russo-Japanese War Historic Site
재축질 해서	재촉질 해서	Hurrying (someone/something) up
부리야부리야	부랴부랴	Hurriedly, in a rush
다으니	닿으니	Arriving, reaching (older form of 닿으니)
동무들은	동무들은	Comrades, friends
얼굴노	얼굴로	With faces (older spelling of -로 particle)
조았고	좋았고	Was good (older spelling)
하마트면	하마터면	Almost, nearly
외따로	외따로	Alone, separately
쉬영딸	수양딸	Adopted daughter
되여다오	되어다오	Please become (older request form)
아즈머니	아주머니	Middle-aged woman, 'auntie' (older spelling)
사러왔다든	살아왔다던	(Someone) who was said to have lived (older reported speech form)
히미하게	희미하게	Dimly, faintly (older spelling)
하이야-	하이어	Hire car, taxi (loanword from 'hire')
기대리는	기다리는	Waiting (older spelling)
대합실	대합실	Waiting room
