**Header Section:**
Magazine Title: 삼천리 第十一卷 第七號
Publication Date: 1939년 06월 01일
Article Title: 新知事 人物評(一), 忠北知事 兪萬兼論 (Assessment of New Governors (1), A Discussion of Ch'ungbuk Governor Yu Man-gyŏm)
Author: 光化學人 (Kwanghwa Hagin)
Article Type: 소식 (News/Report)

**Body Text Translation:**
Assessment of New Governors
						By Kwanghwa Hagin

Provincial Magistrate (監司)! Provincial Observer (觀察使)! Provincial Governor (道知事)!
Even though the names have changed and the era is different, there's no doubt they are provincial governors, and being a provincial governor is the highest among external posts (外職), naturally marking a milestone in an official's career advancement (官吏榮達). Moreover, as today's Provincial Governorship has become the upper path for Korean officials, whether one obtains this title or not is understandably a major topic of conversation in official circles. Looking around each province, the presence or absence of such figures also has no small impact on general civil administration (民政). Since they are not executive officials (執政官) of an autocratic era (專制時代), the authority granted to them is limited, so it might seem unimportant who occupies the position. However, if politics is ultimately done by people, then changes occur in the space of their existence, and depending on whether the quality of that existence is good or bad, it cannot be denied that public resentment (民怨) and public praise (民頌) will rise and fall.

Now then! Since this spring, there have been continuous major and minor personnel changes in official circles, but the ones causing the biggest waves (波動) were the shifts of the three Provincial Governors of Ch'ungbuk, Ch'ungnam, and Kangwŏn. Now, examining the character (爲人) of Ch'ungbuk Governor Mr. Yu Man-gyŏm in order, as mentioned before, is worthwhile for two reasons, so I will write down what I know. First, regarding his education (學力) and career (履歷), Mr. Yu is 51 years old this year and a native (純) of Kyŏngsŏng. He graduated from Okayama Sixth Higher School early on, then graduated from the Faculty of Law, Department of Economics at Tokyo Imperial University. He started at the Government-General's (總督府) Agriculture Section* <1> and in January of Taishō 9 (1920), he became the County Magistrate (郡守) of Mun'gyŏng County, Kyŏngbuk Province. In February of Taishō 10 (1921), he transferred to become the Section Chief of General Affairs (庶務課長) in Kyŏngbuk Province, later serving as Section Chief of Social Affairs (社會課長) and Secretariat Manager (官房主事). In Taishō 13 (1924), he was promoted to Section Chief of Religious Affairs (宗敎課長) at the Government-General. Then again, in Shōwa 3 (1928), he was transferred to become a Provincial Councilor (參與官) in P'yŏngbuk Province. In Shōwa 5 (1930), he became Kyŏngbuk Provincial Councilor and the first Director of the Industry Department (産業部長). In Shōwa 7 (1932), he returned to the Government-General as Section Chief of Social Affairs. In Shōwa 9 (1934), he again became Provincial Councilor in P'yŏngnam Province. In Shōwa 11 (1936), he transferred repeatedly to become Provincial Councilor in Ch'ungnam Province. After serving twice as a Section Chief in the Government-General and four times as a Provincial Councilor in various provinces, he was finally promoted (陞敍) to Ch'okuninkan (勅任) rank the year before last in December, and this April, he advanced (榮進) to become Governor of Ch'ungbuk Province. Although Mr. Yu's family background (家世) may not be among the Three Han Four Clans (三韓四族), it is undoubtedly a distinguished family (名門) of the current era. His ancestors (先代) only reached the ranks of Ch'ŏngsong Prefect (靑松府使), Vice Director of the Royal Secretariat (同知中樞府知事), and Junior Attendant (叅奉), but Mr. Yu's father (父君) was none other than Mr. Yu Kil-chun (兪吉濬), a vanguard (先鋒) of enlightenment (開化) at the end of the Korean Empire (韓末). He was the first to study abroad, served as Minister of Home Affairs (內部大臣) in the Reform Cabinet (改革內閣), and when choosing his first daughter-in-law (Mr. Yu Man-gyŏm's wife), he deliberately arranged a marriage with someone from the north (北婚) from a eugenics (優生學) perspective and to break down marriage cliques (婚閥), showing that it was an enlightened family rarely seen at the time. Furthermore, Mr. Yu's paternal uncle (叔父), Mr. Sŏng-jun (星濬), also served as Governor of Kangwŏn Province, and his younger brother (季氏), Mr. Ŏk-kyŏm (億兼), is Vice Principal of Yonhŭi College (延禧專門學校) and enjoys even greater social fame, besides being the son-in-law (婿君) of Marquis Yun T'aek-yŏng (尹澤榮侯) (making him related by marriage to Emperor Sunjong (純宗)). Considering this, isn't he a young nobleman from a distinguished family, blending the old and new, second to none in this era? However, Mr. Yu—no, Mr. Yu's family—lacks the so-called aloof aristocratic (高踏的 貴族) air (香臭) and does not put on the airs of a modern celebrity (名士風). His character (性行) is extremely sincere and virtuous (淳厚), humble (謙讓), noble and pure (高潔), and calm and quiet (沈靜). He does not boast of the reputation (名望) he has already achieved, nor does he particularly seek fame and achievement (功名). From a certain perspective, he is close to being hermit-like (隱士的). While Mr. Ŏk-kyŏm has a somewhat sociable and flamboyant side, Mr. Yu lacks even this.

This is probably the absolute reason why Mr. Yu has been transferred around (轉轉) so much, to the point that it could be called demotion (左遷), until today. Firstly, his academic background is good; secondly, his family background is good; and on top of that, he has had no particular flaws or mistakes. According to standard practice (恒例), he should have already served as a provincial governor and by now be retired as an Advisor (參議) to the Central Council (中樞院). Moreover, if circumstances were slightly different, shouldn't he have served as a Bureau Director (局長) and, even if not expecting <2> a Minister (大臣) position, be occupying a Vice-Minister's (次官) chair by now? Then why did such a stagnant life, close to demotion, continue for so long? Why did he hover below the standard line, to the extent that it seemed he might have to retire (退官) without ever sitting in the Governor's chair? Of course, there must be various reasons. However, to put it briefly, I believe it might have been determined by Mr. Yu's aforementioned characteristic [plainness/modesty].

I remember an unfortunate official saying this: There are five major elements to succeed in the official world. First, Background (背景); second, X-Power (X力); third, Connections/Socializing (交際); fourth, Plainness/Subduedness (地味); fifth, Actual Ability (實力). First, you need someone above you to pull you up. If not, you need money or good social skills to achieve advancement (榮達). If you have none of these, you must be extremely plain (地味), just doing your job, stamping documents like a machine. Your actual ability is the last condition. This remark, a bitter laugh (苦笑) at the ways of the world and human nature (世態人情) by an unlucky man, may not perfectly describe today's officialdom, but while seeming somewhat untrue in parts, it's not entirely devoid of truth. And there's a particular subtlety to this "Plainness" (地味); this "Plainness" certainly doesn't mean ordinary plainness. If so, I won't point out which category Mr. Yu falls into, but when comparing and combining the "Plainness" as one of these five elements with Mr. Yu's "Plainness," perhaps there is something significant there.

There are many people in the world anxious (焦燥) for advancement (榮達). Consequently, due to this ambition, they often undertake unreasonable (無理) actions, leading to their own downfall (敗退) first and causing harm (害毒) to society. When officials act this way, the harm affects the populace more than themselves, because administration in such cases cannot become good governance (善政). Politics must not involve excess or unreasonableness (無理). Regardless of the political system, administration cannot be conducted apart from the people. How much less can good governance be achieved by putting on airs for the sake of one individual's fame (功名)? Trying to forcibly reverse (逆行) or obstruct (防沮) the flowing mainstream is unreasonable. Even when a shepherd (牧羊者) drives his flock (羊群), he must match the sheep's pace and lead the group forward smoothly (順進). (Continued on page 18) <3>
The duty of a governor ruling the people (牧民官) is similar. Since even reform (革新) cannot be forced, how can routine administration be carried out unreasonably? Often, people intoxicated with self-advancement (自我榮進) try to push through unreasonable things that are out of step with the times and detached from public sentiment. In Mr. Yu's case, such unreasonableness (無理) (original text has blank space) could absolutely not be brought about by him, nor will he bring it about. Furthermore, regarding any administrative policy (施政), Mr. Yu, precisely because he is a Korean Governor, will not repeatedly do unexpectedly excessive things that might mislead the populace.

Ch'ungbuk Province is the smallest province in Korea, but its people's hearts and terrain are calm and quiet (溫靜). It's a place without much talk or incident. It might be a region suited (等分) to Mr. Yu's personality. One hopes that Mr. Yu's plainness (地味性) will align with everything in this province, allowing his unique (original text has blank space) [approach/style], characterized by "action within stillness" (靜中之動), to be further displayed, and that the way of governing where "the villages are untroubled, the officials are untroubled" (村無事官無事) will be pioneered. And if his slowness (遲遲) until today and his current position are indeed due to that "Plainness" (地味), then I can only request and expect that Mr. Yu will further cultivate that "Plainness" in its positive sense, leading to continued, unforced further distinction (餘榮).
=Apologies for any presumptuous words= <18>

**Summary**

This 1939 article profiles Yu Man-gyŏm, the newly appointed Governor of North Chungcheong Province (Ch'ungbuk). The author details Yu's elite background (son of Yu Kil-chun, educated at Tokyo Imperial University, related to the former royal family) and his long career path, marked by numerous transfers but slow advancement compared to his peers. The author attributes this perceived "stagnation" to Yu's personality – described as humble, quiet, sincere, and "plain" (地味), lacking ambition for personal glory. This trait is presented positively, contrasting with potentially corrupt or overly zealous officials. The author suggests Yu's subdued nature fits the quiet Ch'ungbuk province and hopes he will govern moderately and effectively ("action within stillness," "villages untroubled, officials untroubled"), avoiding the excessive actions some Korean officials might take to prove loyalty.

For historians, the article offers insights into the colonial bureaucracy's dynamics, perceptions of Korean officials within it, and the criteria (both explicit and implicit, like "plainness" or "X-Power") considered for advancement. The cynical view of official success (requiring background, influence/money, connections, plainness, or actual ability, in that order) and the specific mention of Yu Kil-chun's progressive views on marriage (eugenics, breaking regional barriers) are particularly revealing about social and political currents of the time. The nuanced portrayal of a high-ranking Korean official navigating the colonial system provides valuable context.

**Named Entities**

忠北	충북	Ch'ungbuk (North Chungcheong Province)
兪萬兼	유만겸	Yu Man-gyŏm
光化學人	광화학인	Kwanghwa Hagin (Author's pen name)
監司	감사	Kamsa (Provincial Magistrate - historical title)
觀察使	관찰사	Kwanch'alsa (Provincial Observer - historical title)
道知事	도지사	Tojisa (Provincial Governor)
朝鮮	조선	Chosŏn (Korea)
忠南	충남	Ch'ungnam (South Chungcheong Province)
江原	강원	Kangwŏn (Gangwon Province)
京城	경성	Kyŏngsŏng (Seoul, colonial name)
岡山第六高等學校	오카야마 제육고등학교	Okayama Sixth Higher School
東京帝大	동경제대	Tokyo Imperial University (Tōkyō Teidai)
總督府	총독부	Ch'ongdokpu (Government-General)
慶北	경북	Kyŏngbuk (North Gyeongsang Province)
聞慶	문경	Mun'gyŏng
平北道	평북도	P'yŏngbuk Province (North Pyeongan Province)
慶北參與官	경북참여관	Kyŏngbuk Provincial Councilor
産業部長	산업부장	Director of the Industry Department
平南道	평남도	P'yŏngnam Province (South Pyeongan Province)
忠南道	충남도	Ch'ungnam Province (South Chungcheong Province)
勅任	칙임	Ch'ingnim (Imperial appointment rank)
靑松府使	청송부사	Ch'ŏngsong Prefect (Historical official title)
同知中樞府知事	동지중추부지사	Vice Director of the Royal Secretariat (Historical title)
叅奉	참봉	Ch'ambong (Junior Attendant - historical title)
兪吉濬	유길준	Yu Kil-chun
韓末	한말	Hanmal (End of the Korean Empire period)
改革內閣	개혁내각	Kaehyŏk Naegak (Reform Cabinet, likely referring to Gabo Reform era)
內部大臣	내부대신	Naebu Taesin (Minister of Home Affairs)
兪星濬	유성준	Yu Sŏng-jun
江原道知事	강원도지사	Kangwŏn Provincial Governor
兪億兼	유억겸	Yu Ŏk-kyŏm
延禧專門學校	연희전문학교	Yonhŭi College (Predecessor of Yonsei University)
尹澤榮侯	윤택영 후	Marquis Yun T'aek-yŏng
純宗	순종	Sunjong (Emperor Sunjong)
中樞院	중추원	Chungch'uwŏn (Central Council of the Government-General)

**Glossary**

일홈	이름	Name (older spelling)
밖귀었다	바뀌었다	Changed (older spelling)
안타	않다	Not (older spelling/form of 않다)
만흔	많은	Many (older spelling)
조코	좋고	Good and... (older spelling)
나뿐	나쁜	Bad (older spelling)
나즐	낮을	Low (older spelling)
컷든	컸던	Was big (older spelling)
가잀•은	가세는	Family background is... (older spelling/form for 가세는)
안는다	않는다	Does not (older spelling/form of 않는다)
아모	아무	Any (older spelling)
안젔을	앉았을	Would have sat (older spelling)
안저	앉아	Sit (older spelling/form of 앉아)
만치	만큼	As much as (older spelling)
안었든가	않았든가	Was it not...? (older spelling)
그러치	그렇지	That way / If not (older spelling)
아조	아주	Very, extremely (older spelling)
앉었거나	앉았거나	Or sat (older spelling)
끗가는	끝가는	Final, last (older spelling)
반다시	반드시	Surely, certainly (older spelling)
그러타고는	그렇다고는	That it is so... (older spelling)
구석에고	구석이고	Is a corner and... (older spelling)
만타	많다	Many, much (older spelling)
기치는	끼치는	Inflicting, causing (older spelling)
미진다	미친다	Affects, reaches (older spelling)
맛지	맞지	Does not fit/match (older spelling)
안코	않고	Not doing and... (older spelling)
가저올	가져올	Will bring (older spelling)
안으리라	않으리라	Will not do (older spelling)
하야	하여	Doing, as (older spelling/form of 하여)
맛추워서	맞추어서	Matching, adjusting to (older spelling)
爲人	위인	Character, personality
外職	외직	External post (position outside the capital)
官吏榮達	관리영달	Official's career advancement/glory
民政	민정	Civil administration
專制時代	전제시대	Autocratic era
執政官	집정관	Executive official
民怨	민원	Public resentment/grievance
民頌	민송	Public praise
波動	파동	Waves, fluctuations, disturbances
履歷	이력	Personal history, career record
總督府	총독부	Government-General (Japanese colonial ruling body)
參與官	참여관	Provincial Councilor (Colonial era position)
勅任	칙임	Ch'okuninkan rank (High rank appointed directly by the Emperor)
陞敍	승서	Promotion (in official rank)
榮進	영진	Advancement, promotion (often used for prestigious positions)
家世	가세	Family background, lineage
名門	명문	Distinguished family
先代	선대	Ancestors, previous generations
父君	부군	Father (honorific)
韓末	한말	End of the Korean Empire (approx. 1890s-1910)
開化	개화	Enlightenment, modernization
先鋒	선봉	Vanguard, pioneer
優生學	우생학	Eugenics
婚閥	혼벌	Marriage clique, powerful families connected by marriage
叔父	숙부	Paternal uncle
季氏	계씨	Younger brother (formal)
婿君	서군	Son-in-law (honorific)
高踏的	고답적	Aloof, high-flown, detached from reality
香臭	향취	Air, atmosphere, smell (here implying 'aristocratic air')
名士風	명사풍	Air/style of a famous person or celebrity
性行	성행	Character, disposition, conduct
淳厚	순후	Sincere, honest, virtuous
謙讓	겸양	Humility, modesty
高潔	고결	Noble, pure, lofty
沈靜	침정	Calm, quiet, serene
名望	명망	Reputation, fame
功名	공명	Fame and achievement, merit
隱士的	은사적	Hermit-like, reclusive
左遷	좌천	Demotion, relegation to a lower post
恒例	항례	Standard practice, custom
中樞院 參議	중추원 참의	Advisor to the Central Council (Colonial advisory body)
局長	국장	Bureau Director
次官	차관	Vice-Minister
退官	퇴관	Retirement from office
背景	배경	Background (social, family)
交際	교제	Socializing, connections, association
地味	지미	Plainness, simplicity, subduedness (originally Japanese 'jimi')
實力	실력	Real ability, competence
世態人情	세태인정	Ways of the world and human nature
苦笑	고소	Bitter smile, wry smile
榮達	영달	Advancement, success, glory
焦燥	초조	Impatience, anxiety, fretfulness
無理	무리	Unreasonable, excessive, forced
敗退	패퇴	Defeat, downfall, retreat
害毒	해독	Harm, poison, evil influence
善政	선정	Good governance
逆行	역행	Going against, retrogressing
防沮	방저	Obstruct, hinder
牧羊者	목양자	Shepherd
羊群	양군	Flock of sheep
牧民官	목민관	Governor ruling the people (traditional term)
革新	혁신	Reform, innovation
自我榮進	자아영진	Self-advancement, personal ambition for glory
施政	시정	Administration, policy implementation
溫靜	온정	Warm and quiet, gentle and calm
等分	등분	Equal share, suited (in this context)
靜中之動	정중지동	Action within stillness (idiom: quiet but effective action)
村無事官無事	촌무사관무사	Villages untroubled, officials untroubled (ideal state of governance)
遲遲	지지	Slowness, delay, tardiness
餘榮	여영	Further honor/glory


---------------------------


잡지명	삼천리 제11권 제7호
발행일	1939년 06월 01일
기사제목	新知事 人物評(一), 忠北知事 兪萬兼論
필자	光化學人
기사형태	소식

新知事 人物評
						光化學人
監司 觀察使 道知事!
그 일홈이 변하고 시대가 밖귀었다 해도 한 지방장관임에는 틀림없고 지방장관이면 外職으로서는 최고가 되고 보매 官吏榮達의 한 표적이 되는 것은 물론이다. 더구나 오늘의 道知事는 朝鮮人 관리의 웃층의 길이 되고 보니 그 직함 하나를 얻고 못 얻는 것이 官界에 있어서 큰 화제가 되는 것도 당연한 일이다. 각 도를 한번 도르켜 보아도 그 존재의 如何는 일반 民政에 미치는 영향이 또한 적지 안타. 專制時代의 執政官이 아닌 이상 그에 부여된 권한이 한정되어 있으므로 그 職席을 차지하는 자 誰何임을 가히 擇할 바 못되는 듯도 하지많은 정치도 결국 사람이 하는 것이라면 그 존재의 공간에 변동이 생기고 그 존재의 質이 조코 나뿐 데 따라서 民怨과 民頌이 높고 나즐 것도 부정할 수 없다.
