Rank	Word	Frequency
1	하야	547
2	말	511
3	나	444
4	사람	315
5	생각	280
6	그것	269
7	우리	233
8	가지	153
9	자기	139
10	위기	135
11	지금	131
12	섯다	123
13	눈	120
14	다시	115
15	인간	114
16	집	112
17	하나	110
18	기사	108
19	생활	104
20	소리	101
21	종혁씨	99
22	마음	98
23	까닭	97
24	하엿다	96
25	무엇	92
26	계급	92
27	로서	89
28	朝鮮	87
29	무슨	86
30	지식	85
31	그때	83
32	문화	81
33	문제	80
34	소위	79
35	발행	76
36	사실	76
37	세계	75
38	보고	72
39	진구	72
40	또한	71
41	때문	69
42	대한	68
43	잡지	66
44	형태	66
45	모양	66
46	세자	65
47	머리	64
48	아모	64
49	손	62
50	입	61
51	제목	59
52	사회	59
53	누구	56
54	리하	56
55	너	56
56	제호	54
57	모든	54
58	경이	54
59	개벽	53
60	신간	53
61	다른	53
62	서방	53
63	동안	52
64	당신	52
65	一葉	52
66	발	51
67	이야기	51
68	다만	50
69	일이	50
70	이상	50
71	듯이	48
72	얼골	48
73	자긔	48
74	수가	47
75	한번	47
76	서서	47
77	의미	46
78	다가	46
79	안이	45
80	불안	45
81	대하	44
82	이오	44
83	이란	44
84	운동	44
85	선생님	44
86	고민	44
87	하니	43
88	존재	43
89	식이	43
90	獨逸	43
91	승호	43
92	보아	42
93	여러	42
94	가장	42
95	하든	41
96	사랑	41
97	얼마나	41
98	서로	41
99	가치	41
100	남편	41
101	佛國	41
102	세상	40
103	가티	40
104	자리	40
105	그대로	40
106	이제	40
107	만일	40
108	되엿다	40
109	대답	40
110	나라	40
111	자네	40
112	아래	39
113	물	38
114	반대	37
115	日本	37
116	그냥	37
117	잇슬	37
118	모도	37
119	危機	37
120	필자	36
121	동시	36
122	정치	36
123	누가	36
124	가슴	36
125	로써	35
126	태도	35
127	먼저	35
128	안코	35
129	이나	35
130	역시	35
131	시작	35
132	다음	35
133	자신	34
134	국가	34
135	당시	34
136	동궁	34
137	거리	33
138	武后	33
139	행동	32
140	그대	32
141	얼마	32
142	학생	32
143	아들	32
144	사이	32
145	낫다	32
146	하드	31
147	더욱	30
148	현재	30
149	주인	30
150	학교	30
151	정책	30
152	한편	30
153	여긔	30
154	어머니	30
155	武氏	30
156	혼자	30
157	읍니	30
158	모순	30
159	안해	29
160	리박사	29
161	겨우	28
162	鈴木	28
163	경제	28
164	어듸	28
165	도야지	28
166	발전	28
167	사업	28
168	기침	28
169	주장	27
170	시대	27
171	정신	27
172	위해	27
173	일반	27
174	저서	27
175	문희	27
176	마누라	27
177	보기	26
178	불	26
179	生産費	26
180	시간	26
181	소식	25
182	조금	25
183	결정	25
184	로부터	25
185	매우	25
186	오히려	25
187	정도	25
188	처음	25
189	최근	25
190	가운	25
191	대해	25
192	점점	25
193	中國	25
194	밥	25
195	이의	25
196	파리	25
197	대립	25
198	정부	24
199	라면	24
200	간다	24
201	바로	24
202	영국	24
203	皇后	24
204	남자	24
205	녀자	24
206	蘇聯	24
207	이요	23
208	조직	23
209	잇스	23
210	상태	23
211	필요	23
212	지방	23
213	거름	23
214	바람	23
215	그러케	23
216	英國	23
217	계속	23
218	스스로	23
219	乙亥	23
220	朝鮮銀行	23
221	공군	23
