Magazine Title: 개벽 신간 제3호
Publication Date: 1935-01-01
Article Title: 文壇往來 (Literary Scene Comings and Goings)
Article Type: 잡저 (Miscellaneous Writing)

Literary Scene Comings and Goings

For a while, Sŏngbuk-tong was called the "Writers' Village," but recently, the area outside Ch'angŭimun Gate is becoming the Writers' Village. In Sŏngbuk-tong are Messrs. Kim Ŏk, Yi T'ae-jun, No Cha-yŏng, Kim Ki-jin, etc., and outside Ch'angŭimun Gate are Messrs. Yi Kwang-su, Hyŏn Chin-gŏn, Ŏm Hŭng-sŏp, Song Yŏng, etc. So to speak, there's the Eastern Writers' Village and the Western Writers' Village. In the old days, it might have been worth having a "factional fight" (편쌈), but since the figures involved are literary men, martial spirit is strictly forbidden, though a competition of literary skill might be worth trying sometime. It's regrettable that the Western Writers' Village lacks a poet, and it's lonely that the Eastern Writers' Village has only one poet.

×

Speaking of things outside the gate, not only has the area outside Ch'angŭimun Gate been famous as Chosŏn's fruit tree region since old times, but its landscape is bright and clear, and especially, the drinking water is good, so it is said that there is no disease and digestion is good—that is its characteristic. However, recently Mr. Ŏm Hŭng-sŏp has been suffering from indigestion, his face is unbelievably thin, and on top of that, he's suffering from a stye in his eye. It seems even the miraculous spring water is ineffective. From what I gather, it appears this illness arose because he's been writing too many manuscripts lately.

×

Poet Pak P'al-yang and novelist Yi T'ae-jun are both department heads at the Chosŏn Chungang Ilbosa newspaper—one is the Social Affairs Department head, the other the Arts and Culture Department head. Recently, there have been absolutely no works published by them, making one curious. According to inquiries, the company's regulations strictly prohibit its employees from writing for other publications. Therefore, when these two are requested for manuscripts from other magazines, they reportedly refuse them all. While this might be good for the company, it's a problematic issue for the literary world.＜100＞

×

A certain newspaper company recruited prize-winning novels for last year's New Year's issue, selected first and second prize winners for full-length novels respectively, and even announced them with great fanfare. However, for a certain Mr. [X] who won second prize, even today, a year later, they haven't sent the prize money, nor even a postcard, and they also haven't published the work. The author became so anxious that his patience ran out. Around last December, he came up to Seoul, visited the person in charge at the company, and explained the situation. The person in charge showed no sign of apology and reportedly refused, saying they could neither give the prize money nor publish the work. The reason given was that there had been changes within the company during that time, the person in charge had also changed, and consequently, the content of the work had become difficult to publish. However, the president is the same person, and the company is the same company. If they avoid fulfilling the company's responsibility to society just because some reporters changed, is that permissible? This too is a major disgraceful incident in the literary world.

×

Recently, it seems Mr. Chŏng Chi-yong is not writing poetry. Since he recited "Straits, Two in the Afternoon" (海峽午后二時) hosted by the Group of Nine (九人會) last year, there has been no news at all. When someone curiously asked, he replied, "Isn't it that poetry isn't something you write anytime, but only when inspiration strikes?" Before the chalk dust starts looking like white snow every day, life is dry and tasteless, so his lamentation about lacking inspiration also has a point.

×

Muae, Mr. Yang Chu-dong, who for a while waged debates, must be busy with school affairs, and in recent years, his face cannot be seen. Also, why is it that we cannot see any poetry from him after "The Pulse of Chosŏn" (朝鮮의 脈博)? Given the already weak state [of the literary scene], it is true that the literary world's loneliness will grow as people retire one by one like this. Is there no preparation for a comeback in the New Year?

＜100-101＞

**Summary**

This article from 1935 provides gossip and commentary on the Korean literary scene ("mundan"). It notes the geographical clustering of writers into "Writers' Villages" in Sŏngbuk-tong and outside Ch'angŭimun Gate, listing prominent figures in each. It shares anecdotes about writers' health (Ŏm Hŭng-sŏp's illness from overwork), professional constraints (Chosŏn Chungang Ilbo preventing its writers Pak P'al-yang and Yi T'ae-jun from publishing elsewhere), frustrations (a newspaper failing to award prize money or publish a winning novel), and inactivity (Chŏng Chi-yong and Yang Chu-dong not producing new work), expressing concern over the "poverty" and "loneliness" of the literary field. Historically, the article offers insights into the social geography of intellectuals in colonial Seoul, the economic pressures and institutional controls faced by writers (newspaper policies, prize scandals), and a contemporary sense of anxiety about the vitality and future of Korean literature during this period. The casual mention of writers' health and creative blocks alongside institutional problems paints a picture of the precariousness of literary life.

**Named Entities**

城北洞	성북동	Sŏngbuk-tong
金億	김억	Kim Ŏk
李泰俊	이태준	Yi T'ae-jun
盧子泳	노자영	No Cha-yŏng
金基鎭	김기진	Kim Ki-jin
彰義門外	창의문외	Ch'angŭimun-oe
李光洙	이광수	Yi Kwang-su
玄鎭健	현진건	Hyŏn Chin-gŏn
嚴興燮	엄흥섭	Ŏm Hŭng-sŏp
宋影	송영	Song Yŏng
東部	동부	Tongbu (Eastern Part)
西部	서부	Sŏbu (Western Part)
朝鮮	조선	Chosŏn (Korea)
朴八陽	박팔양	Pak P'al-yang
朝鮮中央日報社	조선중앙일보사	Chosŏn Chungang Ilbosa (Chosŏn Central Daily News Company)
某新聞社	모신문사	Mo Sinmunsa (A Certain Newspaper Company)
鄭芝鎔	정지용	Chŏng Chi-yong
九人會	구인회	Kuinhoe (Group of Nine)
無涯	무애	Muae (Pseudonym of Yang Chu-dong)
梁柱東	양주동	Yang Chu-dong

**Glossary**

文壇往來	문단왕래	Literary scene comings and goings
文士村	문사촌	Writers' Village
近間	근간	Recently, lately
편쌈	편쌈	Factional fight, group strife (older term)
武氣	무기	Martial spirit, bellicosity
大禁物	대금물	Strictly forbidden thing
文筆競爭	문필경쟁	Literary skill competition
遺憾	유감	Regrettable
孤獨	고독	Loneliness, solitude
門박	문밖	Outside the gate (older spelling/colloquialism for 문밖)
朝鮮果樹地	조선과수지	Chosŏn's fruit tree region/area
山水	산수	Landscape (mountains and water)
明朗	명랑	Bright and clear
飮料水	음료수	Drinking water
疾病	질병	Disease, illness
消火	소화	Digestion
特色	특색	Characteristic, special feature
消化不良	소화불량	Indigestion
끌걱거리다	끌걱거리다	To suffer, to ail (onomatopoeic/descriptive)
말너서 말이 아닌데	말라서 말이 아닌데	To be unbelievably thin (idiomatic expression using older spelling '말너서' for '말라서')
눈대래끼	눈다래끼	Stye (in the eye) (older spelling/form)
靈泉藥水	영천약수	Miraculous spring water, medicinal spring water
無效	무효	Ineffective, invalid
原稿	원고	Manuscript
病	병	Illness, disease
詩人	시인	Poet
小說家	소설가	Novelist
學藝部長	학예부장	Arts and Culture Department Head
作品發表	작품발표	Publication of works
굼금하다	궁금하다	To be curious (older spelling '굼금하다')
探聞한바에 依하면	탐문한 바에 의하면	According to inquiries/investigation
社의 規正	사의 규정	Company's regulations
自己社	자기사	One's own company
出版物	출판물	Publication
執筆	집필	Writing (for publication)
嚴禁	엄금	Strict prohibition
雜誌	잡지	Magazine
一切	일절	Entirely, completely, all
謝絶하다	사절하다	To refuse, decline
文藝界	문예계	Literary world, artistic circles
問題꺼리	문제꺼리	Problematic issue, matter of concern (꺼리 is a colloquial suffix)
昨年新年號	작년신년호	Last year's New Year issue
懸賞小說	현상소설	Prize novel (novel submitted for a prize competition)
募集	모집	Recruitment, collection (of submissions)
長篇小說	장편소설	Full-length novel
大書特筆	대서특필	Giving great prominence (in writing/reporting), featuring prominently
當選	당선	Winning (a prize/election)
賞金	상금	Prize money
葉書	엽서	Postcard
作者	작자	Author
忍術	인술	Patience, endurance (lit. art of patience)
有限	유한	Limited
上京	상경	Going up to the capital (Seoul)
責任者	책임자	Person in charge, responsible person
事情	사정	Circumstances, situation
未安	미안	Sorry, apologetic (Hanja used for 미안하다)
氣色	기색	Look, expression, sign
亦是	역시	Also, too, as expected
拒絶	거절	Refusal, rejection
理由	이유	Reason
社內	사내	Within the company
變動	변동	Change, fluctuation
갈리엿으며	갈렸으며	Was changed, was replaced (older spelling/form of 갈렸으며)
따러서	따라서	Consequently, therefore (older spelling of 따라서)
內容	내용	Content
發表	발표	Publication, announcement
履行	이행	Fulfillment, implementation
一大不祥事	일대불상사	A major disgraceful incident/scandal
詩作	시작	Writing poetry
主催	주최	Hosting, sponsoring
朗讀	낭독	Recitation, reading aloud
最後	최후	The last, final
消息	소식	News
感興	감흥	Inspiration, artistic feeling
분필가루	분필가루	Chalk dust
白雪	백설	White snow
