Magazine Title: 東光 第39호
Publication Date: 1932년 11월 01일 (November 1, 1932)
Article Title: 月刊風景 (Monthly Scene)
Author: Unspecified
Article Type: 소식 (News/Updates)

Monthly Scene

**Emergence of Writers from Ewha**
Following the recent boom in the magazine world, many new female writers are emerging, and among them, graduates from Ewha Womans College (梨花專門), Chosŏn's only women's college, are coming to the fore. These include the female poet Mo Yun-suk (毛允淑); Kim Cha-hye (金慈惠), a reporter for "Shintōa" (新東亞); Son Ch'o-ak (孫楚岳), who was briefly with "P'ip'an" (批判); Hong Hye-do (洪惠道), Cho Hyŏn-gyŏng (趙賢景), Pak Ŭn-hye (朴恩惠), Ch'oe I-kwŏn (崔以權), and Chu Su-wŏn (朱壽元), who formed the writing team for "Yŏron" (女論); and Pak Kil-lae (朴吉來), who was briefly associated with "Tonggwang" (東光). In addition to these Ewha graduates, the writings of Kim Yŏng-ŭi (金英義) and No Tae-myŏng (盧大命) are also occasionally seen, truly making for a gathering of many talents (多士濟濟). We hope that truly outstanding writers will emerge from among them.

**Mr. Kim Ki-jŏn's Illness**
Mr. Kim Ki-jŏn (金起田), sobriquet Soch'un (小春), former head of the Ch'ŏndogyo Youth Party (天道敎靑年黨), current advisor to the Ch'ŏngudang (靑友黨), a heavyweight of the Ch'ŏndogyo New Faction (天道敎 新派), and a fighter for the same new group, was recuperating from a lung ailment in the Kŭmgang Mountains (金剛山). However, his condition did not improve, and in September, he returned to Kyŏngsŏng (京城) and was admitted to the Medical College Hospital (醫專病院). The trust and expectations placed in him extend beyond the confines of the church, and thus we eagerly await the day of his swift recovery.

**Cho Pong-am Arrested**
Cho Pong-am (曺奉岩), one of the founders of the Chosŏn Communist Youth League (朝鮮共産黨靑年會) and a cadre of the Communist Party (共産黨), is said to have been arrested (被促) in Shanghai Park and will soon be escorted back to Chosŏn. Cho Pong-am was born in Kanghwa (江華) and worked at the county office. He participated in the Manse Incident (萬歲事件) in the Kimi year (己未年, 1919), and later, his participation as a representative when the first Communist Party congress for Chosŏn was held in Irkutsk (일크추크) is said to have been his first step into the communist movement. This Irkutsk Congress was the very meeting that caused the split between the Irkutsk Faction (伊市派) and the Shanghai Faction (上海派), and since then, he has been identified as a member of the Irkutsk Faction. Afterwards, he studied at the Communist University of the Toilers of the East (勞働大學) in Irkutsk, secretly entered Chosŏn, became a member of the Tuesday Society (火曜會) and a promoter of the Sinhŭng Youth Alliance (新興靑年同盟), and then, at the time of the first founding of the Communist Party, became a founder and cadre of the Communist Youth League along with Im Wŏn-gŭn (林元根) and Kim Tan-ya (金丹冶). Later, he went to Moscow (莫斯科) with Cho Tong-u (趙東祐) to seek Party recognition, but as the secret organization was discovered in Chosŏn and all cadres were arrested, he was forced to live abroad. In Shanghai, he used the alias Pak Ch'ŏl-hwan (朴鐵煥), lived with his beloved wife before separating, and later married a new wife, an Ewha graduate, with whom he remains to this day. It is said that his elderly mother, younger sister, and one child he had back home all passed away years ago, which truly exemplifies the tragedy of life in exile.

**Mr. Han Ki-ak's Hospitalization**
Mr. Han Ki-ak (韓基岳), sobriquet Wŏlpong (月峰), former Executive Director and long-time Editor-in-Chief of the Chosun Ilbo (朝鮮日報), is reportedly hospitalized and undergoing treatment at Hyŏphwa Hospital (協和病院) for extreme nervous exhaustion. This is perhaps due to the excessive strain from leading the employees' association in a solitary struggle (孤軍奮鬪) over the newspaper's copyright issue. Many sympathize, wondering how much the normally gentle Mr. Han must have agonized over the complex problem to reach such a state. <20>

**Summary**

This "Monthly Scene" article from November 1932 reports on several notable figures. It highlights the increasing number of female writers emerging from Ewha Womans College, listing prominent names like Mo Yun-suk and Kim Cha-hye. It also updates readers on the health of Kim Ki-jŏn, a key figure in the Ch'ŏndogyo New Faction, who is hospitalized for a lung ailment. A significant portion details the arrest of communist leader Cho Pong-am in Shanghai and his impending transfer to Korea, recounting his background in the communist movement, his association with the Irkutsk faction, and personal tragedies faced in exile. Finally, it notes the hospitalization of Han Ki-ak, former Chosun Ilbo executive, due to stress from newspaper-related conflicts. For historians, this article offers valuable insight into the burgeoning female intellectual scene connected to Ewha, the internal dynamics and key figures within the Ch'ŏndogyo religion's factions, the activities and suppression of early Korean communists like Cho Pong-am (including factional splits and ties to Moscow/Irkutsk), and the pressures faced by Korean journalists and media outlets under colonial rule.

**Named Entities**

梨花	이화	Ewha
毛允淑	모윤숙	Mo Yun-suk
新東亞	신동아	Shintōa
金慈惠	김자혜	Kim Cha-hye
批判	비판	P'ip'an
孫楚岳	손초악	Son Ch'o-ak
女論	여론	Yŏron
洪惠道	홍혜도	Hong Hye-do
趙賢景	조현경	Cho Hyŏn-gyŏng
朴恩惠	박은혜	Pak Ŭn-hye
崔以權	최이권	Ch'oe I-kwŏn
朱壽元	주수원	Chu Su-wŏn
東光	동광	Tonggwang
朴吉來	박길래	Pak Kil-lae
梨專	이전	Ewha Womans College (Abbr. for 梨花專門學校)
金英義	김영의	Kim Yŏng-ŭi
盧大命	노대명	No Tae-myŏng
金起田	김기전	Kim Ki-jŏn
天道敎靑年黨	천도교청년당	Ch'ŏndogyo Youth Party
靑友黨	청우당	Ch'ŏngudang
天道敎 新派	천도교 신파	Ch'ŏndogyo New Faction
小春	소춘	Soch'un (Kim Ki-jŏn's sobriquet)
金剛山	금강산	Kŭmgang Mountains
京城	경성	Kyŏngsŏng (Colonial name for Seoul)
醫專病院	의전병원	Medical College Hospital
曺奉岩	조봉암	Cho Pong-am
朝鮮共産黨靑年會	조선공산당청년회	Chosŏn Communist Youth League
共産黨	공산당	Communist Party
上海	상해	Shanghai
朝鮮	조선	Chosŏn (Korea)
江華	강화	Kanghwa
己未年	기미년	Kimi Year (1919)
일크추크	이르쿠츠크	Irkutsk
伊市派	이시파	Irkutsk Faction
上海派	상해파	Shanghai Faction
勞働大學	노동대학	Communist University of the Toilers of the East (Lit. Labor University)
火曜會	화요회	Tuesday Society
新興靑年同盟	신흥청년동맹	Sinhŭng Youth Alliance
林元根	임원근	Im Wŏn-gŭn
金丹冶	김단야	Kim Tan-ya
趙東祐	조동우	Cho Tong-u
莫斯科	모스크바	Moscow
朴鐵煥	박철환	Pak Ch'ŏl-hwan (Cho Pong-am's alias)
韓基岳	한기악	Han Ki-ak
朝鮮日報	조선일보	Chosun Ilbo
月峰	월봉	Wŏlpong (Han Ki-ak's sobriquet)
協和病院	협화병원	Hyŏphwa Hospital

**Glossary**

文人輩出	문인배출	Emergence of literary figures/writers
活況	활황	Boom, lively condition
女子專門學校	여자전문학교	Women's college (older term)
擡頭	대두	Rising to prominence, emerging
筆陣	필진	Writing team, lineup of writers
因緣	인연	Connection, relation, tie
散見	산견	Seen here and there, scattered sightings
多士濟濟	다사제제	A gathering of many talented people (idiom)
出衆	출중	Outstanding, distinguished
病勢	병세	Condition of an illness
黨頭	당두	Party head, leader
顧問	고문	Advisor
重鎭	중진	Heavyweight, influential figure
鬪士	투사	Fighter, militant activist
肺患	폐환	Lung ailment, tuberculosis
靜養中	정양중	While recuperating/resting quietly
덜리지 아니하야	덜리지 아니하여	Did not improve (older negative conjugation)
醫專病院	의전병원	Medical College Hospital (Abbr. of 의학전문학교 부속병원)
信望	신망	Trust and respect
期待	기대	Expectation, anticipation
快差	쾌차	Recovery (from illness)
苦待	고대	Eagerly await
被促	피촉	Being arrested/captured (older term for 피체/체포)
創立者	창립자	Founder
幹部	간부	Cadre, executive member
護送	호송	Escort, transport under guard
郡廳	군청	County office
勤務	근무	Work, service
己未年	기미년	Year Kimi (1919) in the sexagenary cycle
萬歲事件	만세사건	Manse Incident (March 1st Movement, 1919)
參加	참가	Participation
代表	대표	Representative
加入	가입	Joining, entering
첫거름	첫걸음	First step (older spelling)
分立	분립	Splitting, separating
以來	이래	Since then
指稱	지칭	Being referred to as, designated
修學	수학	Study, pursue learning
潛入	잠입	Infiltrate, secretly enter
發起人	발기인	Promoter, initiator (of an organization)
當時	당시	At that time
承認	승인	Recognition, approval
秘密結社	비밀결사	Secret society/organization
發見	발견	Discovery
눌러	눌러	Forced to, consequently (in this context, stay)
變名	변명	Alias, assumed name
同棲	동서	Living together
離別	이별	Separation, parting
老母	노모	Elderly mother
亡命生活	망명생활	Life in exile
如實히	여실히	Truly, vividly, realistically
專務理事	전무이사	Executive Director
編輯局長	편집국장	Editor-in-Chief
版權問題	판권문제	Copyright issue
社員會	사원회	Employees' association
孤軍奮鬪	고군분투	Fighting alone against odds, solitary struggle
시달린 까닭인지	시달린 까닭인지	Perhaps because of being worn out/harrassed
極度	극도	Extreme degree
神經衰弱	신경쇠약	Nervous exhaustion, neurasthenia
目下	목하	Currently, at present
治療中	치료중	Undergoing treatment
