**Header Section:**
Magazine Title: 동광 제39호
Publication Date: 1932년 11월 01일
Article Title: 快活과 社交性이 豊富한 米國女學生의 생활 (The Lively and Sociable Life of American Female Students)
Author: 梨花專門敎授 朴마리아孃 (Ewha Professional School Professor, Miss Pak Maria)
Article Type: 소식 (News/Report)

**Body Text Translation:**

The Lively and Sociable Life of American Female Students
						Ewha Professional School Professor, Miss Pak Maria

To write this piece based on a short experience of three years with only a small fraction—a few hundred or thousand—of the millions of students across the United States of America feels quite presumptuous. However, setting aside the Northeast and the South Central regions, I would like to introduce a few common points or things that might serve as a reference for Korean students, based on my observations and experiences.

School Life (學窓生活). Within this term "school life," I mean things related to classrooms, libraries, reading, diligence, etc. To the unaccustomed eye, it is very easy to first get the impression that "they are people who only enjoy playing," but looking into the substance, it is definitely not like that. They play when it's time to play, but their passion for knowledge (智識熱) is astonishing. For example, from Monday to Friday or Saturday, it is difficult to find an empty seat in the campus library. One could also see this as a result of the educational system itself, which encourages students to explore, search, and dig to broaden their knowledge. In other words, it would likely not be an exaggeration to say that the knowledge they gain is like feeding themselves with their own hands, and the teacher (先生) merely introduces better methods (方道) and provides guidance (指導).

*Caption under photo: East Asian Exchange Students (Lower right is Miss Kim Maria)* Miss Kim Maria's fellow East Asian exchange students.

Campus Life Intertwined with Affection (情誼)

Now, their entire daily life can be divided into two types: the life of commuting students (通學生) and dormitory life (寄宿舍 生活).

Commuting Student Life. Usually, the majority of commuting students travel back and forth in their own automobiles (自動車), and besides that, with buses (뻐스), streetcars (電車), etc., the convenience (便利) of transportation (交通) is such that one could not wish for more. Of course, when it comes to matters concerning the entire <70> school student body, there is no difference between commuters and dormitory students, but commuters relatively miss out on the true taste (眞味) of communal living (共同生活) that dormitory students experience. However, the rich friendships of campus life (校庭生活) also foster affection for one's alma mater.

Campus Life (校庭生活). The first impression campus life gives to someone who has just arrived would be liveliness (快活性) and kindness (親切味). Although it's difficult for several hundred or thousand students to know each other by name (姓名) and be friendly, when meeting on campus, everyone exchanges greetings like "Hello" or "How are you?" with a smiling face (얼골) and a cheerful attitude (態度). Compared to the feeling or impression of passing by someone you know but pretending not to, or encountering someone who looks dispirited, how much more affectionate (多情) and friendly (友愛) it must seem—it hardly needs saying—to exchange even a single word, however briefly, under the shared identity of being fellow students of the same school, even if names are unknown. Consequently, they live lives with etiquette (禮儀). One might easily think that Westerners, basing everything on individualism (個人主義), would primarily focus on their own egos (自我中心) and not regard the personalities (人格) of third parties (第三者) as important (主要視). However, precisely because they center themselves and value individuality (個性), they respect (尊重視) and revere (尊敬) the individuality and personality of the other party (相對者). When a younger person (年小者) walks with an older person (年長者), they invariably yield precedence in walking, entering, and exiting (先行, 先入, 先出) to the elder. This fact, attitude, and behavior are astonishing to East Asians born in the so-called "Land of Propriety" (禮儀之國). Yet, the elder does not adopt an attitude as if sitting on a high pedestal (壇). Whether playing together in a group or interacting individually, there is utterly no sense of elder or younger; they mingle and entangle together, playing interestingly like peers (동모) or siblings.

American schools are sometimes classified as male or female schools, but co-educational systems (共學制) are common. When males and females are together in classrooms, libraries, or on campus, anywhere, they interact affectionately and kindly, seemingly without the feeling of "I am a woman" or "I am a man." However, the attitude (態度) and etiquette (禮儀) that should be maintained between the opposite sexes (異性) are always mutually recognized and observed (尊守).

Strictly Regulated Dormitory Life

Dormitory System (寄宿舍 制度). Usually, American universities have dormitories within the campus grounds. There are distinctions in size based on the number of students, and the location (位置) is chosen, as much as possible, near the school buildings (建築物) and in a bright (鮮明) place to provide convenience (便宜) to the students. All the facilities (設備) inside the dormitory are, to East Asian eyes, luxurious (奢侈) enough to be called so. At first glance, one might think that Americans, being individualists, are free in everything and thus entirely unrestrained (自在). However, the strict rules (嚴格한 規則) of communal living (共同生活) are no different.

Rising and Sleeping Times (起寢時間). Usually, 10:00 PM or 10:30 PM is bedtime (就寢時間). However, it doesn't mean one absolutely must turn off the lights and go to sleep at the exact time (定刻). After 10:00 PM, depending on individual circumstances (事情), one can stay up late or even all night, but strict silence (嚴格한 靜寂) is required (要求). The rising time is usually 6:00 AM or 6:30 AM.
What is astonishing about American female students is the speed (速한) of their preparation (準備) after waking up. Sometimes, seeing them still in bed (臥床) just 5 or 6 minutes before, one arrives at the dining hall (食堂) to find them already having done everything necessary and seated at the table (食卓). Of course, the majority (太半) have short hair (短髮), and even if not short-haired, their hair isn't long, but in any case, compared to us East Asian women (女性), it's surprisingly fast.

Meal Times (食事時間). Meal times vary among dormitories according to the school schedule, but being late for or absent (不參) from meals strictly prohibits (嚴禁) eating separately. Regarding food (飮食), each dormitory has someone who majored in nutrition science (營養學) to supply (供給) food that is required and appropriate (適當) for student life. <71> Therefore, in this respect, it can be said that the quality (質) is superior (優越) to food at private homes (私家). The time taken for meals is relatively long. In our custom (習慣), remaining silent (無言) during mealtime has been considered proper etiquette (禮節), but according to American customs (風習), a person who can engage in humorous and interesting conversation (滋味잇는 談話) at the dinner table (食床) is thought to be sociable (社交性) and amusing. This is also regarded as a form of etiquette. In other words (換言), mealtime also serves (兼하야) as a kind of social time. Serving at the table (食床 심부름) is sometimes done by students in rotation (當番 順序), but this is very rare; mostly, work-study students (苦學生) or other employed individuals (職業人) are used (使用).

Entry and Exit Times (出入時間). In American universities, the difference (差異) between first and second-year students and upperclassmen (上級生) is significant (甚합니다). Consequently, this atmosphere exists in the dormitories as well. Evening outings (夜間出入) for first and second-year students are strictly forbidden (嚴禁) unless accompanied by relatives (親戚) or upperclassmen. Of course, upperclassmen are permitted (許諾) to go out alone at night, but without special permission (特別許諾), they are required to return to the dormitory (入舘) by 10:00 PM, and everyone, regardless, is required to register their entry/exit times and locations (場所登錄).

Infirmary (病室). Every school has an on-campus school doctor (校醫) and nurse (看護婦), which is very convenient (便利) when students experience illness (疾苦).

Bedrooms (寢室) and Washrooms (洗面所). Usually, bedrooms are single rooms (獨房), or sometimes occupied by two people, but it is very rare for more than two people to stay in one room. Even when two people share a room (同宿), all furnishings (器具) (desk (冊床), desk lamp (冊床電燈), closet with mirror (體鏡골방), etc.) are set up for individual use, and everyone competes (競爭) to decorate (裝飾) their bedrooms cleanly and beautifully.

Exceedingly Interesting Social Life (社交生活)

It is said that humans are all social animals (社交的 動物) and have a strong herd instinct (群集性), but this instinct (本能) seems even stronger in Americans. Both male and female dormitories are equipped (具備) with social rooms (社交室) or reception rooms (應接室), but they are special in female student dormitories. The photographs (寫眞) and curtains (門帳) hanging on the walls (壁), the piano (피아노), radio (라디오), chairs (椅子), etc., all make visitors (來訪客) pause. One can always converse (面談) here with friends, regardless of gender. Fridays or Saturdays are often spent as social evenings. Sometimes, small parties (小宴會) or "tea parties" (티파티) are held, inviting peers from other rooms in the same dorm or friends from other dorms, spending the evening with songs and idle chat (閑談). Eating is not the main point; rather, the main purpose (主旨) of such gatherings (모힘) is to comfort (慰安) each other's feelings (懷抱) of being away from home in lodgings (客窓) and enjoy themselves, even if just sharing a cup of tea and a piece of pastry. For socializing, there are various entertainment parties (娛樂會). To name a few, the "Hobo Party" (호보파티)—closest perhaps to what we would call a costume parade (假裝行列)—is one. For the "Children's Party" (칠드렌스파티), anyone attending (參序) must become a child in dress (衣服), speech (言語), and actions (動作). Besides these, there are many parties (形形色色의 「파티」) according to the season (節期): Valentine's Day on February 14th (배린타인), April Fools' Day (속이는 날) on April 1st, Easter (復活節), Thanksgiving (感謝節), Halloween parties (할로인파티), etc. Their coming together as one, laughing and enjoying themselves regardless of age differences (年齡의 差異), reveals their optimistic philosophy (樂天主義) and positive outlook (樂觀思想). What first catches the eye of us, steeped in our customs where gender segregation (男女別) is severe, is their innocent (天眞) and free (自由) interaction between sexes (男女交際). It is common for them to accompany each other to classrooms, theaters (劇場), dances (舞蹈), picnics (野遊會), and walks (散步). From a certain perspective, their interactions might seem too disorderly (紊亂) and carry risks (危險性), but having grown up (生長) in such an environment (環境) from childhood, and with appropriate (相當) home training (家庭敎訓) and school education (學校敎育) regarding it, they are all innocent and equipped with the respective etiquette (禮節) they should possess, behaving like gentlemen (紳士) and ladies (淑女). Thus, the lives of American female students are orderly (順序的) and energetic (活氣), while also being warm (溫氣) and sociable (社交性). <72>

**Summary**

This article, written by Pak Maria, a professor at Ewha Professional School in 1932, describes the life of American female university students based on her three years of observation. She portrays them as academically diligent despite appearing playful, emphasizing their active use of libraries and self-directed learning. Socially, they are depicted as friendly, polite (even adhering to etiquette surprising to East Asians), and comfortable interacting in co-ed settings while maintaining propriety. Dormitory life is presented as well-equipped but strictly regulated regarding schedules and outings, contrasting with a vibrant social life filled with various themed parties where students enjoy themselves freely across age groups. The author highlights the students' orderliness, energy, warmth, and strong sociability.

From a historical perspective, the article offers insight into how Western (specifically American) culture and educational systems were perceived and presented to a Korean audience during the Japanese colonial period by an educated Korean woman. It implicitly contrasts American student life (independence, co-education, social freedom, structured yet comfortable living) with perceived Korean norms, potentially serving as both an informative piece and a subtle commentary on, or aspiration towards, modernity and different social/educational models for Korea. Historians might find the author's perspective, the specific details chosen for emphasis (like etiquette, co-ed interactions, dorm rules), and the intended audience (readers of 'Donggwang' magazine) valuable for understanding cultural exchange, elite Korean views on the West, and changing social ideals during that era.

**Named Entities**

北米合衆國	북미합중국	United States of America
梨花專門	이화전문	Ewha Professional School
朴마리아孃	박마리아 양	Miss Pak Maria
東洋	동양	The East / East Asia
金마리아氏	김마리아 씨	Miss Kim Maria
米國	미국	America / United States
朝鮮	조선	Korea

**Glossary**

快活	쾌활	Liveliness, cheerfulness
社交性	사교성	Sociability
豊富	풍부	Abundant, rich
學友	학우	Fellow student(s)
星霜	성상	Years, time (lit. stars and frost)
當突	당돌	Presumptuous, bold (Older usage/spelling)
學窓生活	학창생활	School life (lit. 'study window life')
圖書室	도서실	Library/Reading room
勤勉	근면	Diligence, industriousness
風習	풍습	Custom, manners
眼目	안목	Eye, perspective, discerning eye
印象	인상	Impression
內容	내용	Content, substance
智識熱	지식열	Passion for knowledge
校內圖出舘	교내 도서관	Campus library (圖出舘 is an older/less common term for 도서관)
學制	학제	Educational system
先生	선생	Teacher
方道	방도	Method, way
指導	지도	Guidance, instruction
過言	과언	Exaggeration
通學生	통학생	Commuting student
寄宿舍	기숙사	Dormitory
自動車	자동차	Automobile, car
共同生活	공동생활	Communal living
眞味	진미	True taste, real charm
校庭生活	교정생활	Campus life
親切味	친절미	Kindness, friendliness (미 suffix adds nuance of 'flavor' or 'quality')
우슴	웃음	Laughter, smile (Older spelling of 웃음)
얼골	얼굴	Face (Older spelling of 얼굴)
禮儀	예의	Etiquette, manners, propriety
個人主義	개인주의	Individualism
自我中心	자아중심	Egocentrism, self-centeredness
人格	인격	Personality, character
主要視	주요시	To regard as important
相對者	상대자	The other party, counterpart
尊重視	존중시	To respect, regard with respect
年小者	연소자	Younger person
年長者	연장자	Older person, elder
사양	사양	To yield, decline politely
共學制	공학제	Co-educational system
異性	이성	The opposite sex
尊守	준수	To observe, abide by (Older spelling/Hanja usage for 준수)
規則	규칙	Rule, regulation
嚴格	엄격	Strict, rigorous
設備	설비	Facilities, equipment
奢侈	사치	Luxury, extravagance
自在	자재	Freely, unrestrained
就寢時間	취침시간	Bedtime
定刻	정각	Exact time, punctual time
靜寂	정적	Silence, quietness
要求	요구	Demand, requirement
準備	준비	Preparation
速한	속한	Fast, quick (Older adjectival form)
臥床	와상	Lying in bed
食堂	식당	Dining hall, cafeteria
食卓	식탁	Dining table
太半	태반	Majority, greater part
何如間	하여간	Anyway, in any case (Older form of 하여튼/아무튼)
食事時間	식사시간	Mealtime
不參	불참	Absence, non-attendance
境遇	경우	Case, situation (Older spelling/Hanja usage for 경우)
嚴禁	엄금	Strict prohibition
飮食	음식	Food and drink
營養學	영양학	Nutrition science
供給	공급	Supply, provision
優越	우월	Superiority, excellence
習慣	습관	Habit, custom
無言	무언	Silence, without words
滋味	자미	Taste, flavor; interestingness
談話	담화	Conversation, talk
兼하야	겸하여	Serving also as, concurrently (Older grammatical form)
심부름	심부름	Errand, service
當番	당번	Person on duty, taking turns
苦學生	고학생	Work-study student, student working their way through school
上級生	상급생	Upperclassman
差異	차이	Difference, disparity
甚합니다	심합니다	Is severe, is significant (Polite form of 심하다)
親戚	친척	Relative(s)
同伴	동반	Accompanying
夜間出入	야간출입	Nighttime outing/coming and going
許諾	허락	Permission, approval
入舘	입관	Entering the building/dormitory (舘 is often used for large buildings/halls)
場所登錄	장소등록	Location registration
校醫	교의	School doctor
看護婦	간호부	Nurse (Older term, now usually 간호사)
疾苦	질고	Illness, suffering
寢室	침실	Bedroom
獨房	독방	Single room
同宿	동숙	Sharing a room, lodging together
器具	기구	Utensil, apparatus, furnishing
冊床	책상	Desk
裝飾	장식	Decoration, ornamentation
競爭	경쟁	Competition
社交室	사교실	Social room, lounge
應接室	응접실	Reception room
具備	구비	To be equipped with, furnished
來訪客	내방객	Visitor, guest
面談	면담	Face-to-face talk, interview
小宴會	소연회	Small banquet, party
閑談	한담	Idle chat, small talk
客窓	객창	Window of a rented room/lodging away from home; implies temporary/traveler status
懷抱	회포	Feelings, thoughts kept in mind (often implying longing or sentiment)
慰安	위안	Comfort, consolation
主旨	취지	Purpose, meaning, point
娛樂會	오락회	Entertainment party, social gathering
假裝行列	가장행렬	Costume parade, masquerade
參序	참석	Attend, participate (Older spelling/Hanja usage for 참석)
節期	절기	Season, festival time
形形色色	형형색색	Various kinds, all sorts of
樂天主義	낙천주의	Optimism
樂觀思想	낙관사상	Optimistic thought/ideology
天眞	천진	Innocence, naivety
男女交際	남녀교제	Interaction/socializing between sexes
劇場	극장	Theater
舞蹈	무도	Dance (often formal/ballroom)
野遊會	야유회	Picnic, outing
散步	산보	Walk, stroll
紊亂	문란	Disorderly, chaotic, promiscuous
危險性	위험성	Riskiness, danger
環境	환경	Environment, surroundings
生長	생장	Growth, upbringing
家庭敎訓	가정교훈	Home training, family teaching
學校敎育	학교교육	School education
相當	상당	Considerable, appropriate, suitable
紳士	신사	Gentleman
淑女	숙녀	Lady
順序的	순서적	Orderly, sequential
活氣	활기	Energy, vitality
溫氣	온기	Warmth


---------------------------


잡지명	동광 제39호
발행일	1932년 11월 01일
기사제목	快活과 社交性이 豊富한 米國女學生의 생활
필자	梨花專門敎授 朴마리아孃
기사형태	소식

快活과 社交性이 豊富한 米國女學生의 생활
						梨花專門敎授 朴마리아孃
北米合衆國을 通해서 잇는 數千 數百萬名의 學生 中 다만 數百과 數千으로 헤일 수 잇는 小部分의 學友들과 三個星霜이란 短期의 經驗으로 이 글을 씀은 當突한 感이 적지 않습니다마는 東北部와 中南部를 터놓고 其中에 共通되는 點 또는 朝鮮學生들에게 參考가 될만한 것 멧 가지를 보고 體驗대로 紹介할가 합니다.

學窓生活. 이 學窓生活이란 속에는 敎室, 圖書室, 讀書, 勤勉 等에 관한 것을 意味하엿습니다. 그들의 風習에 익숙지 못한 이의 첫 眼目에는 먼저 「그들은 놀기만을 즐기는 사람들이라」는 印象을 갖기가 퍽도 쉬웁습니다마는 그 內容에 들어가 보면 決코 그런 것이 아닙니다. 놀 때는 놀지마는 그들의 智識熱이란 놀날만합니다. 例를 들면 月曜日부터 金曜日 或은 土曜日까지는 校內圖出舘에 비여 잇는 자리를 보기 어렵습니다. 學制가 발서 學生 스서로가 더듬고 찾고 파서 그 智識을 널피게 되기 때문이라고도 볼 수 잇겟습니다. 다시 말하면 그들의 얻는 智識은 자기가 자기 손으로 떠먹는 格이요 先生은 다만 더 낳은 方道를 紹介하여 주고 指導하여 줌에 지나지 못한다하여도 過言은 아닐 듯 합니다.
東洋留學生(下段右가 金마리아氏) 金마리아氏의 同窓 東洋留學生들

情誼에 엉킨 校內生活
이제 그들의 日常生活 全部를 通學生 生活과 寄宿舍 生活 두 가지로 나누어 볼 수 잇습니다.
通學生 生活. 普通으로 通學生의 多數는 各其 所有한 自動車로 來往하며 其밖에 「뻐스」 電車等으로 交通의 便利는 더 바랄 것이 없을만큼 되어 잇습니다. 勿論 學校學生 全體에＜70＞ 관한 일에는 通學生이나 寄宿舍 學生의 差異가 없으나 比較的 通學生은 寄宿生들이 맛보는 共同生活의 眞味를 잃게 됩니다. 그러나 校庭生活의 豐富한 友情은 亦是 母校의 愛着心을 길러 줍니다.
校庭生活. 처음 간 사람에게 주는 校庭生活의 첫 印象은 快活性과 親切味라겟습니다. 數百名 或은 數千餘名 學生이 姓名까지 알고 親切히 지내기는 어려우나 校庭에서 만나는 때는 누구나 우슴 띠운 얼골과 快活한 態度로 「핼로」 或은 「하오알유? 」等의 인사를 주고 받으며 지내갑니다. 알아도 모른체 氣運없어 보이는 사람을 대하고 지내가는 그 氣分이나 印象보다는 性名은 모를지언정 同校學友란 뜻 아래 한마대이나마 暫間이나마 주고 받는 그 親切性이야말로 그 얼마나 더 多情하고 友愛잇어 보일 것은 더 말할 必要가 없을 듯 합니다. 따라서 그네들은 禮儀가 잇는 生活을 합니다. 얼른 생각하기에 歐米人은 個人主義를 根本 삼는데서 各其 自我中心만을 主삼아 第三者의 人格을 主要視 않을 듯이 생각되기 쉬우나 自我를 中心삼는 이만큼 또는 個性을 主要視하는 이만큼 相對者의 個性과 人格을 尊重視하고 또 尊敬합니다. 年小者가 年長者와 同行하는 때는 반드시 年長者에게 先行, 先入, 先出을 사양합니다. 이 事實과 態度行動은 所謂 禮儀之國에 태어난 東洋人으로 놀날만합니다. 또 그러타고 年長者는 높은 壇 우에 올라 앉는 듯한 態度가 없습니다. 함께 모여 놀거나 個人으로 대할 때거나 도모지 年長者 年小者란 感이 없이 함께 뭉치고 함께 엉키어 동모나 兄같이 興味잇게 놉니다.
米國學制는 男女學校로 分類되어 잇기도 하나 흔히는 共學制입니다. 男女가 敎室에서나 圖書室에서나 校庭에서나 어데서나 함께 할 때에 「나는 女子다」 「나는 男子다」 하는 感이 없는 듯이 彼此 多情스러히 親切히 지냅니다마는 그 異性 中에 가저야 할 態度다 禮儀는 언제나 彼此 認識하고 尊守합니다.

規則嚴格한 寄宿舍生活
