Magazine Title: 삼천리 제6권 제5호
Publication Date: 1934년 05월 01일
Article Title: 大亞細亞主義 批判 (Critique of Great Asianism)
Author: 金璟載
Article Type: 논설 (Editorial/Critique)

Critique of Great Asianism
						Kim Kyŏngjae (金璟載)
1. Who first advocated for the "Asia Monroe Doctrine"? And why is it being advocated even more strongly these days?
After Japan drove Russian influence out of North Manchuria in the Russo-Japanese War, gaining special rights and interests regarding the Chinese mainland, the term "Asia Monroe Doctrine" began to flow from the mouths of politicians and commentators. Then, when the World War broke out and Japan expelled Germany from China and the Pacific, the song of the "Asia Monroe Doctrine" rang somewhat more vigorously and cheerfully in the public's ears. However, at the Washington Conference, trouble arose with the Chinese delegation over the issue of the invalidity of the 21 Demands and the return of Shandong, so Japan discarded its previous "Asia Monroe Doctrine" and hung out the sign of "Cooperative Diplomacy" (協調主義). Then, after the recent Manchurian Incident, the "Asia Monroe Doctrine" came to reign with an even sharper force, becoming increasingly concrete with Japan's withdrawal from the League of Nations.
Manchuria was called Japan's "lifeline." The Manchurian Incident occurred to secure that lifeline, Manchuria, and the state of Manchukuo emerged. Japan, fearing nothing for its sake and truly staking its life on it, tried to get its legitimacy recognized by the League of Nations, but when the League wouldn't listen, it simply withdrew. Even while the League of Nations investigation team was still bustling between Manchuria and Peiping, Japan's determination (뱃장) was already fixed when it formally recognized Manchukuo. Japan, charging forward with this ultimate resolve, already had its calculations<28> set. The planned course proceeded as expected, reaching the hundred-foot pole's tip (百尺桿頭) of League withdrawal and becoming internationally isolated. Thus, the "Asia Monroe Doctrine" became even more yearned for in the minds of the Japanese, who longed for its realization.

2. So, has Japan never made efforts towards realizing the "Asia Monroe Doctrine" before?
We can find it in the Ishii-Lansing Agreement of 1917. That agreement states, "The United States and Japan assert that nations whose territories are mutually adjacent have special relations. Therefore, the United States Government recognizes that Japan has special interests in China. This is especially true in regions adjacent to Japanese territory."
This clearly meant the US recognized Japan's special status in China. Recognizing a special status inevitably implies incompatibility with economic intrusion by other foreign countries, and therefore, the intrusion of foreign powers would be strongly obstructed. In that sense, the Ishii-Lansing Agreement was a partial realization of Japan's "Asia Monroe Doctrine." However, this was just one part of the effort to gain external recognition for the "Asia Monroe Doctrine." Japan's efforts towards realizing the "Asia Monroe Doctrine" can be traced back to the Russo-Japanese War of 1905. Afterward, having expelled Germany from Shandong, in 1915, Japan made the Chinese government declare that it would not cede or lease coastal harbors or islands to other foreign powers. This was the first step in rejecting the political influence of European and American powers in East Asia. Regarding this issue, Viscount Ishii (石井子), who held the most interest and effort, stated publicly, both domestically and internationally, "Japan's policy towards China has discovered the principle that the establishment of imperialism on Chinese soil by a strong third power is not only harmful to the territorial integrity of China but also incompatible with Japan's own security. This is based on the same principle that the United States employs towards Latin American countries with its Monroe Doctrine."<29>
Simply put, the "Asia Monroe Doctrine" is Pan-Asianism, meaning Asia should be for Asians. Frankly put, it means defending against European and American intrusion – culturally, commercially, and especially politically. However, the crux of the matter is power. Who in Asia currently has the power to reject them? Consequently, it inevitably becomes an "Asia Monroe Doctrine" centered around Japan. That Manchuria is a zone of Japan's special rights and interests is not something that began yesterday or today; it has been a consistent fact since the Treaty of Portsmouth. Furthermore, due to China's geographical proximity, Japan's position naturally acquires a special relationship. This inevitably leads to Japan feeling a certain degree of right and duty, both spiritually and materially, regarding China's direction, even reaching the point of seeking to guarantee the power of hegemony (制覇의 權) over maintaining peace and order in China.
"There is an increasingly conspicuous tendency among Japanese to interpret Japan's special position regarding China as follows: If the Powers intend to take any political measures towards China, they should first consult with Japan. If this trend continues, Japan will come to dominate China's foreign affairs."
This is a passage from a report sent by the Russian Ambassador in Tokyo to his home country in 1917. In short, the realization of the "Asia Monroe Doctrine" has been a long-cherished desire for Japan, and it has been advancing step by step towards its realization.

3. The question here is, why did the United States conclude the Ishii-Lansing Agreement and openly recognize Japan's special position in Manchuria? Even before that, in 1905, President Roosevelt advised Japan's Mr. Kaneko, saying, "Japan should promulgate (페(布)라) a Monroe Doctrine in Asia." 1905 was during the Russo-Japanese War, and Mr. Kaneko had gone to the US on a lobbying trip to gain recognition for Japan's justification. At that time, the US disliked the southward advancing <30> Russian influence and praised Japan as a "champion of the Open Door," showing favor and even providing tacit support. Thus, Roosevelt's remark might have been a diplomatic pleasantry, and we cannot hold him accountable for it now. However, even in 1930, the US Ambassador in Tokyo gave a speech stating, "Japan's policy of maintaining peace in East Asia has similarities to America's policy of maintaining peace in the Western Hemisphere." So, does the US welcome Japan taking the lead and adopting a Monroe Doctrine in Asia? What did the statement mean that Japan's policy of maintaining peace in East Asia has similarities to America's policy of maintaining peace in the Western Hemisphere? It might point to the differences between Japan's Monroe Doctrine and America's Monroe Doctrine, specifically America's Caribbean Sea Policy (가르피아海政策). What is the Caribbean Sea Policy? It aims to guarantee America's special relationships in Mexico, Cuba, Panama, Nicaragua, etc. Compared to Japan's desire to have a special position in Manchuria and China, this was already realized and had received de facto recognition from the Powers. Yet, this same US has always approached Asia with policies like the Open Door, equal opportunity, and respect for territorial integrity. Therefore, the US, which praised Japan as a champion of the Open Door during the Russo-Japanese War, became busy restraining Japan's actions under the banner of the Open Door and equal opportunity after Japan's special rights and interests in Manchuria were established following the war.
But what is the reason America seeks its American Monroe Doctrine? Its Caribbean Sea Policy explains it: the US says that those nations are weak in political organization and military power, constantly experiencing internal strife and instability, which directly and indirectly affects the US; the US is an industrialized nation while those Caribbean countries are agricultural, thus finding mutual linkage (相互聯긴性); and lastly, the US is the owner of the Panama Canal. How is this different from Japan's relationship with Manchuria and China? Instead of the US having the Panama Canal,<31> Japan has the South Manchuria Railway (滿鐵). While the US has investments of $3.29 billion in the Caribbean countries, Japan has investments of 2 billion yen in Manchuria. And the frequency of internal strife in China is being demonstrated currently, while it is also true that Japan's developing industry has an inseparable relationship with China and Manchuria. From this, we can understand the reason why the US ambassador stationed in Tokyo delivered a speech stating that Japan's policy of maintaining peace in the East and America's policy of maintaining peace in the Western Hemisphere have similarities.

4. Thus, the "Asia Monroe Doctrine" with Japan as the leader in the East, which had been progressing step by step towards its realization since the Treaty of Portsmouth, was forced to be abandoned by Japan at the Washington Conference, only to show renewed, leaping development after the Manchurian Incident. The withdrawal from the League of Nations, the establishment of Manchukuo, and the Tanggu Truce Agreement (北中停戰協定) were all partial realizations of it.
However, there are numerous difficulties here. First, there are the Western powers, namely Britain and France, which have pre-existing rights (先占權) and interests in China that predate Japan's. Britain's interests centered around the Yangtze River basin in central China surpass those of Japan, and the US also considers itself to have a powerful voice regarding China. How will Japan, the advocate and leader of Pan-Asianism, deal with their influence? That is the primary difficulty. Second, as suggested by the Lytton Report, the most felicitous resolution to the East Asian problem should be based on mutual goodwill and cooperation, requiring a handshake between Japan and China. However, achieving this seems difficult at present. Immediately after the Russo-Japanese War, there were many sympathizers (共鳴者) of Pan-Asianism in China, and Sun Yat-sen (孫文) also advocated it passionately, but due to the changing times, today... (remainder omitted)<32>

**Summary**

The article critiques the concept of the "Asia Monroe Doctrine," tracing its origins to Japan's rise after the Russo-Japanese War and its intensified advocacy following the Manchurian Incident and Japan's withdrawal from the League of Nations. The author, Kim Kyŏngjae, details Japan's efforts to gain international acceptance, citing the Ishii-Lansing Agreement and comparing Japan's justifications (proximity, economic ties, regional stability) to the US Monroe Doctrine and its Caribbean policy. While acknowledging the doctrine's step-by-step progression, Kim points out major obstacles: the entrenched interests of Western powers (Britain, France, US) in China and, crucially, the lack of Chinese support or cooperation, contrasting the current situation with earlier periods when figures like Sun Yat-sen showed sympathy for Pan-Asianism. For historians of Korean colonial history, this article is significant as it reflects a contemporary Korean intellectual's critical analysis of Japanese imperial ideology (Great Asianism/Pan-Asianism) from within the colonial context. It reveals the discourse used by Japan to justify its expansionism, the attempts to draw parallels with American policy, and importantly, highlights the inherent contradiction and difficulty in Japan's project due to both Western opposition and the resistance/non-cooperation of China, which Japan claimed to be leading or protecting.

**Named Entities**

日露戰爭	일로전쟁	Russo-Japanese War
露西亞	로씨아	Russia
日本	일본	Japan
中國大陸	중국대륙	Chinese mainland
亞細亞몬로-主義	아세아몬로주의	Asia Monroe Doctrine
世界大戰	세계대전	World War
太平洋	태평양	Pacific Ocean
獨逸	독일	Germany
華盛頓會議	화성돈회의	Washington Conference
21個條	21개조	Twenty-One Demands
山東	산동	Shandong
協調主義	협조주의	Cooperative Diplomacy
滿洲事變	만주사변	Manchurian Incident
滿洲國	만주국	Manchukuo
國聯 (國際聯盟)	국련 (국제연맹)	League of Nations
國聯調査團	국련조사단	League of Nations Investigation Team (Lytton Commission)
北平	북평	Peiping (Beiping/Beijing)
石井런싱協定	석정런싱협정	Ishii-Lansing Agreement
合衆國 (米國)	합중국 (미국)	United States (USA)
亞細亞	아세아	Asia
東亞	동아	East Asia
歐米諸國	구미제국	European and American nations
石井子	석정자	Viscount Ishii (Ishii Kikujirō)
몬로-主義	몬로주의	Monroe Doctrine
란텐·아메리카	라틴 아메리카	Latin America
亞米利加	아메리카	America
루-스벨트	루스벨트	Roosevelt
金子	금자	Kaneko (likely Kaneko Kentarō)
카르피아海	카리브해	Caribbean Sea
멕시코	멕시코	Mexico
큐-바	쿠바	Cuba
파나마	파나마	Panama
니가라가	니카라과	Nicaragua
파나마運河	파나마운하	Panama Canal
滿鐵	만철	South Manchuria Railway
영국	영국	Britain (UK)
佛蘭西	프랑스	France
長江	장강	Yangtze River
릿튼報告書	릿튼보고서	Lytton Report
日中間	일중간	Between Japan and China
孫文	손문	Sun Yat-sen (Sun Wen)

**Glossary**

唱道(하다)	창도(하다)	To advocate, champion
盛히	성히	Actively, vigorously (older form of 성하게)
驅逐(하다)	구축(하다)	To expel, drive out
特殊權益	특수권익	Special rights and interests
領有(하다)	영유(하다)	To possess, hold (territory, rights)
論客	논객	Commentator, critic, debater
흘너 나오다	흘러나오다	To flow out, emerge (older spelling)
血氣	혈기	Vigor, vitality, youthful energy
쾌활하다	쾌활하다	Cheerful, lively
고막을 울니다	고막을 울리다	To ring in the eardrums (older spelling/form)
말성이 만엇스니	말썽이 많았으니	As there was much trouble (older spelling/grammar)
看板	간판	Signboard; (fig.) policy slogan, facade
날카러운	날카로운	Sharp (older spelling)
군림(하다)	군림(하다)	To reign, dominate
脫退	탈퇴	Withdrawal, secession
俱體化(하다)	구체화(하다)	To make concrete, embody
生命線	생명선	Lifeline
確固히	확고히	Firmly, securely
드러붓튼	들러붙은	Clung to, stuck to (dialectal/older form of 들러붙었던)
正當性	정당성	Legitimacy, justification
容認(식키다)	용인(시키다)	To approve, recognize, condone (causative)
듯지 안으니	듣지 않으니	As (they) wouldn't listen (older spelling)
뱃장	배짱	Guts, nerve, determination
心算	심산	Mental calculation, plan, intention
百尺桿頭	백척간두	At the tip of a hundred-foot pole (idiom: critical point, further progress needed)
憧憬(되다)	동경(되다)	To be yearned for, longed for
갈망(하다)	갈망(하다)	To long for, crave
일즉이	일찍이	Early on, previously (older spelling)
協定	협정	Agreement, pact
接隣(하다)	접린(하다)	To be adjacent, neighboring
特殊地位	특수지위	Special status/position
相容(되지 못하다)	상용(되지 못하다)	To be incompatible
阻碍(케 되다)	조애(케 되다)	To obstruct, hinder (causative)
부분적	부분적	Partial
對外(하다)	대외(하다)	Towards the outside, external(ly)
沿岸	연안	Coast, coastal area
港灣	항만	Harbor, port
島嶼	도서	Islands
讓渡	양도	Cession, transfer
租借	조차	Lease (of territory)
拒否(하다)	거부(하다)	To refuse, reject, deny
帝國主義	제국주의	Imperialism
수립(하다)	수립(하다)	To establish
有害(하다)	유해(하다)	Harmful
兩立(치 못하다)	양립(치 못하다)	To be incompatible, unable to coexist
기한 것이다	기인한 것이다	It is based on, derived from (older form)
범범하게	범범하게	Ordinarily, commonly, roughly
防禦(하다)	방어(하다)	To defend
요컨댄	요컨대	In short, in essence (older spelling)
制覇(의) 權	제패(의) 권	Right of hegemony/supremacy
顯著(하다)	현저(하다)	Remarkable, conspicuous
좌우(하다)	좌우(하다)	To influence, control, sway (lit. left-right)
숙원	숙원	Long-cherished desire
進섭식키여 왓든	진척시켜 왔던	Had been advancing/progressing (older spelling/form)
締約(하다)	체약(하다)	To conclude a treaty
페(布)라	펴라	Spread, promulgate (imperative, older usage with 布)
勸告	권고	Advice, recommendation
유세	유세	Lobbying, campaigning
갓고	갖고	Having, possessing (older spelling)
은연한 중	은연한 중	Tacitly, implicitly
外交辭令	외교사령	Diplomatic language/rhetoric, pleasantries
相似(하다)	상사(하다)	To be similar
상이점	상이점	Point of difference
보장(하다)	보장(하다)	To guarantee, secure
가즈려는	가지려는	Intending to have/possess (older spelling)
실질상	실질상	De facto, in reality
승인(을) 밧은	승인을 받은	Received recognition/approval (older spelling)
임햇든	임했던	Faced, approached (older spelling)
견제(키에) 분주 해섯다	견제(하기에) 분주했었다	Was busy restraining/checking (older spelling/grammar)
구하고	구하고	Seeking; (likely context) pursuing, trying to establish/realize
파급(되다)	파급(되다)	To spread, ripple out, affect
相互聯긴性	상호연결성	Mutual linkage, interconnectivity (likely intent, non-standard term)
소유자	소유자	Owner, proprietor
자즌	잦은	Frequent (older spelling)
실연(되다)	실연(되다)	To be demonstrated, enacted in reality
不可分(의 관계)	불가분(의 관계)	Inseparable (relationship)
所以	소이	Reason, cause (literary)
항햐야	향하여	Towards (older spelling)
飛躍的	비약적	Leaping, rapid, by leaps and bounds
뵈이엇으니	보였으니	As it showed (older spelling)
停戰協定	정전협정	Armistice agreement, truce agreement
幾多	기다	Numerous, many
난관	난관	Difficulty, obstacle
先占權	선점권	Preemptive rights, right of prior occupancy
우월(하다)	우월(하다)	Superiority, to be superior
발언(권)	발언(권)	Right to speak, voice, influence
如何히 할 것인가	어떻히 할 것인가	How to do, how to deal with (older form of 어떻게)
제시(한 바와 여하)	제시(한 바와 같이)	As suggested/presented
상호(의)	상호(의)	Mutual
호의	호의	Goodwill
악수	악수	Handshake
共鳴者	공명자	Sympathizer, resonator
時勢	시세	The times, current trends/situation


---------------------------


잡지명	삼천리 제6권 제5호
발행일	1934년 05월 01일
기사제목	大亞細亞主義 批判
필자	金璟載
기사형태	논설

大亞細亞主義 批判
						金璟載
1. 亞細亞몬로-主義란 누구가 唱道한 바인가. 그리고 그가 엇지하야 요새에 와서 더욱 盛히 唱道되고 잇는가.
日露戰爭에서 露西亞의 勢力을 北滿에 驅逐한 日本은 中國大陸에 대한 特殊權益을 領有케되면서 정치가 또는 論客의 입에서 亞細亞몬로-主義란 소리가 흘너 나오게 되엿다. 그리다가 世界大戰이 일고 日本은 中國에서 또는 太平洋에서 獨逸을 追放한 후부터는 亞細亞몬로-主義란 노래는 좀더 血氣가 잇고 쾌활하게 世人의 고막을 울니엿다. 그러나 華盛頓會議에서 中國代表로부터 21個條의 無効問題와 山東返還問題 등으로 말성이 만엇스니 日本은 從來의 亞細亞몬로-主義를 버리고 協調主義란 看板을 내여 거럿든 것이다. 그러다가 이번의 滿洲事變 이후에는 亞細亞몬로-主義는 一層 날카러운 기세로 군림하게 되엿으니 日本의 國聯脫退로 하야 더욱 그는 俱體化하고 잇게 되엿다.
