**Header Section:**
Magazine Title: 삼천리 제6권 제5호
Publication Date: 1934년 05월 01일
Article Title: 崔昌學氏 朔州金鑛採鑛觀, 全朝鮮의 大金鑛巡禮(其一) (A View of Choe Ch'anghak's Sakchu Gold Mine Operations, A Pilgrimage to the Great Gold Mines of All Korea (Part 1))
Author: 木兵丁 記 (Reported by Mok Pyŏngjŏng)
Article Type: 소식 (News/Report)

**Body Text Translation:**
A View of Choe Ch'anghak's Sakchu Gold Mine Operations, A Pilgrimage to the Great Gold Mines of All Korea (Part 1)
						Reported by Mok Pyŏngjŏng

Right now, Korea (朝鮮) is truly in an era of gold madness. Whether in P'yŏngan Province, Hamgyŏng Province, or Chŏlla Province, wherever there are mountains, rocks, and soil, there is no place without prospectors holding hammers. Whether Western-dressed or top-knotted, adult or child, wherever two or three people with eyes and noses gather, talk of gold mines inevitably arises – that's how far the gold fever has spread.
Thus, thousands, tens of thousands of people are now dreaming of becoming Choe Ch'anghak, Pang Ŭngmo, or Pak Yong'un.
Whether this is sad or joyful, what can be done about this unavoidable phenomenon of today?
Countless young men who were once involved in social movements and national movements have attached themselves to gold mining sites; countless too are the figures who went bankrupt trading rice futures or running shops in Chongno and have become gold mine overseers (德大, tŏktae). And in Seoul city,
mining offices are multiplying like real estate agencies (복덕방). How on earth will this trend turn out in the future?
In any case, we now intend to seek out all the famous Korean-owned gold mines throughout Korea, one by one, to see what kind of facilities they have established, how much income they are seeing, and how much money they want to sell for – we will seek out all these things.<122>

Seeking the Gold Mountain of Kugok-myŏn, Sakchu

Hearing news, whether rumor or truth, that a large gold mine, touted with a asking price (呼價) of 10 million won, had appeared in Yŏnsam-dong, Kugok-myŏn, Sakchu County, P'yŏngan Pukto, the reporter set out for an actual exploration in late March. It was a cold day when the long stream of the Amnok River was still frozen, with white snow covering it here and there, and flurries whipped up whenever the early spring cold wind blew.
I took the bus from Sinŭiju to Sakchu at 10 in the morning; the one-way fare alone was 4 won 50 chŏn.
The road from Sinŭiju into Sakchu has little flat land and is mostly mountainous terrain. The bus skillfully slipped around this mountain bend and that mountain corner, and the ladies riding with me startled each time, letting out sighs of relief.
Finally, after 4 hours, we arrived at the small village called "Yŏnsam." This is the famous gold mining area.
However, unless you are an expert, it's hard to tell. The mountains look just ordinary, rugged peaks, and the rocks are blackish, common rocks you might find anywhere people live. Yet, to think that within those rocks, within those mountains, sits yellow gold worth hundreds of thousands, millions, or tens of millions of won, it's breathtaking and feels mysteriously enchanting, as if under a spell.<123>
A stream flows on the far side of the village called Yŏnsam. Just across this stream is the site of the gold mine belonging to Pak Yong'un, a man from Sinŭiju, who became suddenly rich two or three months ago when it was sold to the Mitsubishi Company (三菱會社) for 1.5 million won, or perhaps 200,000 won. On this side is the location of Choe Ch'anghak's Sakchu Gold Mine, whose reputation (聲價) is currently soaring.
Indeed, it seems that two of Korea's second-largest gold mines are lying side-by-side in this narrow area, barely the size of a cat's forehead.

An Office Complex of Over Twenty Buildings, The Sound of Blasting Dynamite

This gold mine of Mr. Choe Ch'anghak in Yŏnsam-dong only came into Mr. Choe's hands and began mining operations last July, so in terms of age, it cannot be called old. However, the facilities established are on a large scale, befitting someone who is originally a mining expert, surprising the eyes of onlookers. First, near the stream bank in Yŏnsam-dong, right in the middle of the village, a huge whale-like mining office built with a mix of Western and Japanese styles catches the eye. Then there's the dynamite storage, the warehouse for machinery, and then the residences for the office workers. Altogether, the buildings attached to this mine number over 20. These many white houses sit prominently in the dark, gloomy mountain valley, so it's no wonder the village elders raised in the mountain village shake their heads disapprovingly.
Then, about forty or fifty houses for the miners are spread out on the left and right along a wide alleyway. Along the roadside, as is always the case in places where the smell of money permeates, gaudily made-up prostitutes (色酒家, 賣笑婦), ghostly even in broad daylight, can be seen peeking out with sly smiles. At the tobacco shop, top-knotted men sit playing *changgi* (장긔), battling over Chu and Han.
Most of the miners seem to have gone up to the mine, as even their *chikka tabi* sandals (지까 다비짝) cannot be seen in front of their house doors.
This street probably only becomes boisterous at night, like the guest quarters of a large feast house, with drinking, singing, and harassing women. The whole town seen during the day felt more like a desolate village than a gold mining hub.<124>
Currently, there are six or seven active mining sites. The actual mining site (採鑛現場) is five or six *chō* (町, approx. 550-650 meters) further into the mountain valley from this office. A trolley line (도롯꼬, 'torotkko' - pushcart) has been laid from the office to the mining site. And via that pushcart, even while I was watching from in front of the office, several loads of ore glittering with gold were brought down.
From afar, the sound of dynamite blasting to break rocks goes *tang-tang-* continuously. However, the dynamite storage is not here. The dynamite storage is in Sinŭiju, and it is transported by cargo truck to the Kusŏng Gold Mine and the Sakchu Gold Mine once every few days, stored, and used as needed.

A 125-Horsepower Machine and Facilities Said to Cost Over 100,000 Won

Next to the office is the refinery (探鍊所, *t'amnyŏnso* - likely means ore crushing/processing plant here, not smelting). A large 125-horsepower rock-crushing machine runs continuously. When fed into this machine, large rocks are broken into pieces and come out as powder.
I heard that besides this 125-horsepower machine, there are plans to install two or three more machines of several tens of horsepower, but for now, it's just a plan.
The refining process is the same as seen at other gold mines, so I won't record it further. It seems this mine also uses Ashio-style rock drills (足尾式 鑿岩機).
It is said that if only this machinery is installed, mining becomes profitable even if the ore grade (鑛含有量) is merely in the 1/100,000 or 1/1,000,000 range. Money begets money!<125> The economic iron rule of capitalist society holds true here as well. Therefore, no matter how good a gold deposit one discovers, one must first invest at least several thousand won to lay tracks for pushcarts and install equipment like these Ashio-style rock drills for the gold mine to function as a gold mine.
Do the tens of thousands of gold prospectors roaming the world, often jumping in with nothing, know this philosophy? Do they know the iron rule that if one lacks the capital to invest tens of thousands of won in facilities, even if one discovers a good mine, one cannot help but leave with only a few hundred won as a discovery fee?
Even speaking only of Mr. Pak Yong'un's gold mine, over 300,000 won was spent on facilities alone. Because such facilities were established, he was able to receive 1.2 million won.
I hear that this Sakchu mine of Mr. Choe Ch'anghak also has facilities worth fifteen or sixteen thousand won (십오륙만원 - *Note: this seems low compared to the 100,000+ mentioned earlier, potentially a typo or misunderstanding by the reporter, or referring to a different subset of equipment. The later text references 10+ 만원 investment, aligning better with the 100,000+ figure*).

A Terrifying Guard Post, One Hundred *Ch'ŏk* Underground

I went up to the mining site. Some tunnels burrowed straight into the mountainside horizontally, while others went down vertically more than a hundred *ch'ŏk* (尺, approx. 30 meters) underground. There are tunnels managed indirectly through overseers ("德大," *tŏktae*) and places managed directly by Choe Ch'anghak himself.
Guided by a foreman (十長), I decided to enter what was said to be the deepest tunnel among them. Although it was broad daylight, the foreman carried a lamp. They had constructed the underground passage by weaving together planks and logs here and there. It was dark, so I couldn't see well, but the places where hard rock had been indiscriminately bored through with explosives in search of ore veins looked terrifying.
And the rock color was dark, glistening under the lamplight (람포불).
Here and there, bare-chested miners with iron-copper complexions were busily digging earth and drilling rock with pickaxes. And behind them stood foremen with intensely gleaming eyes, looking like ruffians, directing the work and also keeping watch lest anyone swallow a gold nugget that appeared.
An indescribable stench constantly rose from underground. It seemed to be the smell of gunpowder and the miners'<126> sweat.
And thinking about where dynamite might explode with a *kwang!* or when this tunnel, ceilinged with rock, might collapse, the thought truly arose that I had come to the path of Hell. My body trembled.
Although I could still go down another forty or fifty *ch'ŏk*, I thought it would be the same even if I went down further, recalling my past experience seeing a coal mine, and turned back out.
Outside, miners were still loading the excavated ore onto trolleys and sending it to the processing plant near the office. It was a bustling scene.
I heard that the current number of miners employed at this mine is about 230, but it seems likely to increase as work begins in earnest this spring. The annual gold production amount is not yet known as statistics haven't been compiled, but it seemed to produce no less than one or two hundred thousand *kŭm* (금, 金 - likely referring to won value) worth.
Mine owner Choe Ch'anghak is not currently in Sakchu, but having left Seoul, he seems to have gone to his main residence in Kusŏng, apparently coming here occasionally for supervision.
And the ore grade of this gold mine varies, with some places in the 1/10,000 range, some in the 1/100,000 range, and some in the 1/1,000,000 range. However, since he has already invested a large sum of over ten thousand won (10여 만원 - *likely meaning over 100,000 won*) to establish large-scale facilities, it is said to be profitable even if the grade is not that high.
He previously sold the Samsŏng Gold Mine with good fortune (分福), becoming a 3 million won Gold Mine King. Thus, it's said he has 690,000 won in cash deposited in just one branch of the OO Bank in Sinŭiju, and it's rumored he has deposited one million won or some amount in the Bank of Chosŏn (朝鮮銀行).
Through this Sakchu Gold Mine this time, what kind of fortune is he seeking to receive?
As I'm about to put down my pen, today's newspaper reports that the buying price for 1 *momme* (匁, 3.75g) has risen again, to 12 won 50 chŏn at Seoul's Tŏkryŏk (?) exchange and 10 won 50 chŏn at the Bank of Chosŏn. The Government-General (鮮督府) has announced plans to establish a 3 million won refinery in Seoul.
Ah, gold! Gold! Whose bosom are you seeking to find next?<127>

**Summary**

This 1934 article describes the intense "gold rush" atmosphere pervading colonial Korea, where people from all walks of life dreamt of striking it rich like mining tycoons Choe Ch'anghak and Pak Yong'un. The reporter details a visit to Choe Ch'anghak's large-scale gold mine in Sakchu, P'yŏngan Pukto, describing its modern facilities (including a 125-hp crusher and plans for more), the numerous buildings, the harsh and dangerous underground working conditions for the over 230 miners, and the contrast between the potential immense wealth and the grim reality of mining life. The article emphasizes the necessity of significant capital investment for successful mining, referencing Choe's previous fortune from selling the Samsŏng mine and Pak Yong'un's sale to Mitsubishi after heavy investment. It concludes by noting the rising gold price and government plans for a large refinery, reflecting the peak of the colonial gold boom.

For historians, this article is valuable for its vivid portrayal of the socio-economic impact of the gold rush in 1930s Korea. It highlights the emergence of wealthy Korean capitalists like Choe Ch'anghak within the colonial structure, the influx of diverse people into mining speculation, the adoption of modern (Japanese-influenced) technology like Ashio-style drills, and the stark labor conditions faced by miners. It also captures the pervasive "gold fever" and its reflection in media and government policy (like the planned refinery), offering a snapshot of colonial economic activity and social change driven by resource extraction.

**Named Entities**

崔昌學	최창학	Choe Ch'anghak
朔州	삭주	Sakchu
朝鮮	조선	Chosŏn
平安道	평안도	P'yŏngan-do
咸鏡道	함경도	Hamgyŏng-do
全羅道	전라도	Chŏlla-do
方應謨	방응모	Pang Ŭngmo
朴容雲	박용운	Pak Yong'un
平安北道	평안북도	P'yŏngan Pukto
九曲面	구곡면	Kugok-myŏn
延三洞	연삼동	Yŏnsam-dong
鴨綠江	압록강	Amnokkang
新義州	신의주	Sinŭiju
延三	연삼	Yŏnsam
三菱會社	미쓰비시 회사	Mitsubishi Hoesa (Mitsubishi Company)
龜城	구성	Kusŏng
足尾式 鑿岩機	족미식 착암기	Chokmi-sik Ch'ag'amgi (Ashio-style rock drill)
朴龍雲	박용운	Pak Yong'un (*Note: Same person as 朴容雲, different Hanja used here*)
三成金鑛	삼성금광	Samsŏng Kŭmgwang
朝鮮銀行	조선은행	Chosŏn Ŭnhaeng (Bank of Chosŏn)
鮮督府	선독부	Sŏndokpu (Government-General of Korea)
木兵丁	목병정	Mok Pyŏngjŏng

**Glossary**

금광	금광	Gold mine
마치	마치	Hammer (older term, now 망치)
탐광꾼	탐광꾼	Prospector
업다	없다	To not exist; to lack (older spelling of 없다)
이약이	이야기	Story, talk (older spelling of 이야기)
뻐치엇다	뻗치었다	Spread out, extended (older form of 뻗쳤다)
깁분	기쁜	Joyful, happy (older spelling of 기쁜)
엇절 수 업는	어쩔 수 없는	Unavoidable, inevitable (older form)
붓혼	붙은	Attached to (older form of 붙은)
부지기수	부지기수	Countless, innumerable
미두	미두	Rice futures trading
덕대	덕대	Mine overseer, manager (specific term in mining)
복덕방	복덕방	Real estate agency (older term)
차저 보다	찾아 보다	To seek out, look for (older form of 찾아보다)
호가	호가	Asking price
둣고	듣고	Hearing (older spelling of 듣고)
어러 붓튼	얼어붙은	Frozen (older form of 얼어붙은)
덥헛다가	덮였다가	Being covered (older form of 덮였다가)
차싹	차삯	Fare (for vehicle)
모다	모두	All, entirely (older form of 모두)
안젓거니	앉았거니	To think that it sits (older form of 앉았거니)
성가	성가	Reputation, fame (often referring to price/value)
올느고 잇는	오르고 있는	Rising, climbing (older form of 오르고 있는)
드러가서	들어가서	Entering (older form of 들어가서)
노은 것	놓은 것	Things that have been placed/installed (older form of 놓은 것)
만치	만큼	As much as, to the extent that (older particle form)
어울니어	어울리어	Mixing, joining together (older form of 어울려)
가튼	같은	Like, similar to (older spelling of 같은)
드러 안젓스니	들어앉았으니	Since it sits prominently (older form of 들어앉았으니)
내 둘느는	내두르는	Shaking (one's head) (older form of 내두르는)
버러저 잇다	벌어져 있다	Are spread out (older form of 벌어져 있다)
어듸나	어디나	Everywhere, anywhere (older spelling of 어디나)
햇작햇웃	해죽해죽	Smiling slyly or foolishly (onomatopoeia/mimetic word)
색주가	색주가	Prostitute (lit. color-liquor house/person)
매소부	매소부	Prostitute (lit. selling-smile woman)
가가에는	가게에는	At the shop (older spelling of 가게에는)
안저	앉아	Sitting (older spelling of 앉아)
장긔	장기	Korean chess (*changgi*)
낫에	낮에	During the day (older spelling of 낮에)
갓햇다	같했다	Was like, seemed like (older form of 같았다)
도롯꼬	트로코	Trolley, minecart (loanword from Japanese トロッコ 'torokko')
밀대차	밀대차	Pushcart, handcart
채광	채광	Mining, ore extraction
착암기	착암기	Rock drill
채산	채산	Profitability, break-even point
발견료	발견료	Discovery fee
십오륙만원	십오륙만 원	Fifteen or sixteen ten-thousands of won (150,000-160,000 won) (*See note in translation*)
올나가	올라가	Going up (older spelling of 올라가)
뚤느는	뚫는	Drilling, boring through (older form of 뚫는)
깁흐다는	깊다는	Said to be deep (older form of 깊다는)
십장	십장	Foreman (lit. head of ten)
람포불	램프 불	Lamplight (람포 is older transliteration of 'lamp')
버슨	벗은	Bare, unclothed (older spelling of 벗은)
곡깽이	곡괭이	Pickaxe
파수	파수	Guard, watchman
올나온다	올라온다	Comes up, rises (older form of 올라온다)
내려안즐는지	내려앉을는지	Whether it will collapse/sit down (older form of 내려앉을는지)
떨닌다	떨린다	Trembles, shakes (older form of 떨린다)
뜨더나온	뜯어 나온	Excavated, dug out (older form of 뜯어낸)
채련소	제련소	Refinery, smelting plant (here likely ore processing plant)
듯건대	듣건대	According to what I heard (older form of 듣자니)
분복	분복	Luck, fortune (esp. bestowed fortune)
팔어서	팔아서	Selling (older form of 팔아서)
밧으려	받으려	Intending to receive (older form of 받으려)
올는	오른	Rose, went up (older spelling of 오른)
匁	몬	*Momme* (Japanese unit of weight, approx 3.75g)


---------------------------


잡지명	삼천리 제6권 제5호
발행일	1934년 05월 01일
기사제목	崔昌學氏 朔州金鑛採鑛觀, 全朝鮮의 大金鑛巡禮(其一)
필자	木兵丁 記
기사형태	소식

崔昌學氏 朔州金鑛採鑛觀, 全朝鮮의 大金鑛巡禮(其一)
						木兵丁 記
지금 조선은 그야말로 黃金狂時代다. 평안도나 함경도나 전라도나 어듸를 물론하고 산이 잇고 바위가 잇고 흙이 잇는 곳곳에는 마치를 든 探鑛꾼들이 업는 곳이 업고 양복장이 상투쟁이 어른 어린애 할 것 업시 눈 코박인 사람이 두셋만 모여 안즌 자리에서 금광 이약이 나오지 안는 곳이 업스리 만치 금광열이 뻐치엇다.
그래서 지금 수천 수만명 사람들이 저마다 최창학이 되고 방응모가 되고 박용운이 될 꿈을 꾸고 잇다.
이것이 슬푼 일이고 깁분 일이고 간에 엇절 수 업는 오늘의 현상임을 엇저랴.
이전 날 사회운동 하고 민족운동 하든 청년들로 금점판에 붓혼 이가 부지기수요 미두하다 망하고 종로에서 상점보다 망한 인사들로 금점꾼 덕대가 된 이 또한 부지기수다. 그리고 서울 시내에는
광업사무소가 복덕방 모양으로 작고 늘어가니 대체 장차 이 풍조가 엇지 될는고.
엇잿든가 이제 우리는 전 조선에 유명하다는 조선 사람 소유의 금광을 한낫 둘 모다 차저 보아 얼마나한 시설을 하엿고 얼마나한 수입을 보고 잇스며 얼마나한 돈을 밧으면 팔려 하는가 이것들을 모조리 차저 보기로 하노라.<122>

朔州 九曲面의 黃金山차저

平安北道 朔州郡 九曲面 延三洞에 거줏말인지 참말인지는 모르나 呼價 1천만원 운운하는 큰 금점이 나젓다는 소식을 둣고 긔자가 실지 탐험을 나서긔는 3월 하순 압록강 긴 물줄기가 아직도 어러 붓튼 채로 잇고 그 우에 힌 눈이 군데군데 덥헛다가 이른 봄 찬바람이 불 때마다 눈보래를 휘-날니는 추운날이엇다.
新義州에서 朔州가는 자동차를 타기는 아츰 10시 한펀길 차싹만 4원 50전.
新義州에서 朔州드러가는 길은 평지가 별로 업고 모다 산악지대다. 자동차는 이 산구비 저 산모퉁이를 용하게 밋그러저 도라가는데 함께 탓든 부인네들은 그럴 때마다 깜박깜박 놀나면서 휘-한숨을 짓는다.
마츰내 4시간만에 延三」이란 조고마한 촌에 당도하엿다. 이곳이 유명한 금광지대다.
그러나 전문가 아니고는 잘 모르겟다. 산이 생김생김도 그저 울뚝불뚝한 평범한 산이요 바위도 거뭇거뭇한 사람 사느 곳이면 다 잇슬 듯한 평범한 바위건만 저 바위 저 산 속에 몃 십만원 몃 백만원 몃 천만원 하는 누런 황금이 드러 안젓거니 하면 긔도 막히고 무슨 요술에 걸닌 듯 신비스럽기도 하다.<123>
延三이란 동리 저편 쪽에 냇물이 흐르고 잇다. 이 냇물을 끼고 저쪽이 바로 두어 달 젼에 150만원인가 20만원인가에 三菱會社에 팔니어 졸부가 되엇다는 新義州사람 朴容雲氏의 금광이 잇는 자리요. 이쪽이 지금 聲價가 절벽에 올느고 잇는 崔昌學氏의 朔州金鑛 잇는 곳이다.
실로 고양이 이마빠닥만한 이 좁은 지대에 朝鮮서만 둘재가는 큰 금광이 두개씩이나 가로눕고 잇는 세음이다.

二十餘 戶의 事務所 火藥터지는소리

延三洞에 잇는 崔昌學氏의 이 금광은 작년 7월부터 비로소 崔氏 손에 드러가서 채광하기 시작하엿슴으로 年祖로 보아 결코 오래다고는 할 수 업스나 설비를 하여 노은 것은 원래 광업 전문가인 만치 대규모로 보는 사람의 눈을 놀내이게 한다. 爲先 延三洞 川邊까 洞里의 한복판에 洋製와 日本製를 어울니어 지은 고래둥 가튼 광업사무소가 사람의 눈을 빼앗고 그 다음 화약고와 기계 두는 창고와 그 다음 사무원들이 住接할 주택과 이럭저럭 모다 합하야 이 광산에 부튼 가옥이 20여 동이나 된다. 이 만혼 힌 집들이 거머직직한 山谷에 웃둑 드러 안젓스니 산촌에서 자라난 村老들이 골을 홰홰-내 둘느는 것이 무리는 아니겟다.
그러고는 광부들 집이 약 사오십家가 널다란 골목길을 끼고 좌우에 버러저 잇다. 길가 좌우에는 어듸나 돈냄새가 흐르는 곳곳에 늘 그러한 모양으로 백주에 귀신가튼 油頭粉面한 色酒家, 賣笑婦들이 햇작햇웃 작고 내다보는 모양이 보이며, 담배 가가에는 상투장이들이 안저 장긔를 두며 楚漢을 다투고 잇다.
광부들은 대부분 광산에 올 간 모양으로 집 방문압헤는 지까 다비짝들도 볼 수 업다.
이 거리는 아마 밤이 되어야 큰 잔채집 사랑채 모양으로 술 먹고 노래하고 게집 회롱하고 하야 즐퍽하여질 모양이다. 낫에 보는 전 시가는 금전판이란<124> 기분보다 쓸쓸한 한 촌락갓햇다.
그런데 현재 파고 잇는 採鑛장소는 六七處가 된다. 採鑛현장은 이 사무소에서 五六町 더 山谷으로 드러가야 한다. 사무소와 採鑛현장까지는 도롯꼬(밀臺車)를 노앗다. 그리고 그 밀臺車를 통하야 내가 사무소 압헤서 구경하는 사이에도 금빗이 번쩍번쩍 나는 광석올 여러 차 실고 온다.
