Magazine Title: 개벽 제23호
Publication Date: 1922년 05월 01일
Article Title: 하믈레트 (Hamlet)
Author: 쉑스피아 (原作) 玄哲 (譯述) (Shakespeare (Original Author), Hyŏn Ch'ŏl (Translator/Adapter))
Article Type: 희곡·시나리오 (Play/Scenario)

Hamlet
						Shakespeare (Original Author) Hyŏn Ch'ŏl (Translator/Adapter)
Act Three
Scene Three
(A Room in the Castle)
The King enters first, followed by Roojenk'ŭrantch'ŭ and Kildensŭtaan.

King. Not only is it unsettling to the mind, but if we leave such mad symptoms unattended, unfavorable things may happen to us. Therefore, I intend to entrust him to you and send him to England (英吉利). Hurry and prepare to depart bearing the state letter. For the sake of the nation, there is no choice regarding his madness, which grows worse by the hour.
Kilden. We shall begin preparations at once. It is an exceedingly proper measure that Your Majesty considers the safety of the people whose lives depend under Your Majesty's authority.
Roo. Even an ordinary man (匹夫) uses all his wisdom to avoid misfortune (禍厄), how much more so for the royal person (玉體) whose life is connected to the life and death of the countless populace (億兆蒼生); it cannot be left as it is. There is a saying by way of metaphor (比喩) that a king never perishes alone but, like a large whirlpool (큰물희리 水渦), pulls everything around him into it. Or, like a great windmill (風車) installed on a high mountain peak (高山絶頂), countless small objects <32> are attached to the edges of its large wheel (수래바퀴); therefore, if it were ever to collapse, no small attached part (附屬物) could escape being destroyed (破壤됨). It is true that the groans (呻吟) of millions follow His Majesty's (聖上 陛下) sigh (嘆息).
King. Then, please prepare for a swift departure (出帆). I wish to quickly bind this dangerous thing (危險物), which runs rampant too freely, with iron chains (쇠사슬).
Roo. Then we shall take measures (措處) quickly.
Kilden.
(Roojenk'ŭrantch'ŭ and Kildensŭtaan exit.)
(Pporooninyasŭ enters.)
Pporo. Reporting, Your Highness. The Prince (王子 殿下) is now beside Her Majesty the Queen Mother (母后 陛下). I shall hide behind the curtain (帳幕) and listen from beginning to end (始終). Her Majesty the Queen Mother will surely deliver a strict (嚴格하신) admonition (訓戒). And, just as Your Majesty said, no matter how wise (어지신) the words, in that place where the two sit facing each other, the relationship of flesh and blood (骨肉) naturally exists, so there will inevitably be words of cherishing (愛護하시는). Therefore, it would be convenient (便利하실) to have one more person hiding and listening. Please take care of your royal person (玉體). Before you retire to your bedchamber (寢所), I will report the detailed situation (仔細한 動靜) before Your Majesty (尊前).
King. Thank you for your words.
(Pporooninyasŭ exits.)
Ah! What a great sin (罪惡) this is. The stench of that sin reaches the ends of heaven (한울). When this world first opened, the curse (咀呪) first fell upon it. The curse of killing a brother. I try to offer prayers (祈禱), but I cannot. The desire to pray surges from my heart, but when I think of my many sins, even that thought fades away (슬어져 업서지고), like trying to do two things at once, this and that get mixed up, and nothing gets done... Even if my brother's blood were doubly caked (누러부터서) upon this hand of resentment (怨嗟), if the rain of pity (憐愍) fell from heaven, would it not become whiter than snow! If there is no light shining (照臨) upon the sinner, even great mercy (大慈悲) has no use. Prayer is offered to avoid the fall (墮落). Even if one falls, can salvation (救함) be obtained? Without these two merits (功德), prayer has no effect (效果). Right, beyond this, there is nothing but to pray to God (한우님). My transgression (허물) is a thing of the past... But what should I pray for? "Please forgive (容恕해줍소서) the harm (毒害) of injustice (非道)?" No, this won't do. Can I be absolved of the sin <41> while still possessing the throne, the crown, the queen whom I killed and stole (빼슨)? In this chaotic world, even a hand that committed sin, if gilded (鍍金) with gold, can bend justice (正義) and fairness (公道), and eventually, even buy (買收) the nation's authority (威權) with the power of wealth (財貨) obtained through injustice. But the court (法庭) in heaven looks down upon all things; it cannot be deceived even by a hair's breadth (털끗마치라도). Then what should I do? It is said that any sin disappears with repentance (改過). Right, right, with the sincerity (精誠) of repentance. But what if true repentance is not achieved? Ah, ah, pitiful! This heart besieged by death! Though I try to reform, like a baby bird (새새끼) tied by the leg with thread, the more I struggle (부비대면), the more my whole body (全身) gets entangled in the thread's end (실끗) of sin—such pain (苦痛)! Save me, God (한우님)! I pray with sincerity. Take pity, and may these stubborn (完固한) knees, this heart like steel (鋼鐵), become soft (軟하게) like a child's muscles (筋肉)—may all wishes be achieved (成就하도록).
(The King retreats to a corner, kneels (꿀코), and prays (빈다).)
(Hamŭlnerŭ enters.)
Hamŭl. Now is truly the time to act (擧事할). While he is offering prayers. My enemy (寃讐)...
Then that man will go to heaven (天國)... I take revenge (寃讐를 갑는다)? This requires thought. A villain murdered (弑殺햇다) my father king. As recompense (報償), his son sends that villain to heaven! To heaven... Truly, this is a hired service (품파리의 일). It is not revenge (復讎). When Father King met his end (最後) because of that scoundrel, worldly desires (塵慾) still filled his heart, and his sins were blooming and boasting like the hundred flowers (百花) of spring. Extrapolating from human affairs to imagine (想像하면) the affairs of the next world (他世), Father King's faults (허물) must also be heavy! And what is that? Right now, that man is praying (빌고) for the afterlife. If I kill him now, he will go to paradise (極樂). This is not the way of revenge... Right, now is not the time to kill. When he is lying drunk (醉해서), or indulging in lewdness (邪淫), or deciding a match (勝負), or making a false oath (盟誓)—I must wait for an opportunity (機會) when his soul (魂靈) is so defiled (드러워젓슬) that there is no way for atonement (購함), then strike him down (꺼구러 트리면), so his heels (발굽) kick at heaven, and he falls headlong into dark (暗黑한) hell (地獄) to receive eternal (永劫) torment (苛責)... The Queen Mother must be waiting... Letting him live for a short while (暫間동안) is merely prolonging the illness (病).
(Hamŭlnerŭ exits.)
King. My words fly up to heaven, but my thoughts remain on earth. Words without thoughts behind them never reach heaven.
(King exits.)
Curtain
—(Act 3, Scene 3 End)— <42>

**Summary**

This text is a Korean translation of Act 3, Scene 3 of Shakespeare's Hamlet, published in the magazine *Kaebyŏk* in 1922. King Claudius, fearing Hamlet's madness, tells Rosencrantz and Guildenstern to prepare to take Hamlet to England immediately. Polonius informs the King he will hide and eavesdrop on Hamlet's conversation with his mother. Left alone, Claudius expresses profound guilt over his brother's murder and tries to pray for forgiveness but finds himself unable to repent sincerely while still enjoying the fruits of his crime (crown, queen). Hamlet enters and sees Claudius praying. He considers killing him then and there but decides against it, reasoning that killing Claudius while he is praying might send his soul to heaven, which would not be true revenge for his father's murder under sinful circumstances. Hamlet resolves to kill Claudius at a later time when he is caught in sin, ensuring his damnation, then leaves. Claudius rises, acknowledging his prayer was ineffective as his thoughts remained earthbound.

From a historical perspective, this article is significant as an early example of Western literary translation into Korean during the Japanese colonial period. Published in *Kaebyŏk*, a major intellectual magazine known for promoting cultural enlightenment and sometimes nationalist sentiments, the translation itself signifies an effort to engage with world culture. The specific Korean used, with its older spellings (e.g., 한울 for 하늘, 잇슬 for 있을, 밧드러 for 받들어, 꿀코 for 꿇고), grammatical forms, and Hanja usage, offers valuable linguistic data for researchers studying the evolution of the Korean language in the early 20th century. The choice of *Hamlet*, a play dealing with themes of legitimacy, revenge, and political corruption, might have resonated subtly with contemporary Korean intellectuals navigating the complexities of colonial rule, although the translation itself appears relatively direct.

**Named Entities**

國王	국왕	King (Claudius)
로오쩬크란쯔	로오쩬크란쯔	Roojenk'ŭrantch'ŭ (Rosencrantz)
킬덴스다안	킬덴스다안	Kildensŭtaan (Guildenstern)
英吉利	영길리	Yŏnggilli (England)
뽀로오니냐스	뽀로오니냐스	Pporooninyasŭ (Polonius)
王子 殿下	왕자 전하	Prince (Hamlet)
母后 陛下	모후 폐하	Queen Mother (Gertrude)
하믈네르	하믈네르	Hamŭlnerŭ (Hamlet)
쉑스피아	쉑스피아	Syek'sŭp'ia (Shakespeare)
玄哲	현철	Hyŏn Ch'ŏl

**Glossary**

穩當치만	온당치만	Inappropriate, unsuitable (older spelling/form of 온당하지만)
身上	신상	One's person, status, safety
맛겨서	맡겨서	Entrusting (older spelling of 맡겨서)
부내랴고	보내려고	Intending to send (older spelling/form of 보내려고)
밧드러	받들어	Receiving, obeying (older spelling of 받들어)
狂態	광태	Madness, frenzy
下念하심	하념하심	Consideration, concern (honorific)
當然한	당연한	Natural, proper, rightful
處分	처분	Measure, disposition, action
匹夫	필부	Ordinary man, common fellow
禍厄	화액	Misfortune, calamity, disaster
億兆蒼生	억조창생	The countless populace, the masses
玉體	옥체	Royal person, king's body (honorific)
큰물희리	큰 물회리	Large whirlpool (older spelling/form)
高山絶頂	고산절정	High mountain peak
附着해	부착해	Attached
破壤됨	파괴됨	Being destroyed (older spelling/form of 파괴됨)
聖上 陛下	성상 폐하	His Majesty the King
嘆息	탄식	Sigh
呻吟	신음	Groan
딸하단이는	따라다니는	Following (older spelling/form of 따라다니는)
出帆	출범	Setting sail, departure by boat
橫行하는	횡행하는	Running rampant, acting outrageously
쇠사슬	쇠사슬	Iron chains
措處	조처	Measure, step, action
只今	지금	Now (common older form, sometimes still used poetically)
帳幕	장막	Curtain, tent, screen
始終	시종	Beginning and end, throughout
嚴格하신	엄격하신	Strict (honorific)
訓戒	훈계	Admonition, reproof, warning
어지신	어진	Wise, virtuous (older form)
骨肉	골육	Flesh and blood, kinship
愛護하시는	애호하시는	Cherishing, protecting (honorific)
듯게	듣게	To hear (older spelling of 듣게)
寢所	침소	Bedchamber, sleeping place
尊前	존전	Before His/Your Majesty, in the royal presence
仔細한	자세한	Detailed
動靜	동정	Movements, situation, state of affairs
罪惡	죄악	Sin, crime, wickedness
한울	하늘	Heaven, sky (native Korean word, older spelling)
咀呪	저주	Curse
祈禱	기도	Prayer
끌허 나오지마는	끓어 나오지마는	Wells up but... (older spelling of 끓어)
슬어져 업서지고	스러져 없어지고	Fades away and disappears (older spelling/form of 스러져 없어지고)
怨嗟	원차	Resentment, grudge, grievance
누러부터서	눌어붙어서	Caked on, stuck fast (older spelling/form of 눌어붙어서)
憐愍	연민	Pity, compassion
照臨	조림	Shining upon (esp. divine light)
大慈悲	대자비	Great mercy, great compassion
墮落	타락	Fall, depravity, corruption
救함	구함	Salvation, rescue
功德	공덕	Merit, virtue
效果	효과	Effect, result
허물	허물	Fault, transgression, flaw
非道	비도	Injustice, unrighteousness, wrong path
毒害	독해	Poisoning, harm, malice
容恕해줍소서	용서해주소서	Please forgive (formal/humble request)
빼슨	빼앗은	Stolen, usurped (older spelling of 빼앗은)
鍍金	도금	Gilding, plating
正義	정의	Justice
公道	공도	Fairness, public way, impartiality
財貨	재화	Goods, wealth, treasure
威權	위권	Authority, power, dignity
買收	매수	Buying, purchasing; bribery
法庭	법정	Court of law
털끗마치라도	털끝만치라도	Even a hair's breadth (older spelling/form)
改過	개과	Repentance, mending one's ways
精誠	정성	Sincerity, devotion, earnestness
새새끼	새끼 새	Baby bird, fledgling (colloquial/older form)
부비대면	부비대면	If one struggles/rubs against (older form)
실끗	실끝	End of a thread (older spelling)
全身	전신	Whole body
完固한	완고한	Stubborn, obstinate, hardened
鋼鐵	강철	Steel
筋肉	근육	Muscle
軟하게	연하게	Softly, tenderly
成就하도록	성취하도록	So that it is achieved/accomplished
꿀코	꿇고	Kneeling (older spelling of 꿇고)
빈다	빈다	Prays, begs
擧事할	거사할	To act, undertake a task, start something (esp. significant)
寃讐	원수	Enemy; revenge (context-dependent)
天國	천국	Heaven, paradise
報償	보상	Reward, recompense, compensation
품파리	품팔이	Selling labor, hired work/service
復讎	복수	Revenge, vengeance
弑殺햇다	시살했다	Murdered (esp. a superior, like a king or parent) (older spelling of 시해했다 or 시살했다)
最後	최후	The end, the last moment
塵慾	진욕	Worldly desires, earthly passions
他世	타세	The next world, the afterlife
邪淫	사음	Lewdness, adultery, illicit sexual relations
盟誓	맹세	Oath, vow
購함	구함	Atonement, redemption (less common term)
魂靈	혼령	Soul, spirit
드러워젓슬	더러워졌을	Having become dirty/defiled (older spelling/form of 더러워졌을)
機會	기회	Opportunity, chance
꺼구러 트리면	거꾸러뜨리면	If one knocks down, overthrows (older spelling/form of 거꾸러뜨리면)
발굽	발굽	Hoof (used metaphorically for foot here)
暗黑한	암흑한	Dark, pitch-black
地獄	지옥	Hell
永劫	영겁	Eternity, eon
苛責	가책	Torment, reproach, pangs of conscience
暫間동안	잠깐동안	For a short while, briefly
-e 

---------------------------


잡지명	개벽 제23호
발행일	1922년 05월 01일
기사제목	하믈레트
필자	쉑스피아 (原作) 玄哲 (譯述)
기사형태	희곡·시나리오

하믈레트
						쉑스피아 (原作) 玄哲 (譯述)
第三幕
第三章
(城內의 一室)
國王이 압서고 그 뒤로 로오쩬크란쯔와 킬덴스다안이 들어온다.

國王.  마음에 穩當치만 못할 뿐 아니라 그와 가튼 미친 症을 버려두면 우리들의 身上에 조치 못한 일이 잇슬 것이니 그대들에게 맛겨서 英吉利로 부내랴고 한다. 急히 國書를 밧드러 출발할 準備를 해라. 時時로 더해가는 그애의 狂態는 國家를 爲해서 하는 수가 업다.
킬덴.  곳 準備에 着手하겟습니다. 陛下의 威權 알에에 목숨을 매단 國民의 安危를 下念하심은 至極히 當然한 處分인가 하옵니다.
로오.  匹夫일지라도 禍厄을 避하는 데는 잇는 智慧를 다하거늘 하물며 億兆蒼生의 生死에  關連되신 玉體로써 그냥 둘 수가 업습니다. 王者는 單獨히 亡하는 法이 업고 큰물희리(水渦) 가티 모든 周圍를 끄을고 들어간다는 比喩의 말슴이 잇습니다. 또는 高山絶頂에 裝置한 큰 風車와 가티 그 큰 수래바퀴 가에는 幾萬이라는 작은 物件이 ＜32＞ 附着해 잇기 때문에 萬一에 그것이 문허질 때에는 어떠한 작은 附屬物일지라도 반듯이 破壤됨을 免치 못하는 것입니다. 聖上 陛下의 嘆息에는 億兆의 呻吟이 딸하단이는 것이 올시다.
國王. 그러면 아모쪼록 速히 出帆할 準備를 해다고 넘우 自由로 橫行하는 이 危險物을 速히 쇠사슬로 붓들어 매고 십다.
로오.  그러면 急히 措處를 하겟습니다.
킬덴.
(로오쩬크란쯔, 킬덴스다안이 들어간다.)
(뽀로오니냐스 들어온다.)
