잡지명	개벽 제23호
발행일	1922년 05월 01일
기사제목	멀리온 兄弟, 海蔘威演藝團을 歡迎함 (Welcoming the Brothers from Afar, the Vladivostok Performing Arts Troupe)
필자	玄哲
기사형태	문예기타 (Literary/Arts Miscellaneous)

Welcoming the Brothers from Afar, the Vladivostok Performing Arts Troupe
						Hyŏn Ch'ŏl

It's not just one or two hundred thousand brothers who are far away overseas, and the groups of compatriots visiting the motherland year after year are also not just one or two, but what stops in my thoughts and remains in my memory seem to be the Vladivostok Student Music Troupe from last year and the Vladivostok Performing Arts Troupe that has come this time. I suppose I cannot say that any group visiting the homeland lacks meaning, but among them, the visit of an arts troupe to the motherland seems to imprint a not insignificant impression upon this Hyŏn Ch'ŏl.

I have longed for Russia (露西亞) for a long time. I longed for Russia, the nation of art, more than Russia of radicalism, and I deeply admired Russia, the nation of freedom, more than Russia of communism. Whether the form of government is a monarchy, a republic, an anarchist collective, or communist, such nouns proclaiming a form do not strike Hyŏn Ch'ŏl as particularly fragrant slogans. Regardless of the form of the state body or the noun the nation bears, the question is how its people can live a free life and how they can maintain a warm national life following the beauty of life. Today, that thing called the state has become the objective of human life, and all citizens and all peoples are becoming absolute sacrifices and servants under the name of the state. Hyŏn Ch'ŏl does not think such a superficial state seems like the objective of human life. At the very least, the state must become an instrument for the truth, goodness, and beauty of human life. This is proven by the history of humanity from ancient times. If tribal life could guarantee the security of a people's life, then that people would be content with tribal life.<18> If, even under autocratic rule, the life of the people itself could be free and happy, then we would be satisfied there. And if, even as a republic or communist collective, the life of the people itself could be comfortable and beautified, then there would be no complaint either. Therefore, rather than speaking according to the form, one should distinguish good from bad according to the actual content.

Everything about us is not like others. Even if my home is affluent, my body has freedom, and my heart has peace, the feelings of wandering adrift in a foreign land away from home – one cannot know how bitter, how lonely, how painful they must be. Moreover, our brothers and sisters wandering thousands of miles overseas, having abandoned their ancestral graves and left their relatives! We can guess, without asking or hearing, that their lives are not abundant and their hearts lack ease. In this situation! In these circumstances, with the same sorrow and the same dissatisfaction, by what do those living adrift console their hearts, and by what do they comfort the sorrow of life? Whenever I think of this, seeing those brothers and sisters who, under the same background, bear one more tear of sorrow from a foreign land than we do, an unusual emotion stirs within me, Hyŏn Ch'ŏl, as an individual.

Guests visiting the motherland from abroad are not just once or twice a year, nor are the groups just one or two. However, while such groups' visits merely involve sightseeing the culture and institutions of the motherland or seeing our unwelcome state of life and leaving, I am reminded again that the visit of groups like the Russian Vladivostok Student Music Troupe that came last year and the Vladivostok Performing Arts Troupe that came this time has deep significance and much meaning.
For those steeped in the Russian way of life, where they feel as if they have no life for a day if they miss the daily newspaper, and as if they have no life for a week if they cannot see a play once a week, for them to visit the motherland with their skills, however insufficient they may be, is a more welcome and joyful event than anything else. It is a fact that all our facilities are in their nascent stages and incomplete, and especially when it comes to the field of art, we still have nothing much to boast about. In such circumstances, how many seeds of art they will sow here in our Korea (朝鮮) remains to be seen, as Hyŏn Ch'ŏl has not yet seen them perform, so I cannot say how it will be. However, even if they do not all possess specialized skills,<19> there are undoubtedly specialists among them, and moreover, having been immersed in the artistically rich atmosphere of Russia, even if the troupe was organized with amateurs, I believe it will surely be several times better than the concerts or theatre troupes that seem to occur almost every month here in Korea.

Human social life is complex in various ways, almost innumerable and dazzlingly multifaceted, making it impossible to discuss each aspect individually. Which aspects are more necessary and which are less so will differ for each person according to their field and needs. However, in comforting the inner solitude of human life, elevating taste, and guiding aesthetic sensibilities well, there is little with a greater effect than art. For us, whose circumstances are miserable and whose lives are sorrowful, the need for art seems to be many times greater than for others.
The current visit to the motherland by the members of the Vladivostok Performing Arts Troupe is certainly not to boast of their skills to the motherland, nor is it for the purpose of profit. They simply came to show their compatriots in the motherland what they do, well or poorly, as a means of self-consolation for their difficult lives in a foreign land and climate. Whenever we see them, we know there will be the sorrowful melody that harmonizes their bleak lives in the cold winds and snowy weather of Siberia (西伯利亞).
Moreover, receiving the trends of the art nation, which have not been heard or seen before in mainland Korea, and having them transmitted to our mainland – although we do not know how much stimulus this will give to our desolate artistic garden – we earnestly hope for many such visits by groups to the motherland.
Finally, I lay down my brush, wishing for the health of the entire troupe during their nationwide tour.<20>

**Summary**

Hyŏn Ch'ŏl warmly welcomes the Vladivostok Performing Arts Troupe, a group of Korean compatriots visiting from Russia. He contrasts the perceived artistic richness and freedom of Russia (regardless of its political system) with the constrained and underdeveloped artistic environment of colonial Korea. He sees the troupe's visit not primarily as a display of professional skill, but as a meaningful act of cultural exchange and mutual consolation between Koreans at home and those living difficult lives abroad. He hopes their performance, born from the sorrowful yet artistically fertile Russian environment, will stimulate Korea's nascent art scene and provide comfort to a populace living under harsh conditions. Historically, the article is interesting as it reflects Korean intellectual admiration for Russian culture (distinct from political ideology) in the early 1920s, underscores the hardships and cultural activities of the Korean diaspora in the Russian Far East, and highlights the role of art as a source of solace and national expression during the colonial period. The longing for freedom and cultural development, contrasted with the perceived situation in Russia, offers insight into Korean aspirations under Japanese rule.

**Named Entities**

海蔘威演藝團	해삼위연예단	Vladivostok Performing Arts Troupe
玄哲	현철	Hyŏn Ch'ŏl
海蔘威學生音樂團	해삼위학생음악단	Vladivostok Student Music Troupe
露西亞	노서아	Russia
朝鮮	조선	Chosŏn (Korea)
西伯利亞	서백리아	Siberia

**Glossary**

兄弟	형제	Brothers (used broadly for compatriots)
海蔘威	해삼위	Vladivostok
演藝團	연예단	Performing arts troupe
昨年	작년	Last year
갓다	같다	Seems like; is like (Older spelling)
意味	의미	Meaning
업다고	없다고	That there isn't; that it lacks (Older spelling)
露西亞	노서아	Russia (Older transliteration)
憧憬	동경	Longing; yearning
藝術國	예술국	Art nation; nation of art
共産主義	공산주의	Communism
國體	국체	Form of government; national political system
標榜	표방	Advocating; proclaiming
향그럽지	향그럽지	Fragrant; appealing (Metaphorical usage; older form)
標語	표어	Slogan; motto
勿論	물론	Of course; needless to say
어찌면	어쩌면	How; in what way (Older form)
人生美	인생미	Beauty of life
民族的	민족적	National; ethnic
維持	유지	Maintain; preserve
目的物	목적물	Object; goal; objective
犧牲者	희생자	Victim; sacrifice
使役者	사역자	Servant; one who is made to work
皮相的	피상적	Superficial
眞善美	진선미	Truth, goodness, and beauty
手段物	수단물	Means; instrument
往古	왕고	Ancient times
部落生活	부락생활	Tribal life; village community life
專制政治	전제정치	Autocratic rule; despotism
미테서라도	밑에서라도	Even under
自由스롭고	자유스럽고	Being free (Older form of -스럽다 suffix)
滿足	만족	Satisfaction; contentment
딸하	따라	Following; according to (Older spelling)
實地	실지	Actual situation; reality
內容	내용	Content; substance
分揀	분간	Distinguish; discern
넉넉하고	넉넉하고	Being sufficient; affluent
客地	객지	Foreign land; place away from home
漂泊	표박	Wandering; drifting
辛酸	신산	Hardship; bitterness
寂寂	적적	Lonely; desolate
墳墓	분묘	Grave; tomb
兄弟姉妹	형제자매	Brothers and sisters (Compatriots)
豊足	풍족	Abundance; wealth
餘裕	여유	Room; leeway; composure
뭇지	묻지	Asking (Older spelling)
듯지	듣지	Hearing (Older spelling)
斟酌	짐작	Guess; infer; consider
處地	처지	Situation; circumstances
슯흠	슬픔	Sadness; sorrow (Older spelling)
慰勞	위로	Comfort; consolation
生活悲	생활비	Sorrow of life; life's tragedy
安慰	안위	Comfort; solace
背景	배경	Background
異域悲哀	이역비애	Sorrow of a foreign land
먹음은	머금은	Holding (tears, etc.) in (Older spelling)
情感	정감	Emotion; feeling
衝動	충동	Impulse; urge
文物	문물	Culture and institutions; civilization
깁고	깊고	Deep (Older spelling)
만흔	많은	Many; much (Older spelling)
하로	하루	One day (Older spelling)
演劇	연극	Play; drama
저저온	젖어온	Soaked in; accustomed to (from 젖다)
技術	기술	Skill; technique
질겨운	즐거운	Pleasant; joyful (Older spelling)
施設	시설	Facilities; institutions
草創	초창	Beginning; founding stage
完備	완비	Complete provision; perfection
方面	방면	Field; area; aspect
事實	사실	Fact; truth
뿌려줄는지	뿌려줄는지	Whether they will sow/spread
行演	행연	Performance (likely typo for 공연)
업스나	없으나	Although there isn't (Older spelling)
專門家	전문가	Expert; specialist
氣分	기분	Atmosphere; mood; feeling
豊富	풍부	Abundance; richness
生手	생수	Novice; amateur
組織	조직	Organization; organized
다달이	다달이	Every month
잇다십히	있다시피	As there almost are (Older spelling)
音樂會	음악회	Concert; musical performance
數倍	수배	Several times
나흘	나을	Better (Older spelling)
밋는	믿는	Believing (Older spelling)
眩煌	현황	Dazzling; brilliant
內的	내적	Internal; inner
獨寂	독적	Solitude; loneliness
慰安	위안	Comfort; solace
趣味	취미	Taste; hobby; interest
高尙	고상	Noble; refined
美的	미적	Aesthetic
善導	선도	Good guidance; lead well
效果	효과	Effect; result
悲慘	비참	Misery; wretchedness
悲悵	비창	Sorrowful; pathetic
幾倍	기배	Several times; many times
要求	요구	Demand; requirement; need
一行	일행	Party; group
今番	금번	This time
營利	영리	Profit-making; commercial gain
다못	다만	Only; merely
異域風土	이역풍토	Climate and customs of a foreign land
自慰	자위	Self-consolation
同胞	동포	Compatriots
왓다	왔다	Came (Older spelling)
寒風雪天	한풍설천	Cold wind and snowy weather
冷落	냉락	Desolate; deserted; bleak
調和	조화	Harmony; harmonize
音律	음률	Melody; rhythm; music
悲哀	비애	Sorrow; grief
일즉이	일찍이	Early on; before
風潮	풍조	Trend; current; atmosphere
바다	받아	Receiving (Older spelling)
傳하게	전하게	To transmit; convey
蕭條	소조	Desolate; bleak; dreary
동산에	동산에	In the garden
얼마마한	얼마만한	How much; what degree of
刺戟	자극	Stimulus; stimulation
모르겟스나	모르겠으나	Although I don't know (Older spelling)
懇切히	간절히	Earnestly; eagerly
끗으로	끝으로	Lastly; finally (Older spelling)
巡業	순업	Tour; roadshow
建康	건강	Health
놋는	놓는	Putting down; releasing (Older spelling)
-e 

---------------------------


잡지명	개벽 제23호
발행일	1922년 05월 01일
기사제목	멀리온 兄弟, 海蔘威演藝團을 歡迎함
필자	玄哲
기사형태	문예기타

멀리온 兄弟, 海蔘威演藝團을 歡迎함
						玄哲
