잡지명	개벽 제34호
발행일	1923년 04월 01일
기사제목	우리가 選擇할 小住宅, 文化生活과 住宅(其三) (The Small House We Should Choose, Cultural Life and Housing (Part 3))
필자	金惟邦
기사형태	논설 (Editorial/ 논설)

우리가 選擇할 小住宅, 文化生活과 住宅
						金惟邦

6.
In the previous chapter, the author briefly explained the flaws of the houses we currently live in, comparing them to our lives, and also briefly mentioned the trend in housing among Westerners (歐米人), who are foundational to modern culture.

So, what kind of house should we prepare for ourselves from now on? I think it is a problem that seems light but is not light, seems easy but is not easy.

For us, who are extremely poor economically, and whose lives are unstable politically and socially, it is natural that the reality of such a problem is vague. Furthermore, it is also true that the division between new and old ideologies (新舊思潮) and traditional customs (在來의 因襲) will certainly not easily permit such changes in real life.

However, we should not think of this housing problem merely as a container (容器) to accommodate us. When we consider that it is a type of art (藝術) that we encounter most frequently throughout our lives, I believe that even we, who face many obstacles, cannot help but give this housing problem some consideration (一顧).

Indeed, I affirm this. Housing is art. It is the art with which we have the most time and the closest contact in our lives.

It is true that architecture has originally been recognized as an art occupying an important position in both the East and West. However, traditional architectural art often referred to large structures like temples (寺院), theaters (劇場), or pagodas (域塔), which did not have a very significant relationship with our daily lives. But gradually changing thought (思潮) has called for the popularization of art (藝術의 民衆化), and at the same time, has made us appreciate housing art, which is most frequently encountered in our daily lives. <56>

There is no precedent for humans living apart from art. The desire for beauty (美의 慾求) is human instinct (本能). Human senses (官能) were created to seek beauty. A baby loving its mother's breast is by no means loving it solely for its hungry stomach. That is, it is nothing more than the desire of its sense of taste (味覺), a sensory organ, to obtain that sweetness (甘味).

Then, for all other senses – sight (視覺), hearing (聽覺), touch (觸覺), feeling (感覺) – it requires no lengthy explanation that they certainly cannot live apart from beauty (美). That is, human life begins through the procedures (手續) of beauty.

Therefore, when we think of housing not just as a kind of container (容器) that protects our lives from wind, cold, heat, and dampness (風寒暑濕) and provides stability (安頓), but rather as art that can console our senses, the thought of wanting to paste even a single piece of white paper (白紙) on the wall will become even more earnest, I believe.

So, what kind of house should we prepare so that it becomes ours, harmonizing with our senses and our real lives (實生活)?

With simple common sense and shallow knowledge (淺薄), the author intends to present a concrete plan (具體案) for housing below.

7.
As mentioned repeatedly in the previous chapter, our traditional houses have many deficiencies (不實) and flaws for us who intend to manage modern life (現代生活).

To compensate for these flaws, I think we inevitably need to look at the housing systems (住宅制) of Europe and America (歐米), the masters of modern civilization, select what is suitable for our lives, and combine it with our own.

This is not simply suggesting imitation based on the assumption that Westerners are the masters of modern civilization.

In fact, apart from the family (家庭), there is nothing in our lives that has not been imitated from them. Schools (學校), churches (敎會堂), offices (事務所), government offices (公務所) – regardless of what it is, we have imitated them and come to use chairs, desks, and pens. There is no reason why only we, limited to our homes, should continue to use our traditional customs as they are, even while feeling inconvenienced.

Then, to what extent <59> should we imitate the Western housing system (住宅制)? Of course, imitating their lifestyle exactly is something our economic power would not allow, nor is there a need to do so.

Now, speaking of the types of rooms (室別) that our new, universally established houses should include, I think a bedroom (寢室), living room (生活室), guest room doubling as a study (客室 겸 書齋), and a kitchen (料理室/부억) would be sufficient. Beyond that, rooms like a servant's room (下人室), guest bedroom (來客用寢室), or children's room (小兒室) will be separate issues depending on the number of family members (家族) and differences in lifestyle (生活樣式). Besides these, resolving the auxiliary issues (附屬問題) of a toilet (便所), bathroom (浴室), and a hall/storage space (廳間) should suffice.

Now, if we were to keep the style of housing purely traditional Korean (朝鮮), there would be nothing more to say. However, if we are to imitate the Western housing system (歐米住宅制) to any extent, I think it is most appropriate to adopt the bungalow style (뻥갤로-式), which modern Westerners most commonly use (see Figure 3 in the previous chapter). Why? Because this bungalow-style house is not only most suitable for incorporating natural beauty (自然味) among small houses, but its flat roof (집웅이 平滑) and wide eaves (치마가 넓어) make it remarkably similar (恰然히) to Korean houses, suggesting it might be most suitable for our climate (風土).

The only drawback (短處) of this bungalow (뻥갤로-) might be that, due to its origins (起源) in the south (南方), consideration for heating systems (暖房裝置) was lacking (未及). However, this can be compensated for by appropriate installation (設備), and furthermore, if we adopt our ondol (온실 - *note: here 온실 likely refers to ondol, the Korean floor heating system, not a greenhouse*), it might not be considered a drawback at all. Also, this bungalow-style house is said to be completed with the least expense (經費) in terms of construction economy (建築經濟).

Now, briefly, what structure do Westerners typically use when building bungalow-style houses? They make the roof as flat (平滑) as possible and the height (高) low, striving for harmony with nature (自然) as much as possible. Regarding the room layout (室別), they place a porch (포-취), veranda (베란다-), or <60> terrace (테레스) at the front (正面) of the house (位宅) to harmonize the outside world (外界) and the interior (室內). Next, although there are cases where a hall (호-고) is placed, usually the porch leads directly into the living room (生活室). Following that, a dining room (食堂) is placed (the dining room and living room are only distinguished by an arch (아-취(홍여)), never separated (區隔) into two rooms). Opposite the dining room, the kitchen (부억) is placed, sometimes with a pantry (식기실) between the kitchen and dining room. Then, several bedrooms (寢室) are placed along a corridor (복도), with a toilet (便所) and bathroom (沐浴室) invariably placed between bedrooms. Behind these, it is customary (通例) to have a back door (後門) and stairs (昇降階段) leading to the basement (지하실).

So, how should we arrange our rooms (室別)? Of course, having a large room (廣室) as a living room where one entertains both internal and external guests (內外客) and where the family lives daily would be fine. However, if a separate room is still needed for guests (來客用時) distinct from the family's living space, instead of distinguishing between a living room and dining room like Westerners do, we could separate the guest room (客室) and living room (生活室), having the guest room also serve as the master's study (書齋), and the living room also serve as the dining room (食堂). I think this would not cause much inconvenience. Besides the kitchen (부억) and bedrooms (寢室), which naturally require appropriate facilities (設備) according to the number of family members, the bathroom (목욕실), basement (지하실), and servant's room (下人室) will inevitably have to be built separately outside the main house (本室), close to the back door, to reduce excessive costs (太過). Why is this so? Because Koreans still cannot live entirely without a hall/storage space (廳間). Of course, if a basement were built, there would be no issue, but while this basement is incredibly necessary (無雙히) for house construction, it also requires a very large expense (多大한 經費). Therefore, instead of the basement, we inevitably have to build a separate *ch'ŏng* (廳). By making it adjacent (接近) to the main house, accessible via a corridor, and building the servant's room and even the bathroom there together, I think some savings (節約) can be achieved.

Figures 4, 5, and 6 published in this chapter show the exterior appearance (外形) and simple room layout (實別) of the new house we should live in. Henceforth, I intend to continue presenting detailed opinions (分部意見) on the structure of each room. <61>
<56-61>

**Summary**

Kim Yubang argues that Koreans in 1923 need to reconsider their traditional housing, which he deems inadequate for modern "cultural life." He posits housing as a crucial form of everyday art affecting well-being. While acknowledging economic and social constraints, he advocates for adopting elements of Western housing, specifically the bungalow style, due to its aesthetic similarity to Korean forms, potential suitability to the climate (with modifications like incorporating ondol), and relative affordability. He proposes a modified layout adapting the bungalow plan to Korean needs, suggesting combining guest/study rooms and living/dining rooms, and placing utility spaces like bathrooms and servant's rooms in a separate, connected structure (a *ch'ŏng*) to save costs instead of building a basement.

From a historical perspective, this article is interesting as it reflects the complex cultural negotiation occurring in colonial Korea. It shows an intellectual grappling with modernity, associating it strongly with Western models ("歐米人"), while simultaneously trying to adapt these models to Korean realities (climate, finances, social customs like guest reception, the need for a *ch'ŏng*). The explicit discussion of imitating Western styles in areas like schools and offices while lagging in domestic spaces highlights the uneven penetration of modern/Western influences. The focus on the "bungalow," a style itself originating from colonial contexts (India) and adapted in the West, adds another layer to this adaptation process. Historians might find the specific proposed hybrid layout, the justification for adopting Western styles, and the acknowledged tension between tradition/modernity and economic limitations revealing of elite aspirations and practical challenges during this period.

**Named Entities**

金惟邦	김유방	Kim Yubang
歐米人	구미인	Westerners (Europeans and Americans)
歐米	구미	Europe and America (the West)
朝鮮	조선	Korea/Korean
南方	남방	The South (referring to the origin of the bungalow)

**Glossary**

選擇	선택	Choice, Selection
小住宅	소주택	Small house
文化生活	문화생활	Cultural life
住宅	주택	House, Residence
比準	비준	Comparison, Standard
缺陷	결함	Flaw, Defect (Older form/reading of 결점)
歐米人	구미인	Westerners (Europeans and Americans)
思潮	사조	Trend of thought, Ideology
因襲	인습	Convention, Custom (often with negative nuance of being outdated)
容器	용기	Container, Vessel
藝術	예술	Art
至重	지중	Extremely important, Significant
民衆化	민중화	Popularization
官能	관능	Sense(s), Sensory organ(s)
美	미	Beauty
慾求	욕구	Desire, Craving
風寒暑濕	풍한서습	Wind, cold, heat, and dampness (elements)
安頓	안돈	Settle down, Provide stability
淺薄	천박	Shallow, Superficial (knowledge)
具體案	구체안	Concrete plan/proposal
不實	부실	Deficiency, Inadequacy, Weakness
支配者	지배자	Ruler, Master, Dominator
家庭	가정	Family, Household
慣習	관습	Custom, Practice
室別	실별	Room classification/layout
寢室	침실	Bedroom
生活室	생활실	Living room
客室	객실	Guest room
書齋	서재	Study (room)
料理室	요리실	Kitchen (formal term)
下人室	하인실	Servant's room
便所	변소	Toilet
浴室	욕실	Bathroom
廳間	청간	Maru (wooden-floored hall/space in traditional Korean house), often used for storage or multi-purpose
附屬問題	부속문제	Auxiliary issue/problem
住宅制	주택제	Housing system
뻥갤로-식	뻥갤로식	Bungalow-style
自然味	자연미	Natural beauty/flavor
집웅	지붕	Roof (Older spelling)
平滑	평활	Flat, Smooth
恰然히	흡연히	Just like, Exactly as if (Older spelling/usage, modern is 흡사하게)
風土	풍토	Natural features, Climate (of a region)
短處	단처	Shortcoming, Drawback, Weak point
起源	기원	Origin
暖房裝置	난방장치	Heating system/device
未及	미급	Not reaching, Lacking, Insufficient
設備	설비	Facilities, Equipment, Installation
溫室	온실	Ondol (Korean floor heating system) - Context suggests this meaning, not 'greenhouse'
建築經濟	건축경제	Construction economy/economics
經費	경비	Expense, Cost
構造	구조	Structure, Construction
外界	외계	Outside world
室內	실내	Interior (of a room/building)
調和	조화	Harmony, Balance
食堂	식당	Dining room
아-취(홍여)	아치(홍예)	Arch (홍예 is a native Korean word for arch, often stone)
區隔	구격	Separate, Partition (distinct from 구별 'distinguish')
沐浴室	목욕실	Bathroom (specifically for bathing)
後門	후문	Back door
地하실	지하실	Basement
昇降階段	승강계단	Stairs (literally ascending/descending steps)
通例	통례	Common practice, Custom, Norm
廣室	광실	Large room
內外客	내외객	Internal and external guests (family/close friends and formal visitors)
太過	태과	Excess, Too much
接近	접근	Approach, Get close to
無雙	무쌍	Unparalleled, Incomparable
多大	다대	Very large, Considerable
外形	외형	Exterior appearance, Outer form
分部意見	분부의견	Detailed opinion/viewpoint
안이함니다	아니합니다	Is not (Older polite ending form)
업슴니다	없습니다	Does not exist, Is not present (Older polite ending form)
만히	많이	Many, Much (Older spelling)
베푸럿고	베풀었고	Explained, Bestowed, Gave (Older past tense form)
하얏슴니다	하였습니다	Did, Has done (Older polite past tense form)
것임니다	것입니다	Is the thing that... (Older polite ending form)
밧게	밖에	Outside of, Except for (Older spelling)
죠흘	좋을	Good, Fine (Older spelling for future modifier form)
맛당하겟다고	마땅하겠다고	Would be appropriate/suitable (Older spelling)
하야스면	하였으면	If (one) did (Older conditional form)
업쓰리라고	없으리라고	Likely will not be (Older future presumptive form)
만드러스면	만들었으면	If (one) built/made (Older conditional form)
사라볼	살아볼	Will try living in (Older spelling/form)
-e 

---------------------------


잡지명	개벽 제34호
발행일	1923년 04월 01일
기사제목	우리가 選擇할 小住宅, 文化生活과 住宅(其三)
필자	金惟邦
기사형태	논설

우리가 選擇할 小住宅, 文化生活과 住宅
						金惟邦
6.
필자는 前章에 우리의 생활을 比準하야 현재 우리가 생활하는 주택의 결함을 간단히 베푸럿고 連하야 현대문화의 기본이 되는 歐米人의 주택에 대한 경향이라는 것을 잠간 말하얏슴니다.
그러면 우리는 이 압흐로 엇떠한 주택을 마련하야 하겟느냐. 가벼운 듯 하고도 가볍지 안코 쉬운 듯 하고도 쉽지 안이한 문제라고 생각함니다.
가장 경제력이 빈약한 우리로써 또한 정치상으로나 사회상으로 그 생활이 안정치 못한 우리로써 자연히 이러한 문제의 현실이 막연할 것은 물론이러니와 또한 新舊思潮의 분열과 재래의 인습이라는 것이 결단코 이러한 실생활의 변천을 용이히 허락치 안이할 것도 사실이겟슴니다.
그러나 우리는 이 주택문제라는 것을 오직 우리를 수용하는 容器로만 생각치 말고 우리가 일생을 살아가는 중에 가쟝 만히 접촉하는 일종 예술이 안일 수 업는 것임을 생각하면 아모리 장해를 만히 가진 우리라 할지라도 이 주택문제라는 것을 一顧할 필요가 업지 안이하리라고 생각함니다.
과연 그럿타고 自肯함니다. 주택은 예술임니다. 우리 일생 중에 가장 만흔 시간과 또한 가쟝 밀접한 접촉을 가진 예술임니다.
본래부터 건축이라는 것은 중요지위에 처한 예술로써 東西가 다가티 긍정하여 온 것은 사실임니다. 그러나 재래의 건축예술이라는 것은 흔히 寺院 劇場 域塔 가튼 대건축 즉 우리의 일상생활에는 과히 至重한 관계를 가지지 못한 그것을 가르침인 것이엿슴니다. 그러나 점차로 변천되는 思潮는 예술의 민중화라는 것을 불으짓게 하는 동시에 건축예술이라는 것도 ＜56＞ 역시 우리의 일상에 가장 만히 접촉되는 주택예술을 음미케 하얏슴니다.
사람은 예술을 떠나서 살아온 예는 업슴니다. 美의 욕구는 사람의 본능임니다. 사람의 관능은 美를 탐구키 위하야 생긴 것임니다. 어린 아해가 그 어머니의 젓을 사랑함은 결코 주린 배를 위하야 사랑하는 것은 안임니다. 즉 자기의 미각이라는 관능이 그 甘味를 취하랴는 욕구에서 지나지 안이함니다.
그러면 그 외의 모든 관능은 즉 시각 청각 촉각 감각 그것은 물론 美라는 것을 떠나서 살지 못할 것은 구구한 변명의 要가 업쓸 것임니다. 즉 사람의 삶이라는 것은 美의 手續을 경유하야 비롯할 것이겟슴니다.
그러면 우리는 風寒暑濕을 방어하야 우리의 생명을 安頓케 하는 일종 容器가 즉 주택이라는 것보다도 우리의 관능을 위로할만한 예술이라는 것이 즉 주택이라고 생각할 때 비로소 담벼락에 白紙 한 조각이라도 발나보려 하는 생각이 더욱 간절할 것이라고 생각함니다.
그러면 우리는 엇떠한 주택을 마련하여야 우리의 관능과 우리의 실생활에 타협이 될만한 우리의 것이 되겟슴니가.
필자는 이제 단순한 상식과 淺薄으로써 이하에 주택에 대한 구체안을 베푸러 보랴 함니다.


7.
前章에서도 누누히 베푸러온 바이지만 우리의 재래의 주택이라는 것은 현대생활을 경영하랴는 우리에게는 만흔 不實과 만흔 결함을 가졋슴니다.
이러한 결함을 보충하자면 우리는 부득불 현대문명의 지배자 되는 구미의 住宅制 중에서 우리의 생활에 적합할 者를 본바다가 우리의 그것과 합치할 필요가 잇겟다고 생각함니다.
이것은 단순이 구미인은 현대문명의 지배자라는 가정 하에서 본밧자는 것은 안임니다.
