**Header Section:**
Magazine Title: 개벽 第34號
Publication Date: 1923년 04월 01일
Article Title: 兄弟, 妻子, 不相見의 形形 (Various Forms of Brothers, Wives, and Children Not Seeing Each Other)
Author: Not specified
Article Type: 논설 (Editorial/Essay)

**Body Text Translation:**
Various Forms of Brothers, Wives, and Children Not Seeing Each Other

When I, the writer, was once reading the ancient book *Mencius* (孟子), I saw a passage among Mencius's words of warning to King Hsüan of Ch'i (齊宣王), saying, "If Your Majesty only indulges in hunting (田獵), the result will lead to bringing about the tragic situation where the people's brothers, wives, and children do not see each other (兄弟妻子不相見)." However, how could I have thought that I myself would witness that tragic situation of brothers, wives, and children not seeing each other?

Several years ago, around a certain year, we saw brethren from South Chosŏn (南朝鮮), supporting the old and carrying the young (扶老携幼), disperse to the Northwest Chien-tao (西北間島) region. Among them, there were particularly many brethren from Kyŏngsang Province (慶尙道). And we come to discover numerous Chosŏn women working as prostitutes (매춘부) starting from within Chosŏn and extending to various places like Chungnyŏng (中領) and the Russian Maritime Province (露領).

Among them, we recognize that women born in Kyŏngsang Province are particularly numerous.

Turning again and again – since the year before last, the number of Chosŏn laborers crossing over to Japan (일본) has been increasing daily, reaching a point where its cessation is unknown; we recognize that among them too, brethren from Kyŏngsang Province—especially South Kyŏngsang (慶南)—are the most numerous. Alas! Seeing this phenomenon, how should we recognize it?

In Chosŏn's history, the distinction between the *pan* (班, gentry) and *sang* (常, commoner) classes was most severe in Ch'ungch'ŏng (忠淸) and Kyŏngsang (慶尙). Such a severe class distinction relentlessly trampled the lives of the numerous common people (平民) and consequently degraded their character to the extreme. The *pan-sang* distinction, which began to loosen (解弛) from the time of the Kabo Peasant War (甲午東亂), has seen its lines become much blurred in the twenty years leading up to today. However, with the implementation of the Government-General's rule (總督政治), the disparity between rich and poor (貧富), whose fortress walls have become increasingly firm, has once again disregarded the happiness of the numerous populace (多數民人). Furthermore, the cultivation (扶植) of the economic power of another people [i.e., the Japanese], which has vigorously arisen (蔚然) over the past dozen or so years, has layer by layer made it impossible for them [Koreans] to secure stability.

Although not exclusive to this province, in South Kyŏngsang Province (慶南道), there are hired hands (품파리꾼) called *mŏsŭm* (머슴). It is said that combining the men and women employed in this way averages out to one person used per every three households. In addition to this, there are again young *mŏsŭm*, calculated at an average of one person per every five households.<44> Now, given that the Chosŏn population of South Kyŏngsang (慶南) was 339,515 households as of the end of Taishō 10 (1921), calculating according to the above ratio, there are approximately 110,000 adult *mŏsŭm* and about 70,000 child *mŏsŭm*, totaling about 180,000 *mŏsŭm* currently existing. However, 99 out of 100 of them are people without support (無依), without homes (無家), without knowledge (無識), and without shame (無廉). In other words, they are the scraps (屑) of humanity. This is all the product of life destruction (生活破棄) and character bankruptcy (品性破産)—in other words, family destruction (家庭破壞)—originating from all the aforementioned causes (原因). In this way, they finally fall into the tragic situation of brothers, wives, and children not seeing each other.

The 180,000 people mentioned here refer to those who have already ended up crying out (呌號) on the roads, but besides them, there must be countless brethren currently walking such a miserable path.

Becoming like this, they disperse to Northwest Chien-tao or across the East Sea [to Japan], or they transform into *kisaeng* (藝妓) or prostitutes (娼妓). Now, if we show the total figures for the situation of brethren from each county (郡) of South Kyŏngsang (慶南) who went to and came from Japan from January to November of Taishō 11 (1922), it is as follows <45>
[Note: Table mentioned as '如左' (as follows) is not provided in the text snippet]

The above table pertains to the situation before the abolition of travel permits. However, after the said permit regulations were abolished, the number of those crossing to Japan (渡日者) increased even more intensely. From December 15th (the day after the permits were abolished) until the 31st of the same month, compared to 3,053 returnees, 6,379 people crossed to Japan, resulting in 3,327 more people on the side of crossing to Japan. This phenomenon has continued until now.<46>

Regarding *kisaeng* (藝妓) and prostitutes (娼妓), the total number of women from this province (本道) who have gone outside its borders (境外) is unknown. If we show the number of *kisaeng* as of the end of Taishō 10 (1921), it is as follows:
[Note: Table mentioned as '如左' (as follows) is not provided in the text snippet]

Besides the above, there are many unlicensed prostitutes (私娼). According to officials (當局者), in Chinju City (晋州市內) alone, there are about 600 unlicensed prostitutes. From this, one might be able to sufficiently infer the overall situation.<47>

**Summary**

This 1923 editorial from *Kaebyŏk* magazine laments the widespread phenomenon of Korean families being broken apart ("brothers, wives, and children not seeing each other"), particularly affecting people from Gyeongsang Province. The author attributes this social disintegration to deep-rooted poverty stemming from historical class discrimination (Pan-Sang system) exacerbated by Japanese colonial rule and economic policies favoring Japanese interests. This forces many Koreans, especially from Gyeongsang, into desperate situations: migrating to Manchuria, the Russian Far East, or Japan for labor, or women becoming prostitutes (*kisaeng* or unlicensed). The article cites statistics showing a high prevalence of *mŏsŭm* (hired hands/servants) in South Gyeongsang, indicating extreme poverty, and notes the significant outflow of laborers to Japan and the large number of prostitutes, particularly from this region.

For historians, this article is valuable as a contemporary account of the severe social and economic distress in rural Korea, specifically Gyeongsang Province, during the colonial period. It highlights the perceived connection between historical social structures (class system), colonial policies (economic exploitation, Government-General rule), and the resulting migration patterns and social problems like prostitution and family separation. The specific focus on Gyeongsang Province and the use of statistics (even if incomplete in the provided text) offer concrete data points regarding regional disparities and the impact of colonialism on the Korean populace's livelihoods and social fabric.

**Named Entities**

古書	고서	Ancient book
孟子	맹자	Mencius
齊宣王	제선왕	King Hsüan of Ch'i
南朝鮮	남조선	South Chosŏn (Southern Korea)
西北間島	서북간도	Northwest Chien-tao (Jiandao/Kando region)
慶尙道	경상도	Kyŏngsang Province
朝鮮	조선	Chosŏn (Korea)
中領	중령	Chungnyŏng (Likely referring to parts of Manchuria)
露領	노령	Noryŏng (Russian territory, likely Maritime Province)
日本	일본	Japan
忠淸	충청	Ch'ungch'ŏng Province
甲午東亂	갑오동란	Kabo Peasant War (Donghak Peasant Revolution, 1894)
總督政治	총독정치	Government-General rule
慶南道	경남	South Kyŏngsang Province
慶南	경남	South Kyŏngsang Province
大正	대정	Taishō (Japanese era, 1912-1926)
東海	동해	East Sea
晋州	진주	Chinju

**Glossary**

兄弟妻子不相見	형제처자불상견	Brothers, wives, and children not seeing each other (a state of family dispersal/breakdown)
닑을	읽을	To read (Older spelling of 읽을)
말슴	말씀	Words, speech (Older spelling of 말씀)
하야	하여	Doing, causing (Older form of 하여)
보앗다	보았다	Saw (Older spelling of 보았다)
엇지	어찌	How, why (Older spelling of 어찌)
하엿스리요	하였으리오	How could have...? (Archaic interrogative form)
이제로브터	이제로부터	From now on (Older form)
몃	몇	Several, how many (Older spelling of 몇)
年頃	연경	Around the year (Used like 년경)
扶老携幼	부로휴유	Supporting the old and carrying the young (Describing migration of whole families)
만하섯다	많았다	Were many (Older spelling/form of 많았다)
만흠	많음	Being numerous, many (Older spelling of 많음)
認하다	인하다	To recognize, acknowledge
一轉 又 一轉	일전 우 일전	Turning again and again; Furthermore
逐日	축일	Day by day
不知	부지	Not knowing
오호라	오호라	Alas! Oh! (Interjection of sorrow or regret)
可할고	가할고	Should...? Would it be acceptable to...? (Archaic interrogative)
古來	고래	Since ancient times
班常	반상	Pan-sang (Traditional Korean class system: Yangban gentry and Sangmin commoners)
別	별	Distinction, difference
심하기로	심하기로	In terms of being severe
여지업시	여지없이	Mercilessly, without room (for excuse/mercy)
유린하다	유린하다	To trample, violate
품성	품성	Character, nature
卑劣化	비열화	Degradation, degeneration
解弛	해이	Loosening, slackening
금일	금일	Today
線	선	Line
희미하다	희미하다	To be faint, dim
총독정치	총독정치	Government-General rule
以하야	이하여	Through this, by means of this (Older form)
益益히	익익히	Increasingly
城壘	성루	Fortress walls, ramparts
견고하다	견고하다	To be firm, solid
빈부	빈부	Rich and poor
현격	현격	Disparity, wide gap
民人	민인	The people, populace
加之而	가지이	Furthermore, in addition
蔚然히	울연히	Vigorously, luxuriantly
발흥되다	발흥되다	To rise, emerge vigorously
이민족	이민족	Another people/ethnic group (here referring to Japanese)
扶植	부식	Cultivation, fostering, implantation (of power/influence)
層一層	층일층	Layer by layer, increasingly
안정	안정	Stability
不得케 함	부득케 함	Making it impossible to obtain/achieve
반다시	반드시	Necessarily, surely (Older spelling of 반드시)
머슴	머슴	Hired hand, farm servant (male)
품파리꾼	품팔이꾼	Day laborer, someone who sells their labor
호	호	Household
사용평균	사용 평균	Average usage
유년	유년	Childhood, young years
算하다	산하다	To calculate
현재	현재	Present time
比例	비례	Ratio, proportion
어룬	어른	Adult (Older spelling of 어른)
현존하다	현존하다	To exist presently
無依	무의	Without support/reliance
無家	무가	Homeless
無識	무식	Ignorant, uneducated
無廉	무렴	Shameless, without integrity
부스럭	부스러기	Scraps, crumbs (Older spelling/form of 부스러기)
屑	설	Scraps, waste (Hanja used for 부스러기)
原因	원인	Cause, origin
生活破棄	생활파기	Destruction of livelihood/life
品性破産	품성파산	Bankruptcy of character
가정파괴	가정파괴	Family destruction
陷하다	함하다	To fall into, be trapped in
旣히	기히	Already (Older form, similar to 이미)
도로	도로	Road, street
呌號하다	규호하다	To cry out, wail
뎌편	저편	That side, over there (Older spelling of 저편)
離散	이산	Dispersion, separation
藝妓	예기	Kisaeng (Korean equivalent of geisha), female entertainer
娼妓	창기	Prostitute
변형하다	변형하다	To transform, change shape
境外	경외	Outside the border/jurisdiction
總計	총계	Total sum
如左	여좌	As follows (Written to indicate upcoming list/table)
旅行證明	여행증명	Travel permit/certificate
폐지	폐지	Abolition
法規	법규	Regulation, rule
翌日	익일	The next day
귀환자	귀환자	Returnee
渡日者	도일자	Person crossing to Japan
私娼	사창	Unlicensed prostitute
多有하다	다유하다	To exist in large numbers
當局者	당국자	Person in charge, official authority
足히	족히	Sufficiently
窺知하다	규지하다	To spy out, infer, get a glimpse of
-e 

---------------------------


잡지명	개벽 제34호
발행일	1923년 04월 01일
기사제목	兄弟, 妻子, 不相見의 形形
기사형태	논설

兄弟, 妻子, 不相見의 形形
필자는 일즉히 古書의 孟子를 닑을 때에 孟子가 齊宣王에게 대한 경계의 말슴 중에서 「대왕이 만일 田獵 뿐을 일삼으면 그 결과는 백성으로 하여금 兄弟妻子不相見의 참상을 呈케 하기에 至하리라」는 구절을 보앗다. 그러나 엇지 생각하엿스리요. 兄弟妻子不相見의 그 참상을 필자 자신이 목격하게 될 것을.
