**Header Section:**
Magazine Title: 삼천리 (三千里) 제4권 제1호
Publication Date: 1932년 01월 01일
Article Title: 깐듸-와 나이두 會見記, 印度에 4개월 滯留하면서 (Account of Meeting Gandhi and Naidu, While Staying 4 Months in India)
Author: 崔英淑
Article Type: 기행문 (Travelogue)

**Body Text Translation:**
Account of Meeting Gandhi and Naidu, While Staying 4 Months in India
						Ch'oe Yŏngsuk

On my way back to my home country after leaving Sweden (瑞典), I stopped in various countries for several days each to get a general sense of the situation in each place, but the country where I stayed the longest was India (印度). Therefore, I wish to introduce my impressions of India before anywhere else. Furthermore, as it was a country I had longed for since before, I tried my best to understand its situation well, and I made efforts to meet the Saintly Hero (聖雄) Gandhi (깐듸) and Ms. Sarojini Naidu, whom I admired.

When I visited India, it was not cold winter like now, but summer when the scorching sunlight beat down intensely. The skin color of the Indians, already dark by nature, was made even shinier and darker, and even the green trees seemed to have lost their vitality, as if unable to withstand the boiling solar heat. Having grown up in a temperate region, it was especially difficult for me to endure the heat, but perhaps possessing the ability to bear such suffering, I ended up spending the not-so-short period of four months there.

Meeting with Saintly Hero Gandhi (깐듸 聖雄)

As I had greatly admired Mr. Gandhi since before, I wanted to meet him before anyone else. I even had the thought of staying at his house when I visited India. (Omitted from original text) However, when I visited, he was extremely busy due to the Congress meeting, so I couldn't have such detailed talks, but just meeting him, I don't know how<47> happy I was. Seeing him, it seemed his age was not far from the advanced age of 60. (Omitted from original text) However, he looked quite vigorous, and his face, smiling on his very thin face as he repeated greetings of welcome several times, is still fondly remembered, and the desire to create another opportunity to meet him is earnest.

Meeting with Ms. Sarojini Naidu (사로지니.나이두 女史)

The first time I met Ms. Naidu was when I was studying in Sweden (瑞典). Since then, I had formed a close relationship with her, and afterwards, we often exchanged letters, so this time visiting India, I met her several times and had conversations, and even went to the Bombay Hotel (뽄페이호텔) where she was staying and ate meals several times. She was extremely kind. I too, rather than just wanting to be close to her out of a feeling that she was a great figure, implicitly thought of her as a trustworthy comrade, perhaps because we shared the same position. She always asked carefully about the situation in Korea (조선). And she urged me several times to introduce the situation of Korea to India. (Omitted from original text) However, at that time, I was somewhat unwell and my thoughts were disorganized, so I couldn't carry out her suggestion as she wished, and I left behind a promise that I would introduce it after returning to Korea and observing the various situations in detail. (Omitted from original text)

Her age was also approaching 50, a middle-aged person. She appeared gentle yet also strong. Therefore, if seen as a poet, she is a poet, and if seen as a politician, she would be seen as a politician. She has many sons and daughters. They are all grown up, and there are two daughters currently studying abroad. Household affairs are left to her husband, Mr. Naidu, while she travels around busily for political movements.

One day, she told me this story.
"My elder sister-in-law is currently in prison. But my sister-in-law has a young child, three years old, and when her mother was dragged off to prison, the child didn't even cry and said, 'Mother, please go quickly. I will do the work in your place,' thus boosting her mother's spirit."
When I heard that story, it seemed like a lie, but since I didn't believe Ms. Naidu would lie, I couldn't help but acknowledge it as fact.

India's Situation (情勢) and its Customs (風俗)

That the people of India, regardless of who they are, are concentrating their efforts on the national movement with one heart and mind is known by everyone, so there is no need to introduce it specifically here, but one thing I want to mention is that the thinking of Indian women has changed rapidly.
Indian women were extremely ignorant until a few years ago, but now, among those dedicating their full strength to the national movement, the number of women continuing prison life has reached several hundred.

And I learned that India's nation (國) is not just engaged in the national movement, but also concurrently in a movement to abolish the class system. As everyone knows, an evil custom passed down from ancient times remains; to compare it to Korea (조선), just as the class division between yangban (nobles) and sangnom (commoners) was severe in the old days, in India there are various religious sects (敎派), and if someone is not of their sect, they do not associate with each other, and at the same time, they cannot even marry each other. Also,<48> not only that, but there is an evil custom (惡風) where farmers only associate with farmers, and merchants only associate with merchants, and if they happen to associate with a different group, they are expelled from their own group.
In times not complicated and busy like the old days, even such evil customs were observed, but among the Indian people influenced by new thought currents (新思潮), I saw that many advocates for abolishing these evil customs—class abolition movement participants—had arisen.
Although it cannot be said that all 250 million people of India are participating in the national movement or the class abolition movement, generally speaking, it is a fact that the Indian people are striving to find a way to live well. Therefore, even my mood during the four months I spent there became quite spirited.

If circumstances allowed, I wanted to stay in India for a long time. Ms. Naidu suggested several times that I work as a newspaper reporter in India, but I couldn't just stay there so simply.
In my view, India's customs had many good points. Perhaps it was because I liked that country, but the people were also warm-hearted, and the food and everything else were not rough (성기지 안엇슴니다).
The way food is cooked and its taste are like Chinese cuisine, but a bit spicier. However, what was a bit awkward when eating was that they absolutely do not use spoons or chopsticks like us, but eat by picking up food with their hands. People there say they do so out of a conception that values food highly, asking why one would pick up precious food with other objects. At first, it was awkward and worrisome when eating, but as I gradually got used to it, it became rather convenient. However, although they eat three meals a day, in the morning they drink tea, eat rice around twelve o'clock once, and then eat dinner. When sleeping at night, they usually sleep on beds, but poor people sleep lying directly on the floor like Korean people.

When I first arrived in India, I stayed at the Indian Women's YMCA, but because the food expenses were too high, I came to lodge at an Indian person's house, and they were so kind and treated me so warmly that during the more than three months I stayed there, I never once felt uncomfortable. In this way, India left a deep, good impression on me. (End)
1931.12.3.<49>

**Summary**

Ch'oe Yŏngsuk recounts her four-month stay in India in 1931, focusing on her inspiring meetings with Mahatma Gandhi and Sarojini Naidu. She describes her admiration for them, observations of the Indian independence movement (including women's active participation and imprisonment), the growing movement against the caste system, and reflections on Indian customs like eating with hands and the general hospitality she experienced. From a Korean colonial history perspective, this article is significant as it documents a Korean woman's engagement with international anti-colonial figures and movements during the Japanese occupation. It reveals a sense of shared struggle and solidarity between colonized peoples, particularly highlighted by Naidu's encouragement for Ch'oe to share Korea's situation with Indians, offering insight into transnational connections and political consciousness among Korean intellectuals of the era.

**Named Entities**

崔英淑	최영숙	Ch'oe Yŏngsuk
깐듸	깐디	Kkandi (Gandhi)
나이두	나이두	Naidu (Sarojini Naidu)
瑞典	서전	Sŏjŏn (Sweden)
印度	인도	India
콘그레쓰회의	콩그레스 회의	Congress Meeting
사로지니.나이두 女史	사로지니 나이두 여사	Ms. Sarojini Naidu
조선	조선	Chosŏn (Korea)
뽄페이호텔	봄베이 호텔	Ponpei Hotel (Bombay Hotel)
印度여자청년회관	인도 여자 청년회관	Indian Women's YMCA

**Glossary**

고국	고국	Home country, native land
도라오는	돌아오는	Returning (older spelling of 돌아오는)
몃	몇	Several, some (older spelling of 몇)
칠간식	칠일간씩	For several days each (combining 며칠 + 간 + 씩)
알어보앗슴니다만은	알아보았습니다만은	Tried to find out, but... (older spelling/conjugation)
십슴니다	싶습니다	Want to (older spelling of 싶습니다)
햇스며	했으며	And did (older spelling of 했으며)
맛나뵈오려고	만나 뵈오려고	Tried to meet (honorific, older spelling)
앳썻든	애썼던	Tried hard, made effort (older spelling of 애썼던)
갓치	같이	Like, as (older spelling of 같이)
안이엿고	아니었고	Was not (older spelling of 아니었고)
볏치	볕이	Sunlight (older spelling of 볕이)
나려 쪼이는	내리쬐는	Shining down intensely (older spelling/phrasing)
붓터	부터	From (older spelling of 부터)
노앗스며	놓았으며	Placed, made (older spelling of 놓았으며)
엇지	어찌	How, what (older spelling of 어찌)
업다는	없다는	That there is not (older spelling of 없다는)
일허보엿슴니다	잃어 보였습니다	Seemed to have lost (older spelling/conjugation)
무쌍한	무쌍한	Unparalleled, extreme
가젓든지	가졌던지	Whether possessing (older spelling of 가졌던지)
되엿슴니다	되었습니다	Became (older spelling of 되었습니다)
업섯슴니다만은	없었습니다만은	Although there was not (older spelling of 없었습니다만은)
깃벗섯는지	기뻤었는지	How happy I was (older spelling of 기뻤었는지)
십헛슴니다	싶었습니다	Wanted to (older spelling of 싶었습니다)
띄우면서	띄우면서	While floating/showing (a smile)
맛날	만날	To meet (older spelling of 만날)
십흔	싶은	Wanting to (older spelling of 싶은)
맷게	맺게	To form, tie (a relationship)
잇섯슴으로	있었으므로	Because there was (older spelling of 있었으므로)
늣김에서	느낌에서	From the feeling (older spelling of 느낌에서)
밋엄즉한	믿음직한	Trustworthy, reliable (older spelling/form)
십슴니다	싶습니다	Seems, think (used like 싶습니다 here)
물어보앗슴니다	물어보았습니다	Asked (older spelling/conjugation)
안어서	않아서	Because not (older spelling of 않아서)
남겨노앗슴니다	남겨 놓았습니다	Left behind (a promise) (older spelling/conjugation)
갓가워오는	가까워 오는	Approaching
들녀주엇슴니다	들려주었습니다	Told (a story) (older spelling of 들려주었습니다)
게심니다	계십니다	Is/are (honorific, older spelling/form)
끌니여	끌리어	Being dragged (older spelling of 끌리어)
안코	않고	Not doing and... (older spelling of 않고)
뎨가	제가	I (humble) (older spelling of 제가)
하겟슴니다	하겠습니다	Will do (older spelling of 하겠습니다)
드를	들을	To hear (older spelling of 들을)
밋지	믿지	Believe (older spelling of 믿지)
안으닛깐요	않으니까요	Because not... (older spelling of 않으니까요)
업섯슴니다	없었습니다	Was not (older spelling of 없었습니다)
막론하고	막론하고	Regardless of, irrespective of
굿태여	구태여	Specifically,わざわざ (older spelling of 구태여)
안이라	아니라	Not only A but also B
계급타파운동	계급 타파 운동	Class abolition movement
녯날붓터	옛날부터	From old times (older spelling of 옛날부터)
나려오는	내려오는	Coming down, handed down (older spelling of 내려오는)
빗처서	비춰서	Comparing to, reflecting
맛찬가지로	마찬가지로	In the same way (older spelling of 마찬가지로)
잇서서	있어서	Because there is/are (older spelling of 있어서)
안이면	아니면	If not
상종치	상종치	Not associate with (older form of 상종하지)
안는	않는	Not doing (older spelling of 않는)
낄이	끼리	Among themselves (older spelling of 끼리)
잇슬	있을	Will be, to be (older spelling of 있을)
쫏겨나는	쫓겨나는	Being chased out, expelled (older spelling of 쫓겨나는)
업새버릴여고	없애버리려고	Trying to get rid of/abolish (older spelling of 없애버리려고)
니러나게	일어나게	To rise up, emerge (older spelling of 일어나게)
차즈려고	찾으려고	Trying to find (older spelling of 찾으려고)
조흔	좋은	Good (older spelling of 좋은)
조화하엿든	좋아하였던	Liked (older spelling of 좋아하였던)
몰으지만	모르지만	Although I don't know (older spelling of 모르지만)
잇섯스며	있었으며	And there was (older spelling of 있었으며)
안엇슴니다	않았습니다	Was not (older spelling of 않았습니다)
갓흐나	같으나	Although like (older spelling of 같으나)
매웁슴니다	맵습니다	Is spicy (older spelling of 맵습니다)
서트른	서투른	Clumsy, unskilled (older spelling of 서투른)
술까락	숟가락	Spoon (older spelling of 숟가락)
젓까락	젓가락	Chopsticks (older spelling of 젓가락)
웨	왜	Why (older spelling of 왜)
그러케	그렇게	Like that, so (older spelling of 그렇게)
서트러서	서툴러서	Being clumsy (older spelling of 서툴러서)
하로에	하루에	Per day (older spelling of 하루에)
아참에는	아침에는	In the morning (older spelling of 아침에는)
그담엔	그다음엔	After that, next (older spelling of 그 다음엔)
그양	그냥	Just, as is (older spelling of 그냥)
누어잠니다	누워 잡니다	Lie down and sleep (older spelling of 누워 잡니다)
잇섯슴니다만은	있었습니다만은	Although I was (older spelling of 있었습니다만은)
빗싸기	비싸기	Being expensive (older spelling of 비싸기)
엇더케도	어떻게도	However (kind/warm) (older spelling of 어떻게도)
잇스면서도	있으면서도	Even while staying (older spelling of 있으면서도)
깁히	깊이	Deeply (older spelling of 깊이)
박어주엇슴니다	박아 주었습니다	Imprinted, embedded (older spelling of 박아 주었습니다)


---------------------------


잡지명	삼천리 제4권 제1호
발행일	1932년 01월 01일
기사제목	깐듸-와 나이두 會見記, 印度에 4개월 滯留하면서
필자	崔英淑
기사형태	기행문

깐듸-와 나이두 會見記, 印度에 4개월 滯留하면서
						崔英淑
내가 瑞典서 떠나 고국에 도라오는 길에 여러 나라에 들녀서 몃 칠간식 머물며 그 나라의 모-든 사정을 대강 알어보앗슴니다만은 그 중에 제일 오래 지체하기는 印度엿슴니다. 그러기 때문에 어듸보담도 印度의 인상기를 먼저 소개하고 십슴니다. 그리고 더구나 내가 전붓터 동경하든 나라인 만큼 어듸까지든지 그 나라의 정세를 잘 알어볼녀고 햇스며 내가 숭배하고 잇는 聖雄 깐듸와 사로지니.나이두 여사를 맛나뵈오려고 앳썻든 것임니다.
내가 印度에 들녓슬 때는 지금과 갓치 추운 겨울이 안이엿고 찌는 뜻한 태양볏치 몹시 나려 쪼이는 여름이엿슴니다. 원래붓터 살결이 검은 인도인들의 피부색은 한층 더 윤이 나고 검게 물드려 노앗스며 청청한 수목까지도 끌는 듯한 태양열엔 엇지 할 수 업다는 듯이 원기를 일허보엿슴니다. 온대지방에서 자라난 나로서는 더구나 더위를 참기에 무쌍한 곤란이엿슴니다만은 그만큼한 고통은 참고 견댈만한 능력을 가젓든지 4개월이란 별노 짧지 안은 시일을 그곳에서 보내게 되엿슴니다.

깐듸 聖雄과 會見

내가 전붓터 깐듸 씨를 몹시 숭배햇든 것 만큼 누구보담 먼저 씨를 맛나려고 햇든 것이엿슴니다. 그리고 印度에 들니면 씨의 댁에 가서 머물겟다는 생각까지도 가지고 잇섯슴니다. (중략-원문) 그러나 내가 들녓슬 때에 씨는 콘그레쓰회의 때문에 몹시 분주하여서 그럿케 자세한 이약이까지 할 수는 업섯슴니다만은 씨를 만난 것만 해도 얼마큼<47> 깃벗섯는지 몰낫슴니다. 씨를 보아서 씨의 연세가 60의 고령이 멀지 안은 듯 십헛슴니다. (중략-원문) 그러나 씨는 퍽도 원기가 잇서 보엿스며 몹시 여윈 얼골에 우슴을 띄우면서 반갑다는 인사를 몃번이나 반복하든 씨의 얼골이 아직껏 그리울 뿐이며 또다시 씨를 맛날 기회를 만들고 십흔 생각이 간절함니다.

사로지니.나이두 女史와 會見

나이두 여사를 처음 맛나보기는 瑞典에서 공부할 때엿슴니다. 그때붓터 여사와 친밀한 관계를 맷게 되엿기 때문에 그 후에 서로 서신 갓흔 것도 종종 잇섯슴으로 금번에 印度에 들녀서 여사와 여러번 맛나서 담화도 햇스며 여사가 투숙하는 뽄페이호텔에 가서 몃 번이나 음식까지 먹엇슴니다. 여사는 몹시 친절햇슴니다. 나 역시 그가 훌융한 인물이라는 늣김에서 친하고 십다는 것보다 나는 은연중에 그가 밋엄즉한 한 동지로 생각되엿스니 아마도 갓흔 입장을 가지고 잇기 때문인가 십슴니다. 여사는 언제나 조선사정을 잘 물어보앗슴니다. 그리고는 조선사정을 인도에 소개하라고 몃 번이나 권유햇슴니다. (중략-원문) 그러나 그때에 나는 몸이 좀 불편하고 머리가 정리되지 안어서 여사의 권유하는 대로 실행 못하고 조선에 가서 여러 가지 정세를 자세히 관찰한 후에 소개하겟다는 약속을 남겨노앗슴니다. (중략-원문)
여사의 연세도 50이 갓가워오는 중노인이엿슴니다. 부드러운 맛이 보이면서 강해도 보엿슴니다. 그러기 때문에 시인으로 보면 시인이고 정치가라고 보면 정치가라고 보겟지요. 여사는 아들 딸이 만슴니다. 모다 장성해서 지금 외국유학하는 딸이 둘이나 잇슴니다. 가사는 남편 나이두 씨에게 맛겨놋코 자기는 정치운동을 위해서 분주하게 떠단님니다.
엇던 날 여사는 이러한 이약이를 나의게 들녀주엇슴니다.
「우리 형님이 지금 옥중에 들어가 게심니다. 그런데 형님의 애기가 세 살 먹은 어린애가 잇는데 제 어머님이 옥에 끌니여 갈 적에 울지도 안코 『어머님 어서가십시요. 뎨가 어머님 대신으로 일을 하겟슴니다』하고 제 어머님의 활기를 더도아 드렷슴니다」 라고 한담니다.
나는 그 이약이를 드를 때에 거짓말인 듯 십헛슴니다만은 나이두 여사가 거짓말을 하리라고 밋지 안으닛깐요 사실임을 인증하지 안을 수 업섯슴니다.

印度의 情勢와 그 風俗

印度의 국민들은 누구를 막론하고 一心合力 하여서 국민운동에 주력하고 잇다는 것을 누구나 아는 바이니 여기에 굿태여 소개할 것이 업겟지만 한마듸 이약이 하고 십흔 것은 印度여성들의 사상이 급속도로 변화되엿다는 것임니다.
印度여성들은 몃 년 전까지도 몹시 우매하엿슴니다만은 지금의 그들은 국민운동에 전력을 다- 하는 중에서 옥중생활을 계속하고 잇는 여성들이 수백명에 달하엿슴니다.
그리고 印度의 國은 한갓 국민운동 뿐 안이라 또 그에도 계급타파운동도 겸해서 함을 알엇슴니다. 누구나 아시는 바와 갓치 녯날붓터 나려오는 악인습이 남어잇스니 그것은 조선에 빗처서 말하자면 녯날에 양반, 상놈의 계급이 심햇든 것과 맛찬가지로 印度엔 각 敎派가 잇서서 자기의 교파가 안이면 서로 상종치 안는 동시에 서로 결혼까지도 하지 못함니다. 또<48> 그뿐만 안이라 농업하는 사람이면 농업하는 사람낄이, 상업하는 사람이면 상업하는 사람낄이만 상종하고 만약에 다른 파와 상종하는 일이 잇슬 때엔 자기파에서 쫏겨나는 惡風이 잇슴니다.
