**Header Section:**
Magazine Title: 三千里 (Samch'ŏlli)
Publication Date: 1935년 01월 01일 (January 1, 1935)
Article Title: 寫眞 (Photograph)
Author: 田榮澤 (Chŏn Yŏngt’aek)
Article Type: 소설 (Short Story)

**Body Text Translation:**

Photograph
Chŏn Yŏngt’aek

One
A month after leaving Songdo and coming up to Sŏul, S received a photograph. Smiling faintly, he unwrapped the paper covering the photograph. The handwriting on the envelope was written neatly in the same polite and welcoming manner the owner of the script used when greeting S before. -The owner of the script was Y.- However, although he had expected Y to be alone in the photograph, there was another person besides Y. It was a close classmate of Y's. S looked at it with pleasure and put it away in his desk drawer.

Two
S had been a teacher at a certain elementary school in Songdo. That school had both a girls' section and a boys' section, and S taught mostly in the girls' section. The oldest among those female students was fourteen, and most were young; they were generally well-behaved and talented. Therefore, S, who originally liked music, taught singing with enthusiasm and told them many interesting children's stories every day. The students also learned eagerly, listened with interest, and loved Teacher S very much. Even after school let out, they didn't return home. Even after the summer vacation began, the students similarly gathered at school, clinging to Teacher S's sleeves to play, oblivious to the heat. So Teacher S stayed at the school, not thinking about those waiting for him at his home in Sŏul.
Y was a student among them whose grades were good and whose character seemed clever in S's view. And she was also a very kind-hearted child. While all the students loved Teacher S, Y loved S even more. Thus, being nearby her own home, she earnestly worried about the clothes and meals of S, who was living away from home in a lodging place. Though unspoken, she truly loved Teacher S the most.
Teacher S came to leave Kaesŏng (Songdo). Firstly, it was to study abroad,<279> and secondly, there had been some unpleasantness (알) between him and the school authorities. One day, as Teacher S was coming down after school let out, he mentioned that he would now resign from this school and go up to Sŏul. Then, about two hours after he had gone down, he happened to come back up again, and saw a student standing leaning against an acacia tree in a corner of the playground, turned away. S knew who it was even from afar and went closer. Y turned back around and was crying loud enough to be heard.

Three
That spring, S went to Tōkyō to study abroad. S, alone in a corner room on the west side of the dormitory at Ōtsuka Higher Normal School, sits silently leaning on his desk, receiving the late afternoon sun setting leisurely over the wide Musashino plain, where the rice ears in the fields have turned yellow, the pampas grass (스스끼) along the roadside has turned white, and the autumn foliage on the hills here and there has turned red, the autumn colors deepening. He gazes at the distant field scenery, then occasionally looks down at the photograph on his desk. Then he closes his eyes again and thinks about something. After a while, he opens his eyes again and looks down at the photograph.
Whether S developed homesickness after going to Tōkyō or not, he always lived melancholically. So, to console himself (though in reality, it only deepened his yearning for the old days), he took Y's photograph out of his bag and put it in a frame. Originally, there were two people in that photograph. The owner of the face with an exquisitely pretty overall contour, lips held tightly shut but with smiling, black, round eyes that seemed to draw one's heart in, was Y. And the face of her friend sitting beside her seemed lacking somehow; her small eyes, long eyebrows, and narrow brow seemed full of fierce jealousy (시기). Whenever S looked at Y's face, it gave him welcome and joy, but the friend's face gave him displeasure and fear. So S cut out the friend's face and body with scissors.
Then, he skillfully blurred the remaining part of the friend on Y's photograph by coloring over it with a pencil.
And he received Y's occasional letters very gladly. Sometimes, letters came from her friend too.

Four
When summer vacation came, S returned to his home in Sŏul.
Hearing the news that S had arrived, Y and her friend, who had come together to study at a certain girls' higher common school in Sŏul, came to visit. The friend was the student pictured together with Y in the photograph.
S was very pleased, chatted about various things, and asked questions. The two students, originally quiet and demure, mostly just smiled brightly <280> and didn't offer many other answers or words, but to the question of how they were enjoying studying in Sŏul, they answered emphatically, "The most fun was when you, Teacher, taught us back in the countryside."
To treat his welcome guests, S took out picture books and photo albums he had brought from Tōkyō from his bag and went out, wearing rubber shoes, to buy Korean melons (차미). While returning with the melons, S thought of something and exclaimed "Oh no!" as if startled. He had completely forgotten that Y's photograph, the one he kept on his desk in Tōkyō, was pasted in the photo album he had put out. Worrying greatly inwardly, he entered the house, and indeed, the two girls' demeanor and faces had completely changed. The picture books and photo album had been pushed aside, and the two looked as if they had encountered something terribly embarrassing and terribly upsetting, appearing ready to leave immediately.
After much persuasion, they barely pretended to eat a slice of melon each, and then the two hurriedly fled. After they left, S quickly opened the photo album. The place where Y's photograph had been attached was carelessly torn out and gone. "Who did this? Who took it?" S wondered.

Five
In the autumn, S went over to Tōkyō again. Two months after he left, a brief letter arrived from Y. Inside the letter was a photograph of Y taken alone. And it said that her friend had come up after school started but developed tuberculosis (페병) and went back down to the countryside.
Reading the letter, S remembered the friend's suddenly darkened face, tear-filled eyes, and tightly bitten lips from when he saw her last summer. So he rummaged through his desk (체블) drawer. Several pieces of the photograph he had previously cut with scissors were still remaining. (End) 1924. 10. 1. <281>

**Summary**

A Korean teacher, S, leaves his post in Songdo (Kaesŏng) where he was adored by his students, especially Y, to study in Tōkyō. Y sends him a photo of herself with a classmate. In Tōkyō, S cuts the classmate out of the photo due to her unpleasant appearance and keeps only Y's image on his desk. During summer vacation back in Sŏul, Y and the same classmate visit S. He inadvertently shows them a photo album containing the altered picture. The girls leave upset, and S discovers the altered photo has been torn out. Later, back in Tōkyō, S receives a new photo of Y alone and learns the classmate returned home ill with tuberculosis, recalling her distressed appearance during the visit. The story subtly explores the complex emotions between a teacher and his former students, jealousy, and unspoken feelings, culminating in a tragic turn for one student.

From a historical perspective, the story offers glimpses into colonial Korean life: the role of elementary education (including separate sections for boys and girls), the emotional bonds formed in schools, the aspiration for further study abroad (specifically Tōkyō, the imperial center), and travel between Korea and Japan. The mention of a Girls' Higher Common School (여자고등보통학교) reflects the educational system of the time. The friend's illness, tuberculosis (폐병), was a prevalent and feared disease during that period. The subtle power dynamics and intense emotions, possibly heightened by the constraints of the era, are also noteworthy.

**Named Entities**

田榮澤	전영택	Chŏn Yŏngt’aek
송도	송도	Songdo
서울	서울	Sŏul
동경	동경	Tōkyō
오호츠까 고등사범학교	오츠카 고등사범학교	Ōtsuka Kōtō Shihan Gakkō
Y	Y	Y
S	S	S

**Glossary**

寫眞	사진	Photograph (Hanja title)
조희	종이	Paper (older spelling)
글시	글씨	Handwriting (older spelling)
갓흔	같은	Like, same as (older spelling)
긔대하엿더니	기대하였더니	Expected, but... (older orthography)
밧께	밖에	Besides, outside of (older spelling)
잇스리라	있으리라	Will be, would be (older spelling)
엇던	어떤	A certain (older spelling)
녀자부	여자부	Girls' section (older spelling)
만히	많이	Many, much (older spelling)
가라첫다	가르쳤다	Taught (older spelling/conjugation)
녀학생	여학생	Female student (older spelling)
모도	모두	All, entirely (older spelling)
조화하는	좋아하는	Likes, is fond of (older spelling)
들녀 주엇다	들려 주었다	Told (stories) (older spelling)
배호고	배우고	Learn and... (older spelling)
듯고	듣고	Listen and... (older spelling)
하긔휴학	학기 휴가/여름방학	Term break / Summer vacation (likely meaning summer vacation)
모혀서	모여서	Gathered (older spelling)
매달녀	매달려	Clinging to (older spelling)
몰낫다	몰랐다	Did not know (older spelling)
자긔	자기	One's own, self (older spelling)
가삀œ	가까이(?)	Nearby/Closely(?) (Likely typo for 가까이)
떠떠나게	떠나게	To leave, depart (older spelling)
되엿다	되었다	Became (older spelling)
첫재	첫째	Firstly (older spelling)
둘재	둘째	Secondly (older spelling)
알	알력/말	Friction/Words (Context suggests disagreement/unpleasantness)
하로	하루	One day (older spelling)
류학	유학	Studying abroad
긔숙사	기숙사	Dormitory (older spelling)
누으래지고	누래지고	Becoming yellow (older spelling)
길ㅅ가에	길가에	Roadside (older spelling with 사이 시옷)
스스끼	억새/스스키	Pampas grass (Likely Japanese loanword ススキ)
허어여 지고	하얘지고	Becoming white (older spelling)
무장야	무사시노	Musashino (Plain near Tokyo) (Likely transcription of 武蔵野)
볏	볕	Sunlight (older spelling)
밧으면서	받으면서	Receiving (older spelling)
안저	앉아	Sitting (older spelling)
잇다금	이따금	Occasionally, sometimes (older spelling)
우에	위에	On, above (older spelling)
녯날	옛날	Old days, past (older spelling)
깁게	깊게	Deeply (older spelling)
끄내여	꺼내어	Take out (older spelling)
얼골	얼굴	Face (older spelling)
입본	예쁜	Pretty (older spelling/form)
동모	동무	Friend, companion (older term, used in North Korea now, common then)
밋간	미간	Brow, glabella
시긔	시기	Jealousy (older spelling)
버혀	베어	Cut (older spelling)
나마잇는	남아있는	Remaining (older spelling)
연필노	연필로	With a pencil (older spelling of particle)
녀름	여름	Summer (older spelling)
녀자고등보통학교	여자고등보통학교	Girls' Higher Common School (Colonial era school type)
가치	같이	Together (older spelling)
차자	찾아	To visit, look for (older spelling)
니야기	이야기	Story, talk (older spelling)
뭇는	묻는	Asking (older spelling)
선생님끠서	선생님께서	Teacher (honorific subject) (older particle form)
저희	저희	We/us (humble form)
이야요	이에요	Is/am/are (polite ending, older form)
차미	참외	Korean melon
니저	잊어	Forget (older spelling)
념려	염려	Worry, concern (Hanja-based word)
아조	아주	Very, completely (older spelling)
붓그럽고	부끄럽고	Embarrassed and... (older spelling)
섭섭한	섭섭한	Disappointed, sad, sorry
밧비	바삐	Hurriedly (older spelling)
다라 나갓다	달아나갔다	Ran away, fled (older spelling)
펄처	펼쳐	Open, spread out (older spelling)
찌저지고	찢어지고	Being torn (older spelling)
업서젓다	없어졌다	Disappeared (older spelling)
백힌	박힌	Printed, taken (photograph) (older spelling)
드러	들어	Containing, inside (older spelling)
페병	폐병	Tuberculosis (Pulmonary disease)
체블	책상/테이블	Desk/Table (Likely older borrowing/rendering)
뒤저	뒤져	Search, rummage through (older spelling)
긔왕	기왕	Already, previously
버혓든	베었던	Had cut (older spelling/conjugation)
몃	몇	Several, how many (older spelling)


---------------------------


잡지명	삼천리 제7권 제1호
발행일	1935년 01월 01일
기사제목	寫眞
필자	田榮澤
기사형태	소설

寫眞
						田榮澤
一
S는 송도를 떠나 서울노 올나온 지 한 달만에 사진 한 장을 바닷다. 빙그레 우스면서, 그 사진을 싼 조희를 뜨더 보앗다. 피봉에 쓰인 글시의 주인은 이전에 S를 향하야 인사할 때와 갓흔 얌전하고 반기는 태도로 곱게 써 잇다. -글시의 주인은 Y이다.- 그런데 사진에는 Y가 혼자 잇스리라 긔대하엿더니 Y밧께 또 한 사람이 잇다. 그는 Y의 친한 한 반 동무이엇다. S는 반가운 드시 듸려다 보고 책상 설합에 집어 너어 두엇다.

二 S는 송도 엇던 소학교 교사로 잇섯다. 그 학교에는 녀자부도 잇고 남자부도 잇섯는데 S는 녀자부에서 만히 가라첫다. 그 녀학생들은 제일 나히 만흔 아이가 열 네살 먹고 모도 어리며 대개 얌전하고 재주가 잇섯다. 그래서 본래 음악을 조화하는 S는 열심으로 노래를 가라치고 그리고 날마다 재미잇는 동화를 만히 들녀 주엇다. 학생들도 열심으로 배호고 재미잇게 듯고 그리고 S선생을 몹시 사랑하엿다. 하학하여도 집으로 도라가지를 아니 하엿다. 하긔휴학 후에도 학생들은 한 모양으로 학교에 모혀서 S선생의 소매에 매달녀 놀며 더운 줄도 몰낫다. 그래서 S선생은 서울 자긔 집에서 긔다리는 것도 생각지 못하고 그대로 학교에 잇섯다.
