**Header Section:**
Magazine Title: 삼천리 第七卷 第一號
Publication Date: 1935년 01월 01일 (January 1, 1935)
Article Title: 女流名士의 男便調査狀 (A Survey of the Husbands of Famous Women)
Article Type: 잡저 (Miscellaneous Writing/Essay)

**Body Text Translation:**
A Survey of the Husbands of Famous Women

Before taking up this pen, although they are famous figures (名士), I must regretfully exclude those unqualified individuals (those without husbands) who do not belong in this category. First, Miss Kim Maria, famous for the Ai X Fudintan (愛X婦人團) incident, currently sitting quietly under the roof of the Wŏnsan Bible School (元山 聖經學校), neither crying nor complaining (不鳴不泣), is still a maiden, so she is excluded. Ms. Pak Indŏk, who was so famous during her Ihwa Haktang (梨花學堂) days that a folk song circulated saying "Eloquent and beautiful Pak Indŏk," has not yet remarried since her divorce, so she is also outside the scope here. In the same situation as Ms. Pak Indŏk is Ms. Na Hyesŏk, whose name became prominent due to alimony of 3,000 won, etc.; since splitting with Vice-Consul Kim U-yŏng, she is still alone. Also, Ms. Chŏng Ch'ilsŏng, who was the chairwoman of the Kŭnuhoe (槿友會) executive committee and a beauty of the Willow Branch style (楊柳式 佳人), and Ms. U Pong-un, also a Kŭnuhoe executive, are all excluded here for various reasons. And Ms. Kim Illyŏp, who in her thirties suddenly turned around, donned a monastic hat and robe, and became a nun (중질), had up to her fourth husband until a year ago, but now advocates for celibacy and venerates the "Solitary Buddha" (獨居 부처님), so she is excluded. Ms. Ch'oe Ŭn-hŭi, formerly a reporter for the Chosŏn Ilbo (朝鮮日報) and said to have been a model for a novel by Mr. Yi Kwang-su, is also excluded here for "various reasons." Poet Kim Myŏng-sun, who for a while wandered quite well in love affairs from this branch to that branch,<117> is now living alone again (獨房獨居), so she is excluded here. And Ms. No Ch'ŏn-myŏng of the Chungang Ilbo (中央日報) and writer Ms. Kim Cha-hye are all still very young unmarried women (샛파란 색시들), and since virgins (童貞女) and unmarried women (미혼녀) are not qualified to participate here, they are all regrettably rounded off (四捨五入式) and excluded. Now, I shall turn my pen purely to the wives of others (남의 영부인).

Number one! The husband of Ms. Hŏ Yŏng-suk, whose name has most often been on others' lips as the top taxpayer among famous women in any sense, is Mr. Yi Kwang-su, a novelist everyone knows well, an executive of the Hŭngsadan (興士團), and former Vice President of a Newspaper Company (新聞社). She is now busy with household management (家庭治事) as the mother of two sons. The husband of Ms. Yun Sŏng-sang, who dropped out of Tokyo Women's Higher Normal School (東京女子高等師範) due to a love affair, wandered throughout the mountains and rivers of Yŏngnam (嶺南) to vent her anger, and gained fame as a female reporter for the Chosŏn Ilbo and a female critic, is a young man named Mr. Chŏn, studying at the Medical Department (醫學部) of Kyŏngsŏng Imperial University (京城帝大). The husband of Ms. Ch'oe Sin-dŏk, who, along with Ms. Yu Yŏng-jun and Ms. Ch'oe Ŭn-hŭi, graduated from Tokyo's Mejiro Women's University (目白女子大學) and showed vigorous activity as a Kŭnuhoe executive, newspaper reporter, and female teacher, is Mr. Im Pong-sun, who was also an executive of the Sŏul Youth Association (서울 青年會) and is currently a reporter for the Tong-A Ilbo (東亞日報). The husband of Ms. Chang Tŏk-cho, a female writer whose beautiful style, especially in short stories, draws everyone's attention, is Mr. Pak Myŏng-hwan, who worked as an executive there during the splendid days of the Sin'ganhoe (新幹會). The husband of Ms. Mo Yun-suk (pen name Yŏngun), a fellow female poet who graduated from I-jŏn (Ihwa Women's College) and is currently teaching at Paehwa Girls' High School (培花女高), the author of "Shining Region" (빗나는 지역), is said to be Dr. An Ho-sang, a Doctor of Philosophy from Germany (獨逸) and a professor at Posŏng College (보전). The husband of Ms. Yi Hyŏn-gyŏng, who, though slightly later than Ms. Hwang Sin-dŏk, is also a women's university graduate, is An Kwang-ch'ŏn, who was known as a theorist during the Chŏnguhoe (正友會) era and has now run off to Peking (北京). The husband of Ms. Sim Hye-suk, one of the three famous beauties of Kŭnuhoe (許貞淑, 趙元淑, 沈恩淑 - text has 沈惠淑 later which is likely the intended person), is Mr. Hong Ki-mun, a critic, comrade in the Sin'gan movement, and currently a reporter for the Chosŏn Ilbo. The husband of Ms. Ch'oe Sŭng-hŭi, who graduated from Sukmyŏng Girls' High School (淑明女高), studied dance under Ishii Baku (石井漠), and now receives absolute adoration throughout the Korean peninsula (半島 상하), is Mr. An Mak, a proletarian literary figure (푸로문사) currently majoring in Russian Literature (露文學) at Waseda University (早稻田大學). The husband of Ms. Ch'oe Chŏng-hŭi, a female literary figure who has serialized novels in the Maeil Sinbo (每申 - likely abbreviation) and published several short stories, holding a firm position in the literary world, is Mr. Kim Yu-yŏng, a proletarian literary figure and film director who has directed and produced several films. The husband of Ms. Kim Sŏn-ch'o, an exclusive singer for Columbia (컬럼비아) Records, who appeared on stage numerous times and received praise as a famous actress (名女優), a graduate of Wŏnsan Lucy Girls' High School (元山樓氏女高普 - likely interpretation), is Mr. Sŏ Kwang-je, also a proletarian literary figure involved in both stage and film. The husband of female writer Ms. Pak Hwa-sŏng in Mokp'o (木浦), whose single work "Paekhwa" suddenly became a bestseller (俄然洛陽의 紙價를 올닌), is said to be a Mr. N, a Waseda University graduate who suffered hardship (고상하시다가 - likely meaning imprisoned) due to a certain incident (某事件) and was then released from prison (출옥). The husband of Ms. Kang Kyŏng-ae, a fellow female writer currently writing the full-length novel "Human Issues" (人間問題) for the Tong-A Ilbo, is Mr. Chang Ha-il, teaching at Tonghŭng Middle School (東興中學校) in Kando (間島). The husband of Ms. Hwang Aesidŏk (Esther Hwang), a graduate of Columbia University (米國 컬넘비아 大學) in the United States (米國), who was very active during the March 1st Movement (三一때)<118> and is recently busy with school and Women's YMCA work (여자청년회), is said to be an important figure in Christianity (기독교 重鎭), a US university graduate skilled in cosmetics manufacturing. The husband of Ms. Kim Yŏn-sil, whose fame as a singer is illustrious (赫赫), is Mr. Kang Hong-sik, also a Columbia singer, who once rivaled Fujiwara Yoshie (藤原義江) in popularity. Besides these, there are Mssrs. Chu Se-chuk, Cho Wŏn-suk, Yu Yŏng-jun, etc., but let's meet them all next time. For now, goodbye! (끗빠이!)<119>
<117-119>

**Summary**

This 1935 article lists prominent Korean women of the era ("女流名士") and identifies their husbands. The author explicitly excludes unmarried, divorced, widowed, or religiously celibate women, focusing solely on currently married individuals. The piece details the backgrounds and current activities of both the women (writers, artists, activists, educators, performers) and their husbands (intellectuals, journalists, artists, academics, activists), painting a picture of the interconnected elite cultural and intellectual circles of colonial Korea. For historians, the article is interesting as it documents the public visibility and careers of numerous educated women in the 1930s, challenging simplistic narratives of female domesticity. It also reveals the social networks among Korean elites, including connections to political movements (Sin'ganhoe, Hŭngsadan, Kŭnuhoe, proletarian literature circles), educational institutions (Ihwa, Paehwa, Posŏng, Kyŏngsŏng Imperial University, Tokyo/US universities), and media outlets (Chosŏn Ilbo, Tong-A Ilbo, Maeil Sinbo). The casual, somewhat gossipy tone and the explicit criteria for inclusion/exclusion also offer insights into contemporary social norms and perceptions surrounding marriage and female public figures.

**Named Entities**

愛X婦人團	애X부인단	Ai X Fudintan
金마리아孃	김마리아양	Kim Maria-yang (Miss Kim Maria)
元山	원산	Wŏnsan
聖經學校	성경학교	Sŏnggyŏng Hakkyo (Bible School)
梨花學堂	이화학당	Ihwa Haktang
朴仁德	박인덕	Pak Indŏk
羅蕙錫	나혜석	Na Hyesŏk
金雨英	김우영	Kim U-yŏng
槿友會	근우회	Kŭnuhoe
丁七星	정칠성	Chŏng Ch'ilsŏng
禹鳳雲	우봉운	U Pong-un
金一葉	김일엽	Kim Illyŏp
朝鮮日報	조선일보	Chosŏn Ilbo
李光洙	이광수	Yi Kwang-su
崔恩喜	최은희	Ch'oe Ŭn-hŭi
金明淳	김명순	Kim Myŏng-sun
中央日報	중앙일보	Chungang Ilbo
盧天命	노천명	No Ch'ŏn-myŏng
金慈惠	김자혜	Kim Cha-hye
許英肅	허영숙	Hŏ Yŏng-suk
興士團	흥사단	Hŭngsadan
新聞社	신문사	Sinmunsa (Newspaper Company)
東京	동경	Tokyo
女子高等師範	여자고등사범	Joshi Kōtō Shihan (Tokyo Women's Higher Normal School)
嶺南	영남	Yŏngnam
尹聖相	윤성상	Yun Sŏng-sang
田씨	전씨	Chŏn-ssi (Mr. Chŏn)
京城帝大	경성제대	Kyŏngsŏng Chedae (Keijō Imperial University)
醫學部	의학부	Ŭihakpu (Medical Department)
劉英俊	유영준	Yu Yŏng-jun
目白女子大學	메지로여자대학	Mejiro Joshi Daigaku (Mejiro Women's University)
崔信德	최신덕	Ch'oe Sin-dŏk
서울	서울	Sŏul
青年會	청년회	Ch'ŏngnyŏnhoe (Youth Association)
東亞日報	동아일보	Tong-A Ilbo
任鳳淳	임봉순	Im Pong-sun
張德祚	장덕조	Chang Tŏk-cho
新幹會	신간회	Sin'ganhoe
朴明煥	박명환	Pak Myŏng-hwan
梨專	이전	I-jŏn (Ihwa Women's College)
培花女高	배화여고	Paehwa Yŏgo (Paehwa Girls' High School)
毛允淑	모윤숙	Mo Yun-suk
獨逸	독일	Togil (Germany)
安浩相	안호상	An Ho-sang
黃信德	황신덕	Hwang Sin-dŏk
李賢卿	이현경	Yi Hyŏn-gyŏng
正友會	정우회	Chŏnguhoe
北京	북경	Peking (Beijing)
安光泉	안광천	An Kwang-ch'ŏn
許貞淑	허정숙	Hŏ Chŏng-suk
趙元淑	조원숙	Cho Wŏn-suk
沈恩淑	심은숙	Sim Ŭn-suk (mentioned in list)
沈惠淑	심혜숙	Sim Hye-suk (likely intended person, named later)
洪起文	홍기문	Hong Ki-mun
淑明女高	숙명여고	Sukmyŏng Yŏgo (Sukmyŏng Girls' High School)
石井漠	이시이 바쿠	Ishii Baku
崔承喜	최승희	Ch'oe Sŭng-hŭi
早稻田大學	와세다대학	Waseda Daigaku (Waseda University)
安漠	안막	An Mak
每申	매신	Maeil Sinbo (Likely abbreviation for 매일신보)
崔貞熙	최정희	Ch'oe Chŏng-hŭi
金幽影	김유영	Kim Yu-yŏng
컬럼비아	컬럼비아	K'ŏllŏmbia (Columbia Records)
元山樓氏女高普	원산루씨여고보	Wŏnsan Lusi Yŏgobo (Wonsan Lucy Girls' High School - interpretation)
金仙草	김선초	Kim Sŏn-ch'o
徐光霽	서광제	Sŏ Kwang-je
木浦	목포	Mokp'o
朴花城	박화성	Pak Hwa-sŏng
姜敬愛	강경애	Kang Kyŏng-ae
間島	간도	Kando
東興中學校	동흥중학교	Tonghŭng Chunghakkyo (Dongheung Middle School)
張河一	장하일	Chang Ha-il
米國	미국	Miguk (United States)
三一	삼일	Samil (March 1st)
黃愛施德	황애시덕	Hwang Aesidŏk (Esther Hwang)
金蓮實	김련실	Kim Yŏn-sil
藤原義江	후지와라 요시에	Fujiwara Yoshie
姜弘植	강홍식	Kang Hong-sik
朱世竹	주세죽	Chu Se-chuk

**Glossary**

女流名士	여류명사	Famous woman, female celebrity
男便調査狀	남편조사장	Survey report on husbands (older term for husband: 男便)
잇는	있는	To have, to exist (older spelling of 있는)
밋헤	밑에	Under, below (older spelling of 밑에)
안저	앉아	Sit (older spelling/form of 앉아)
不鳴不泣	불명불읍	Neither crying nor complaining (Sino-Korean idiom)
놉흔	높은	High, prominent (older spelling of 높은)
업기에	없기에	Because there isn't/aren't (older spelling of 없기에)
영부인	영부인	Wife (honorific, often implies wife of a prominent man)
가정치사	가정치사	Household management, domestic affairs
여기자	여기자	Female reporter
여류평론가	여류평론가	Female critic
교편(을) 들다	교편(을) 들다	To teach (lit. to hold the teacher's pointer/rod)
독일	독일	Germany (獨逸)
이론분자	이론분자	Theorist, ideologue (lit. theory element)
동사	동사	Comrade (同士)
밧고	받고	Receive (older spelling of 받고)
푸로문사	프로문사	Proletarian writer/artist/figure (loanword + Sino-Korean)
명여우	명여우	Famous actress (名女優)
러시아문학	노문학	Russian Literature (露文學, older term using 露 for Russia)
고상하시다가	고생하시다가	To suffer hardship (euphemism used here likely for imprisonment)
출옥	출옥	Release from prison
중진	중진	Important figure, heavyweight (重鎭)
혁혁한	혁혁한	Illustrious, brilliant (赫赫)
끗빠이	끝바이	The end, goodbye (colloquialism, possibly influenced by English 'goodbye' or Japanese?)
샛파란 색시	새파란 색시	Very young unmarried woman (lit. bright blue bride)
미혼녀	미혼녀	Unmarried woman


---------------------------


잡지명	삼천리 제7권 제1호
발행일	1935년 01월 01일
기사제목	女流名士의 男便調査狀
기사형태	잡저

女流名士의 男便調査狀
