Magazine Title: 삼천리 제7권 제1호
Publication Date: 1935년 01월 01일
Article Title: 野談 徐花潭 (Folk Tale: Sŏ Hwadam)
Author: 愼麟範
Article Type: 문예기타 (Literature/Etc.)

Folk Tale: Sŏ Hwadam
						Sin Ninbŏm
During the mid-Yi Dynasty, almost everyone knew of the Kaesŏng Samjŏl (開城三絶, Three Wonders of Kaesŏng). For Neo-Confucian learning, there was Sŏ Hwadam (徐花潭); for spirit, Hwang Chin (黃眞); and for scenery, Pak Yŏn (朴淵). These were the so-called Three Wonders. Compared to the scenery of Pak Yŏn and the famous kisaeng Hwang Chin, Sŏ Hwadam's virtue was not just much higher. He was erudite and well-read, naturally proficient in the Confucian classics, but beyond that, there was nothing he wasn't skilled in, including astronomy, geography, medicine, and divination. He built a pavilion in a place called Hwadam and was teaching his disciples daily when suddenly an old Buddhist monk came below the steps, put his hands together, and bowed. Hwadam asked,
"For what reason have you come here?"

The monk replied simply,
"This humble monk happened to be passing by your esteemed residence on my way somewhere, so I stopped briefly to pay my respects."
Upon hearing the monk's answer, Hwadam again asked, hinting at a plea,
"I feel great pity for that innocent person who will die. Can't you just leave them be?"<114>

The monk said,
"I cannot. That too is heavenly destiny (천승), so what can be done?"
He turned and left. His height exceeded nine ch'ŏk (feet), and his face was extremely fierce, so much so that it was unpleasant to look up at him.

After sending the monk off, Master Hwadam smacked his lips repeatedly and sighed incessantly. The disciples attending him looked at each other, bewildered, not knowing the reason. After a while, the disciples asked,
"Master, why are you so worried?"
Hwadam replied, sighing,
"The monk who just visited and left is a divine tiger who serves as a mountain guardian (산직힘). Tonight, in a certain village, at someone's house, they are celebrating a joyous occasion, welcoming a son-in-law as their daughter gets married. But that maiden will suffer harm from that tiger. Isn't it pitiful?"

Hearing this, the disciples pleaded,
"Master, if you know this will happen, won't you think of a plan to save her?"
Hwadam thought for a moment, then turned again to his disciples, saying,
"I wish to test something slightly, but I worry because there is no one to send."
Hearing these words, one disciple volunteered to go. Hwadam was infinitely pleased and gave him a book, instructing,
"This is scripture from the Lotus Sutra (蓮花經). If you recite this, you can avoid disaster. Go to that house, do not reveal the secret, but simply set up an incense table on the main wooden floor (대청), lock the maiden securely in her room, have five or six strong servants hold her tightly so she cannot come out, and you, sitting on the main floor, read this scripture. Read it without mistaking any letters or phrases. If you can just get past the rooster's crow, there will be no trouble."

The disciple heard these words, took the scripture, and went searching for the house. Indeed, it was the home of a wealthy family living in splendor. They were incredibly busy preparing for the imminent wedding. He went in, saw the master of the house, and said,
"Forgive my unpleasant words during your esteemed family's wedding, but there may be danger to the young lady's person today. I have come expressly to prevent this. Please set up an incense table in the main hall, and I shall sit and recite scripture to pass the night safely, thus avoiding calamity."
Hearing this, the master of the house thought Hwadam's disciple was mad and tried to chase him away. Hwadam's disciple pleaded so earnestly, time and again (지재지삼), that the master was finally moved by his sincere warnings and entreaties. Thinking that even if such a thing didn't happen, there would be no particular harm, just as the sun was setting, he had lamps hung here and there in the main hall <115> and locked his daughter in her room, having several servants guard her so she couldn't move. Hwadam's disciple sat in the main hall, concentrating his entire mind and energy, reciting the scripture. Just as the third watch of the night (samgyŏng, approx. 11 PM - 1 AM) arrived, a whirlwind suddenly arose, a sound like thunder crashed, and it felt as if the whole house was collapsing. A large white tiger (백색대호) of unknown origin dropped into the middle of the courtyard; its eyes were like lightning, its fur like awls. Seeing this sight, everyone in the house was frightened out of their wits and couldn't move. The newly married maiden screamed that she needed to defecate and frantically tried to get out of the room, but the servants held her fast so she couldn't budge. Hwadam's disciple collected himself and read the scripture. The tiger clawed (훕이고) at the ground in the courtyard and roared, then suddenly rushed at a pillar on the main floor porch, biting and tearing (무러 뜻기를) at the pillar three times. Just then, the sound of a rooster crowing was heard, and instantly the tiger vanished without a trace. The maiden fainted (깜울처) and lost consciousness.

Only then did everyone in the house, from the master downwards, without distinction of rank, praise the meritorious deed of Hwadam's disciple. The master offered a thousand pieces of gold (천금) to repay the kindness of saving his daughter's life. Hwadam's disciple then revealed his master's instructions and refused, saying,
"I only came to save a life because I pitied an innocent person's death; what other desire could I possibly have?"
But the master insisted, holding onto him (붓 들고) and trying to give him all sorts of rewards (뢰물), refusing to let him go. Hwadam's disciple, without further argument, broke away forcefully and returned. Hwadam laughed (우스시며) and asked,
"How is it that you misread the scripture in three places?"
Hwadam's disciple asserted,
"I made no errors in reading."
Hwadam laughed again (우스며) and said,
"Just now, the monk stopped by on his way and told me that because you misread the scripture in three places, he deliberately bit and tore the pillar in three places to let you know."
Only then did Hwadam's disciple think back and realize that he had indeed misread three passages. Hwadam was a great Confucian scholar (유현) with such high spiritual arts (도술). Therefore, King Injong (仁宗大王), wishing to employ him specifically for governing the nation, decided to appoint Master Hwadam as the Right State Councilor (우의정) when selecting the three chief state councilors. But unfortunately, King Injong passed away less than a year after becoming king, and Hwadam also failed to attain any significant position, passing away without demonstrating his great splendor to the people. How unfortunate this was! <116>

**Summary**

This article recounts a folk tale about Sŏ Hwadam, a renowned 16th-century Neo-Confucian scholar known for his wisdom and supernatural abilities. The story tells of Hwadam foreseeing a fatal tiger attack on a young bride orchestrated by a mountain spirit disguised as a monk. He sends a disciple with instructions and a Buddhist scripture (Lotus Sutra) to recite, saving the girl despite the disciple making minor errors, which the tiger spirit points out by damaging pillars. The tale concludes by lamenting that Hwadam's potential service to the state under King Injong was cut short by the king's early death.

From a colonial history perspective, the article, published in 1935, presents a nostalgic look at a legendary figure from Korea's past, emphasizing native wisdom, spiritual power (linked to both Confucianism and Buddhism implicitly through the scripture), and moral virtue (saving the innocent, refusing reward). Highlighting such historical figures and tales could serve as a subtle assertion of Korean cultural identity and intellectual heritage during a period of Japanese assimilation policies. The lament for unrealized potential under a Korean king might also resonate with the contemporary situation of lost sovereignty.

**Named Entities**

徐花潭	서화담	Sŏ Hwadam
黃眞	황진	Hwang Chin
朴淵	박연	Pak Yŏn
開城	개성	Kaesŏng
蓮花經	연화경	Yŏnhwagyŏng
仁宗大王	인종대왕	King Injong

**Glossary**

리조	이조	Yi Dynasty (Joseon Dynasty)
개성삼절	개성삼절	Three Wonders of Kaesŏng
도학	도학	Neo-Confucian learning/ethics
기상	기상	Spirit, mettle, disposition
명기	명기	Famous kisaeng (female entertainer/courtesan)
박학다문하야	박학다문하여	Being erudite and well-read (older connective form)
성경현전	성경현전	Confucian classics and sages' writings
의약복서	의약복서	Medicine and divination
능통치	능통치	Being proficient/skilled (older negative form structure)
안흘이	않을 이 / 않음이	Thing which is not (older form)
없섯다	없었다	There was not (older past tense ending)
정자	정자	Pavilion
강학을 하든 중에	강학을 하던 중에	In the middle of lecturing/teaching (older verbal modifier)
홀연히	홀연히	Suddenly, abruptly
중	중	Buddhist monk
계하	계하	Below the steps
합장배례	합장배례	Bowing with hands pressed together (Buddhist greeting)
빈도	빈도	Humble monk (self-deprecating term)
마츰	마침	Just, happen to be
댁	댁	House, residence (honorific)
문압흐로	문 앞으로	In front of the gate (older spelling/pronunciation)
보입고	뵈옵고 / 뵙고	To see (humble/honorific, older form)
드른	들은	Heard (older verbal form)
죄	죄	Sin, crime (here implies moral innocence)
불상히	불쌍히	Pitiably, compassionately
청빗스일른다	청 빛을 띤다?	Hints at a plea, takes on the color of a request (interpretive, older phrasing)
천승	천승	Heavenly destiny, fate ordained by heaven
구적	구척	Nine ch'ŏk (a traditional unit of length, approx. 9 feet)
흉녕하야	흉악하여	Being fierce/ugly (older spelling/form)
치어다	쳐다	To look up at
실흔	싫은	Unpleasant, dislike (older spelling)
입맛을 쩍쩍 다시며	입맛을 쩍쩍 다시며	Smacking one's lips repeatedly (idiomatic for regret/worry)
한탄	한탄	Lamentation, sighing
마지 아니하니	마지 아니하니	Not ceasing, continuously
모시고 잇든	모시고 있던	Who were attending/serving (older form)
잇슬	있을	Will be (older spelling)
앗가	아까	A moment ago (older spelling)
산직힘	산지킴이	Mountain guardian spirit (colloquial/older term)
신령한	신령한	Divine, spiritual
호랑이	호랑이	Tiger
혼인 지내노라고	혼인 지낸다고	Because they are holding a wedding (older connective)
사위	사위	Son-in-law
경사	경사	Joyous event, celebration
처녀	처녀	Maiden, virgin daughter
해함	해함	Harm, injury
바들지라	받을지라	Will receive (older future/suppositional ending)
가엽지 안흐냐	가엾지 않으냐	Isn't it pitiful? (older spelling/negative question)
건저 주실	건져 주실	To save, rescue (for someone else)
계책	계책	Plan, scheme, stratagem
안흐십니까	않으십니까	Don't you? (older polite negative question)
졸은다	조른다	To urge, pester, plead insistently
족음	조금	A little, slightly (older spelling)
시험하고저	시험하고자	Wishing to test
잇더니	있더니	After being for a while (older connective)
깃거하며	기뻐하며	Rejoicing, being happy (older spelling)
련화경	연화경	Lotus Sutra
경문	경문	Scripture text, sutra passage
외우면	외우면	If one recites/memorizes
화액	화액	Disaster, calamity, misfortune
면할 수 잇나니	면할 수 있나니	Can avoid, so (older form)
비밀	비밀	Secret
누설하지	누설하지	Not leaking/revealing
향탁	향탁	Incense table
대청	대청	Main wooden-floored hall/veranda of a traditional house
배설하고	배설하고	To set up, arrange
방중	방중	Inside the room
가두엇다가	가두었다가	After locking up
건장한	건장한	Sturdy, robust, strong
비복	비복	Servants (male and female)
오륙인	오륙인	Five or six people
붓잡고	붙잡고	Holding tightly (older spelling)
차착이	착오가	Error, mistake (possible interpretation of older/rare word)
없스리라	없으리라	Will not be (older future tense)
일러준다	일러준다	To tell, inform, instruct
듯고	듣고	Hearing (older spelling)
바다가지고	받아가지고	Receiving and taking (older form)
차저가니	찾아가니	Went looking for (older spelling)
과연	과연	Indeed, truly
호화롭게	호화롭게	Luxuriously, splendidly
부호	부호	Wealthy person/family
방장	방장	Imminent, just about to happen
분주	분주	Busyness, bustle
자미없는	재미없는	Unpleasant, uninteresting (lit. not fun)
말슴	말씀	Words (honorific/deferential)
올시다	올시다 / 올습니다	It is (deferential older ending)
딴님	따님	Daughter (honorific)
신변	신변	One's person, personal safety
잇겟기로	있겠기에	Because there might be (older causal ending)
방비하기	방비하기	To prevent, guard against
위하야	위하여	For the sake of (older spelling)
안지서	앉아서	Sitting (older spelling)
지내고야	지내고야	Only after passing/spending (time)
곤	곧	Then, soon after
화	화	Disaster, misfortune
면할 것이 올시다	면할 것입니다	Will avoid (deferential, older ending)
미친사람	미친 사람	Crazy person
돌리어	돌리어	Considering as, treating as
내쪼치려	내쫓으려	Trying to chase away (older spelling)
지재지삼	재삼재사?	Repeatedly, again and again (idiomatic, possibly older form)
하얏드니	하였더니	Did, and then (older past connective)
설령	설령	Even if, supposing that
안흘지라도	않을지라도	Even if not (older spelling)
별	별	Particular, special
직히엿다	지키었다 / 지켰다	Guarded (older past tense)
일심정력	일심정력	One mind and energy, utmost concentration
삼경	삼경	The third watch of the night (approx. 11 PM - 1 AM)
회호리 바람	회오리 바람	Whirlwind
벼락	벼락	Thunderbolt, lightning strike
쓸어지는 것 갓더니	쓸어지는 것 같더니	Seemed like it was collapsing/being swept away (older spelling)
난데없는	난데없는	Appearing from nowhere, unexpected
백색대호	백색대호	Large white tiger
번개갓고	번개같고	Like lightning (older spelling)
떨	털	Fur, hair
송곳갓다	송곳같다	Like an awl (older spelling)
광경	광경	Scene, sight
혼비백산	혼비백산	Soul scattered and spirit fled (frightened out of one's wits)
꼼작을 못하고	꼼짝을 못하고	Unable to budge/move
똥을 누러가겟다고	똥을 누러가겠다고	Saying she needs to defecate (colloquial urgency)
야단	야단	Fuss, commotion, uproar
방밧그로	방 밖으로	Out of the room (older spelling)
붓잡고	붙잡고	Holding tightly (older spelling)
정신을 차리고	정신을 차리고	Gathering one's senses, collecting oneself
