Rank	Word	Frequency
1	하야	548
2	말	366
3	나	321
4	생각	238
5	사람	237
6	우리	205
7	그것	199
8	가지	181
9	섯다	162
10	朝鮮	149
11	일이	140
12	다시	129
13	집	120
14	기사	112
15	하나	110
16	하엿다	99
17	돌멘	91
18	지금	89
19	가치	88
20	자긔	84
21	무엇	83
22	이상	81
23	눈	79
24	보고	74
25	대한	74
26	서서	70
27	소리	69
28	사회	69
29	늙은이	68
30	사실	66
31	손	66
32	되엿다	65
33	리하	65
34	잡지	62
35	때문	61
36	형태	60
37	로서	60
38	문제	59
39	이오	59
40	무슨	59
41	머리	59
42	자기	58
43	사상	58
44	발행	57
45	발견	57
46	민족	56
47	제목	55
48	생활	55
49	佛敎	55
50	제호	54
51	개벽	53
52	신간	53
53	작품	53
54	동안	52
55	정치	52
56	가장	52
57	동시	51
58	정신	51
59	처음	51
60	오늘	50
61	마음	50
62	더욱	49
63	문학	49
64	안이	49
65	대하	48
66	시대	48
67	수가	48
68	西伯利亞	48
69	여러	46
70	보아	46
71	그대로	46
72	필자	45
73	관계	45
74	세계	45
75	당시	44
76	문예	44
77	현재	43
78	이의	43
79	다가	43
80	거리	43
81	日本	43
82	모든	42
83	역시	42
84	인간	41
85	먼저	41
86	너	41
87	다음	41
88	이나	41
89	또한	41
90	가티	41
91	여기	40
92	朝鮮米	40
93	까닭	39
94	듯이	39
95	하얏다	39
96	안코	39
97	모양	39
98	녀자	39
99	학교	38
100	안해	38
101	필요	37
102	소위	37
103	다른	37
104	식이	37
105	국가	36
106	여긔	36
107	나라	35
108	이란	35
109	물	35
110	입	35
111	현실	35
112	주장	34
113	자리	34
114	불	34
115	문화	34
116	낫다	34
117	바다	34
118	발표	33
119	실로	33
120	의미	33
121	잇스	33
122	아모	33
123	종혁씨	33
124	문희	33
125	엇다	32
126	제일	32
127	저서	32
128	基督敎會	32
129	정부	31
130	과거	31
131	얼마	31
132	역사	31
133	행동	31
134	운동	30
135	결과	30
136	바이	30
137	獨逸	30
138	누구	30
139	로부터	30
140	그때	30
141	광부	30
142	노력	30
143	소개	30
144	이유	29
145	원인	29
146	시작	29
147	발	29
148	꿈	29
149	양국	29
150	만일	28
151	이제	28
152	바람	28
153	수입	28
154	支石	28
155	비록	27
156	세상	27
157	내지	27
158	다만	27
159	예술	27
160	연구	27
161	민중	27
162	벙어리	27
163	이용	26
164	밥	26
165	시간	26
166	이야기	26
167	방법	26
168	신문	26
169	선생님	26
170	소식	25
171	결코	25
172	中國	25
173	마치	25
174	잇슬	25
175	사이	25
176	내각	25
177	요새	25
178	기타	24
179	국제	24
180	얼굴	24
181	사업	24
182	인제	24
183	농촌	24
184	파라과이	24
185	比島	24
186	히틀러	23
187	하든	23
188	아들	23
189	더욱이	23
190	장덕	23
191	사랑	23
192	실제	23
193	발전	23
194	따라서	23
195	주의	23
196	작가	23
197	誇張	23
198	丁先生	23
199	자유	23
200	基督敎	23
201	통제	22
202	반대	22
203	한번	22
204	광주	22
205	얼골	22
206	업스	22
207	것이엇다	22
208	인류	22
209	지방	22
210	朝鮮人	22
211	혼자	22
212	米國	22
213	아버지	22
214	촤코	22
215	겨우	21
216	하니	21
217	아츰	21
218	거기	21
219	제한	21
220	대개	21
221	경제	21
222	마는	21
223	방면	21
224	비평가	21
225	의식	21
226	모방	21
227	공부	21
228	가슴	20
229	담배	20
230	제법	20
231	서로	20
232	존재	20
233	로써	20
234	그러케	20
235	바로	20
236	도야지	20
237	국민	19
238	세력	19
239	독립	19
240	크게	19
241	과연	19
242	압흐	19
243	제조	19
244	생산	19
245	보지	19
246	今日	19
247	明日	19
248	昭和	19
249	未滿	19
250	이름	19
251	차저	19
252	天道敎	19
253	민족성	19
254	매우	18
255	하자	18
256	남북	18
257	기회	18
258	하랴	18
259	전부	18
260	마누라	18
261	보통	18
262	내일	18
263	길이	18
264	어듸	18
265	안타	18
266	계급	18
267	초인	18
268	開闢	18
269	녀석	18
270	여자	18
271	여인	18
272	엇더케	18
273	오지	18
274	蓋石	18
275	실시	18
276	볼리비아	18
277	건설	17
278	위기	17
279	장래	17
280	대중	17
281	아래	17
282	경영	17
283	사용	17
284	저녁	17
285	설명	17
286	얼마나	17
287	이론	17
288	한편	17
289	타고	17
290	황금	17
291	경우	17
292	상태	17
293	태도	17
294	최근	17
295	京城	17
296	기도	17
297	老人	17
298	인사	17
299	대립	17
300	잇섯	17
301	조건	17
302	보이	17
303	도시	17
304	鍾路	17
305	국내	16
306	점령	16
307	희망	16
308	하라	16
309	정책	16
310	정도	16
311	자신	16
312	구경	16
313	언제	16
314	지오	16
315	대로	16
316	서울	16
317	방울	16
318	이요	16
319	이외	16
320	일반	16
321	거나	16
322	종교	16
323	왓다	16
324	男子	16
325	방안	16
326	오후	16
327	압헤	16
328	岡田	16
329	사공	16
330	滿洲	16
331	南米	16
332	東學	16
333	多島海	16
334	골목	16
335	대진	16
336	테니스	16
337	총무	16
338	나치스	15
339	계획	15
340	이면	15
341	내용	15
342	창작	15
343	취하	15
344	누가	15
345	고개	15
346	어서	15
347	가면	15
348	和信	15
349	감정	15
350	효과	15
351	정당	15
352	표준	15
353	부탁	15
354	하겟다	15
355	원문	15
356	조금	15
357	스리	15
358	걱정	15
359	여행	15
360	뿌라질	15
361	儒敎	15
362	햇세	15
363	倒毁	15
364	곡통	15
365	분쟁	15
366	수상	14
367	최후	14
368	아모리	14
369	현대	14
370	가운	14
371	계속	14
372	활동	14
373	대륙	14
374	중심	14
375	도리	14
376	목표	14
377	인식	14
378	드니	14
379	주인	14
380	모도	14
381	비교	14
382	정말	14
383	이튼	14
384	직접	14
385	스스로	14
386	이번	14
387	以上	14
388	만타	14
389	이불	14
390	즉시	14
391	貴國	14
392	사정	14
393	도로	14
394	의회	14
395	의병	14
396	만원	14
397	英國	14
398	재는	14
399	처녀	14
400	자아	14
