**Header Section:**
Magazine Title: 동광 제32호
Publication Date: 1932년 04월 01일
Article Title: 針大棒小 (Needle Big, Stick Small - Making a mountain out of a molehill)
Author: Not Specified
Article Type: 잡저 (Miscellaneous Jottings)

**Body Text Translation:**
O Tongjin (吳東振), who clamored in court that he was the third son of God, received a sentence of life imprisonment. In this enlightened world, how could even the third son of God evade the net of the law?

Private schools are said to be decreasing year by year due to economic difficulties. Don't think it's because they lack money; pubs and cafes are increasing year by year.

A new term, "aimless migrants to Manchuria" (漫然渡滿者), has emerged. What is meant by aimless? Ultimately, it refers to people going without money. Is Manchuria any different? The problem of those with money and those without remains the same.

The first item on the agenda at the Disarmament Conference was a grand oratory contest, and similarly, the League of Nations General Assembly for the Shanghai Incident also began with a grand oratory contest. Eloquence is silver, bullets are gold.

The Manchuria-Korea air route is said to pass through Hamgyŏng Province. Let's hope the Paektu Mountain tigers aren't startled by the propeller noise.

Applications to girls' higher common schools have decreased. Conversely, the number of working girls in Kyŏngsŏng city is increasing. Both should be increasing, but it's no fun that only one is.

The average school fee per household is increasing from 90 chŏn to 1 wŏn starting from April. The people's livelihood sees no increase, yet burdens constantly grow; this is a worry.

Public physical training groups have sprung up in the forests of Kyŏngsŏng. All three thousand ri (Korea) has forests and fields everywhere. Let every nook and cranny form a choir of muscles.

The retreating Chinese troops blaming each other – what is this? Did they forget that blaming colleagues even in defeat is the spirit of sports?

Measles is rampant. The reason people don't do the prevention, which could avoid it, is because they don't know. Wouldn't adding measles to the list of quarantine diseases <12> be appropriate for the level of the Chosŏn people?

While financial tycoons are attacked by right-wing extremists, communist elements are arrested among low-level employees of the Bank of Japan. This truly reflects a swirling state of society.

Peace negotiations aboard HMS Kent ended without result after two meetings. Warships and peace – the very names conflict from the start.

Graduation ceremonies at each school. The graduates' stomachs must be full from congratulatory addresses, exhortations, farewell speeches, and admonitions. But unless they are Taoist immortals (神仙), can they survive by eating only congratulatory addresses?

In the United States, gold is said to be the main culprit for the depression, and there's a major effort underway to drag out the hidden gold. Ultimately, when the gold is arrested, might it not turn out that the real culprit is something else?

Starving people unable to eat number 63,000 in North Hamgyŏng Province alone. Yet, people worry that the rice piled up in grain warehouses will spoil.

Mr. Stimson declared, "I'm closing down the business of writing ultimatums from now on." A late realization, indeed.

American university professors reportedly petitioned for an economic blockade. The difference between an economic blockade and war can only be found on a desk; it can't be seen in reality. Not knowing this is what they call armchair theory (机上空論).

A musician sues another musician for copyright infringement. If this is evidence that Chosŏn music has developed, then on the one hand, it's something to congratulate.

There are 2.3 million children not enrolled in school throughout Chosŏn. Ten years from now, there will be 2.3 million societal dropouts. Lamentable, deplorable.

Why did Manchukuo have to be founded on March 1st? There might be a line about it in the Chŏnggamnok (鄭鑑錄).

It's said that up to 60% of 500 female prisoners are charged with murder. If Chosŏn women are not brutal, it's evidence that Chosŏn's morality is brutal. <13>
<12-13>

**Summary**

This collection of short, critical observations from April 1932 paints a picture of colonial Korea grappling with economic hardship (school closures vs. cafe growth, rising fees, famine), social issues (low school enrollment, increase in working girls, measles outbreak, crime among women), and political commentary (O Tongjin's sentence, critique of international diplomacy like the League of Nations and disarmament talks, the founding of Manchukuo, US policy). The writer employs a cynical tone, highlighting contradictions and societal problems under Japanese rule and commenting on global events from a detached, sometimes sarcastic perspective. For historians, the article offers valuable glimpses into the socio-economic anxieties, public health concerns, and critical viewpoints circulating in Korea during the early 1930s. The comments on education disparity, migration to Manchuria, the perceived hypocrisy of international bodies, and the social commentary on crime and morality provide insights into the lived realities and intellectual currents of the colonial period.

**Named Entities**
吳東振	오동진	O Tongjin
滿洲	만주	Manchuria
上海事件	상해 사건	Shanghai Incident
聯盟總會	연맹 총회	League of Nations General Assembly
滿鮮	만선	Manchuria-Korea
咸鏡道	함경도	Hamgyŏng Province
白頭山	백두산	Paektu Mountain
京城	경성	Kyŏngsŏng
中國軍	중국군	Chinese Army
日本銀行	일본은행	Bank of Japan
켄트號	켄트호	HMS Kent
米國	미국	United States
咸北	함북	Hamgyŏngbuk Province
스팀슨君	스팀슨 군	Mr. Stimson
朝鮮	조선	Chosŏn
滿洲國	만주국	Manchukuo
鄭鑑錄	정감록	Chŏnggamnok

**Glossary**
셋재아들	셋째 아들	Third son (Older spelling '셋재')
法廷	법정	Courtroom
無期懲役	무기 징역	Life imprisonment
言渡	언도	Sentence (judicial)
法網	법망	Net of the law
잇나	있나	Is there? / Can it? (Older spelling of 있나)
經濟難	경제난	Economic difficulties
年年이	연년이	Year by year (Older spelling/pronunciation based '년년')
카페	카페	Cafe (Loanword)
漫然渡滿者	만연도만자	Aimless migrants to Manchuria
가르켜	가리켜	Pointing to / Referring to (Older spelling of 가리켜)
잇다	있다	There is / To exist (Older spelling of 있다)
軍縮會議	군축 회의	Disarmament conference
雄辯大會	웅변대회	Oratory contest
銀也	은이요	Is silver (Older particle form 야 instead of 이요/이라)
彈丸	탄환	Bullet, ammunition
金也	금이요	Is gold (Older particle form 야)
航空路	항공로	Air route
푸로펠라	프로펠러	Propeller (Older loanword spelling)
幸여나	행여나	Lest / By chance / Perhaps
놀랄라	놀랄까	Will be surprised? (Older interrogative ending 라)
志願	지원	Application / Volunteering
줄엇다	줄었다	Decreased (Older spelling of 줄었다)
反對로	반대로	Conversely / On the contrary
職業少女	직업 소녀	Working girl
수효	수효	Number / Count
늘어얄텐데	늘어야 할 텐데	Should increase (Older spelling/contraction)
느는	느는	Increasing (Present participle form, older usage)
學校費	학교비	School fees
戶別割	호별할	Per household allocation/levy
平均額	평균액	Average amount
錢	전	Chŏn (Korean currency unit, 1/100th of a Won)
圓	원	Won (Korean currency unit)
民生	민생	People's livelihood
負擔	부담	Burden
작고	자꾸	Repeatedly / Constantly (Contextual meaning, lit. 'small and')
体育班	체육반	Physical education class/group
三千里	삼천리	Three thousand ri (Poetic name for Korea)
坊坊谷谷	방방곡곡	Every nook and cranny
筋肉	근육	Muscle
合唱隊	합창대	Choir
지어라	지어라	Build / Form / Make (Imperative form)
退却	퇴각	Retreat
怨妄	원망	Resentment / Blame
同僚	동료	Colleague
精神	정신	Spirit / Mind
잊엇든가	잊었던가	Did (they) forget? (Older spelling of 잊었던가)
紅疫	홍역	Measles
豫防	예방	Prevention
안는 것	않는 것	Not doing (something) (안는 is likely contraction/form of 아니하는/않는)
까닭	까닭	Reason / Cause
隔離病目	격리 병목	Quarantine disease category/item
民度	민도	Level of the people / Public awareness/civility
合한	합한	Suitable / Fitting / Appropriate
右翼過激分子	우익 과격 분자	Right-wing extremist elements
財界巨頭	재계 거두	Financial tycoon / Magnate
被擊	피격	Being attacked / shot
下級行員	하급 행원	Low-level bank employee
共産分子	공산 분자	Communist elements
被檢	피검	Being arrested
이야말로	이야말로	This indeed is / Truly
소용도리치는	소용돌이치는	Swirling / Turbulent
社會相	사회상	Aspect / State of society
和平交涉	화평 교섭	Peace negotiations
遂無結果	수무결과	Finally without result / Came to nothing
軍艦	군함	Warship
相克	상극	Conflict / Mutual opposition / Incompatibility
卒業式	졸업식	Graduation ceremony
祝辭	축사	Congratulatory address
勸說	권설	Exhortation / Persuasion / Advice
告辭	고사	Farewell address / Instructions
訓諭	훈유	Admonition / Instruction
