잡지명	동광 제32호
발행일	1932년 04월 01일
기사제목	愛蘭自由國 新任首相 데·발레라氏와 愛蘭政界의 變動 (The New Prime Minister of the Irish Free State, Mr. de Valera, and Changes in Irish Politics)
필자	白樂濬
기사형태	소식 (News Report)

The New Prime Minister of the Irish Free State, Mr. de Valera, and Changes in Irish Politics
						By Paek Nakchun
Mr. de Valera, the New Prime Minister of the Irish Free State

Following a Dublin telegram on March 9th reporting that the results of the recent general election in the Irish Free State led to the appointment of Mr. de Valera as Prime Minister, the writer received a phone call from the editorial department of the "Donggwang Company" (東光社) requesting an introduction of the new Irish Prime Minister for the next month's issue of "Donggwang." Given the added urging that the manuscript deadline was the 10th, I have no choice but to briefly introduce Mr. de Valera in a newspaper style.

Éamon de Valera was born on October 10, 1884, making him still a man in his prime, not yet 50. Regarding his birthplace, some say New York, while others say Charleville, County Cork, Ireland. However, I tend to accept the former theory. The reason is that de Valera moved to his mother's hometown, Charleville, in his childhood and grew up there, which I believe led to the latter theory arising. His name is not an Irish name. His father was Spanish, and his mother was a native Irish person who had emigrated to the United States; after Éamon was born, she moved back to Ireland. Thus, de Valera grew up in Ireland from childhood and was educated there, studying at Blackrock College and the Royal University of Dublin.

Looking back at the Irish political situation when de Valera finished his studies and entered society, the Irish people's racial, economic, political, and religious struggle against Britain was entering a new phase. After the Irish Parliament was abolished in 1800 and merged with the British Parliament, the Irish movement reached a stage with Daniel O'Connell's success in the movement for Catholic Emancipation (allowing Catholics to be elected as Irish representatives to the British Parliament) (1829) and the movement to repeal the Act of Union. Subsequently, the Young Ireland Party's activities raised the anti-British banner several times, but political gains were not achieved, and only the disestablishment of the Church of Ireland closed another chapter. From 1874 until before the Great War, Parnell and Redmond successively advocated for achieving self-government and land law reform, obtaining some improvements in the land system and local administration, but the Home Rule movement did not achieve its goal. However, the British Liberal Party recognized the importance of the Irish question, and Gladstone's cabinet submitted an Irish Home Rule Bill to Parliament. But the bill was defeated in the House of Commons in 1886 and in the House of Lords in 1893. Thereafter, under Britain's oppressive policy<14>, the Irish movement shifted direction towards culture. Douglas Hyde and others promoted the revival movement of Ireland's native culture, achieving remarkable progress in language, literature, and art, producing writers like Yeats. Plunkett and others started the cooperative movement, fostering the economic independence of the people.

At this time, the Irish political question underwent a new transformation. Although initially emerging with a cultural hue, a new political association called the Sinn Féin Party, possessing increasingly radical political ideas, came into being. This Sinn Féin Party was organized under the leadership of Arthur Griffith. Its basic theory was that appealing to the British Parliament for the resolution of the Irish political problem was a fundamental error; therefore, the Irish political problem should be solved by the Irish people themselves. Its operational plan was a movement adopting a strategy of non-cooperation with the British government.

In 1906, a Liberal Party cabinet was formed in Britain, and although there was some hesitation about reviving the Irish question, an Irish Home Rule Bill was eventually introduced in 1912 and passed, scheduled for implementation in 1914. However, due to resistance to the Irish Home Rule Bill by the people of Ulster (British Protestants residing in Northern Ireland who absolutely opposed separation from Great Britain) and the outbreak of the World War, the implementation of the Home Rule Bill was postponed indefinitely.

Mr. Cosgrave, Former Prime Minister of the Irish Free State

De Valera, like Griffith, was a member of the Sinn Féin Party with radical political views, and from 1913, he devoted himself to the Irish Volunteers. There is a saying among the Irish, "England's difficulty is Ireland's opportunity." Taking advantage of the opportunity when Britain temporarily abandoned the Irish question due to the World War, radical Sinn Féin members brushed aside the Home Rule movement and, using the occasion of Easter in the spring of 1916, staged an [uprising] in Dublin, proclaiming Ireland's absolute [independence]. At this time, de Valera was in command of the Volunteers. However, they suffered a crushing defeat under the pressure of British machine guns, and de Valera was arrested and sentenced to death. But Britain, intending to use a policy of leniency, granted a special amnesty, commuting de Valera's sentence to life imprisonment. Later, on June 15, 1917, he received a special pardon and was released from prison. Even after his release, de Valera did not change his political views, organizing many Sinn Féin branches, expanding the scope of its activities, and continuing the Irish independence movement.

At this time, de Valera was elected as a representative for Ireland, gaining the right to attend the British Parliament. However, de Valera argued that the British Parliament had no legislative power to govern Ireland. He gathered the elected Irish MPs, organized an Irish Parliament (Dáil Éireann), and convened it in Dublin, where de Valera was elected as the President of the Dáil, this newly organized Irish Parliament. Seeing the Irish question take such a sharp turn, British statesmen gathered so-called Irish leaders to try to resolve the Irish issue, but due to Sinn Féin's thoroughly non-compromising stance and opposition from the Ulster people, they ultimately failed to achieve results. However, despite warnings from Sinn Féin, Great Britain, seeking to establish imperial authority and also gauge the direction of the Irish people, issued a conscription order in Ireland in April 1918. Sinn Féin rebelled against this bold British policy. At that time (October 1917), Sinn Féin's strength included 12,000 party branches and 250,000 members, making it a major force in Ireland. This Sinn Féin party had already declared the establishment of the Irish Republic<15> at its general meeting in October 1917, enacted a constitution, and elected de Valera as President. However, de Valera was arrested again in May 1918 on suspicion of planning a rebellion. But on February 3, 1919, he escaped from Lincoln Prison and fled to the United States. While in exile in the United States, under the title of President of the Irish Republic, he toured various parts of the US, rallying Irish-Americans and other sympathizers, organizing the American Association for the Recognition of the Irish Republic, and issuing Irish Republic bonds, raising a large sum of money for the independence movement.

During de Valera's second imprisonment, a general election was held in Ireland in December 1918. The result was that Sinn Féin members won a large majority of 73 seats. Sinn Féin members, claiming this election result clearly showed Ireland's will for independence, did not go to London but organized the Irish Parliament (Dáil Éireann) and formally declared Irish independence in January 1919, sending representatives to the Paris Peace Conference. However, they were rejected by the Peace Conference and failed.

As the Irish situation thus deteriorated, clashes between government troops and Sinn Féin continued. At this time, Britain proposed a stopgap measure for the Irish problem: establishing separate parliaments in Ulster and Southern Ireland. However, because Sinn Féin absolutely opposed the bill, the plan could not be implemented, and the calamities of war continued between government troops and Sinn Féin independence party members. Facing such difficulties in governing Ireland, Britain, through the mediation of General Smuts, Prime Minister of the Union of South Africa, decided to negotiate peace with the Sinn Féin members, whom it had hitherto regarded as rebels, and a so-called "truce" was implemented between Britain and Ireland. De Valera returned from the United States to Ireland in 1921 and appointed plenipotentiary ambassadors to negotiate peace with Britain, aiming to settle the pending issues between the two nations. However, the content of this peace treaty was a proposal recognizing Southern Ireland as a Free State. De Valera opposed the Free State proposal, insisting absolutely on the establishment of a unified, independent Irish state, leading to a split with his former comrades. When the Free State proposal passed the Irish Parliament, de Valera denounced the lack of thoroughness of the Free State faction, particularly attacking the clause requiring Irish MPs to take an oath of allegiance to the British monarch. He resigned his position as President and resolved to fight against the Free State government with his remaining comrades. De Valera, who had fought against Britain, now found himself fighting against the Irish Free State. The pro-Treaty faction argued that although it did not achieve ideal desires, it was the best possible solution given the circumstances at the time. However, de Valera launched an active movement, gathered the remaining comrades, organized an independent government, and opposed the Free State. But being outnumbered, he was imprisoned by the Free State authorities in August 1923, experiencing prison life once again. Then, released again in July 1924, he advocated for the withdrawal of the anti-Treaty TDs from the Free State Parliament, but as opinions were not unified, in 1927, de Valera, along with 44 comrades, organized and led a political party called "Fianna Fáil." De Valera himself eventually entered the Irish Free State Parliament. Since de Valera had attacked the oath of allegiance to the British monarch, when this compromise was reached, he took the oath under the statement that this oath was merely an empty political formality, entered the Free State Parliament, and had been building his political base. Now, his Republican Party (Fianna Fáil) has grown in strength to hold a majority within the Irish Free State, and its leader, de Valera, has been elected Prime Minister. It is unknown whether de Valera will advocate for complete separation from Great Britain. The writer has not seen any announcement of his political views. However, one cannot help but speculate that a fundamental change will occur in the not-too-distant future. De Valera has reached this day through a rugged and bleak life full of hardships. In excerpting his background and the facts of Irish history now, it is regrettable not to be able to evaluate de Valera or add interpretation to the historical facts.<16>

**Summary**

This 1932 article by Paek Nakchun introduces Éamon de Valera upon his election as Prime Minister of the Irish Free State. It details his mixed Spanish-Irish heritage, education, and early involvement with radical Irish nationalism (Sinn Féin, Irish Volunteers). The piece chronicles his role in the 1916 Easter Rising, subsequent imprisonment, escape, fundraising in the US as President of the self-declared Irish Republic, and opposition to the 1921 Anglo-Irish Treaty which created the Free State. It recounts his leadership of the anti-Treaty side in the Irish Civil War, further imprisonment, and eventual political maneuvering, including founding Fianna Fáil and entering the Dáil Éireann (parliament) by taking the controversial oath of allegiance as a mere formality. The article concludes by speculating on whether de Valera will now pursue full separation from Britain. From the perspective of Korean colonial history, this article is interesting as it reflects a Korean intellectual's keen interest in Ireland's struggle for independence from the British Empire, a situation mirroring Korea's own under Japanese rule. The focus on a charismatic nationalist leader like de Valera, his radicalism, imprisonment, and eventual rise to power likely resonated with Koreans seeking their own liberation. Historians might find the detailed recounting of Irish political factions and events, and the implicit parallels drawn to anti-colonial struggles, indicative of how international events were viewed and interpreted in colonized Korea.

**Named Entities**

愛蘭自由國	애란자유국	Irish Free State
데·발레라	데·발레라	Éamon de Valera
白樂濬	백낙준	Paek Nakchun
떠불린	더블린	Dublin
東光社	동광사	Donggwang Company
뉴욕	뉴욕	New York
愛蘭	아일랜드	Ireland
콕郡 찰레빌	코크군 찰레빌	County Cork, Charleville
西班牙人	스페인인	Spaniard
米國	미국	United States
블랙롹大學	블랙록대학	Blackrock College
떠블린王立大學	더블린왕립대학	Royal University of Dublin
英本國	영국 본국	Great Britain
다니엘·오칸넬	대니얼 오코넬	Daniel O'Connell
英本國議會	영국 본국 의회	British Parliament
英愛合邦條例	영애 합방 조례	Act of Union (Britain-Ireland)
靑年愛蘭黨	청년아일랜드당	Young Ireland Party
國立敎會	국립교회	Established Church (Church of Ireland)
파-넬	파넬	Parnell
렛몬	레드먼드	Redmond
英本國 進步黨	영국 본국 진보당	British Liberal Party
글랫스톤	글래드스턴	Gladstone
下議院	하의원	House of Commons
上議院	상의원	House of Lords
떠글러쓰·하이드	더글러스 하이드	Douglas Hyde
예이즈	예이츠	Yeats
풀런켓	플렁킷	Plunkett
신펜黨	신페인당	Sinn Féin Party
아더·그리피드	아서 그리피스	Arthur Griffith
英政府	영국 정부	British Government
進步黨內閣	진보당 내각	Liberal Party Cabinet
얼스터	얼스터	Ulster
世界大戰	세계대전	World War
커스그레브	코즈그레이브	Cosgrave
愛蘭 義勇軍	아일랜드 의용군	Irish Volunteers
復活祭日	부활절	Easter
英軍	영국군	British Army
링큰監獄	링컨 감옥	Lincoln Prison
愛蘭共和國	아일랜드 공화국	Irish Republic
在米 愛蘭人	재미 아일랜드인	Irish people in America
愛蘭獨立後援會	아일랜드 독립 후원회	American Association for the Recognition of the Irish Republic (lit. Irish Independence Support Association)
愛蘭國會	아일랜드 국회	Dáil Éireann (Irish Parliament)
巴里平和會議	파리평화회의	Paris Peace Conference
官軍	관군	Government troops
南非洲聯邦	남아프리카 연방	Union of South Africa
스멋츠將軍	스머츠 장군	General Smuts
英皇帝	영국 황제	British Monarch/King
自由國派	자유국파	Pro-Treaty faction / Free State faction
自由國政府	자유국 정부	Free State Government
獨立黨	독립당	Anti-Treaty/Republican Party (in context)
自由國 官憲	자유국 관헌	Free State Authorities
피아나·페일	피아나 페일	Fianna Fáil
自由國議會	자유국 의회	Free State Parliament (Dáil Éireann)
共和黨	공화당	Republican Party (Fianna Fáil in context)

**Glossary**

新任	신임	Newly appointed
首相	수상	Prime Minister
政界	정계	Political world/circles
變動	변동	Change, fluctuation
報導	보도	Report, news
編輯部	편집부	Editorial department
原稿	원고	Manuscript
督促	독촉	Urging, pressing
付言	부언	Additional remark
簡略히	간략히	Briefly
紹介	소개	Introduction
출생하엿으니	출생하였으니	Was born (older form of 하였으니)
未滿	미만	Less than, under
壯年	장년	Prime of life (man)
出生地	출생지	Birthplace
關하야	관하여	Regarding (older form of 관하여)
是認하다	시인하다	To approve, acknowledge, recognize
母親	모친	Mother (formal)
移居하다	이거하다	To move residence
長成하다	장성하다	To grow up
父親	부친	Father (formal)
本土人	본토인	Native person
搬去하다	반거하다	To move (something/someone) back
修業하다	수업하다	To study, complete a course
社會	사회	Society
出世하다	출세하다	To enter society, succeed in life
當時	당시	At that time
溯究하다	소구하다	To trace back, investigate retrospectively
人種的	인종적	Racial
經濟的	경제적	Economic
政治的	정치적	Political
宗敎的	종교적	Religious
鬪爭	투쟁	Struggle, fight
바야흐로	바야흐로	Just, on the verge of, entering into
局面	국면	Phase, aspect, situation
展開하다	전개하다	To unfold, develop
議會	의회	Parliament, assembly
廢止되다	폐지되다	To be abolished
더브러	더불어	Together with (older form)
合하다	합하다	To combine, merge
代議士	대의사	Representative, delegate (to an assembly)
被選	피선	Being elected
成就	성취	Achievement, accomplishment
合邦	합방	Annexation, union (of countries)
條例	조례	Ordinance, regulation (here: Act of Union)
一段落	일단락	One stage, conclusion of a phase
作하다	작하다	To make, form (older usage, often replaced by 짓다 or 이루다)
厥後	궐후	Subsequently, thereafter (formal, somewhat archaic)
活動	활동	Activity
反英	반영	Anti-British
旗幟	기치	Banner, flag
收獲	수확	Harvest, gain, result
國立敎會	국립교회	Established Church, National Church
一幕	일막	One act (of a play), one chapter
相繼하다	상계하다	To succeed one another
自治	자치	Self-government, autonomy
獲得	획득	Acquisition, attainment
土地法	토지법	Land law
改量	개량	Improvement, reform (older variant of 개량 改良)
提唱하다	제창하다	To advocate, propose
制度	제도	System
如干한	약간한	Some, a certain amount of (older form of 약간의)
改善	개선	Improvement
其効를 未奏하다	기효를 미주하다	Did not achieve its effect/goal (formal, literary)
重要性	중요성	Importance
깨닷고	깨닫고	Realizing (older spelling of 깨닫고)
內閣	내각	Cabinet (government)
法案	법안	Bill (legislative)
提出하다	제출하다	To submit, present
該案	해안	The said bill/proposal
敗하다	패하다	To be defeated
威壓	위압	Pressure, coercion, oppression
政策	정책	Policy
方向	방향	Direction
轉換하다	전환하다	To change, switch
固有	고유	Inherent, native
復興	부흥	Revival, restoration
運動	운동	Movement
促進시키다	촉진시키다	To promote, accelerate
言語	언어	Language
文學	문학	Literature
藝術	예술	Art
昭著한	저저한	Remarkable, conspicuous
進步	진보	Progress
産出하다	산출하다	To produce
協同組合	협동조합	Cooperative union/association
이르켜	일으켜	Starting, initiating (older form of 일으켜)
人民	인민	The people
獨立	독립	Independence
助長시키다	조장시키다	To foster, encourage, promote
變遷	변천	Change, transition
내이다	내다	To bring about, cause (older causative form)
色綵	색채	Color, hue, characteristic
가지고	가지고	Having (older spelling of 가지고)
漸次	점차	Gradually
急進的	급진적	Radical
思想	사상	Thought, ideology
結社	결사	Association, society
主動	주동	Leadership, initiative
組織되다	조직되다	To be organized
團體	단체	Group, organization
基礎	기초	Foundation, basis
理論	이론	Theory
解決	해결	Solution, resolution
呼訴하다	호소하다	To appeal
根本的	근본적	Fundamental
錯誤	착오	Error, mistake
主唱하다	주창하다	To advocate, champion
作戰	작전	Operation, strategy
計劃	계획	Plan
非協同	비협동	Non-cooperation
策略	책략	Strategy, tactic
取하다	취하다	To take, adopt
躊躇하다	주저하다	To hesitate
畢竟	필경	After all, eventually
上程되다	상정되다	To be introduced (a bill)
通過되다	통과되다	To be passed, approved
執行하다	집행하다	To execute, implement
預定	예정	Plan, schedule
反抗	반항	Resistance, opposition
發端	발단	Outbreak, beginning
無期延期	무기 연기	Indefinite postponement
되엇든	되었던	Which had become (older form of 되었던)
政見	정견	Political view
義勇軍	의용군	Volunteer army/corps
投身하다	투신하다	To devote oneself to
難關	난관	Difficulty, crisis
기회	기회	Opportunity
一時的	일시적	Temporary
放棄하다	포기하다	To abandon, give up
이용하다	이용하다	To use, utilize
一蹴하다	일축하다	To kick aside, dismiss curtly
富하다	부하다	To assign, take advantage of (an occasion, archaic usage)
이르켜	일으켜	To start, cause, rise up (older form)
絶對	절대	Absolute
高調하다	고조하다	To emphasize, raise one's voice for
當任하다	당임하다	To take charge of, be responsible for
機關銃	기관총	Machine gun
威壓	위압	Pressure, might
一敗塗地하다	일패도지하다	To suffer a crushing defeat
遠捕되다	체포되다 (?)	To be arrested (original term 遠捕 unclear, likely means arrested)
死刑	사형	Death penalty
宣告	선고	Sentence, pronouncement
寬容策	관용책	Lenient policy
大赦	대사	Amnesty
特典	특전	Special favor/privilege
終身役	종신역	Life imprisonment
減刑	감형	Commutation of sentence
特赦	특사	Special pardon
蒙하다	몽하다	To receive (favor, pardon - formal/archaic)
出獄하다	출옥하다	To be released from prison
變함이 없다	변함이 없다	To remain unchanged
事業	사업	Work, enterprise, activity
範圍	범위	Scope, range
繼續하다	계속하다	To continue
選出	선출	Elected
代議士	대의사	Representative, delegate
參席하다	참석하다	To attend
權利	권리	Right
統治하다	통치하다	To rule, govern
制定權	제정권	Legislative power
主張하다	주장하다	To assert, claim
議員	의원	Member of parliament/assembly
合하다	합하다	To gather, combine
組織하다	조직하다	To organize
會集하다	회집하다	To assemble, convene
會長	회장	President, chairman
爲政家	위정가	Statesman, politician
有志	유지	Influential person, volunteer
招集하다	초집하다	To convene, summon
圖하다	도하다	To attempt, plan
徹頭徹尾	철두철미	Thoroughly, from beginning to end
非妥協主義	비타협주의	Non-compromise principle
反對	반대	Opposition
效果	효과	Effect, result
警告	경고	Warning
帝國	제국	Empire
威勢	위세	Authority, power, influence
樹立하다	수립하다	To establish
動向	동향	Trend, tendency, movement
爲하야	위하여	For the sake of (older form of 위하여)
徵兵令	징병령	Conscription order
下하다	하하다	To issue (an order)
大膽한	대담한	Bold, daring
