**Header Section**
Magazine Title: 三千리 제4권 제4호
Publication Date: 1932년 04월 01일
Article Title: 秦始皇과 孟姜娘, 슬푼 傳說의 한폭이 (Qin Shi Huang and Lady Meng Jiang, A Scene from a Sad Legend)
Article Type: 문예기타 (Literature/Etc.)

**Body Text Translation**
Qin Shi Huang and Lady Meng Jiang, A Scene from a Sad Legend

Shanhai Pass (山海關)—In a Chinese street, there were two affluent families, the Meng family (孟家) and the Jiang family (姜家).
Both families—though they had money—lacked children, so they desperately tried various ways to have a child.
Incidentally, it should be mentioned that between the walls of these two houses, there was a pot whose owner had been unknown since ancient times. One day, they discovered a lovely baby abandoned inside that pot. The two families declared, "This child is truly a gift from God." They fought over ownership but ultimately could not reach a conclusion. In the end, by order of a judge, it was decided that the child would be raised equally by both houses.
Being the child of both the Meng and Jiang houses, her name was given as "Meng Jiang Nü (孟姜女)," and she was raised as a child unparalleled in the world.
As she grew older, Meng Jiang Nü became exceedingly beautiful, enough to be called the treasure of Shanhai Pass (山海關). Officials boasting of their power tried more than once or twice to get their hands on Meng Jiang Nü, but she always just smiled and did not reply. However, in the spring of her 15th year, she exchanged affections with a young man known as a handsome figure on the streets of Shanhai Pass. The Meng and Jiang families were greatly delighted, held a feast, and had her enter married life with the handsome man.

The spring when willow flowers bloomed passed, and the summer season of lush greenery arrived. Meng Jiang Nü, together with her husband, spent free days to their hearts' content by the rippling blue sea of Shanhai Pass. Before long, the cold winter returned, and white snow-flowers bloomed on the sparse branches where tree leaves had withered and fallen. Thus, Meng Jiang Nü's first year of newlywed life passed like a dream.

And spring came calling once again.
At that time, Emperor Shi Huang (始皇帝) of Qin (秦) issued an order to build the Great Wall, heading from the coast of Shanhai Pass towards Jiao Mountain (角山). Anyone bearing the name of "man" had to go to the worksite for the wall's construction. Thus, in Shanhai Pass, the traces of men dwindled day by day; it was a fact that Meng Jiang Nü's husband would have to go out to the construction site of the Great Wall. However, Meng Jiang Nü did not want to send her beloved husband to the worksite where harsh labor was enforced, and morning and evening she pleaded for him not to go. But Emperor Shi Huang's command relentlessly did not leave Meng Jiang Nü's husband alone; he had no choice but to go build the Great Wall. Left alone and lonely, Meng Jiang Nü climbed onto the roof every day, gazing at the high wall of the fortress that stretched longer day by day, waiting for her beloved husband.

One year, two years, three years, after some time, four years—thus the time flowed. Spring flowers withered, and again the snowy winter passed, and on the streets, bright red lanterns were lit, welcoming the fifth year.<118> Meng Jiang Nü, thinking of her beloved husband, had been living day and night like a sick person. One day, Meng Jiang Nü went to a nearby mountainside close to her husband's worksite and sang a song like the one below:
"In front of other houses, lanterns celebrating the New Year holiday are brightly lit."
"The red lantern we lit together five years ago, I lit again this New Year and tried to smile, but your form cannot be seen. My longed-for beloved, where are you now? Even just a little bit is fine. Can you not stand atop the Great Wall and show me your cheerful form?"

However, whether they heard Meng Jiang Nü's song or not, the laborers building the wall were just busily carrying stones. What could be seen here and there were only the corpses of laborers who had died and collapsed.
Meng Jiang Nü recalled an old story:
"If one applies one's own blood to a corpse, and if that corpse is the husband's, it will surely come back to life."
Meng Jiang Nü picked up a stone and struck her hand to draw blood. With the dripping blood drops, she went around dabbing thousands of corpses, but everything ended up being in vain.
Terribly exhausted, she eventually called her husband's name and collapsed.

When she regained consciousness, she realized she was lying on a bed adorned with silver and gold.
Many maids were watching over her nearby. She couldn't comprehend that dreamlike world, but after a while, one maid informed her that she had been brought into the palace of Emperor Shi Huang (秦나라 始皇帝) of Qin.
She had been found collapsed amongst the corpses by a patrolling guard and brought all the way to the Emperor's palace.
Several days later, when she had once again transformed into the beautiful Meng Jiang Nü, she was summoned to Emperor Shi Huang's banquet.
At that time, Emperor Shi Huang also urged Meng Jiang Nü to become his concubine.
Meng Jiang Nü felt an endless hatred for Emperor Shi Huang, who had snatched away her most beloved husband, and the thought of revenge arose like fire.
"Emperor Shi Huang—I will become your concubine. However, I have one wish: allow me to wear mourning clothes for my dead husband for just 100 days (百日)," she said.
Emperor Shi Huang, according to Meng Jiang Nü's words, proclaimed 100 days of mourning (喪) throughout the entire land of China (中國全土).
The time was exactly the spring when willow leaves decorated the streets in green—the fifth year since their marriage.
On the day the hundred days of mourning ended, Meng Jiang Nü slipped out of the palace, saying she was going to bid a final farewell to her beloved husband sleeping unaware beneath the stones of the Shanhai Pass Great Wall (長城). So she climbed the high peak of Jiao Mountain (角山), offered a final prayer towards the Great Wall (長城), and threw herself into the deep sea where blue waves surged.
Emperor Shi Huang, to commemorate Meng Jiang Nü's firm chastity (貞節), again ordered 100 days of mourning (喪).
On the coast of Shanhai Pass where Meng Jiang Nü threw herself—two rocks appeared, their origin unknown.
Thus, these two rocks sometimes separate and sometimes touch amidst the fiercely crashing waves. When the two rocks touch together, they submerge under the water, and when they are separated, they appear above the water. Seen from atop the Great Wall, appearing large and then seeming to shrink away, it is said to be a symbol (象徵) of the passion sent to the spirit of the husband Meng Jiang Nü loved most dearly until her death. —(End)—<119>
<118-119>

**Summary**

This article recounts the Chinese legend of Meng Jiang Nü. Born miraculously to two childless families in Shanhai Pass, she marries a handsome man who is soon conscripted by Emperor Qin Shi Huang to build the Great Wall. After five years without news, she goes to the wall, finds countless corpses, and tries vainly to identify her husband's body using her blood based on a legend. She collapses and is taken to the Emperor, who desires her. Feigning agreement, she requests a 100-day mourning period for her husband, which the Emperor grants nationwide. At the end of the period, she climbs Jiao Mountain, prays towards the Wall, and commits suicide by jumping into the sea. The Emperor orders another 100 days of mourning for her chastity. Two rocks appear at the site, symbolizing the couple. From the perspective of Korean colonial history, this retelling of a Chinese legend about suffering under a powerful emperor's massive construction project, forced labor, separation, and tragic death could have served as an indirect commentary on the hardships faced by Koreans under Japanese rule, particularly concerning forced mobilization and the powerlessness of individuals against the state. The emphasis on female virtue and ultimate defiance through death might also have resonated with contemporary sentiments.

**Named Entities**

秦始皇	진시황	Chinsihwang
孟姜娘	맹강녀	Maenggangnyang
山海關	산해관	Sanhaegwan
孟家	맹가	Maengga
姜家	강가	Kangga
孟姜女	맹강녀	Maenggangnyŏ
秦	진	Chin
角山	각산	Kaksan
中國全土	중국전토	Chungguk Chŏnt'o (Whole land of China)
長城	장성	Changsŏng (Great Wall)

**Glossary**

잇섯다	있었다	Was, existed (Older spelling of 있었다)
업기	없기	Lacking, not having (Older spelling of 없기)
어떠케	어떻게	How (Older spelling of 어떻게)
어들려고	얻으려고	Trying to obtain/get (Older spelling of 얻으려고)
녯날부터	옛날부터	Since old times (Older spelling of 옛날부터)
어엽분	어여쁜	Pretty, lovely (Older spelling/form of 예쁜/어여쁜)
아해	아이	Child (Older form of 아이)
길르기로	기르기로	To raise/bring up (Older spelling of 기르기로)
업는	없는	Without, lacking (Older spelling of 없는)
길럿섯다	길렀었다	Had raised (Older spelling of 길렀었다)
들사록	들수록	As (she) got older (Older spelling/form of 나이가 들수록)
몹시	몹시	Very, exceedingly
일으는	일컫는	Known as, called (Older spelling/form of 일컫는)
밧구게 되자	바꾸게 되자	Upon exchanging (affections) (Older spelling of 바꾸게 되자)
깃버하며	기뻐하며	Being happy, rejoicing (Older spelling of 기뻐하며)
록음	녹음	Lush greenery (漢字語: 綠陰)
왓섯다	왔었다	Had come (Older spelling of 왔었다)
싸흐라는	쌓으라는	To build/stack up (Older spelling of 쌓으라는)
아너서	않아서	Because not (doing something) (Older spelling of 않아서)
아넛스니	않았으니	Because (he) did not (Older spelling of 않았으니)
아느면 안되게 되엿섯다	않으면 안 되게 되었었다	Had no choice but to (Older spelling/construction)
올나서서	올라서서	Climbing up and standing (Older spelling of 올라서서)
늘어저가는	늘어져 가는	Stretching out, extending (Older spelling of 늘어져 가는)
놉흔	높은	High (Older spelling of 높은)
이섯다	있었다	Was, existed (Older spelling of 있었다)
흘너서	흘러서	Flowing, passing (Older spelling of 흘러서)
맛는	맞는	Welcoming, meeting (Older spelling of 맞는)
켜젓다	켜졌다	Was lit (Older spelling of 켜졌다)
밤낫으로	밤낮으로	Day and night (Older spelling of 밤낮으로)
갓가운	가까운	Near, close (Older spelling of 가까운)
불넛섯다	불렀었다	Had sung (Older spelling of 불렀었다)
켜노아 젓슴니다	켜놓아졌습니다	Has been lit (Older spelling/form of 켜놓았습니다/켜놓아졌습니다)
우서보앗슴니다만은	웃어보았습니다만은	Tried smiling, but... (Older spelling of 웃어보았습니다만)
안으니	않으니	Because not (seen) (Older spelling of 않으니)
사모되는	사모하는	Yearning for, longing for (Slightly different grammatical form)
어듸	어디	Where (Older spelling of 어디)
조곰이라도	조금이라도	Even just a little (Older spelling of 조금이라도)
조흠니다	좋습니다	Is fine, is good (Older spelling of 좋습니다)
보혀주지	보여주지	Show (me) (Older spelling of 보여주지)
못하시겟슴닛가	못하시겠습니까	Cannot you do? (Older polite interrogative ending)
듯든지 마든지	듣든지 말든지	Whether hearing or not (Older spelling of 듣든지)
쌋고	쌓고	Building, stacking (Older spelling of 쌓고)
부즈런히	부지런히	Diligently (Older spelling of 부지런히)
이약이	이야기	Story (Older spelling of 이야기)
자긔	자기	One's own (Older spelling of 자기)
발나보아서	발라보아서	Applying and seeing (Older spelling of 발라보아서)
반다시	반드시	Surely, certainly (Older spelling of 반드시)
살어난다	살아난다	Comes back to life (Older spelling of 살아난다)
뚜뚜려서	두드려서	Striking, hitting (Onomatopoeic/older form related to 두드리다)
몃천명	몇천 명	Several thousand people (Older spelling of 몇천 명)
모-든	모든	All, every (Older spelling, dash likely indicates emphasis or original punctuation)
말엇슬 뿐이다	말았을 뿐이다	Just ended up (being) (Older spelling of 말았을 뿐이다)
꿈어노흔	꾸며놓은	Decorated (Older spelling of 꾸며놓은)
겻헤서	곁에서	Beside, nearby (Older spelling of 곁에서)
직히고	지키고	Guarding, watching over (Older spelling of 지키고)
알녀야 알 수 업게	알려야 알 수 없게	Could not understand even trying to know (Older spelling/construction)
석겨서	섞여서	Mixed among (Older spelling of 섞여서)
쓸어진	쓰러진	Collapsed, fallen down (Older spelling of 쓰러진)
시황제	시황제	Emperor Shi Huang (秦始皇)
어엽분	어여쁜	Pretty, lovely (Older spelling/form of 예쁜/어여쁜)
불니워	불리어	Being called, summoned (Older spelling of 불리어)
앗서간	빼앗아간	Snatched away, took away (Older spelling of 빼앗아간)
끗업시	끝없이	Endlessly (Older spelling of 끝없이)
이러나섯다	일어났었다	Arose, occurred (Older spelling of 일어났었다)
입혀달나고	입혀달라고	Asking to let (her) wear (Older spelling of 입혀달라고)
광포하엿다	광포하였다	Proclaimed widely (Archaic verb form for 공포하였다 - proclaim)
몰으고	모르고	Not knowing (Older spelling of 모르고)
告한다고	고한다고	Saying farewell (using Hanja 告 'to tell')
올나가서	올라가서	Going up (Older spelling of 올라가서)
올니고	올리고	Offering up (Older spelling of 올리고)
깁흔	깊은	Deep (Older spelling of 깊은)
던저바렷다	던져버렸다	Threw oneself (Older spelling of 던져버렸다)
기억하기	기억하기	Remembering, commemorating
낫타낫섯다	나타났었다	Had appeared (Older spelling of 나타났었다)
붓흘	붙을	Touching, sticking together (Older spelling of 붙을)
떠러저잇슬	떨어져 있을	Being separated (Older spelling of 떨어져 있을)
낫타난다	나타난다	Appears (Older spelling of 나타난다)
살아지는	사라지는	Disappearing (Older spelling/variant of 사라지는)
상증	상징	Symbol (漢字語: 象徵)


---------------------------


잡지명	삼천리 제4권 제4호
발행일	1932년 04월 01일
기사제목	秦始皇과 孟姜娘, 슬푼 傳說의 한폭이
기사형태	문예기타

秦始皇과 孟姜娘, 슬푼 傳說의 한폭이
山海關―중국거리에 孟家와 姜家의 유복한 두 가정이 잇섯다.
두 집 다―돈은 잇지만 자식이 업기 때문에 어떠케 하여서 자식을 어들려고 애를 썻다.
