Magazine Title: 三千里 제4권 제2호
Publication Date: 1932년 02월 01일
Article Title: 三千里社主催 誌上 靑年學徒雄辯大會 (Samch'ŏlli Company Sponsored Youth Student Oratorical Contest Held on Paper)
Article Type: 설문 (Survey/Debate)

Samch'ŏlli Company Sponsored Youth Student Oratorical Contest Held on Paper
Topic: Does Chosŏn Seek a Strategist (策士) or a Rich Man (富者)?
Judges: An Chaehong
Yi Kwangsu
Company Side: Kim Tonghwan
Selection Announcement
Awaiting a Strategist to Guide the Masses Well - Son Yŏngjo, Hiroshima Middle School
Chosŏn Calls for a Rich Man - Song Kŏlsu, Tongsung Commercial School
Strategist from the Workplace (abbreviated - original text) - Ch'oe Yŏnghae, Yangjŏng High School

Awaiting a Strategist to Guide the Masses Well
Son Yŏngjo, Asahiyama Middle School, Hiroshima City

Everyone, we are the youth of Chosŏn. We are young people born as individuals of Chosŏn. The small entity of Chosŏn is the crystallization formed by the collection of our strength and power.
Therefore, we are constituent elements of an important part of the entity called Chosŏn. If, regardless of the society, the young people are the backbone, foundation, and strength for the survival and prosperity of that society, then we bear the great responsibility and heavy duty as the central figures of our Chosŏn society.
Thus, just as the youth of any country, any nation's society, regardless of the world, fight with all their might for the continuity and prosperity of their own country and nation, we too must bravely advance with all the strength and courage we possess for our Chosŏn society. Then, if we make a firm resolution to work for our society, where should we start, and what path should we walk? This world is truly complex and multifaceted. Opinions are many, and ideas are diverse. If we fail to keep our wits about us and hesitate, we will be meaninglessly swept away without any existence or value amidst all this complexity. First, we must realize who we are. We must survey our surrounding environment, the position we currently walk in, and the various phenomena, and calmly contemplate our path to survival. <86> In a word, it means realizing that we are the youth of Chosŏn and that we must work for the masses of Chosŏn.

Everyone, then what is the condition of our Chosŏn society? Is it thriving, or is it declining? It declines daily, treading the path of ruin. Among these, the decline of the agricultural villages, which occupy the greatest majority both in quantity and quality in agriculture-centric Chosŏn, is so severe it cannot be fully expressed in words. Large landowners become owner-farmers, owner-farmers become tenant farmers, and again, tenant farmers cannot even secure food to eat, inevitably shedding sorrowful and resentful tears of blood, bidding farewell to their beloved homeland, and seeking a path of life. Don't they cross the Apnokkang River towards desolate North Manchuria and cross the Hyŏnhaet'an Strait, hoping to extend their thread-like lives by obtaining even a spoonful of rice? And what do the newspapers report to us daily? Is that Manchuria truly a place of settlement for our White-Clad Compatriots (白衣同胞), and did crossing the Hyŏnhaet'an truly bring us happiness and joy? No. Ultimately, it turned back and crushed us who were struggling and crossing over. When one looks around the cities, anyone can intuitively grasp the societal conditions changing moment by moment, and aren't the crowds of the unemployed, wandering aimlessly without work even when they want to work and earn a living, increasing daily? All of the above are clear facts that everyone sees plainly before their eyes. What do these signify?
If things continue like this, in the not-so-distant future, our youthful boiling spirit and vibrant courage will likely vanish without ever having been fully displayed. If there is resentment in this world, could it be greater than this, and if there is heartache, could it be greater than this? Then, is there no way to overcome this pitiful and frustratingly critical difficulty? If there is, what might it be? Of course, being poor as we are now, unable even to fill our bellies that hunger for three meals in nine days, we naturally seek a rich man, but an intelligent strategist (策士) with leadership, who can guide the masses composing the entity of Chosŏn onto the right path and open up a way for us, the youth, is absolutely necessary. Do we currently possess anything that we can present to others as noteworthy? For our society, which possesses many spirited and vibrant youths, could there be a greater shame than this? What is the reason for this? I say it is due to the lack of excellent strategists to lead Chosŏn. Everyone, look back at our past history. While others invaded wielding X [likely a weapon, unspecified], we, far from confronting them, were still wandering in dreamland, and even worried about waking from that dream. While others were solving equations, we couldn't even write numbers. (Remainder omitted - original text)

Chosŏn Calls for a Rich Man
Song Kŏlsu, Tongsung Commercial School

Briefly, what I want to tell you all is that although the title demands Wealth (富), ultimately, if you think about it, Chosŏn people do not solely demand Wealth, nor do they solely demand a Strategist (策士). Why is that? Because if Chosŏn people were to escape the current reality solely through their own strength, even if a strategist like Zhuge Liang (諸葛亮) or a hero like Napoleon (나폴레옹) were born among Chosŏn people, without wealth, it would be like a building with only an exterior and no interior content. And if there were only wealth and no strategist, it would be just like a foolish Kimsaeng who has only gotten fat. Therefore, from our perspective, we cannot help but see that neither wealth alone is necessary, nor do we demand only a strategist with the capacity to move the nation and society. So, ultimately, it is true that we require both Wealth and a Strategist.
However, since the question is confined to only one of Wealth or Strategist, we inevitably have no choice but to select one of them. Thus, I came to choose Wealth. It is definitely not because I attend a Commercial School <87>.
Then, where lies the reason Chosŏn people demand Wealth? It is something we feel keenly every day. The people of Chosŏn speak of it, the brethren who turn away wiping tears after studying in the same classroom due to school expenses speak of it, and the pitiful beggars or laborers crying out on the streets even in this cold winter—they speak of it all too clearly. Not only that, but the labor-capital struggles (勞資鬪爭) flaring up in various countries today speak of it, and the imperialist nations invading enemy countries to expand territory speak of it. The modern proletarian movement (무산계급운동) will ultimately amount to nothing more than a movement for the proletariat (푸로레타리아) to possess wealth as well.
Since the scope here is limited to Chosŏn people, reflecting on Chosŏn's past, comparing it to the present reality, and projecting into the future, it's not that Chosŏn lacked heroes and strategists in the past, but Chosŏn has never possessed wealth. The strategists born in this small land of three thousand ri only knew this land as a peerless (無雙한) ideal stage and merely performed tragicomedies (비활극) commanding the sheep-like populace of this land; thus, one can see that strategists were greatly lacking. On top of that, Chosŏn's wealth was also unspeakably meager.
Then, this Chosŏn, which has grown for thousands of years without anything to proudly boast of to others and without becoming as excellent as others, has reached the present day... (Remainder omitted - original text)

Selection Critique
A Good Topic for Investigating Reality

An Chaehong
I believe that what is needed more than anything else for the survival movement of the Chosŏn people is to gather the greatest capacity of the greatest majority and propel it ceaselessly towards a fixed goal. To achieve this, leaders with the utmost sincerity, passion, insight (견식), and courage (담력) are required. In this demand for human resources, a figure like a Strategist (策士) will be necessary, and concurrently, there must be great rich men who provide funds without lack. This is likely an important objective that Chosŏn is seeking currently.
That this topic was raised as a target for the on-paper discussion of young students, allowing their contemplation (思究) and sentiment (정서) to eventually bring about considerable steps of progress towards a scientific awareness of the times, will be the breadth and depth of this issue. It is quite interesting that the students debated this issue back and forth, as it is an appropriate matter.

Strategist and Leader
Yi Kwangsu
I wonder if the term Strategist (策士) is not inappropriate. Because the term Strategist is interpreted as meaning a person full of schemes, perhaps this should also be rejected. Why was it not called Leader (指導者)?
Those who discussed this issue seem to have used the term Strategist in the sense of Leader.
It is regrettable that those who discussed leaders seem to lack awareness regarding unity, that is, the recognition that there is no leader apart from unity. I think it is necessary to recognize that a leader is precisely the representative of some unity.
The demand for rich men may be said to be a peculiar phenomenon of Chosŏn. This is because without adding rich men to leaders, it is impossible to carry out projects. However, I think the social value of a rich man depends on whether he chooses a leader well or poorly.
Not only does a rich man himself have no social value, but a rich man who does not undertake projects under the guidance of a proper leader cannot but be called a pirate of society. Since it is a time when myriad projects must be initiated, if a rich man forgets this heavenly duty, there will be nothing left for him but condemnation (정죄).
I acknowledge that the words of the four pre-selected individuals all came from this aspect, but there is undeniably a sense of insufficient awareness in this regard. However, all four have their own distinct characteristics, and I do not wish to discard any of them.

Second Round Topic: Outlook 10 Years Hence. Judges: Kim Pyŏngno
Pak Hŭido
Please send speech manuscripts by March 8th. <88>
<86-88>

**Summary**

This 1932 article from *Samch'ŏlli* magazine presents a debate among Korean students on whether Chosŏn (Korea) primarily needs "Strategists" (策士, interpreted as wise leaders/intellectuals) or "Rich Men" (富者, representing capital and economic power) for its future progress. Son Yŏngjo argues for strategists to guide the suffering masses, pointing to widespread rural decline and emigration. Song Kŏlsu argues for the necessity of wealth, stating that even great leaders are ineffective without capital, citing historical poverty and contemporary socio-economic struggles. Judges An Chaehong and Yi Kwangsu comment on the topic's relevance. An praises the focus on practical needs, while Yi critiques the term "Strategist," preferring "Leader," and emphasizes that leaders must represent unity and that wealth's value depends on its use under proper guidance for societal benefit.

The article is historically significant as it reflects the anxieties and aspirations of Korean youth under Japanese colonial rule. It highlights the dire socio-economic conditions (poverty, emigration, unemployment) and the search for solutions. The debate between needing intellectual/political leadership versus economic power encapsulates a core dilemma for national development under constraint. Yi Kwangsu's emphasis on "unity" and the social responsibility of wealth points towards emerging nationalist and potentially socialist-influenced ideas about collective action and the role of capital in national movements. Historians might find the students' perspectives and the judges' nuanced critiques valuable for understanding colonial-era intellectual currents, youth engagement in national discourse, and the perceived paths toward overcoming subjugation and poverty.

**Named Entities**

三千里社	삼천리사	Samch'ŏlli Sa
安在鴻	안재홍	An Chaehong
李光洙	이광수	Yi Kwangsu
金東煥	김동환	Kim Tonghwan
孫永祚	손영조	Son Yŏngjo
廣島中學	광도중학	Kwangdo Chung Hakkyo (Hiroshima Middle School)
朝鮮	조선	Chosŏn
宋杰洙	송걸수	Song Kŏlsu
東星商業	동성상업	Tongsung Sangŏp Hakkyo (Tongsung Commercial School)
崔映海	최영해	Ch'oe Yŏnghae
養正高普	양정고보	Yangjŏng Kobo (Yangjŏng High School)
廣島市	광도시	Kwangdo-si (Hiroshima City)
旭山中學校	욱산중학교	Uksan Chung Hakkyo (Asahiyama Middle School)
北滿州	북만주	Puk Manchuria (North Manchuria)
鴨綠江	압록강	Apnokkang (Yalu River)
玄海灘	현해탄	Hyŏnhaet'an (Genkai Sea)
滿洲	만주	Manchuria
白衣同胞	백의동포	Paegŭi Tongp'o (White-Clad Compatriots)
諸葛亮	제갈량	Chegal Lyang (Zhuge Liang)
나폴레옹	나폴레옹	Nap'olleong (Napoleon)
金生	김생	Kimsaeng
金炳魯	김병로	Kim Pyŏngno
朴熙道	박희도	Pak Hŭido

**Glossary**

策士	책사	Strategist; schemer (Judge Yi Kwangsu notes the potentially negative nuance)
찻느냐	찾느냐	To seek; to look for (older spelling of 찾느냐)
임니다	입니다	Is; am; are (polite copula, older spelling of 입니다)
조고만	조그만	Small; little (older form/spelling of 조그만)
덩어리	덩어리	Lump; mass; entity
기추	기초	Foundation; basis (likely misspelling or older form of 기초)
질머젓다고	짊어졌다고	To have shouldered (a burden/responsibility) (older spelling/form of 짊어졌다고)
갓치	같이	Like; as; together (older spelling of 같이)
하겟슴니다	하겠습니다	Will do (polite future tense, older spelling of 하겠습니다)
만코	많고	Many; much (older spelling of 많고)
업시	없이	Without (older spelling of 없이)
첫재	첫째	First; firstly (older spelling of 첫째)
것고 잇는	걷고 있는	Walking (older spelling/form of 걷고 있는)
엇떠슴니까	어떻습니까	How is it? (older spelling of 어떻습니까)
퇴패	퇴폐	Decline; decay; decadence (older spelling of 퇴폐)
잇서서	있어서	Being in/at; because there is (older spelling of 있어서)
업슬만치	없을 만치	To the extent that there isn't; so much that... not (older spelling/form)
설음	서러움	Sorrow; sadness (older form of 서러움)
故土	고토	Homeland; native soil
차저서	찾아서	Seeking; looking for (older spelling of 찾아서)
실낫	실낱	Single thread; strand
안슴니까	않습니까	Isn't it?; doesn't it? (older spelling of 않습니까)
안주지	안주지	Place of settlement; safe haven
깃뿜	기쁨	Joy; happiness (older spelling of 기쁨)
말엇슴니다	말았습니다	It ended up being; it became (older spelling of 말았습니다)
밧귀여가는	바뀌어가는	Changing (older spelling/form of 바뀌어가는)
버러먹을내도	벌어먹으려 해도	Even trying to earn a living (older spelling/form)
한일	할 일	Work to do; something to do
潑剌한	발랄한	Lively; vigorous; sprightly
압만	아무리	However much; no matter how (colloquial/dialectal form of 아무리)
안타까운	안타까운	Regrettable; frustrating; pitiful
난사	난사	Difficult matter; serious affair
빈약하고	빈약하고	Poor; meager; scanty
三旬九食	삼순구식	Eating nine meals in thirty days (idiom for extreme poverty)
올은	옳은	Right; correct (older form of 옳은)
여러줄	열어줄	Will open (a path, etc.) (older spelling of 열어줄)
지략	지략	Wisdom and strategy; resourcefulness
현하	현하	The present time; currently (Sino-Korean term)
이러타	이렇다	Like this; such (older spelling of 이렇다)
내노을	내놓을	To put forth; present; show (older spelling of 내놓을)
만히	많이	Many; much (older spelling of 많이)
어듸	어디	Where (older spelling of 어디)
훌융한	훌륭한	Excellent; splendid; great (older spelling of 훌륭한)
헤매엿스며	헤맸으며	Wandered; was lost (older spelling of 헤맸으며)
깨칠	깨질	To be broken; to be shattered (older spelling of 깨질, context implies 'waking up')
푸는대	푸는데	Solving (older spelling of 푸는데)
썻슴니다	썼습니다	Wrote (older spelling of 썼습니다)
말슴	말씀	Words; speech (polite, older spelling of 말씀)
웨	왜	Why (older spelling of 왜)
업스면	없으면	If there isn't/aren't (older spelling of 없으면)
업슬진대	없을진대	If there were not (older spelling of 없을진대)
밧게	밖에	Only; outside of (older spelling of 밖에)
늣겨	느껴	To feel (older spelling of 느껴)
奈邊	내변	Whereabouts; location (Sino-Korean term, less common now)
그럿코	그렇고	Being so; and so (older spelling of 그렇고)
勞資鬪爭	노자투쟁	Labor-capital dispute/struggle
무산계급	무산계급	Proletariat (lit. property-less class)
푸로레타리아	프로레타리아	Proletariat (loanword)
업슷든	없었던	Did not exist; there was not (older spelling of 없었던)
무쌍한	무쌍한	Peerless; unparalleled
비활극	비활극	Tragicomedy (lit. sorrow-lively-drama)
연연출햇섯슬	연출했었을	Would have performed/directed (older spelling)
무더니	무던히	Greatly; very much; considerably (older spelling of 무던히)
뻐젓이	떳떳이	Proudly; openly; uprightly (older spelling, possibly intended 떳떳이)
보담도	보다도	Than; rather than (older spelling of 보다도)
일우는	이루는	Achieving; accomplishing (older spelling of 이루는)
요한다	요한다	Requires; demands
견식	견식	Insight; knowledge; experience
담력	담력	Courage; nerve; boldness
思究	사구	Contemplation; deliberation; thought
정서	정서	Sentiment; emotion; feeling
필경	필경	After all; eventually; in the end
가저오게	가져오게	To bring about (older spelling of 가져오게)
끄으는	끄는	Drawing; attracting (older spelling of 끄는)
아니한가	아니한가	Is it not? (rhetorical question form)
아니하엿습니까	아니하였습니까	Did not?; Was not? (older spelling/form)
밧아	받아	Receiving; accepting (older spelling of 받아)
도로혀	도리어	Rather; on the contrary; instead (older spelling of 도리어)
이르켜야만	일으켜야만	Must establish; must start (older spelling of 일으켜야만)
천직	천직	Heavenly duty; vocation; calling
잇는다면	잊는다면	If one forgets (older spelling of 잊는다면)
정죄	정죄	Condemnation; conviction
박게	밖에	Only; except for (older spelling of 밖에)
승인하다	승인하다	To approve; acknowledge; recognize
십지는	싶지는	Does not want to (older spelling of 싶지는)
제군	제군	Gentlemen; everyone (addressing a group)


---------------------------


잡지명	삼천리 제4권 제2호
발행일	1932년 02월 01일
기사제목	三千里社主催 誌上 靑年學徒雄辯大會
기사형태	설문

三千里社主催 誌上 靑年學徒雄辯大會
演題     朝鮮은 策士를 찻느냐, 富者를 찻느냐
審査員   安在鴻
李光洙
本社側   金東煥
入選發表
民衆을 善導할 策士 待望  廣島中學 孫永祚
朝鮮은 富者를 부른다    東星商業 宋杰洙
策士를 職場에서(략-원문)      養正高普 崔映海

民衆을 善導할 策士 待望
廣島市 旭山中學校 孫永祚

여러분, 우리는 조선의 청년임니다. 우리들은 조선의 한사람으로 태여난 젊은이임니다. 조고만 조선의 덩어리는 우리들의 힘과 력이 모여 된 결정체임니다.
그럼으로 우리는 조선이라는 덩어리의 중요한 부분의 한 분자이올시다. 어느 사회를 물론하고 其 사회존속과 번영의 중견의 기추와 힘이 젊은 청년이라면 우리는 우리 조선사회의 중추인 위대한 책임과 중대한 의무를 질머젓다고 하겟슴니다.
이리하야 세계 어느 나라, 어느 민족사회를 막론하고 其 나라, 其 민족사회의 청년들은 제각기 자기나라, 자기민족의 영속과 번영을 위하야 왼 역량을 다하야 싸호는 것과 갓치 우리는 우리 조선사회를 위하야 잇는 힘과 용기를 다하야 용감하게 나가여야 된 것이올시다. 그러면 우리도 우리 사회를 위하야 일하겟다는 굿은 결심을 하면 어듸서부터 시작하야 엇던 길을 걸어 나아가야겟슴니까. 이 세상은 참으로 복잡다단합니다. 여론도 만코 사상도 구구합니다. 만일 정신을 못차리고 우물우물 하다가는 이 모든 복잡한 와중에서 존재도 아모도 업시 무가치하게 쓸어지고 말 것이올시다. 첫재 우리는 자아가 누구인 것을 자각해야 하겟슴니다. 주위의 환경과 현재 것고 잇는 입장과 가지가지의 현상을 정찰하야 우리의 활로를 냉정히 고찰하여야 하겟슴니다.＜86＞ 일언으로 말하면 우리는 조선의 청년이라는 것을 자각하고 조선의 대중을 위하여야 된다는 것임니다.

