**Header Section:**
Magazine Title: 삼천리 제4권 제2호
Publication Date: 1932년 02월 01일
Article Title: 題號와 命名者 (Title and Namer)
Author: Samch'ŏlli Magazine Contributors
Article Type: 소식 (News/Information)

**Body Text Translation:**
Title and Namer

「Tonggwang (東光)」(Monthly Magazine)
Tonggwang Editor-in-Chief, Chu Yo-han (朱耀翰)

1.  "Tonggwang" means the East is dawning.
2.  Six years ago from now, on March 1, 1926,
3.  It was named by Dr. Kim Yŏ-shik (金麗植).

「Shindonga (新東亞)」(Monthly Magazine)
Shindonga Editor-in-Chief, Chu Yo-sŏp (朱耀燮)

1.  It was decided to create it in relation to the "Tong-a Ilbo (東亞日報)"; initially, it was going to be called "Wŏlgan Tonga" (Monthly Tong-a), but later it became "Shindonga."
2.  On November 1st of last year (1931),
3.  Mr. Sŏl Ŭi-shik (薛義植) named it.

「Hyesŏng (彗星)」(Monthly Magazine)
Kaepyŏk Publishing (開闢社) Editor-in-Chief, Cha Sang-ch'an (車相讚)

1.  Hyesŏng—was first published in March of Showa 6 (1931); the meaning is as the characters suggest (Comet), and the naming was decided by the employee association (사원회).
2.  Shinyŏsŏng (新女性)—was originally called "Puin" (婦人), founded in Taisho 11 (1922), and primarily targeted old-style housewives, but as it did not go as planned, the employee association retitled it "Shinyŏsŏng."
3.  Ŏrini (어린이)—was founded on March 1, Taisho 12 (1923), and the late Mr. Pang Chŏng-hwan (方定煥) named it.
4.  Pyŏlgŏn'gon (別乾坤)—was founded on November 1, Taisho 15 (1926), and
Mr. Pak Tal-sŏng (朴達成) named it.

「Nongmin (農民)」(Monthly Magazine)
Nongmin Editor-in-Chief, Pak Wan (朴浣)

1.  "Nongmin" was first published on May 9, Showa 5 (1930).
2.  It was originally called "Chosŏn Nongmin" (朝鮮農民), but it was renamed Nongmin after severing ties with Mr. Yi Sŏng-hwan (李晟煥).
3.  The meaning is just as the characters indicate (Farmer).

「Chungang Ilbo (中央日報)」(Daily Newspaper)
Chungang Ilbo Provincial News Editor, Yu Kwang-ryŏl (柳光烈)

1.  The title Chungang Ilbo was named by the current president, Mr. No Chŏng-il (盧正一).
2.  It was written by the master calligrapher, Mr. O Se-ch'ang (吳世昌).
3.  Publication began on November 27, Showa 6 (1931), and it continues the issue numbering of the former Chungoe Ilbo (中外日報).

「Chosŏn Ilbo (朝鮮日報)」(Daily Newspaper)
Chosŏn Ilbo President, An Chae-hong (安在鴻)

1.  The Chosŏn Ilbo was published before I became involved.
2.  I do not know who named the title.
3.  Publication began the year after the March First Movement (己未 翌年 - 1920).

「Tong-a Ilbo (東亞日報)」(Daily Newspaper)
Tong-a Ilbo Acting Managing Editor, Sŏl Ŭi-shik (薛義植)

1.  The Tong-a Ilbo was published as the first private newspaper in the year after the March First Movement (己未 翌年 - 1920).
2.  It seems the title was named by Mr. Chang Tŏk-su (張德秀).
3.  As for the meaning, I leave it to everyone's imagination.

「Samch'ŏlli (三千里)」(Monthly Magazine) Samch'ŏlli Company (三千里社), Kim Tong-hwan (金東煥)

1.  Founded in July, Showa 5 (1930).
2.  I did the naming myself.
3.  You all probably know the meaning, without needing words.＜49＞

**Summary**

This article compiles statements from editors-in-chief or representatives of major Korean newspapers and magazines in 1932, explaining the origins of their publication titles (題號) and who named them (命名者). It covers magazines like Tonggwang, Shindonga, Hyesŏng, Shinyŏsŏng, Ŏrini, Pyŏlgŏn'gon, Nongmin, and Samch'ŏlli, as well as newspapers like Chungang Ilbo, Chosŏn Ilbo, and Tong-a Ilbo, providing founding dates, naming rationale, and sometimes calligraphers or related publications. For historians, this piece offers valuable insights into the cultural and media landscape of colonial Korea, revealing the individuals (like Chu Yo-han, Pang Chŏng-hwan, An Chae-hong, Sŏl Ŭi-shik, O Se-ch'ang) involved in shaping public discourse, the establishment dates of significant media outlets (often linked to the post-March First Movement cultural policy shift), and the self-perceived meanings or aspirations embedded in the titles chosen for these influential publications. The connections mentioned, such as Shindonga's link to Tong-a Ilbo or Chungang Ilbo continuing Chungoe Ilbo's lineage, also map relationships within the media industry of the time.

**Named Entities**

東光	동광	Tonggwang
朱耀翰	주요한	Chu Yo-han
金麗植	김려식	Kim Yŏ-shik
新東亞	신동아	Shindonga
朱耀燮	주요섭	Chu Yo-sŏp
東亞日報	동아일보	Tong-a Ilbo
月刊東亞	월간동아	Wŏlgan Tonga
薛義植	설의식	Sŏl Ŭi-shik
彗星	혜성	Hyesŏng
開闢社	개벽사	Kaepyŏk Publishing
車相讚	차상찬	Cha Sang-ch'an
新女性	신여성	Shinyŏsŏng
婦人	부인	Puin
어린이	어린이	Ŏrini
方定煥	방정환	Pang Chŏng-hwan
別乾坤	별건곤	Pyŏlgŏn'gon
朴達成	박달성	Pak Tal-sŏng
農民	농민	Nongmin
朴浣	박완	Pak Wan
朝鮮農民	조선농민	Chosŏn Nongmin
李晟煥	이성환	Yi Sŏng-hwan
中央日報	중앙일보	Chungang Ilbo
柳光烈	유광렬	Yu Kwang-ryŏl
盧正一	노정일	No Chŏng-il
吳世昌	오세창	O Se-ch'ang
中外日報	중외일보	Chungoe Ilbo
朝鮮日報	조선일보	Chosŏn Ilbo
安在鴻	안재홍	An Chae-hong
張德秀	장덕수	Chang Tŏk-su
三千里社	삼천리사	Samch'ŏlli Company
金東煥	김동환	Kim Tong-hwan

**Glossary**

題號	제호	Title (of a publication)
命名者	명명자	Namer; Person who names something
主幹	주간	Editor-in-chief; Publisher
명명한	명명한	Named (past participle of 명명하다)
관련하여	관련하여	In relation to; Regarding
짓기로 되어	짓기로 되어	Was decided to be named/created
나종에	나중에	Later (Older spelling/form of 나중에)
하엿는데	하였는데	Did it, but... (Older spelling/form of 하였는데)
지은 것	지은 것	Thing that was named/composed
사원회	사원회	Employee association; Staff meeting
창간하엿는데	창간하였는데	Founded/First published, but... (Older spelling/form)
文意대로	문의대로	According to the meaning of the text/characters
결정하엿슴니다	결정하였습니다	Decided (Older polite ending -슴니다 instead of -습니다)
改題	개제	Retitle; Change the title
하엿슴니다	하였습니다	Did (Older polite ending -슴니다 instead of -습니다)
씨	씨	Mr./Ms. (Suffix for names)
관계	관계	Relationship; Connection
끈으면서부터	끊으면서부터	From the time of severing/cutting off
개칭하엿고	개칭하였고	Renamed, and... (Older spelling/form)
글자대로	글자대로	Literally; According to the characters/letters
지요	지요	Isn't it?; Right? (Contraction, informal agreement seeking)
地方部長	지방부장	Provincial News Editor/Department Head
書法	서법	Calligraphy
대가	대가	Master; Great expert
쓰신 것	쓰신 것	Thing that was written (honorific)
발간	발간	Publication; Issuance
前	전	Former; Previous
號數	호수	Issue number
그량	그냥	Just; As it is (Older spelling/form of 그냥)
이어나감니다	이어나갑니다	Continues; Succeeds (Older spelling/form)
관계하기 전	관계하기 전	Before I was involved/related
누가 지엇는지	누가 지었는지	Who named/composed it (Older spelling/form of 지었는지)
모르며	모르며	Do not know, and...
己未 翌年	기미 익년	The year after the Kimi year (1919), i.e., 1920
최초	최초	The very first
민간신문	민간신문	Private newspaper; Civilian newspaper
발간되엇는데	발간되었는데	Was published, but... (Older spelling/form)
듯 하며	듯하며	Seems like, and... ; Appears to be, and...
상상하시지요	상상하시지요	Please imagine (honorific + informal agreement seeking ending)
말치 언어도	말할 것도 없이	Needless to say; Without needing words (Dialectal/Older phrasing)


---------------------------


잡지명	삼천리 제4권 제2호
발행일	1932년 02월 01일
기사제목	題號와 命名者
기사형태	소식

題號와 命名者
「東光」(월간잡지)
東光 主幹 朱耀翰

1. 「東光」이라 함은 東方이 밝어온다는 뜻임니다.
2. 지금으로부터 6년 전인 1926년 3월 1일에
3. 金麗植 박사가 명명한 것임니다.

「新東亞」(월간잡지)
新東亞 主幹 朱耀燮

1. 「東亞日報」에 관련하여 짓기로 되어 처음엔 「月刊東亞」라고 하려다가 나종에 「新東亞」라고 하엿는데
2. 작년 11월 1일에
3. 薛義植 씨가 지은 것이외다.

「彗星」(월간잡지)
開闢社 主幹 車相讚

1. 彗星은―昭和 6년 3월에 창간하엿는데 의미는 文意대로이며 명명은 사원회에서 결정하엿슴니다.
2. 新女性은―원래 「婦人」이라 하여 大正 11년에 창간하고 주로 舊家庭婦人을 상대로 하엿스나 생각대로 잘 되지 안어서 「新女性」이라고 사원회에서 改題를 하엿슴니다.
3. 어린이―는 大正 12년 3월 1일 창간인데 故 方定煥 씨가 명명하엿스며
