Magazine Title: 삼천리 (三千里)
Publication Date: 1932년 02월 01일 (February 1, 1932)
Article Title: 春草는 年年 綠인데 그이만 가고 못 오시나? (The spring grass is green every year, but has he alone gone, unable to return?)
Author: 柳光烈 (Yu Kwang-ryŏl), 朴熙道 (Pak Hŭi-do)
Article Type: 소식 (News/Account)

Spring grass is green every year, but has he alone gone, unable to return?
						Yu Kwang-ryŏl

Mr. Son Pyŏng-hŭi's Tomb
The editor of *Samch'ŏlli* has asked me to write about my emotional experience visiting a grave. Apart from the graves of my parents or ancestors, I have only visited two or three others.

It was a spring day several years ago. I went to Kŭmgok Hongnŭng, the tomb of the final monarch of the Yi Dynasty, Kojong. The place is Yangju Kŭmgok, less than an hour's drive by car.

Spring grass was still green on the royal tomb. As I leisurely climbed up before the tomb, several stone figures silently stood guard over the king's eternal rest. I bowed respectfully and recalled the life of Kojong. Since his ascension, the French Disturbance of Pyŏngin (1866), the Treaty of Kanghwa (Pyŏngja) of 1876, the Imo Incident of 1882, the Kapsin Coup of 1884, the Sino-Japanese War of Kapo (1894), the Russo-Japanese War of Kapchin (1904)—Kojong personally experienced all these tumultuous world events (風雷世情). The many troubles that arose between the great hero, the Taewŏn'gun, father of the king, and the great heroine, Queen Min (閔中殿), were also events he personally endured.

However, times changed. When he was alone in Tŏksu Palace in his later years, as the bright moonlight shone on the deserted palace and even the footsteps of the court ladies ceased, a sense of desolation must have wandered through his heart (胸中). Kojong, who had passed through so many storms, now lay peacefully and quietly in his eternal resting place in Kŭmgok.

Although the spring and autumn memorial rites (祭亨) are performed, how could the cuckoo's sorrowful cries (啼血) under the empty mountain moon not pain Kojong's spirit (英靈)?

Mountain moon white, Shu spirit cries (蜀魄啾), Thinking longingly, Leaning on the tower head, Your voiceless suffering saddens my heart, Your voicelessness, my sorrow, A message to travelers separated in the human world, Be careful visiting graves in spring when the cuckoo cries thrice.

And also,

Since the wronged bird left the imperial palace, Alone, a solitary figure amidst green mountains. Faking sleep night after night, sleep hard to fake, Endless grudges pile up, grudges never-ending. Voice breaks at dawn ridge, waning moon white, Blood congeals in spring valley, fallen flowers red. Heaven's voice has yet to hear the sorrowful plea, How is it that only the ears of the grieving are sharp? <46>

Such old poems (古詩) come to mind. Closing my eyes and thinking quietly, endless emotions (感懷) stir within me. In the dense pine forest (松林), spring birds still sing busily.

After that, I had occasion to visit the tomb of Son Ŭi-am (Son Pyŏng-hŭi) in Uidong. That was also a spring day. Going by car, it was deserted, a quiet mountain village.

First, I passed by Ponghwanggak, where the deceased used to live, and went up to the tomb. Bowing before the large burial mound (墳上), I reflected on the deceased's life. He was said to have been born as an illegitimate son (庶子) to a humble family of local functionaries (吏屬) in Ch'ŏngju. When he, as part of the Tonghak Party (東學黨), along with Chŏn Pong-jun, turned guns and swords towards the yangban class, the feudal wall (封建城壁) of Chosŏn, he was a young man in his early twenties. As circumstances were unfavorable, he went into exile (亡명) and spent several years in Osaka, Japan, in gloomy idleness; it was during this time that he associated with Kim Ok-kyun's faction, famous as the Chosŏn Reform Party (改革黨). He agitated for the Kapchin (1904) reforms, but things did not go as planned, and upon finally setting foot on his native soil (故土) after a long time, seeing the general trend (大勢), he distanced himself from the political storms (政界 風雲) for some time, spending idle days, eventually becoming the central figure in the Kimi (March 1st) Incident.

Considering his entire life, one cannot but call him a hero of his time. It is said that when, oppressed by the times (時勢), he befriended the 'leisurely clouds and night cranes' (閑雲夜鶴), he would sometimes come to the Ponghwanggak within this tomb site, open wide his great eyes (巨眼), and stare at the changing state of affairs (時局). In spring, skylarks meaninglessly sing as they fly over his grave. Far off in the distance, the sound of a stream (溪聲) can be heard. It is said that when he was endlessly anxious about the situation in Chosŏn, he would wander up and down by that stream, sighing deeply. The spring colors have not changed, nor has the sound of the stream, but where has the deceased, who used to pace (徘徊) by that stream, gone?

The deceased person already rode the phoenix and left, This place is empty, only Ponghwanggak remains. Once the phoenix leaves, it never returns, White clouds for a thousand years drift aimlessly.

That's right! Hero or great man, before the vastness of time (悠久), it's all laughable. Only the white snow drifts aimlessly (悠悠) in the vast sky (蒼空). After lingering before the grave for a while, I came down to Ponghwanggak; spring grass grew thick in the courtyard of Ponghwanggak. The doors to the rooms where the deceased lived were tightly shut, and cobwebs were swept away.

After that, I once visited Kim Sang-ok's grave, but it is not suitable to write about it here. Last summer, by chance, I visited the cemetery for Westerners at Yanghwajin on the banks of the Han River (漢江畔). Having read in English a book about a certain "William James Hall" who came to Chosŏn over 50 years ago, endured various hardships, preached the gospel (傳道), and healed the sick with medicine (醫術), providing salvation in both spiritual and physical aspects (靈肉 兩 方面), I felt renewed respect for his clean, sacrificial (犧牲的) life. Discovering his grave here felt as delightful as meeting a dear friend. His burial place (墓地) lay comfortable and peaceful. Before it, the silent Han River flows on and on.

The river water flows. Time also flows.
Is not the end of life truly but a spring dream (春夢)?<47>

Alas, Mr. Pang Chŏng-hwan's Tomb
Pak Hŭi-do

Last summer—July 25th—it was a clearly cleared day. However, the heavy air pressure (氣壓) seemed to envelop my large body, and my filled heart felt like it would burst; it was the day my most loyal and sincere friend—Sop'a Pang Chŏng-hwan—his spirit and body (靈肉) together, departed this world forever.

Mr. Pang was my sincere friend and also the irreplaceable, trustworthy friend of Chosŏn's children.

After Mr. Pang's passing (別世), the footsteps of innocent child mourners (弔喪客) never ceased at Mr. Pang's house in Sogyeok-dong; one can understand how genuinely he loved children.

Mr. Pang's coffin (棺) was moved to Hongjewŏn—the crematorium—after noon, so it was extremely hot.

Thinking that in a few minutes his body would travel a road from which it could never return, my mind went blank.

When his body was sizzling and burning away in the fire, it felt so regrettable and heartbreaking that I wanted to jump in together with him.

Was it just me? The genuine weeping of over 200 children, the tragic tears (悲愴) of his wife sending off her beloved husband forever—the heart-wrenching (애끈허지게) scene of his pitiful and poor young children crying out "Father! Father!" in anguish seemed to tear my aching heart even further.

However, whether he knew or not, Mr. Pang just burned well in the fire. He couldn't even hear the cries of the children he had loved so much in life (生存). It was the day right before his passing. When I set foot in his sickroom (病室)—he was extremely swollen, his already stout body had become larger, making it impossible even to talk. Yet, he had wept with me, sharing my grief over his impending death, but Mr. Pang, burning in the fire, just gradually turned to ash and smoke, showing no reaction (反應) at all. Mr. Pang! It is too regrettable. You young man, didn't you have so much work to do in the future (압날)? Do you mean to abandon the children of Chosŏn, who are in a more pitiful state than the children of any other country?

However, I believe that during his lifetime, he fulfilled his mission (使命).

Mr. Pang! The time when your body turned into a wisp of smoke was on a very hot summer day when sweat poured down, but now—as I write this, reminiscing (追憶) about you—my hands are getting extremely cold like this, so I guess you can tell that the times have already changed. Do you mean you just left like that!!

Then do I just mourn your spirit (靈) forever? It is too heartbreaking!!(End)<48>
<46-48>

**Summary**

This article consists of two personal accounts of visiting graves by Yu Kwang-ryŏl and Pak Hŭi-do. Yu reflects on visits to the tombs of King Kojong, Ch'ŏndogyo leader Son Pyŏng-hŭi, and Western missionary William James Hall, contemplating their lives, the passage of time, the transience of heroism, and the enduring presence of nature against the backdrop of Korean history. Pak Hŭi-do provides a deeply personal and emotional account of the cremation of his close friend, the beloved children's writer Pang Chŏng-hwan (Sop'a), mourning his untimely death and the loss felt by Korea's children. Both pieces are elegiac reflections on mortality, memory, and loss, set against specific historical and personal contexts. For historians, these accounts offer glimpses into colonial-era Korean sentiment towards historical figures like Kojong and Son Pyŏng-hŭi, the reverence for figures associated with national movements or cultural contributions like Pang Chŏng-hwan, and personal reflections on death and remembrance during a period of significant national upheaval. Pak Hŭi-do's raw grief for Pang Chŏng-hwan particularly highlights the cultural impact of the children's literature movement founder.

**Named Entities**

柳光烈	유광렬	Yu Kwang-ryŏl
孫秉熙	손병희	Son Pyŏng-hŭi
高宗	고종	Kojong
金谷洪陵	금곡홍릉	Kŭmgok Hongnŭng
楊州 金谷	양주 금곡	Yangju Kŭmgok
李朝	이조	Yi Dynasty
大院君	대원군	Taewŏn'gun
閔中殿	민중전	Queen Min (Min Chungjŏn)
德壽宮	덕수궁	Tŏksu Palace
牛耳洞	우이동	Uidong
孫義菴	손의암	Son Ŭi-am (Son Pyŏng-hŭi's courtesy name)
鳳凰閣	봉황각	Ponghwanggak
淸州	청주	Ch'ŏngju
東學黨	동학당	Tonghak Party
全琫準	전봉준	Chŏn Pong-jun
朝鮮	조선	Chosŏn
日本 大阪	일본 오사카	Osaka, Japan
金玉均	김옥균	Kim Ok-kyun
改革黨	개혁당	Reform Party (Kaehyŏktang)
金相玉	김상옥	Kim Sang-ok
漢江畔	한강반	Han River Bank
楊花津	양화진	Yanghwajin
윌리암.쩨임쓰.홀-	윌리엄 제임스 홀	William James Hall
方定煥	방정환	Pang Chŏng-hwan
朴熙道	박희도	Pak Hŭi-do
昭格洞	소격동	Sogyeok-dong
弘濟院	홍제원	Hongjewŏn
小波	소파	Sop'a (Pang Chŏng-hwan's pen name)

**Glossary**

春草	춘초	Spring grass
年年	연년	Year after year
陵	릉	Royal tomb
石物	석물	Stone figures (at a tomb)
護直	호직	To guard, stand watch (older form)
登極	등극	Ascension to the throne
洋擾	양요	Foreign disturbance (specifically referring to 19th-century Western incursions)
修好條規	수호조규	Treaty of amity and commerce (e.g., Treaty of Kanghwa)
軍變	군변	Military mutiny/revolt
政變	정변	Coup d'état
日淸戰爭	일청전쟁	Sino-Japanese War
日露戰爭	일로전쟁	Russo-Japanese War
風雷世情	풍뢰세정	Turbulent world affairs; storms and thunder of the times
國太公	국태공	Father of the King (term for the Taewŏn'gun)
中殿	중전	Queen Consort
波瀾	파란	Troubles; ups and downs; waves
時勢	시세	The trend of the times; the current situation
月光	월광	Moonlight
無人 宮闕	무인 궁궐	Unmanned/deserted palace
寂寞	적막	Silence; desolation; loneliness
胸中	흉중	In one's heart/mind
祭亨	제향	Memorial rites; ancestral rites
英靈	영령	Spirit of the deceased (especially a respected one)
杜鵑	두견	Cuckoo
啼血	제혈	Crying blood (metaphor for sorrowful cries, associated with the cuckoo)
古詩	고시	Old poem; classical poem
感懷	감회	Sentiments; feelings; reflections
松林	송림	Pine forest
잇다	있다	To be; to exist (older spelling)
갓섯다	갔었다	Went (older spelling)
올나가니	올라가니	Going up; as (I) went up (older spelling)
업시	없이	Without (older spelling)
하엿다	하였다	Did (older spelling)
게압실	계실	To be (honorific, older form/spelling, contraction of 계시+ㄹ)
비최고	비추고	Shining (older spelling)
끈어젓을	끊어졌을	Would have ceased/been cut off (older spelling)
배회하압섯을	배회하였을	Must have wandered/paced (older emphatic/past form)
누으섯다	누우셨다	Lie down (honorific past, older spelling)
압흐게	아프게	Painfully (older spelling)
안으랴	않으랴	Would it not? (negative interrogative ending, older form)
차진	찾은	Visited (older spelling/form, contraction of 찾은)
압흘	앞을	The front (older spelling)
올나갓다	올라갔다	Went up (older spelling)
태어낫다	태어났다	Was born (older spelling)
드려대일	들이댈	To point/thrust (something) at (older spelling/form)
보냇스니	보냈으니	As (he) spent (time) (older spelling)
되자	되자	Upon becoming; as it became (older spelling)
멀니하야	멀리하여	Keeping distance from; avoiding (older spelling)
벗 삼을	벗 삼을	To make friends with
부릅뜨고	부릅뜨고	With eyes wide open
노려보앗다	노려보았다	Stared at; glared at (older spelling)
울며	울며	Crying; weeping (older spelling)
들린다	들린다	Is heard
초조한	초조한	Anxious; impatient
오르며 내리며	오르며 내리며	Going up and down
한숨지엿다	한숨지었다	Sighed (older spelling)
안컷만	않건만	Although (it is) not (older spelling)
어대로 갓느요	어디로 갔느뇨	Where did (he) go? (older interrogative form)
그러타	그렇다	That's right; It is so (older spelling)
하여야	하여야	Even if one is called; must do (contextual)
압헤	앞에	In front of; before (older spelling)
다-	다	All (emphatic spelling)
욱어젓다	우거졌다	Grew thick; was overgrown (older spelling)
잇스나	있으나	Although there is/was (older spelling)
격그며	겪으며	Experiencing; undergoing (older spelling)
노	로	With; by means of (particle, older spelling variation)
깨긋한	깨끗한	Clean; pure (older spelling)
존경하엿섯다	존경하였었다	Had respected (older spelling)
반가웟다	반가웠다	Was happy/glad (to meet) (older spelling)
뭇은	믓은 (likely typo for 묻힌 or 무덤은)	Burial place (likely intended meaning); grave is
누엇다	누웠다	Lay down (older spelling)
안닌가	아닌가	Is it not? (older spelling)
갓햇스며	같했으며	Was like; seemed like (older spelling)
십헛스니	싶었으니	As (I) felt like; because (I) wanted to (older spelling)
엿슴이다	였습니다	Was (polite ending, older spelling)
밋음성스러운	믿음성스러운	Trustworthy; reliable (older spelling)
엿섯다	였다	Was (older spelling)
몰나섯스니	몰랐으니	Because (they) didn't know; endlessly (contextual, older spelling)
햇다는	했다는	That (he) did (older spelling)
옴겨지기는	옮겨지기는	As for being moved (older spelling)
더웟다	더웠다	Was hot (older spelling)
몃	몇	A few; several (older spelling)
도라오지	돌아오지	Not returning (older spelling)
걸는다고	걷는다고	That (he) walks (older spelling)
아득해젓섯다	아득해졌었다	Had become faint/distant (older spelling)
앗갑고	아깝고	Regrettable; pitiful (older spelling)
안타가워서	안타까워서	Heartbreakingly; feeling sorry for (older spelling)
십헛섯다	싶었었다	Had wanted to (older spelling)
나뿐이랴	나뿐이랴	Is it just me? (rhetorical question, older form)
거즛	거짓	False; fake (older spelling)
눈몰	눈물	Tears (older spelling)
애끈허지게	애끊어지게	Heart-wrenchingly (older spelling)
가엽슨	가엾은	Pitiful; poor (older spelling)
안타가워하는	안타까워하는	Feeling sorry for; anguished
압흔	아픈	Aching; painful (older spelling)
찌저내는 듯 십헛다	찢어내는 듯 싶었다	Felt like it was tearing apart (older spelling)
몰으는지	모르는지	Whether (he) knows or not (older spelling)
그럿케도	그렇게도	So much; in that way (older spelling)
좃차	조차	Even (particle, older spelling)
듯지	듣지	Not hearing (older spelling)
듸려노흔	들여놓은	Having set foot in (older spelling)
되엿섯다	되었었다	Had become (older spelling)
앗가워하는	아까워하는	Regretting; feeling sorry about the loss of (older spelling)
잇는	있는	Being (in a place); existing (older spelling)
아모	아무	Any (older spelling)
앗갑다	아깝다	Regrettable; what a waste (older spelling)
졂은	젊은	Young (older spelling)
만치 안은가	많지 않은가	Isn't there much/many? (older form/spelling)
살어	살아	Living; while alive (older spelling)
햇다고	했다고	That (he) did (older spelling)
변해버리든	변해버리던	Which used to turn into (older spelling)
엿스나	였으나	Although it was (older spelling)
어러드러오니	얼어들어오니	As (it) gets freezing cold (older spelling)
임이	이미	Already (older spelling)
밧귀엿슴을	바뀌었음을	That (it) has changed (older spelling)
짐작하겟다	짐작하겠다	Will guess; can imagine (older spelling)
가바렷단	가버렸단	That (he) left for good (older spelling)
조상한단	조상한단	That (I) mourn/pay respects to (older spelling)
안타갑다	안타깝다	It is heartbreaking/regrettable (older spelling)


---------------------------


잡지명	삼천리 제4권 제2호
발행일	1932년 02월 01일
기사제목	春草는 年年 綠인데 그이만 가고 못 오시나?
필자	柳光烈
기사형태	소식

春草는 年年 綠인데 그이만 가고 못 오시나?
						柳光烈
孫秉熙 씨 墓
내가 성묘를 하고 감격하던 이약이를 쓰라는 삼천리 편집자의 부탁이 잇다. 내가 성묘한 묘소가 나의 부모나 선조의 묘소를 제한 외에는 2, 3처에 지내지 안는다.
몃 해 전 어느 봄날이엇다. 나는 李朝 최후의 군주 高宗의 릉인 金谷洪陵에 갓섯다. 處所는 자동차로 한 시간을 못 가는 楊州 金谷이다.
