잡지명	개벽 제4호
발행일	1920년 09월 25일
기사제목	開闢社同人諸兄!!! (To the Colleagues of the Gaebyeok Company!!!)
필자	木春學人
기사형태	문예기타 (Literary Miscellaneous)

To the Colleagues of the Gaebyeok Company!!!
                        Mokch'un Hagin

As the proverb goes, "One bows during the Silla period when eating water parsley bundles," my congratulations are late, for which I am ashamed and fearful. Nevertheless, whenever I see that our peninsula's magazine world's firstborn child, "Gaebyeok," not only had a smooth birth but also improves in both content and form with each advancing issue, achieving so-called healthy development, I rejoice wholeheartedly for the appearance of a powerful new journal in our desolate press circles. At the same time, I do not hesitate to express my fullest respect to you gentlemen, who are its mother and wet nurse.

In a word, the position of your esteemed magazine within our peninsula's magazine world can be likened to the sole heir of the third generation in a house with nothing but four bare walls. It bears the responsibility and expectation of reviving and renewing the declining family reputation and neglected gates—that is, it cannot but benefit the people's hearts with sound discourse and contribute to the ways of the world with lofty assertions, nor can it avoid appointing itself as a friend to the modern youth who hunger and thirst for knowledge and yearn for civilization. How weighty, then, are the honor and duty of the newborn "Gaebyeok"!

Therefore, for the fulfillment and longevity of this child bearing such heavy responsibility, we cannot but realize our duty to supply, before anything else, food and clothing suitable for its nourishment and hygiene. Consequently, it is a self-evident truth that paying one's dues only after receiving a reminder notice can hardly be recognized as the act of a good taxpayer.

In fulfilling this duty, one should not refuse to offer even one's blood-stained loincloth (血褌), nor avoid submitting even worn-out trousers (弊袴). This much, even this foolish humble self has understood since the day I first enjoyed human rights under civil law. However, unfortunately, being a humble student who clearly has not even mastered the first volume of a brief history, it is recognized by both myself and others that I am a first-rate figure among the extremely poor. Thus, I was confident that I would, of course, bathe in the grace of tax exemption right from the start when the assessment amount was determined. Yet, upon the issuance of a demand notice from you gentlemen, who yield nothing in harshness to the tax officials known for their extreme severity (拔鼎牽犢), I indeed let out a cry of lament.

No matter how heavy the duty, the impossible is ultimately impossible; how is it different from a mosquito trying to carry Mount T'aesan? If an elementary school student is told to submit a doctoral dissertation, the fault must be attributed not to the incapable student but to the unreasonable demand of the person who ordered it.

For the reasons stated above, I earnestly request that the levy notice so kindly issued be temporarily granted a stay of execution. If there is spare space in your esteemed paper, I eagerly hope you will allow me to fulfill my obligation by publishing a recently composed poor poem. Finally, I respectfully pray that the silent blessings of our ancestors and the protection of the spirits may always be with your esteemed magazine. "From a guest house outside Sakuradamon, on the 3rd night of a decade in September, Gyeongsin Year (1920)"<133>

**Summary**

The author, Mokch'un Hagin, writes to the staff of the newly launched magazine "Gaebyeok," congratulating them belatedly but warmly on its successful publication and ongoing development. He likens the magazine to a crucial sole heir destined to revive the desolate Korean publishing world, emphasizing its heavy responsibility to educate youth and guide society. Humorously portraying himself as extremely poor, he pleads inability to meet a likely financial or written contribution request, comparing it to asking a mosquito to carry a mountain, and asks instead to submit a humble poem to fulfill his obligation, concluding with blessings for the magazine's future. From a historical perspective, the article reveals the high hopes placed on new cultural ventures like "Gaebyeok" in the early colonial period as vital forces for national consciousness and enlightenment. The author's self-deprecating humor about poverty and his mention of being outside Sakuradamon (Tokyo) offer glimpses into the economic struggles and transnational connections of Korean intellectuals at the time.

**Named Entities**

開闢社	개벽사	Kaebyŏksa (Gaebyeok Company)
半島	반도	Pando (Korean Peninsula)
木春學人	목춘학인	Mokch'un Hagin
泰山	태산	T'aesan (Mount Tai / Figurative large mountain)
櫻田門外	앵전문외	Sakuradamongai (Outside Sakuradamon [Tokyo])

**Glossary**

致賀	치하	Congratulate; express congratulations
慚悚	참송	Ashamed and fearful; deeply apologetic
何如間	하여간	Anyway; nevertheless (older form of 하여튼/아무튼)
半島	반도	Peninsula (referring to Korea)
順産	순산	Smooth birth; easy delivery
號數	호수	Issue number
隨하야	수하야	Following; according to (older form `-함에 따라`)
體裁	체재	Form; format; appearance
整頓	정돈	Orderliness; arrangement; consolidation
健全	건전	Healthy; sound
遂함	수함	Achieve; accomplish (older verbal noun form)
寂寞	적막	Desolate; lonely; quiet
言論界	언론계	The press; journalism circles
有力	유력	Powerful; influential
欣喜	흔희	Rejoice; be glad
産母	산모	Birth mother
媬婦	보부	Wet nurse; nursemaid
諸君子	제군자	Gentlemen (plural, respectful)
滿腔	만강	Full heart; whole heartedly
躊躇	주저	Hesitate
蔽하면	폐하면	To cover; to summarize; in short (lit. "if covered")
譬컨대	비컨대	For example; metaphorically speaking (contraction of 譬喩하건대)
四壁徒立	사벽도립	Having only four bare walls (idiom for extreme poverty)
獨子	독자	Only son; sole heir
零替	영체	Decline; decay; fall into ruin
家聲	가성	Family reputation; family honor
荒廢	황폐	Desolation; ruin; dilapidation
門庭	문정	Gates and courtyard; household
振興	진흥	Promote; revive; encourage
重新	중신	Renew; rebuild
裨益	비익	Benefit; help; be advantageous to
高尙	고상	Lofty; noble; refined
世道	세도	The way of the world; public morals
寄與	기여	Contribute
飢渴	기갈	Hunger and thirst
憧憬	동경	Yearning; longing; aspiration
友朋	우붕	Friend; companion
自任	자임	Appoint oneself; take upon oneself
榮譽	영예	Honor; glory
任務	임무	Duty; mission; task
任重責大	임중책대	Heavy responsibility and great duty (idiom)
充實	충실	Substantiality; fullness; enrichment
益壽	익수	Longevity; long life
滋養	자양	Nourishment; nutrition
衛生	위생	Hygiene; sanitation
供給	공급	Supply; provision
義務	의무	Duty; obligation
自覺	자각	Self-awareness; realization
催告書	최고서	Reminder notice; demand letter
賦課金	부과금	Levy; imposed charge; dues
納付	납부	Payment; submission (of dues/taxes)
善良	선량	Good; virtuous
納稅義務者	납세의무자	Taxpayer obligated to pay
自明	자명	Self-evident
當하야	당하야	Facing; upon (older form of 당하여)
血褌	혈곤	Blood-stained loincloth (symbolizing extreme sacrifice/poverty)
提供	제공	Offer; provide
辭치	사치	Refuse; decline (older form of 사양하지)
弊袴	폐고	Worn-out trousers (symbolizing poverty)
庸愚	용우	Mediocre and foolish; humble self-reference
小生	소생	I; me (humble first-person pronoun used by males)
民法	민법	Civil law
人權	인권	Human rights
享受	향수	Enjoy; possess
覺悟	각오	Realization; resolution; understanding
不幸	불행	Unfortunately; misfortune
史略初卷	사략초권	First volume of a brief history
學得	학득	Learn; master
極貧者	극빈자	Extremely poor person
第一流	제일류	First-rate; top class
自他	자타	Oneself and others
俱認	구인	Mutually recognize; both acknowledge
調定	조정	Determine; assess (e.g., tax amount)
免稅	면세	Tax exemption
恩典	은전	Grace; special favor
劈頭	벽두	At the very beginning; right from the start
