**Header Section:**
Magazine Title: 개벽 제12호
Publication Date: 1921년 06월 01일
Article Title: 권두언 : 永遠의 生이냐? 永遠의 死이냐? (Foreword: Eternal Life? Or Eternal Death?)
Author: Not specified
Article Type: 문예기타 (Literature/Arts Miscellaneous)

**Body Text Translation:**
Foreword: Eternal Life? Or Eternal Death?

Even when news of the Spanish Flu (西班牙 感氣流行) epidemic is relayed just once, it is the common behavior of our people to compete in covering their mouths; even when the story of the soul's immortality, which has been invoked since the first day the world began, is told for a while, it is the reality of our society that followers gather before its shrine. What is the reason for all this? It is the desire to live, and the desire to live a little longer. However, the tomb gates of the public cemetery remain unquiet, and the tip of the historian’s brush (which records our eternal life) remains sharp as ever – what then is the cause of this?

Alas! While saying they want to live, want to live, the majority of our people daily defile that life; while saying they will not be extinguished for eternity, more than half of our companions dig graves for eternal death. Consider this: craving slightly softer rice, to the point of drooling over even a simple meal in a bamboo container and gourd bowl (簞食豆羹) that is kicked aside (if such a person exists) – is this not defiling life while claiming to want to live? And as for those who, calling it reputation (名聲), would rush into fire, yet possess not even a speck of thorough principle (主義), merely flashing east and west – is this not digging a grave for eternal death while claiming they will not be extinguished for eternity? Of course, eating is precious. But what about the people of old (those who live even now)? Did they not say that for performing one injustice or killing one innocent person, they could not accept even the whole world? Activity is also sacred. However, what fruit can activity without seed bear? Furthermore, if it is principle for the sake of activity, that may be one thing, but if it is activity for the sake of principle, is not principle more sacred than activity? What did Muhammad (『마호메트』), child of the wilderness (荒野), answer to his uncle's earnest plea, "Can you not alter your uncompromising principle (『니졸主義』)?" Did he not say, "Even if the sun stood to my right and the moon to my left and told me I could not do so, I absolutely cannot but do so. No, I cannot fail to do so"? We cannot know for sure, but perhaps it was this single self-confidence and self-regard that made him who he became.

Let me ask, when the fervent blood of Lord Christ (主基督) became dew upon the Cross (十字架上), and when the slender neck of Teacher Ch'oe Suun (先生 崔水雲) created a gust of wind among the mugwort stalks of Taegu (大邱), what else remained for them? If anything remained, it would have been only that one thing: a passionate principle (主義) that for the sake of all life under Heaven (天下萬生), it was fine to live, and perfectly acceptable to die. Ah, that principle! Because of that one thing, their self-confidence lives eternally, and all life under Heaven lives eternally together with them.

Indeed. All people, great or small, each have their own definite principle (主義), and it is only when, through the power derived from devotion to that principle, one transcends not only suffering but even death, that one comes to savor the sanctity of life. In other words, one obtains eternal life. Those who busily scheme and fuss below the pass of death – they are truly the ones who will die eternally. Brothers! I cannot but speak, so I speak: Is it eternal life? Or eternal death? I earnestly request that you make a choice between these two. <1>

**Summary**

This editorial exhorts readers to choose a life guided by unwavering principle over a life focused on mere survival or fleeting comforts and reputation. It argues that true, eternal life is achieved not by avoiding death, but by being willing to transcend suffering and even death for a deeply held conviction (主義). The author contrasts this with the majority who, while desiring life, paradoxically defile it through base pursuits or unprincipled actions, effectively choosing "eternal death." Historical/religious figures like Muhammad, Jesus, and Ch'oe Suun are presented as exemplars of achieving eternal significance through adherence to their principles. From a historical perspective, the article is significant for its publication in *Kaebyŏk*, a nationalist-leaning magazine, during the Japanese colonial period. The emphasis on "principle" (主義) and the inclusion of Ch'oe Suun (founder of Donghak/Ch'ŏndogyo) strongly suggest a veiled call for adherence to national consciousness or resistance against colonial assimilation, framing it as the path to collective "eternal life" for the Korean people, despite the dangers.

**Named Entities**

西班牙 감기	스페인 감기	Spanish Flu
마호메트	마호메트	Muhammad
主基督	주 그리스도	Lord Christ
十字架	십자가	Cross
先生 崔水雲	선생 최수운	Teacher Ch'oe Suun
大邱	대구	Taegu

**Glossary**

권두언	권두언	Foreword; Editorial (Opening words)
永遠	영원	Eternity
生	생	Life
死	사	Death
消息	소식	News
傳하야도	전하여도	Even if (it is) transmitted (Older spelling/form of 전하여도)
다토아 가며	다투어 가며	While competing/vying (Older spelling/form of 다투어 가며)
입을 싸는 것	입을 싸는 것	Covering the mouth (싸다 here means to wrap/cover)
靈魂不滅	영혼불멸	Immortality of the soul
니야기	이야기	Story; Talk (Older spelling of 이야기)
社會	사회	Society
實狀	실상	Reality; Actual state
까닭	까닭	Reason; Cause
살아보겟다	살아보겠다	Wanting to try living; Intending to live (Older spelling/form of 살아보겠다)
墓門	묘문	Tomb gate
依然히	여전히	Still; As before
붓끗	붓끝	Tip of the brush
記錄하는	기록하는	Recording; Which records
如前히	여전히	As before; Still
날카로우니	날카로우니	Because it is sharp; Since it is sharp
슬프다	슬프다	Alas; It is sad
더럽히는 것	더럽히는 것	Defiling; Act of making dirty
꺼지지 안켓다	꺼지지 않겠다	Will not be extinguished (Older spelling/form of 꺼지지 않겠다)
동무	동무	Comrade; Friend; Companion (Term used more broadly then, less politically charged than later)
太半	태반	Majority; More than half
試思하라	시사하라	Try thinking; Consider (Imperative form using Hanja)
보들어운	부드러운	Soft (Older spelling/form of 부드러운)
차서(蹴)주는	차서 주는	Kicking aside (蹴 is Hanja for 'kick')
簞食豆羹	단사두갱	Simple meal (Lit. 'bamboo container food, bean soup'; allusion to virtuous poverty)
춤	침	Saliva; Drool (Dialectal or older form of 침)
名聲	명성	Fame; Reputation
徹底한	철저한	Thorough; Complete
主義	주의	Principle; Doctrine; "-ism"
쥐끄리	쥐꼬리	Mouse tail (Used figuratively for something tiny/insignificant)
업고	없고	Not having; And there isn't (Older spelling of 없고)
貴한	귀한	Precious; Valuable
옛 사람	옛사람	People of old; Ancestors
行하고	행하고	Performing; Doing
不義	불의	Injustice; Unrighteousness
不肖	불초	Unworthy person; Scoundrel (Here likely meaning 'innocent' or 'unrelated person' based on context of killing)
天下	천하	The world; "All under Heaven"
엇는	얻는	Gaining; Obtaining (Older spelling of 얻는)
活動	활동	Activity; Movement
神聖한	신성한	Sacred; Holy
씨못든	씨 없는	Seedless (못든 is likely a typo or older form for 없는 'without')
매즈며	맺으며	Bearing (fruit); Forming (a relationship) (Older spelling of 맺으며)
爲한	위한	For the sake of
모로가니와	모르거니와	Although one doesn't know; It may be unknown, but... (Older form)
荒野	황야	Wilderness; Wasteland
叔父	숙부	Uncle (Father's younger brother)
懇勸	간권	Earnest persuasion; Entreaty
向하야	향하여	Towards; Facing (Older spelling/form of 향하여)
對答하얏는가	대답하였는가	Did (he) answer? (Older spelling/form of 대답하였는가)
假令	가령	Supposing; If; Let's say
日輪	일륜	The Sun
右	우	Right (direction)
月輪	월륜	The Moon
左	좌	Left (direction)
決코	결코	Never; Absolutely (Often used with negative)
그러치 아늘 수 업소	그렇지 않을 수 없소	Cannot but be so; Must do so (Older spelling/polite form)
아니 그러치 아니치 못하오	아니 그렇지 아니하지 못하오	No, I cannot not do so (Emphatic double negative; older form)
自信	자신	Self-confidence
自重	자중	Self-respect; Prudence; Acting with dignity
