Magazine Title:	三千리 제6호
Publication Date:	1930년 05월 01일
Article Title:	法廷에 선 新聞記者의 印象(其一), 孫秉熙 (Impression of a Newspaper Reporter on Son Pyŏng-hŭi Standing in Court (Part 1))
Author:	柳光烈 (Yu Kwang-nyŏl)
Article Type:	소식 (News/Report)

Impression of a Newspaper Reporter on Son Pyŏng-hŭi Standing in Court
						Yu Kwang-nyŏl

It was around 10 AM on a summer day in 1920. At the Temporary Supreme Court in Chŏng-dong (貞洞), the public trial of 48 individuals was continuing. As usual, I went in as a reporter for D Company to take notes, but on this day, none of the other defendants appeared in court. Because the ailing Son Pyŏng-hŭi was to appear, police security was even tighter both inside and outside the courthouse, and the number of guards inside the court (廷內) had increased; their faces were tense as if something might happen at any moment.

A car arrived, and Ŭiam Son Pyŏng-hŭi was brought out, still lying on a stretcher. At this moment, the previously calm pond water seemed to suddenly ripple as if wind had passed over it; guards rushed left and right (左奔右走), and after he was taken from the car, still lying on the stretcher, dozens of guards carried him into the courtroom. Once inside the court, the guards surrounded him closely, maintaining vigilance, and the spectator gallery also buzzed as if something unusual was occurring.

The presiding judge, with a most solemn demeanor, asked for his address and name as usual, but perhaps because of his illness, Son Ŭiam's voice was faint.

The judge, perhaps straining to hear the voice, looked around for a moment, glanced left and right, and then quietly gestured to the clerk with his eyes. The clerk silently descended from the judge's bench (法壇) to the defendant's stand (被告席). It was a rare sight for a court clerk to come down to the defendant's stand. Son Ŭiam, who had lost the freedom of his body due to hemiplegia (半身不遂), remained seated, supported by guards, his tiger-like eyes (虎目) wide open, staring straight ahead at the judge's bench. Perhaps he was recalling his eventful past (風雲), deeply moved by a certain sentiment...<34>

Judge: Defendant, is it true that you, as a member of the Tonghak Party (東學黨), being dissatisfied with the politics of the time during the Korean era around the 27th year of Meiji (1894), initiated the Tonghak Rebellion (東學亂)?

Son: That is so (그럿소).

(10 lines omitted here - original text)

Judge: When that disturbance failed due to the arrival of large Qing and Japanese armies (日淸大兵), did you go into exile with Ch'oe Si-hyŏng, who was sentenced to death in Taegu for the crime of insurrection (內亂罪)? When Ch'oe Si-hyŏng was captured, did you go to China seeking to ally with China's Li Hung-chang (李鴻章)?

Son: That is so.

Judge: Afterwards, did you go to Japan and conspire with Inukai Tsuyoshi (犬養毅), Toyama Mitsuru (頭山滿), and Pak Yŏng-hyo (朴泳孝), a Korean exile at the time, attempting to reform Korea's internal administration (朝鮮內政改革)?

Son: That is so.

...(Omitted - original text)...

Judge: In the 37th year of Meiji (1904), when the Russo-Japanese War broke out, did you have the Tonghak Party (東學黨) help Japan and donate military funds (軍費) to Japan?

Son: That is so.

Judge: After that, did you send Yi Yong-gu (李容九) to Korea to form an association called the Chinbohoe (進步會), which later became the Ilchinhoe (一進會)?
..(.Omitted - original text)...
...Omitted...
...formed the Taehan Hyŏphoe (大韓協會)...
...(Omitted - original text)...

Son: ...That is so.

Judge: ...After the Japan-Korea Annexation (日韓倂合)...Omitted(-original text)...Defendant...Omitted(-original text)...

Son's face seemed to flush briefly, then returned to its usual state.

Son: That is so.

Thus, the impression I received meeting him in the courtroom was, besides his greatness, nothing else.

After that, I have impressions from his time near death (臨終時) and from meeting him when I visited his secluded house (幽宅) in Uidong (牛耳洞) and elsewhere, but I will stop writing here. (Remainder omitted - original text)<35>
<34-35>

**Summary**

This article by reporter Yu Kwang-nyŏl recounts his experience observing the ailing Ch'ŏndogyo leader Son Pyŏng-hŭi during his trial in 1920 related to the March 1st Movement. Despite being carried in on a stretcher and weakened by illness, Son maintains a dignified presence. The judge questions him about his past, including his role in the 1894 Tonghak Peasant Revolution, exile, connections with Japanese figures and Korean exile Pak Yŏng-hyo, support for Japan during the Russo-Japanese War, and involvement with the pro-Japanese Ilchinhoe via the Chinbohoe and the Taehan Hyŏphoe. Son confirms each point with a simple "That is so." The author concludes that his overriding impression was one of Son's "greatness."

For historians, this piece offers a valuable first-hand glimpse into the trial atmosphere and the specific accusations leveled against Son Pyŏng-hŭi, a major nationalist figure. It starkly highlights the complex and sometimes contradictory path taken by prominent Koreans during the late Chosŏn and colonial periods, acknowledging Son's involvement in both anti-government/nationalist actions (Tonghak, March 1st Movement) and activities viewed as collaborationist (support for Japan in 1904, Ilchinhoe connection). The reporter's subjective focus on Son's inherent "greatness" despite these controversial affiliations is also significant, reflecting contemporary perceptions.

**Named Entities**

貞洞	정동	Chŏng-dong
孫秉熙	손병희	Son Pyŏng-hŭi
義菴	의암	Ŭiam (Son Pyŏng-hŭi's courtesy name)
東學黨	동학당	Tonghakdang (Tonghak Party)
韓國	한국	Han'guk (Korea)
東學亂	동학란	Tonghaknan (Tonghak Rebellion)
日	일	Il (Japan)
淸	청	Ch'ŏng (Qing China)
大邱	대구	Taegu
崔時享	최시형	Ch'oe Si-hyŏng
中國	중국	Chunggguk (China)
李鴻章	이홍장	Li Hung-chang
日本	일본	Ilbon (Japan)
犬養毅	견양의	Inukai Tsuyoshi
頭山滿	두산만	Toyama Mitsuru
朴泳孝	박영효	Pak Yŏng-hyo
朝鮮	조선	Chosŏn
日露戰爭	일로전쟁	Illo Chŏnjaeng (Russo-Japanese War)
李容九	이용구	Yi Yong-gu
進步會	진보회	Chinbohoe
一進會	일진회	Ilchinhoe
大韓協會	대한협회	Taehan Hyŏphoe
牛耳洞	우이동	Uidong
柳光烈	유광렬	Yu Kwang-nyŏl

**Glossary**

法廷	법정	Courtroom
新聞記者	신문기자	Newspaper reporter
印象	인상	Impression
臨時	임시	Temporary
大法廷	대법정	Supreme Court (lit. Great Court Building)
公判	공판	Public trial
繼續	계속	Continuously, continuing
開廷	개정	To open court
筆記	필기	Note-taking, writing
爲하야	위하야	In order to (Older form of 위하여)
갓섯는데	갔었는데	Went, but (Older spelling)
被告	피고	Defendant
出廷	출정	Appearance in court
病中	병중	During illness, ailing
警官	경관	Police officer
嚴重히	엄중히	Strictly, severely
警戒	경계	Guard, security, vigilance
廷內	정내	Inside the court
看守	간수	Guard (prison/court guard)
今時	금시	At any moment, right now (Older usage)
잇슬 듯이	있을 듯이	As if there might be (Older spelling)
얼골빗	얼굴빛	Facial color, complexion (Older spelling)
침대	침대	Bed, stretcher (here)
누흔대로	누운 대로	While lying down (Older spelling)
내리게 되엇다	내리게 되었다	Came to get off/out (Older spelling/passive)
별안간	별안간	Suddenly
지나가며	지나가며	Passing by
수렁수렁일 듯이	술렁술렁일 듯이	Rippling, stirring (onomatopoeia, older spelling)
左奔右走	좌분우주	Rushing about left and right
운대	운대	Stretcher, litter (likely refers to carrying the stretcher)
태여간다	태워간다	Carry (someone) and go (Older spelling)
들러안저	둘러앉아	Sitting around (Older spelling)
수선거린다	수선거린다	To buzz, make a fuss
재판장	재판장	Presiding judge
장엄한	장엄한	Solemn, majestic
態度	태도	Attitude, demeanor
例와 가치	예와 같이	As usual (Older spelling)
뭇는데	묻는데	Asking, but (Older spelling)
語聲	어성	Voice sound, tone of voice
가늘엇다	가늘었다	Was thin, faint (Older spelling)
안들어	안 들려	Not hearing well (Contracted form)
焦閟한 듯이	초조한 듯이	As if anxious/impatient (焦閟 is rare, likely meaning 焦燥)
前後左右	전후좌우	Front, back, left, right (all around)
돌라 보더니	둘러보더니	Looked around, and then (Older spelling)
書記	서기	Clerk
가만히	가만히	Quietly, still
法壇	법단	Judge's bench/platform
被告席	피고석	Defendant's stand/seat
희귀한	희귀한	Rare, uncommon
半身不遂	반신불수	Hemiplegia, paralysis of one side of the body
自由	자유	Freedom
일흔	잃은	Lost (Older spelling)
臣軀	신구	Body (humble term, sometimes used for respected figures)
부축하는	부축하는	Supporting, helping up
안저서	앉아서	While sitting (Older spelling)
虎目	호목	Tiger eyes (eyes like a tiger's; fierce, piercing)
가튼	같은	Like (Older spelling)
凝視한다	응시한다	To gaze intently, stare
風雲	풍운	Wind and clouds (metaphor for eventful/turbulent times)
만흔	많은	Many, much (Older spelling)
過去	과거	Past
回想하며	회상하며	Recalling, reminiscing
감개	감개	Deep emotion, sentiment
깁헛든	깊었던	Was deep (Older spelling)
것이겟지	것이겠지	It must have been that... (Speculative ending)
일즉이	일찍이	Early on, previously
當時	당시	At that time
政治	정치	Politics
불만	불만	Dissatisfaction, complaint
품고	품고	To harbor, hold (feelings)
이르킨	일으킨	Started, caused, initiated (Older spelling)
그럿소	그렇소	That is so, Yes (Formal, slightly archaic affirmation)
此間	차간	Between this (space), herein
失敗	실패	Failure
돌아감애	돌아감에	Upon returning to, resulting in (Older form)
內亂罪	내란죄	Crime of insurrection/internal revolt
死刑	사형	Death penalty
處한	처한	Sentenced to, subjected to
망명하여	망명하여	Going into exile
다니다가	다니다가	While going around/traveling
잡힘애	잡힘에	Upon being caught (Older form)
結託코자	결탁코자	Seeking to conspire/collude with (Older form of 결탁하고자)
