**Header Section:**
Magazine Title: 삼천리 제6호
Publication Date: 1930년 05월 01일 (May 1, 1930)
Article Title: 伊太利, 殉敎者 百年紀念大祭禮盛觀, 基督舊敎의 盛大한 紀念祭 光景 (Italy, Grand Spectacle of the Centenary Memorial Grand Rite for Martyrs, Scene of the Grand Memorial Festival of Christian Old Teaching [Catholicism])
Author: 鄭錫泰 (Chŏng Sŏk-t'ae)
Article Type: 기행문 (Travelogue)

**Body Text Translation:**
Italy, Grand Spectacle of the Centenary Memorial Grand Rite for Martyrs, Scene of the Grand Memorial Festival of Christian Old Teaching [Catholicism]
						Chŏng Sŏk-t'ae

The Tragic Traces of Missionary Work
It was the spring of 1925. To see the scenery of Southern Europe facing the Mediterranean Sea, I arrived in Rome, Italy, from Paris. Since my youth, I knew it as a country shaped like a boot, a place renowned for its beautiful scenery that produced Napoleon, that man of the hour, and as the birthplace of the Renaissance, serving as the cradle of human culture. Having longed for Italy for a long time, I cannot describe how joyfully I planned and executed this trip. Since there is no need to write a travelogue of Southern Europe here, I will only record the scene of the centenary memorial rite for the Catholic martyrs in question.

As anyone would know, Rome is the place where the head of Christian Old Teaching [Catholicism], the Pope of Rome, resides. Under the Pope's governance, missionaries of the Old Teaching [Catholicism] have gone to every country and region in the world—Europe, America, Japan, Chosŏn, China, etc.—leading Catholics worldwide. Now, the Pope of Rome decided to hold an exhibition gathering missionary situations from various countries in the East and West, while also conducting a centenary memorial rite for the tens of thousands of martyrs who died pitifully while proselytizing. Thus, Rome, already bustling with tourists arriving from all directions in spring, drawn by its scenery, was packed tightly with sightseers from various places. I was among them. Not knowing Italian language and script, I managed to get by asking for food and water using only English and German. Had I known Italian, the description of the rite below would have been more detailed, but I am ashamed that it became somewhat of a cursory glance (주마간산격이) as I couldn't properly understand explanations from people nearby at the time.

The Chosŏn Hall in Rome
The exhibition was held in the famous St. Peter's Basilica (페-돌 사원) in the center of Rome city and the large square in front of it.
Inside the exhibition venue, there were separate halls for various countries. Related to the East were the China Hall, Japan Hall, Malay Peninsula Hall, Philippines Hall, India Hall, and also a Chosŏn Hall (朝鮮館). Not knowing Italian, I couldn't clearly discern whether the pronunciation was "Chosŏn Hall" or "Korean Hall," but anyway, upon entering, there was a map of Chosŏn, large photos of P'yŏngyang and Kyŏngsŏng cityscapes hung up, and also a small model of the spire-topped Catholic church <15> in Myŏngdong, Seoul. And beside it, to show Korean customs and habits, a life-sized figure (等身大形) of a handsome Korean man with a beard, walking with a swagger (팔자거름), was displayed. Also, various items of daily life such as wide-brimmed hats (방갓), jackets (저고리), skirts (치마), jade topknots (玉冠子), traditional overcoats (도포), spectacles (돗보기), eyeglass cases, hourglass drums (장고), kayagŭm, flutes (피리), wooden shoes, straw shoes (집신), tobacco pipes (담뱃대), etc., were neatly arranged, which was quite surprising. Furthermore, photos of dozens of martyrs like Father Nam (南神父) and Father Pak (朴神父), whom I had read about in historical records (史記), who were massacred by the hands of the Taewŏn'gun on the banks of the Taedong River in P'yŏngyang and in Myŏngdong, Seoul, were hung without a single one missing. And a most noteworthy fact was the display of blank documents recorded as bearing the personal signature (親筆) of the Great Emperor (太皇帝), that is, Emperor Kwangmu (光武皇帝), perhaps indicating some treaty of amity or tacit approval (內諾) for missionary freedom with Rome. Through this, they were showing how they had endeavored to spread the faith even in faraway Chosŏn, thousands of leagues away. Even for me, a non-believer (非敎人), seeing the achievements of those martyrs brought tears to my eyes; how much more deeply moved must fellow Catholics have felt sitting there.
I also toured the Japan Hall and China Hall, but they mostly showed the history of missionary work, much like the Chosŏn Hall. Thinking about it, perhaps the missionary work in uncivilized regions like the Malay Peninsula also hides a history of considerable cruelty (慘虐), but the propagation in Chosŏn during the Taewŏn'gun's regency must also be seen, from their perspective, as a history of significant tragedy and cruelty. When we open modern history books, we cannot help but tremble at the extreme actions of the regent at the time, hearing that the number of martyred Koreans and foreigners across the Eight Provinces numbered over 200,000. <16> Now, looking at the fragments of old history in this exhibition hall, one gets the impression that there might have been far more people killed than that.

The Throng of White-Clad Nuns (修女群)
Deeply moved in the Chosŏn Hall, I came out of the exhibition grounds. From afar, the sound of drums beating ‘dung-dung’ and the footsteps of many people could be heard, so I joined the crowd and headed towards the square in front of St. Peter's Basilica (페-돌 대사원). After a short while, hundreds of believers holding long spears covered in white silver paper could be seen marching solemnly in eight columns. This seemed to be the procession for the centenary martyrs' rite.
The believers all had their heads wrapped in something like snow-white towels and wore black long robes (黑衣長衫) reaching their ankles, with rosaries (念珠) and crucifixes on their chests. This was something I had occasionally seen back in my home country at the French church or the church in Ahyŏn-ri, so it wasn't particularly novel, but seeing them carrying long spears covered in silver paper pressed upon me with a kind of strange feeling. As the head of the procession walked solemnly, step by step, the crowd of hundreds of thousands forming human walls on both sides, mostly appearing to be believers, mostly bowed their heads, murmuring "Magdalene Maria," "Magdalene Maria." Other people too stood rigidly upright (直立不動) without a word or cough, respectfully receiving the procession.
Behind them followed a group of virgins (童貞女), as seen in various countries, followed by believers, and also a band playing a lament. The procession seemed to stretch for perhaps four or five miles. Finally, they gathered in front of St. Peter's Basilica, prayed silently, and dispersed.
On this day, all the cathedrals throughout Rome were flooded with worshippers (參詣者), and steam whistles and bells rang 'dung-dung' ceaselessly all day long.
By the way, word spread that the Pope of Rome also participated in this procession, but it's regrettable, if regrettable it is, that I ultimately failed to spot who he was. Anyway, this spectacle was a gift from my trip to Italy. <17>

**Summary**

The author, Chŏng Sŏk-t'ae, recounts his visit to Rome in 1925 during the centenary commemoration of Catholic martyrs. He describes visiting an exhibition associated with the event, focusing particularly on the "Chosŏn Hall." This hall displayed maps, photos of Korean cities, a model of the Myŏngdong Cathedral, traditional Korean items, portraits of martyrs killed during the Taewŏn'gun's persecutions, and documents purportedly signed by Emperor Kwangmu. The author reflects on the immense sacrifices of the martyrs and the brutality of the persecutions in Korea. He then details the solemn procession held near St. Peter's Basilica, involving thousands of clergy and believers, noting the impressive scale and the somber atmosphere. From a colonial history perspective, the article is interesting for its description of how Korea (Chosŏn) was represented internationally through a Catholic lens in 1925, focusing on martyrdom and cultural artifacts. It also reveals a Korean intellectual's perspective on the Taewŏn'gun era's anti-Catholic violence, acknowledging its brutality while observing its commemoration by the Church in Rome.

**Named Entities**

伊太利	이태리	It'aeri (Italy)
南歐羅巴	남구라파	Nam'gurap'a (Southern Europe)
巴里	파리	Pari (Paris)
羅馬	나마	Roma (Rome)
奈巴倫	나파륜	Nap'aryeon (Napoleon)
루넷산쓰	루넷산쓰	Runessanssŭ (Renaissance)
加트릭	가트릭	Kat'ŭrik (Catholic)
基督舊敎	기독구교	Kidok Kugyo (Christian Old Teaching / Catholicism)
羅馬法王	나마법왕	Roma Pŏbwang (Pope of Rome)
歐羅巴	구라파	Kurap'a (Europe)
亞米利加	아미리가	Amiriga (America)
日本	일본	Ilbon (Japan)
朝鮮	조선	Chosŏn (Korea)
中國	중국	Chung'guk (China)
페-돌 사원	페돌 사원	P'e-dol Sawŏn (St. Peter's Basilica)
朝鮮館	조선관	Chosŏn'gwan (Chosŏn Hall / Korea Hall)
平壤	평양	P'yŏngyang
京城	경성	Kyŏngsŏng (Seoul)
明洞	명동	Myŏngdong
南神父	남신부	Nam Sinbu (Father Nam)
朴神父	박신부	Pak Sinbu (Father Pak)
大院君	대원군	Taewŏn'gun
大同江岸	대동강안	Taedonggang'an (Banks of the Taedong River)
太皇帝	태황제	T'aehwangje (Great Emperor)
光武皇帝	광무황제	Kwangmu Hwangje (Emperor Kwangmu)
馬來半島	마래반도	Maraebando (Malay Peninsula)
比律賓	비율빈	Piyulbin (Philippines)
印度	인도	Indo (India)
八道	팔도	P'alto (Eight Provinces [of Korea])
佛蘭西	불란서	Pullansŏ (France)
阿峴里	아현리	Ahyŏn-ri
막달나 마리아	막달나 마리아	Maktalla Maria (Magdalene Maria)

**Glossary**

殉敎者	순교자	Martyr
百年紀念	백년기념	Centenary Memorial
大祭禮	대제례	Grand Rite/Ceremony
盛觀	성관	Grand Spectacle/View
舊敎	구교	Old Teaching (refers to Catholicism)
盛大한	성대한	Grand; magnificent
光景	광경	Scene; sight
筆者	필자	Author; writer
기행문	기행문	Travelogue
布敎	포교	Missionary work; proselytizing
慘跡	참적	Tragic traces; horrifying marks
地中海	지중해	Mediterranean Sea
面한	면한	Facing
風光	풍광	Scenery; landscape
일즉	일찍	Early; long ago (older spelling)
장화가튼	장화 같은	Like a boot (older spelling/spacing)
풍운아	풍운아	Man of the hour; hero of the age
産出한	산출한	Produced; gave birth to
風光明媚	풍광명미	Beautiful scenery
문예부흥	문예부흥	Renaissance (lit. arts revival)
발상지	발상지	Birthplace; cradle
모태	모태	Womb; cradle; origin
동경한지	동경한 지	Since longing for (older spacing)
엇더케나	어떻게나	How; so very (older spelling)
깃부게	기쁘게	Happily; joyfully (older spelling)
엇던	어떤	Which; any (older spelling)
잇든	있든	Wherever located; existing (older spelling)
선교사	선교사	Missionary
통솔하고	통솔하고	Leading; commanding
박람회	박람회	Exhibition; exposition
애처럽게	애처롭게	Pitiably; sorrowfully
헤는	헤는	Counting; numbering (used for 세는/헤아리는)
踏至하는	답지하는	Arriving in great numbers; flooding in
빡빡히	빡빡이	Tightly; densely (colloquial/older form)
드러 섯섯다	들어섰었다	Had entered; filled (older spelling)
갓고	갖고	Having; carrying (used for 가지고)
통하여	통하여	Through; by means of
다섯슴으로	다녔으므로	Because I traveled (older spelling)
알앗든들	알았든들	If I had known (older spelling)
소상하엿스련만	소상하였으련만	Would have been detailed (older spelling)
겻헤	곁의	Nearby (older spelling)
어더 듯지	얻어듣지	To manage to hear; overhear (older spelling)
주마간산격	주마간산격	Cursory glance (lit. 'looking at mountains while riding a horse' style)
붓그러워	부끄러워	To be ashamed (older spelling)
시가	시가	Cityscape; urban area
걸니어	걸리어	Hung; suspended (older spelling)
뽀족탑	뾰족탑	Spire; pointed tower
조고마케	조그맣게	Smallly; minutely (older spelling)
모형	모형	Model; replica
노여	놓여	Placed; set down (older spelling)
좌우	좌우	Left and right
엽해	옆에	Beside (older spelling)
풍속	풍속	Customs
습관	습관	Habits
수염	수염	Beard
팔자거름	팔자걸음	Swaggering walk (lit. 'figure 8 steps')
것는	걷는	Walking (older spelling)
풍채	풍채	Appearance; bearing; physique
조흔	좋은	Good; fine (older spelling)
等身大形	등신대형	Life-sized figure
진열되어	진열되어	Displayed; exhibited
방갓	방갓	Wide-brimmed traditional hat (often worn by farmers)
저고리	저고리	Traditional Korean upper garment (jacket)
치마	치마	Traditional Korean skirt
玉冠子	옥관자	Jade topknot ring/pin (worn by officials/noblemen)
도포	도포	Traditional Korean overcoat (worn by scholars/officials)
돗보기	돋보기	Spectacles; magnifying glass
안경집	안경집	Eyeglass case
장고	장고	Hourglass-shaped drum
가야금	가야금	Traditional Korean zither-like string instrument
피리	피리	Korean flute/oboe
나무신	나무신	Wooden shoes
집신	짚신	Straw shoes
담뱃대	담뱃대	Tobacco pipe (long Korean style)
일상생활상	일상생활상	Related to daily life
정연하게	정연하게	Orderly; neatly
史記	사기	Historical records
학살	학살	Massacre
빼 노흔	빼놓은	Left out; omitted (older spelling)
주목	주목	Attention; notice
끄으는	끄는	Drawing; attracting (older spelling)
수호조약	수호조약	Treaty of amity/protection
선교자유	선교자유	Freedom of missionary work
內諾	내낙	Tacit approval; private consent
親筆	친필	Personal signature; autograph
원지	원지	Distant land
이러틋	이렇듯	Like this; thusly (older spelling)
진력하엿느라	진력하였느라	Because they strove/endeavored (older spelling)
표시함이니	표시함이니	As it is indicating/showing
非敎人	비교인	Non-believer; person outside the religion
공적	공적	Achievements; merits
눈물이 겨웁거든	눈물이 겨웁거든	If tears well up (older form of 겹거든)
하물며	하물며	Let alone; not to mention
감개무량할	감개무량할	To be deeply moved; filled with emotion
이밧게	이 밖에	Besides this; other than this (older spelling)
一巡하엿스나	일순하였으나	Although I toured/looked around once (older spelling)
미개지방	미개지방	Uncivilized region
무척	무척	Very; extremely
慘虐한	참학한	Cruel; atrocious
숨기어	숨기어	Hidden (older form of 숨겨져)
執政	집정	Regency; holding political power
근대사	근대사	Modern history
펼처어	펼치어	Opening; unfolding (older spelling)
극단	극단	Extreme
전율	전율	Trembling; shuddering
금치	금치	To suppress; restrain (used for 금하지)
내외국인	내외국인	Domestic and foreign people; Koreans and foreigners
헤엇다	세었다/헤아렸다	Numbered; counted (older spelling for 세었다)
듯거니와	듣거니와	As one hears (older spelling)
고금	고금	Ancient and modern times; old history
파편	파편	Fragment
들추어	들추어	Looking through; digging up
