잡지명	삼천리 제6호
발행일	1930년 05월 01일
기사제목	夜巡探報臺 (Night Patrol Reporting Platform)
기사형태	잡저 (Miscellany)

**Night Patrol Reporting Platform**

**Li Hung-chang's Bribery**
After Germany seized Jiaozhou Bay from China, Russia followed suit just days later, occupying Lüshun (Port Arthur) and Dalian. At that time, Empress Dowager Cixi, along with the Guangxu Emperor, had retreated to the Summer Palace (萬壽山) in Peking and sternly refused Russia's demands. Realizing that negotiations would likely be fruitless, the Russian Finance Minister Witte (later the plenipotentiary at the Portsmouth Russo-Japanese Peace Conference) decided this approach wouldn't work. He had the Russian Minister to China, Pavlov, bribe Li Hung-chang (李鴻章) with 500,000 Yen and Chang Yin-huan (張蔭桓) with 250,000 Yen. Thus, Russia succeeded in securing a 99-year lease. A certain great scholar (碩儒某씨), upon learning of this fact, sighed deeply, saying, "如此江山坐付人" (Such rivers and mountains, seated and given to others).

**Peace Conference Venue**
The venue for the peace conference of the Russo-Japanese War became Portsmouth, USA, but there were such twists and turns before it was decided.<18>
Initially, US President Roosevelt intended to set the conference venue midway between Harbin and Fengtian (Mukden). However, with the Russian Commander-in-Chief Linevich commanding over 1.1 million troops in Harbin and the Japanese Commander Ōyama commanding 700,000 troops in Fengtian, Japan, fearing potential incidents, designated Zhifu (Chefoo), China instead. In response, Russia designated Paris, France, but this also failed to achieve agreement. President Roosevelt then recommended The Hague in Holland (和蘭) for the two countries to decide upon. Both countries rejected this and simultaneously expressed hope for Washington (葉盛頓). It was decided to hold it there, but as it was the height of summer (三伏) and too hot, it was moved to the "northern Portsmouth" naval port. The initial exchange between the plenipotentiaries when they first met there was interesting.
Japanese Plenipotentiary Komura said, "You speak as if you are the representative of a victorious nation, don't you?"
Russian Plenipotentiary Witte replied, "If there isn't yet a victorious nation, how could there possibly be a completely defeated nation?"
Komura: "Having suffered successive defeats on land and having your fleet annihilated at sea, do you still not consider yourselves a defeated nation?"<19>
Witte: "That is merely the victory or defeat of a portion of the expeditionary soldiers. The Japanese army has not set foot even one step inside Russian territory, have they?"
Komura: "Isn't Sakhalin (樺太) Russian territory?"
Witte: "When did Japanese and Russian forces fight against each other in Sakhalin? Japan's occupation of it is not the result of victory in battle."
Komura: "We surely didn't gather here to have such arguments."
Witte: "Right, right. That's true... Then let's move on to the main conference." And so on.

**Peerage and Cash**
At the time of the annexation (合邦), it is said that as payment for the so-called meritorious subjects (功臣), the Prime Minister received the title of Count (伯爵) and 150,000 Yen in cash, ordinary Ministers received the title of Viscount (子爵) and 100,000 Yen in cash, and other important figures received the title of Baron (男爵) plus 50,000 Yen each.

**Yi In-jik's Past**
Few people know the past of Kukch'o (菊初) Yi In-jik (李人稙), whose literary fame was so high with works like *Kwiŭi Sŏng* (Voice of the Ghost) and *Ch'iaksan* (Mt. Chiak) that he could be called the originator (鼻祖) of the modern Korean novel. According to investigation, in his youth, he went to Japan and entered a political school established by Itagaki Taisuke (板垣退助) and Hoshi Tōru (星亨) to study politics. Later, when the political situation was about to change,<20> he reportedly earnestly advised (懇勸) his close friend (親友), Prime Minister Yi Wan-yong (李完用), to leave for Shanghai.

**Cipher Loss Incident**
This is also a story from just before the outbreak of the Russo-Japanese War. For some reason, cipher telegrams (暗號電信) sent to the Japanese Minister in the Russian capital (露都) were already falling into the hands of the Russian government before reaching the Minister. In diplomacy, nothing is more important than the cipher telegrams used between the home government and envoys stationed abroad. Yet, there were signs that this secret cipher was being leaked and falling into the hands of the Russian government. Could there be anything more startling? It goes without saying that the Japanese Minister was greatly surprised and turned pale (大驚失色) with war imminent. During this time of panic (蒼慌), one day, a certain Russian man came to visit the Japanese Legation in Paris.
He saw the Minister and said,
"I am a Russian, and I possess a Japanese telegraph codebook. I wish to sell it for a suitable price... How about it? If such a secret code were to be scattered about the world, it would not be good for Japan."
The Minister couldn't believe his words and said Japan had no such secret telegraph codebook, but the man insisted he definitely had it.<21> When asked to see it, he said he couldn't show it right then but, to prove he certainly possessed it, if the Minister wrote down any message, he would come back with it encoded. The Japanese Minister agreed and wrote a long message in cipher, telling him to return the next morning with it deciphered into plain text. Indeed, the next day, the man returned with it perfectly deciphered. The Minister was greatly astonished. Next, he wrote out a message in plain text and asked him to take it and translate it into cipher. Again, the man returned with it perfectly encoded without a single error. Only then did the Minister agree to buy the cipher book for 5,000 francs and proceeded to hear from the man the story of how he had stolen the code. Hidden within was this truly strange, detective-novel-like (探偵小說) fact.
"I originally worked in the Foreign Telegraph Section of the International Detective Bureau (國際探偵局), and my job was to steal the telegraph codes of various countries. After the Anglo-Japanese Alliance (日英同盟) was formed, the Russian government became highly wary (警戒) and I received a special order (特命) to obtain Japan's telegraph code. The first place I targeted was the Japanese Legation in Holland (和蘭), which I assumed wouldn't use the telegraph code that much. As it happened, the Japanese Minister there was living alone <22> and seemed not to know foreign languages well, except for English. So, I secretly arranged for a Russian beauty who could speak some English to be sent in as a maidservant (下女). Before long, the maidservant discovered that the Japanese telegraph codebook was kept in a desk drawer (冊床설압) reserved for the Minister's exclusive use. Stealing it wouldn't have been that difficult, but then the Minister would immediately realize it, so I resolved to steal it without his knowledge. Thus, I had the maidservant first make a key identical to the one the Minister had. She melted Western wax (洋蠟) and made a mold (模型) of the key. Then, having had an identical key made at a hardware store (金物店), the maidservant used that key, waiting for the dead of night when the Minister was sound asleep, to steal the book. In a secret room (密室), she began photographing it page by page, and finally, within five days, she was able to completely copy the entire codebook of over 500 pages by photograph (寫眞)." he said.
Such bizarre (怪奇) international grand theft incidents (國際的 大盜難 事件) happened not only to Japan; the code of the British Embassy in Paris was also lost, and during the Portsmouth peace treaty (強化條約), America's cipher telegrams (暗號電報) were reportedly all leaked (漏洩) to Russia.<23>

**Sino-Japanese War Peace Negotiation Venue**
The mediator (中裁者) for the Sino-Japanese War was also the USA. The US initially proposed Shanghai as the venue for the peace conference, but Japan did not agree, so it was first set for Hiroshima (廣島) and later changed to Shimonoseki (下關).

**One Hundred Million Yen**
Song Pyŏng-jun (宋秉畯) went to Tokyo and met Japanese Prime Minister Katsura Tarō (桂太郞), passionately advocating for annexation (合邦). When Katsura Tarō asked how much money would be needed for annexation, Song reportedly said 100 million Yen would suffice. However, later, when the annexation actually took place, the expenses reportedly amounted to only around 30 million Yen, less than one-third of what Song had stated.

**Final Words**
Yi Chae-myŏng (李在明), who stabbed Yi Wan-yong (李完用) as he was returning from attending a memorial service (追悼會) for the Belgian King (白耳義 皇帝) held at the Myeongdong Catholic Cathedral (明洞 天主敎堂), shouted one phrase in English as he was being arrested (捕縛): "I die for my country!"<24>

**Summary**

This article is a collection of historical anecdotes, primarily focusing on diplomatic intrigue, bribery, and significant events related to Korea, Japan, Russia, and China around the turn of the 20th century. It covers the Russian acquisition of Port Arthur through bribery, the difficult negotiations for the Portsmouth Treaty venue, the alleged payments to Korean collaborators during the 1910 annexation, a biographical note on the novelist Yi In-jik, a detailed account of how Japan's diplomatic cipher was stolen by Russia before the Russo-Japanese War, the venue selection for the Sino-Japanese War peace talks, Song Pyŏng-jun's inflated estimate for annexation costs, and the final words of Yi Chae-myŏng after attacking Yi Wan-yong. From the perspective of Korean colonial history, the article is particularly revealing in its casual mention of the specific sums allegedly paid to Korean figures like Yi Wan-yong for their cooperation in the annexation, framing them as "meritorious subjects" receiving "allowances." It also highlights the anti-collaborationist sentiment through the story of Yi Chae-myŏng's attack and his final patriotic declaration. Historians might find the specific details on bribery, the cipher theft narrative (reflecting contemporary interest in espionage), and the figures associated with the annexation payments noteworthy, albeit presented as anecdotal reports in a popular magazine.

**Named Entities**

李鴻章	이홍장	Li Hung-chang
獨逸	독일	Germany
膠州灣	교주만	Jiaozhou Bay
中國	중국	China
露西阿	노시아	Russia
旅順	여순	Lüshun (Port Arthur)
大運	대운	Dalian (Likely typo for 大連)
西太后	서태후	Empress Dowager Cixi
光緖帝	광서제	Guangxu Emperor
北京	북경	Peking (Beijing)
萬壽山	만수산	Mansusan (Longevity Hill/Summer Palace area)
露國大藏大臣	노국대장대신	Russian Finance Minister
윗데	윗데	Witte (Sergei Witte)
日露講和會議	일로강화회의	Russo-Japanese Peace Conference
駐中 露國公使	주중 노국공사	Russian Minister to China
빠부로후	빠부로후	Pavlov (Pavel Pavlov)
張蔭桓	장음환	Chang Yin-huan
碩儒某씨	석유모씨	A certain great scholar
美國	미국	United States (USA)
뽀-스마스	뽀스마스	Portsmouth
日俄戰役	일아전역	Russo-Japanese War
루-즈벨트	루즈벨트	Roosevelt (Theodore Roosevelt)
哈爾賓	합이빈	Harbin
奉天	봉천	Fengtian (Mukden)
리뉴-잇지	리뉴잇지	Linevich (Nikolai Linevich)
露軍	노군	Russian Army
大山	대산	Ōyama Iwao
日軍	일군	Japanese Army
日本	일본	Japan
中國芝罘	중국지부	Zhifu (Chefoo), China
佛蘭西	불란서	France
巴里	파리	Paris
和蘭	화란	Holland (Netherlands)
海牙	해아	The Hague
葉盛頓	엽성돈	Washington D.C.
小村	소촌	Komura (Komura Jutarō)
日全權	일전권	Japanese Plenipotentiary
露全權	노전권	Russian Plenipotentiary
樺太	화태	Sakhalin
李人稙	이인직	Yi In-jik
朝鮮	조선	Chosŏn (Korea)
菊初	국초	Kukch'o (Yi In-jik's pen name)
板垣退助	판원퇴조	Itagaki Taisuke
星亨	성형	Hoshi Tōru
李完用	이완용	Yi Wan-yong
上海	상해	Shanghai
露都	노도	Russian Capital (St. Petersburg)
日本公使	일본공사	Japanese Minister
露國政府	노국정부	Russian Government
日本公使館	일본공사관	Japanese Legation
國際探偵局	국제탐정국	International Detective Bureau
日英同盟	영일동맹	Anglo-Japanese Alliance
英國大使館	영국대사관	British Embassy
日淸戰爭	일청전쟁	Sino-Japanese War
廣島	광도	Hiroshima
下關	하관	Shimonoseki
宋秉畯	송병준	Song Pyŏng-jun
東京	동경	Tokyo
日수상	일수상	Japanese Prime Minister
桂太郞	계태랑	Katsura Tarō
明洞 天主敎堂	명동 천주교당	Myeongdong Catholic Cathedral
白耳義 皇帝	백이의 황제	Belgian King (Leopold II)
李在明	이재명	Yi Chae-myŏng

**Glossary**

賂賄	뇌물	Bribery
빼앗자	빼앗자	As soon as (someone) snatched/took away (older verb ending)
몃츨	며칠	Several days (older spelling)
아니 지나서	아니 지나서	Before (something) passed; shortly after (older negative form)
드러가서	들어가서	Entered and... (older spelling)
하엿다	하였다	Did (older spelling)
시원치 안을 것	시원치 않을 것	That it would not be satisfactory (older spelling/phrasing)
아니 되겟다고	안 되겠다고	Thinking it wouldn't do (older spelling)
식혀	시켜	To make someone do something (causative, older spelling)
먹이엇다	먹이었다	Fed (bribed) (older spelling)
잇섯다	있었다	There was/existed (older spelling)
會議處所	회의처소	Conference venue
중간에	중간에	In the middle of
거느린	거느린	Leading/commanding (troops)
잇슴으로	있으므로	Because there is/are (older spelling)
대하야	대하여	Regarding/towards (older spelling)
모다	모두	All/both (older spelling)
맛나서	만나서	Met (older spelling)
자미잇섯다	재미있었다	Was interesting (older spelling)
안는가	않는가	Isn't it?/Don't you? (older spelling)
업는데	없는데	Although there isn't (older spelling)
잇슬 리가	있을 리가	There's no way that... (older spelling)
생각지 안나	생각지 않나	Don't you think...? (older spelling)
잇지 안는가	있지 않은가	Isn't there...? / Doesn't it exist? (older spelling)
모힌 것	모인 것	The reason for gathering (older spelling)
올치	옳지	Right / Correct (colloquial, older spelling)
그럿댓지	그랬지	That's right / It was so (older spelling)
너머 가세	넘어가세	Let's move on (older spelling)
주엇섯다고	주었었다고	It is said that (someone) gave (past perfect, older spelling)
업는데	없는데	There isn't / Few (older spelling)
놉든	높던	Which was high (older spelling)
하엿더란다	하였더란다	It is said that (someone) did (retrospective hearsay, older spelling)
이약이다	이야기다	It is a story (older spelling)
잇는	있는	Who is in/at (older spelling)
엇전	어쩐	What kind of / Some sort of (older spelling)
드러 오기	들어오기	Entering / Coming in (older spelling)
벌서	벌써	Already (older spelling)
잇서서	있어서	Regarding / In (older spelling)
업다	없다	There isn't / To not have (older spelling)
잇스니	있으니	Since there is (older spelling)
어듸잇슬가	어디 있을까	Where could it be? / How could there be? (older spelling)
압헤	앞에	In front of / Before (an event) (older spelling)
하로는	하루는	One day (older spelling)
엇든	어떤	A certain / Some (older spelling)
차저왓다	찾아왔다	Came to visit (older spelling)
잇노라	있노라	I have (archaic/formal declarative)
엇든가	어떤가	How about it? (older spelling)
조치 못할	좋지 못할	Will not be good (older spelling)
밋을 수가	믿을 수가	Able to believe (older spelling)
자긔는	자기는	As for oneself (older spelling)
갓다가	가져다가	Take it and... (older spelling)
마처왓다	맞춰왔다	Brought it correctly / Matched it (older spelling)
놀낫다	놀랐다	Was surprised (older spelling)
틀님이 업시	틀림이 없이	Without error / Certainly (older spelling)
듯기로	듣기로	Decided to hear / Heard (older spelling)
숨어 잇섯다	숨어 있었다	Was hidden (older spelling)
밧게	밖에	Other than / Except / Only (older spelling)
드려보내엇다	들여보내었다	Sent in (older spelling)
알어 내엇다	알아내었다	Found out / Discovered (older spelling)
몰느게	모르게	Without (someone) knowing (older spelling)
깁히	깊이	Deeply (older spelling)
도젹하여다가	도적하여다가	Having stolen (older spelling)
박이기	박히기	Being printed/photographed (older spelling for 찍히기)
마츰내	마침내	Finally / In the end (older spelling)
잇섯고	있었고	There was also (older spelling)
듯지 안어서	듣지 않아서	Because (they) didn't listen/agree (older spelling)
나종에	나중에	Later / Afterwards (older spelling)
드럿다고	들었다고	It is said that it cost/took (older spelling)
도라 오는	돌아오는	Returning (older spelling)
찔는	찌른	Who stabbed (older spelling)
마듸	마디	Word / Phrase (older spelling)
부르지젓다고	부르짖었다고	It is said that (he) shouted/cried out (older spelling)


---------------------------


잡지명	삼천리 제6호
발행일	1930년 05월 01일
기사제목	夜巡探報臺
기사형태	잡저

夜巡探報臺
李鴻章의 賂賄
獨逸이 膠州灣을 中國으로부터 빼앗자 露西阿도 몃츨이 아니 지나서 旅順大運을 점령하고 말엇다. 그때 西太后는 光緖帝와 가치 北京 萬壽山에 드러가서 露西亞의 요구를 峻拒하엿다. 그래서 아모리 담판하여도 시원치 안을 것을 안 露國大藏大臣 윗데(后日 뽀-스마스 日露講和會議의 全權)는 이래서는 아니 되겟다고 駐中 露國公使 「빠부로후」를 식혀 李鴻章에게 50만원, 張蔭桓에게 25만원의 賂賄을 먹이엇다. 그리고 99개년의 租借에 성공하였다. 이 사실을 안 碩儒某씨는 長嘆하기를 如此江山坐付人」이라고.

講和會議處所
日俄戰役의 講和會議處所 美國 뽀가-스마스로 되엇는데 그곳에 정하기까지에는＜18＞ 이러한 곡절이 잇섯다.
