Magazine Title:	삼천리 제6호
Publication Date:	1930년 05월 01일
Article Title:	英國, 女權擴張運動의 女壯士行進, 一萬女性이 倫敦市街로 示威行列 (Great Britain, Heroic Women's March of the Women's Rights Expansion Movement, Ten Thousand Women Parade in Demonstration Through London Streets)
Author:	倫敦에서 劍橋學人 (A Cambridge Scholar in London)
Article Type:	소식 (News Report)

Great Britain, Heroic Women's March of the Women's Rights Expansion Movement, Ten Thousand Women Parade in Demonstration Through London Streets
						By A Cambridge Scholar in London

1. A Magnificent Sight Near the Imperial Parliament Building

On the morning of June 18th, I hurried with about ten of my English friends, fellow Cambridge University students, towards the vicinity of K'ensin-t'on (Kensington), which could be called the southern part of the British capital. This was because it was said that under the alliance of the "British Women's Liberal Federation" (英國女子自由同盟) and the Women's Social and Political Union (女子社會政治團), over 10,000 women, young and old, were holding a large demonstration movement for the acquisition of suffrage for all English women, and we intended to see the spectacle of that procession.

Even the fog, London's famous specialty, did not particularly obscure the view that day, and the grand, solemn, and imposing city buildings, shining in the summer sunlight, gave a fresh feeling, as if promising the dawn of a new era.

Just as we arrived in front of the Prince Al-ba-dŭ (Albert) Memorial Stone, a crowd numbering in the tens of thousands had already gathered, packed so tightly that there wasn't even space to stick the tip of an awl, waiting expectantly for the procession to pass before them soon. I heard that the procession first gathered at Pikt'oria (Victoria) Square near the Imperial Parliament Building, arranged its ranks, and was set to depart at 6:30 AM, proceeding solemnly towards the aforementioned K'ensin-t'on (Kensington), marching continuously through the main streets of London. To think that not just a handful, but truly over 10,000 women, of an age seemingly shy even before the moon, would form a procession and march so boldly and bravely through the streets of London – is there any difference between Koreans and English people when it comes to loving a spectacle? Not only was the curiosity of London's over 6 million citizens extremely stimulated, but numerous spectators from faraway places like Ok'sŭp'o-dŭ (Oxford), P'ari (Paris), or Pperurin (Berlin) in other countries also flocked to the British Capital (英京), and the city's popularity and congestion that day were considerable. Truly, all the automobiles, omnibuses, buses, and trams within the capital of England were busy carrying passengers going to see the demonstration procession, and every street was filled with the figures of gentlemen, youths, students, and women moving towards the vicinity of the Parliament building.

We – among whom only one Indian, Mr. M, was included, the rest being all English university students – barely pushed through the dense crowd, passed by Haidŭppaek (Hyde) Park, and arrived at Ppagaderi- (Piccadilly), overlooking the hills of the famous Ku-rin (Green) Park. There, along both the left and right sides of the wide street, about 20 kan (間幅, approx. 36 meters) wide, was entirely people, people, people; wherever one looked, a vast wave of people was surging busily. It is truly a rare occurrence for the British people, known as conservatives, to come out in such numbers <12> for sightseeing. Could this have arisen solely from the curiosity that it was a women's procession? To my eyes, as a foreigner, it seemed they were well-wishers gathered to lay flowers upon the history of the women's movement, which has been fighting a desperate struggle (惡戰苦鬪) for over 100 years.

2. The Arduous Struggle of the Suffrage Association

Now, I should briefly touch upon the origins of today's women's procession here. The history of the movement to acquire suffrage for British women goes back far, over 100 years to before 1819. After experiencing many ups and downs (波瀾), a petition for the acceptance (容忍) of women's right to vote (婦人選擧權) was first submitted to the British Parliament in 1866. The submitter at that time was Ms. "Che, E-sŭ" (쩨,에스 여사 - J.S.?). Around this time, Women's Suffrage Associations (婦人參政權協會) were founded in five major cities including London and Manch'esŭt'ŏ- (Manchester), and gradually an organized movement had begun. During that time, 1,000 people were imprisoned for striving for this movement, and they entered Parliament and caused disturbances (攪亂) on the floor (議場) over 30 times, showing how fiercely they continued their efforts (로력) and produced many sacrifices (희생자). Then, in the summer of 1914, the suffrage bill was rejected in Parliament by a small margin. Not long after that, the World War broke out (發勃), and because the entire nation united (擧國一致) to face the war, this movement was also temporarily set back. Later, in February 1918, women's suffrage was recognized again, but it came with the restriction that it applied to women aged 30 and over, and women paying taxes of five pounds or more. Afterwards, the female fighters (여투사) of the suffrage movement continued their activities incessantly (不絶히), and as a result, in the spring of 1927, <13> they finally succeeded in lowering the voting and election eligibility age for women to 25. The demonstration scene I am recording now was a fact from several days before the final 25-year-old bill was passed, so one can understand what an important record-making assembly it was in the history of the liberation movement for all British women.

After a little while, the procession finally appeared. Leading it were three women on horseback (乘馬부인), all riding actively and boldly like men. One of them wore green attire (服色), a formal hat (禮帽), and held a short baton (短杖) in her hand. This was said to be the famous Mrs. Tora-mondŭ (Drummond), one of the leaders (領袖) of the British women's political group (여자정치단) and, one could tell at a glance (一見에), the general commander (총지휘자) of today's procession.
Around her were four or five mounted policemen (승마순사). Behind them came the tricolor flag (三色旗) with purple, green, and white colors. This was the flag (旗) of this organization. Next followed a women's band (부인악대) of about 100 members, wearing dazzling green attire and playing a march (행진곡) as they followed. Perhaps because the rhythm (長短) of the military band (軍樂隊) was played by women, the high, high sound gave a strange agitation (격동) to the hearts of the hundreds of thousands gathered there. Was it because it was a sight that we, in our respective countries, did not have the freedom to hear or see? The Indian Mr. M, standing beside me, gripped my palm tightly and trembled.

After that, about 1,000 British women dressed in white like snow (白雪가치) followed solemnly in single file (入縱列隊?), without a single word (기츰 한마듸업시). This must have continued for two or three Korean ri (리수, approx. 800-1200 meters). After that followed a large flag (旗발) on which was written '670'. According to the explanation of a self-proclaimed Conservative Party member (보수당원), an English gentleman standing beside me, that was the number (수효) of comrades currently imprisoned (감옥에 가처 잇는) because of this movement.

3. The Long Serpent of the Women's Procession

Behind the flag, about 500 women holding spear tips (창끗) coated with silver paper (銀紙) stood in a long line (쪽 느러섯다). The glittering of the silver paper in the sunlight gave a sorrowful (凄愴한) feeling (긔분) to the entire crowd.

After that, another military band stood, and behind the military band stood the procession, and behind the procession stood another military band, and behind the military band stood another procession, and flags stood... Thus, mingling (어울너) with the sound of the footsteps of over 10,000 women... the loud (유랑한 - likely 요란한) sound of the military band music, like 'deura-danda... da... deuradandanda' (듸라단다... 다... 듸라단단다), was greatly shaking the entire city of London.

Then, arriving at the latter part (후반부) of the procession, a contingent (일대) of female university students (여자대학생) wearing red clothes and square hats (사각형의 모자 - mortarboards?) particularly drew the eye (눈을 끄을엇다). This female student contingent (여학생대) were members of the "Cambridge University Women's Suffrage League" (켐부릿지대학 여자선거동맹), and the crowd once again, all together (일제히), thunderously, thunderously shouted 'Hurrah!' (만세).

Behind them followed a group (一群) of female artists (미술가) holding palettes (빠렛트) - behind them, a hospital nurse corps (병원간호부대) - behind them, a female officials contingent (女子官吏隊) - behind them, a group of female writers (女流文士群), typists (타이피스트), female shop assistants (여점원), nannies (보모), etc., in a contingent (一隊). And at the very end (최후미) of the procession, a contingent of young girls (소녀), seemingly thirteen or fourteen to seventeen or eighteen years old, walked holding flags (긔). On those flags were written phrases such as:
"Where there's a will, there's a way." (이하 第5頁에 續) <14> (From page 13)
"Fate makes the brave victorious."

In this way, with 40 military bands, 70 flags, over 10,000 participating women, the great march (大行進) spanning over 2 ri (里, approx. 800 meters) passed before us. As it reached the vicinity of the destination, Al-ba-rŭ Hol (Albert Hall), the sun had already begun to set. The general commander, Ms. T'ŭra-mondŭ (Drummond), wielding (두르면서) her command baton (지휘봉) from horseback, directed the crowd, the procession, and the police squad (警官隊). As they gathered (모흐자 - likely 모이자) in the square, the many bands stood around in a circle (원형으로) and sounded a magnificent (성수나게 - likely 성대하게) march once, the participating women shouted 'Hurrah!' in unison, and the gathered hundreds of thousands in the crowd, deeply moved (감격하여), threw their hats into the air and joined in shouting 'Hurrah!' (和唱하엿다). Listening to their speeches, I was too excited and just stood there blankly (멀거니), watching the magnificent (장엄한) spectacle shining in the setting sun (夕日). Just like a stone statue (石身像가치). (End) <5>

**Summary**

This article, written by a Korean scholar studying in London, vividly describes a large women's suffrage parade in London purportedly taking place on June 18th, shortly before the final legislative victory lowering the voting age (incorrectly cited as 25 in Spring 1927). The author details the procession's organization, the diverse groups of women participating (from students and professionals to activists commemorating imprisoned colleagues), the scale (10,000 participants, numerous bands and flags), the route through London landmarks, the large crowds, and the emotional impact on spectators, including the author and an Indian friend. The march culminated in a rally near Albert Hall as the sun set.

From a Korean colonial history perspective, the article is interesting as it reflects a Korean intellectual's direct observation of and keen interest in Western political movements, specifically women's rights and democratic processes, during a period when Koreans lacked such rights under Japanese rule. The author's empathy with the movement ("a sight that we, in our respective countries, did not have the freedom to hear or see") and the comparison of crowd enthusiasm across cultures highlight a consciousness of Korea's own political situation. The detailed reporting suggests a desire to inform the Korean readership about international struggles for rights and potentially inspire similar sentiments or awareness back home. Historians might find the perspective of a colonial subject witnessing a metropolitan power's internal struggles for democracy, the specific (though potentially inaccurate) details reported, and the underlying comparison with the situation in Korea valuable.

**Named Entities**

英國	영국	Great Britain / England
倫敦	런던	Rondon (London)
劍橋	검브릿지	Kŏmburi-ch'ŏ (Cambridge)
켄신톤	켄싱턴	K'ensin-t'on (Kensington)
英國女子自由同盟	영국여자자유동맹	Yŏngguk Yŏja Chayu Tongmaeng (British Women's Liberal Federation - *as named in text*)
女子社會政治團	여자사회정치단	Yŏja Sahoe Chŏngch'idan (Women's Social and Political Union - *likely WSPU*)
帝國議事堂	제국의사당	Cheguk Ŭisadang (Imperial Parliament Building)
빅토리아 광장	빅토리아 광장	Pikt'oria Kwangjang (Victoria Square)
알-바드 親王 紀念碑石	알버트 친왕 기념비석	Al-ba-dŭ Ch'inwang Kinyŏmbisŏk (Prince Albert Memorial Stone)
옥스포-드	옥스포드	Ok'sŭp'o-dŭ (Oxford)
파리	파리	P'ari (Paris)
뻬루린	베를린	Pperurin (Berlin)
英京	영경	Yŏnggyŏng (British Capital / London)
하이드빽, 공원	하이드 파크 공원	Haidŭppaek Kongwŏn (Hyde Park)
구-린 공원	그린 공원	Ku-rin Kongwŏn (Green Park)
빠가데리-	피카딜리	Ppagaderi- (Piccadilly)
인도 M군	인도 M군	Indo M-kun (Indian Mr. M)
쩨,에스 여사	J.S. 여사	Che, E-sŭ Yŏsa (Ms. J.S.)
만체스터-	맨체스터	Manch'esŭt'ŏ- (Manchester)
婦人參政權協會	부인참정권협회	Puin Ch'amjŏnggwŏn Hyŏphoe (Women's Suffrage Association)
도라몬드 부인	도라몬드 부인	Tora-mondŭ Puin (Mrs. Drummond)
켐부릿지대학 여자선거동맹	케임브리지대학 여자선거동맹	K'embu-rit'chi Taehak Yŏja Sŏn'gŏ Tongmaeng (Cambridge University Women's Suffrage League)
알바-르, 홀	알버트 홀	Al-ba-rŭ Hol (Albert Hall)
트라몬드 양	드러몬드 양	T'ŭra-mondŭ Yang (Ms. Drummond)

**Glossary**

女權擴張運動	여권확장운동	Women's rights expansion movement
女壯士	여장사	Strong woman, heroine
示威行列	시위행렬	Demonstration parade/procession
學人	학인	Scholar
소식	소식	News report
英吉利人	영길리인	English person (older term)
동무	동무	Friend, comrade (older/NK term)
英京	영경	British Capital (London, older term)
거름	걸음	Step, pace (older spelling)
하엿다	하였다	Did (older spelling for 하였다)
잇섯다	있었다	Was/were, existed (older spelling for 있었다)
행열	행렬	Procession, parade (older spelling)
안어서	않아서	Not doing so (older spelling for 않아서)
해볏	햇볕	Sunlight (older spelling)
비초이는	비추이는	Shining on (older spelling/form)
마츰	마침	Just then, finally (older spelling)
압	앞	Front (older spelling)
벌서	벌써	Already (older spelling)
끗	끝	End, tip (older spelling)
빡빡히	빽빽이	Densely, tightly packed (colloquial/older form)
압흐로	앞으로	Forward, in front (older spelling)
드른즉	들은즉	Upon hearing (older form)
하야	하여	Doing so (older spelling for 하여)
붓그러워	부끄러워	Shy, embarrassed (older spelling)
한낫	한낱	Merely, just (older spelling)
조와하는	좋아하는	Liking (older spelling)
잇스랴	있으랴	Would there be? (older form)
되엿슬	되었을	Would have become (older spelling)
멀니	멀리	Far away (older spelling)
갓흔	같은	Like, such as (older spelling)
모어들어	모여들어	Gathered (older spelling)
잡답	잡답	Bustle, congestion, crowd (Hanja term)
아니엇다	아니었다	Was not (older spelling)
승합마차	승합마차	Omnibus, horse-drawn bus
뻐스	버스	Bus (transliteration)
모다	모두	All (older spelling)
옴기는	옮기는	Moving (older spelling)
끼엇슬	끼었을	Having joined (older spelling)
겻흘	곁을	The side (older spelling)
스처	스쳐	Passing by
너른	넓은	Wide (older form)
량쪽	양쪽	Both sides (older spelling/Hanja reading)
어듸	어디	Where (older spelling)
잇섯다	있었다	Were (older spelling)
들니는	들리는	Known as, heard of (older spelling)
만히	많이	Many, much (older spelling)
나왓슬 것인가	나왔을 것인가	Could it have come out? (older spelling)
惡戰苦鬪	악전고투	Desperate struggle, hard fight (Hanja term)
꼿	꽃	Flower (older spelling)
노키 위하야	놓기 위하여	In order to place (older spelling)
십헛다	싶었다	Seemed, felt like (older spelling)
올나가는	올라가는	Goes up, dates back (older spelling)
격다가	겪다가	Experiencing, undergoing
婦人選擧權	부인선거권	Women's voting rights (Hanja term)
되엇다	되었다	Became (older spelling)
엿는데	였는데	Was (older spelling)
되엇든 터이다	되었던 터이다	Had become (older spelling)
가친 이	갇힌 이	Imprisoned person (older spelling)
드러가서	들어가서	Entering (older spelling)
攪亂	교란	Disturbance, disruption (Hanja term)
로력	노력	Effort, labor (older spelling/NK term)
왓고	왔고	Came and... (older spelling for 왔고)
내엇슴을	내었음을	That they produced (older spelling)
알니라	알리라	One can know (older form)
부결되엿다	부결되었다	Was rejected (older spelling)
아니 잇서	아니 있어	Not long after (older spelling)
發勃	발발	Outbreak (Hanja term)
擧國一致	거국일치	Nationwide unity (Hanja term)
되엇다가	되었다가	Became, but then... (older spelling)
부텃섯든	붙었었던	Had been attached (older spelling)
여투사	여투사	Female fighter/activist
不絶히	부절히	Incessantly, continuously (Hanja term)
끗끗내	끝끝내	Finally, in the end (older spelling)
엇고 말엇다	얻고 말았다	Finally achieved (older spelling)
이엇스니	이었으니	As it was (older spelling)
조곰	조금	A little (older spelling)
마츰내	마침내	Finally (older spelling)
보이엇다	보였다	Appeared (older spelling)
잇섯는데	있었는데	Were (older spelling)
초록빗	초록빛	Green color (older spelling)
服色	복색	Color of clothing (Hanja term)
들엇다	들었다	Was holding (older spelling)
잇겟다	있겠다	One could (older spelling)
자주빗	자주빛	Purple color (older spelling)
힌	흰	White (older spelling)
부싀는	부시는	Dazzling (older spelling)
吹奏	취주	Playing (wind instruments) (Hanja term)
따라섯다	따라섰다	Followed (older spelling)
놉흐고	높고	High (older spelling)
모엿든	모였던	Had gathered (older spelling)
주엇다	주었다	Gave (older spelling)
업는	없는	Non-existent (older spelling)
섯든	섰던	Who was standing (older spelling)
가치	같이	Like, together (older spelling)
기츰	기침	Cough (used here metaphorically for 'utterance'?)
한마듸	한마디	One word (older spelling)
되엇스리라	되었으리라	Must have continued (older spelling)
旗발	깃발	Flag (older spelling)
겻헤	곁에	Beside (older spelling)
드르면	들으면	If one hears (older spelling)
가처 잇는	갇혀 있는	Who are imprisoned (older spelling)
창끗	창끝	Spear tip (older spelling)
발는	바른	Applied, coated
느러섯다	늘어섰다	Stood in a line (older spelling)
햇빗	햇빛	Sunlight (older spelling)
반득반득이는	반득반득이는	Glittering, shining (onomatopoeia/older form? Contemporary: 반짝이는)
긔분	기분	Feeling (older spelling)
어울너	어울려	Mingling, harmonizing (older spelling)
유랑한	요란한	Loud, noisy (likely typo/older word for 요란한)
끄을엇다	끌었다	Drew, pulled (older spelling)
불엇다	불렀다	Shouted, called out (older spelling)
빠렛트	팔레트	Palette (transliteration)
一群	일군	One group (Hanja term)
女流文士群	여류문사군	Female writers group (Hanja term)
되엇슬	되었을	Seeming to be (older spelling)
긔	기	Flag (older spelling)
거러가섯다	걸어갔다	Walked (older spelling)
하엿섯다	하였었다	Had done (older spelling)
압흘	앞을	The front (older spelling)
지기 시작하엿다	지기 시작하였다	Began to set (older spelling)
모흐자	모이자	Upon gathering (likely typo/older form for 모이자)
만흔	많은	Many (older spelling)
들너서서	둘러서서	Standing around (older spelling)
성수나게	성대하게	Magnificently, grandly (likely typo/older word for 성대하게)
울렷고	울렸고	Sounded, rang out (older spelling)
불넛고	불렀고	Shouted (older spelling)
和唱하엿다	화창하였다	Sang/shouted in unison (older spelling)
그네	그네	They, them (older pronoun)
드르면서	들으면서	While listening (older spelling)
멀거니	멀거니	Blankly, absent-mindedly (older spelling)
빗나는	빛나는	Shining (older spelling)
石身像	석신상	Stone statue (Hanja term)
끗	끝	End


---------------------------


잡지명	삼천리 제6호
발행일	1930년 05월 01일
기사제목	英國, 女權擴張運動의 女壯士行進, 一萬女性이 倫敦市街로 示威行列
필자	倫敦에서 劍橋學人
기사형태	소식

英國, 女權擴張運動의 女壯士行進, 一萬女性이 倫敦市街로 示威行列
						倫敦에서 劍橋學人
1. 帝國議事堂附近의 盛觀
6월 18일 아츰에 나는 나의 英吉利人 동무인 劍橋 大學生 10여명들과 함께 英京의 남부시가라 할 「켄신톤」 부근을 향하야 거름을 재촉하엿다. 이날은 「英國女子自由同盟」과 女子社會政治團의 연합으로 10,000여명의 老少女性들이 全 英吉利 여성의 참정권 획득을 위하야 일대시위운동을 거행한다함으로 그 행열의 광경을 보려고 함이다.
