**Header Section:**
Magazine Title: 三千里 제6호
Publication Date: 1930년 05월 01일
Article Title: 名文의 香味, 新興文藝의 構圖에 對하야 (The Aroma of Fine Writing, Regarding the Composition of Newly Emerging Literature)
Author: 八峯 金基鎭
Article Type: 문예평론 (Literary Criticism)

**Body Text Translation:**
The Aroma of Fine Writing, Regarding the Composition of Newly Emerging Literature
						P'albong Kim Kijin

It is a historical fact that the literature and arts of a society reflect its era. The reflection of contemporary Chosŏn society can properly be seen by looking at the contemporary literature and arts of Chosŏn. To enrich my argument, I will generally discuss the fundamental origins of our current literature and arts, then dissect the causes of the so-called stagnation of the literary world, as implied by the title, discovering its social significance. Taking a step further, I intend to complete my original plan by sketching the newly emerging literature that will sweep away this stagnation and take its place. However, my tired brain is considerably daunted by this excessive task, wondering if I can truly accomplish all this.

Let's look back at the Pyŏngin literary scene of the past year. No, let's look back even further at the path walked by what is called the literary world over the past 10 years. Let's roughly skim through the past decade since Yuktang Ch'unwŏn raised the banner of constructing Chosŏn literature and began energetically pioneering this endeavor in the literary and intellectual circles of Chosŏn, which were like a wasteland. We can divide our past literary world into two periods: the Ch'unwŏn period, and the period represented essentially by Sangsŏp alone – Sangsŏp, Pinghŏ, Tongin, Tohyang. The Ch'unwŏn period, when the literary world was carried on his individual back, refers to the nearly 10 years from 1910 to 1920. The Sangsŏp period, centered around Sangsŏp, refers to the nearly 5 years from 1920 until recently. Furthermore, these two divisions are not periodizations based solely on observing individuals; we can point out the distinct characteristics of each of the two periods represented by Ch'unwŏn and Sangsŏp.

The pioneering Chosŏn literature represented by Ch'unwŏn was, needless to say, entirely represented by Ch'unwŏn's personal literary tendencies or thoughts. Why? Because at that time, Ch'unwŏn was the sole figure in the literary world (?). Thus, Ch'unwŏn preached humanism, taught ideals, and sang the praises of God's love. It was, to whatever extent, self-consoling and sentimental, but it is an undeniable fact that it was idealistic. Look, for instance, at Ch'unwŏn's first full-length work, "Mujŏng" (Heartlessness). And look at "Kaech'ŏkcha" (The Pioneer). Look at the recent "Chaesaeng" (Rebirth). Or look at his essays from that time. Is there anything among them that is not idealistic? This was the characteristic of the first period of the literary world, represented by Ch'unwŏn.

The characteristic of the second period of the literary world, represented by Sangsŏp, was its realism, in contrast to the idealism of the Ch'unwŏn period. Ch'unwŏn preached humanism. He inspired ideals. However, in the second period's literary world represented by Sangsŏp, there was no preaching of humanism or inspiring of ideals. They gazed intently at reality. At the same time, they could not help but be skeptical. Instead of preaching humanism, they pointed out reality. Instead of inspiring ideals, they sought to dissect and critique social evils and human evils. Truly, the central issue in their creative work was this social evil, human evil. It was their duty to dissect and point out these social and human evils with their small subjectivity. Look, for instance, at the short stories of Messrs. Sangsŏp, Pinghŏ, Tongin, Tohyang, etc. Compared to the first period, although it was similarly sentimental, it is an undeniable <70> fact that it was realistic.

Then why did such distinctions arise in the literary world? In a word, I brought up Ch'unwŏn and Sangsŏp to explain this. That is, the first period of our literary world – the Ch'unwŏn period – was born amidst an atmosphere where society boiled with aspiration and ideals around the time of the Chosŏn people's XXXXXXXXXXXXXXXX movement, and Ch'unwŏn's literature came into being within this atmosphere. In other words, it was because Chosŏn society before and after March 1st demanded such literature. (However, when the dream of XX, which was the sole aspiration and ideal of the Chosŏn people, was shattered by harsh reality, humanism disappeared, and ideals could not help but turn into skepticism.) The fundamental essence of literature and art's origin as a social phenomenon, or the essence of its social establishment, is determined by the question of whether it is suited to the lives of the general populace or not. The question of whether literature of romantic aspiration and humanistic ideals was suited or unsuited to the Chosŏn people, who had fallen into the dark cave of lamentation and despair due to the failure of XXXX, was eloquently answered by the activities of Sangsŏp, Pinghŏ, Tongin, and others. In short, it suffices for me to say this here: the development and innovation of literature and arts are determined less by the spirit of the literary artists themselves, and more by the demands arising from the life realities of the general society and populace. The decline of classical literature, the decline of romantic literature, and the decline of liberal literature are all not due to changes in the specialized artistic value of the literary works themselves, but merely because the realities of the lives of the general populace in each era changed. (Omitted - original text)<71>

**Summary**

Kim Kijin argues that Korean literature evolved in distinct phases reflecting societal changes. The first phase (c. 1910-1920), dominated by Yi Kwangsu (Ch'unwŏn), was idealistic and humanist, born from the aspirations surrounding the March 1st Movement era. The second phase (c. 1920-1930), represented by figures like Yŏm Sangsŏp (Sangsŏp), turned towards realism and skepticism, focusing on dissecting social and human evils after the disillusionment following the failure of national aspirations. Kim posits that literary trends are dictated not by artistic merit alone, but by their resonance with the lived reality and demands of the general populace in a given period. For historians, this article provides insight into contemporary perceptions of Korean literary history, the profound impact of the March 1st Movement (even when censored, its influence is central), and the critical discourse attempting to understand and direct cultural production under Japanese colonial rule. The explicit link drawn between political disappointment and the shift towards realism is particularly revealing.

**Named Entities**

八峯 金基鎭	팔봉 김기진	Kim Kijin (P'albong)
六堂	육당	Yuktang (pen name, referring to Ch'unwŏn here)
春園	춘원	Ch'unwŏn (pen name of Yi Kwangsu)
朝鮮	조선	Chosŏn (Korea)
想涉	상섭	Sangsŏp (pen name of Yŏm Sangsŏp)
憑虛	빙허	Pinghŏ (pen name of Hyŏn Chinhgŏn)
東仁	동인	Tongin (pen name of Kim Tongin)
稻香	도향	Tohyang (pen name of Na Tohyang)

**Glossary**

잡지명	잡지명	Magazine title
발행일	발행일	Publication date
기사제목	기사제목	Article title
필자	필자	Author/Writer
기사형태	기사형태	Article type
문예평론	문예평론	Literary criticism
名文	명문	Fine writing, excellent piece of writing
香味	향미	Aroma, flavor, taste
新興文藝	신흥문예	Newly emerging literature and arts
構圖	구도	Composition, structure, layout
對하야	대하여	Regarding, concerning (older spelling/form of 대하여)
사회	사회	Society
반영	반영	Reflection
문예	문예	Literature and arts
역사적	역사적	Historical
사실	사실	Fact
현대	현대	Modern times, contemporary
~에 就하야	~에 대하여	Regarding, concerning (older grammatical form)
可하다	가하다	Possible, acceptable
논증	논증	Argument, proof
풍부히	풍부히	Abundantly, richly
일반적	일반적	General
현재	현재	Present time, current
발생적	발생적	Related to origin or genesis
본질	본질	Essence, fundamental nature
논하고서	논하고서	After discussing
표제	표제	Title, heading
의미	의미	Meaning
소위	소위	So-called
문단	문단	Literary world, literary circles
침체	침체	Stagnation, depression
원인	원인	Cause
해부	해부	Dissection, analysis
의의	의의	Significance, meaning
발견	발견	Discovery
한걸음	한걸음	One step
쓸허버리고	쓸어버리고	Sweep away, clear away (older spelling)
대신할	대신할	To replace, substitute
소묘	소묘	Sketch, drawing
본래	본래	Originally, essentially
企圖	기도	Plan, intention, aim
전부	전부	Entirety, whole
마치려	마치려	Intending to finish
과연	과연	Indeed, truly
피로한	피로한	Tired, fatigued
두뇌	두뇌	Brain, mind
과분한	과분한	Undeserved, excessive
소임	소임	Duty, responsibility
당황함	당황함	Bewilderment, embarrassment
적지 안타	적지 않다	Not small, considerable (older spelling/form of 않다)
丙寅	병인	Pyŏngin (Year name in the sexagenary cycle, likely referring to 1926, but used here more broadly for a recent period)
돌아다보자	돌아다보자	Let's look around/back at
과거	과거	Past
~년간	~년간	During ~ years
발자취	발자취	Footprints, traces
적어도	적어도	At least
건설	건설	Construction, establishment
旗幟	기치	Banner, flag
황무지	황무지	Wasteland, barren land
갓든	같던	Like, similar to (older spelling)
사상계	사상계	World of thought, intellectual circles
나타나셔	나타나시어	Appearing (honorific, older form)
정열적	정열적	Passionate, ardent
사업	사업	Work, enterprise, project
개척하기	개척하기	To pioneer, develop
비롯한	비롯한	Started, began
이래	이래	Since then
대강만	대강만	Roughly, briefly
훌터보자	훑어보자	Let's skim through, browse
우리들	우리들	We, us
시기	시기	Period, time
나누허	나누어	Dividing (older spelling)
개인	개인	Individual
질머지고	짊어지고	To carry on one's back
잇든	있던	Who was/existed (older spelling)
~까지의	~까지의	Up to ~
가라처 말함이요	가리켜 말함이요	Refers to, points to (older spelling/form)
중심으로 한	중심으로 한	Centered around
작금	작금	Recently, nowadays
까지의	까지의	Up to ~
구분	구분	Division, classification
인물	인물	Person, figure
본위	본위	Standard, basis
관찰	관찰	Observation
나온	나온	That came from
시대적	시대적	Period-specific, historical era
각각	각각	Each, respectively
특색	특색	Distinct characteristic, feature
지적할 수 잇다	지적할 수 있다	Can point out (older spelling)
대표된	대표된	Represented
개척기	개척기	Pioneering period
말할 것도 업시	말할 것도 없이	Needless to say (older spelling)
경향	경향	Tendency, inclination
내지	내지	Or, to
~으로	~으로	By, with, as
까닭이다	까닭이다	It is the reason
당시	당시	At that time
유일인자	유일인자	The sole person, the only one
이엇든	이었던	Who was (older spelling)
그리하야	그리하여	Thus, therefore (older spelling)
인도	인도	Humanity, humanism, the right path
설하고	설하고	Preach, explain
이상	이상	Ideal
가라치고	가르치고	Teaching (older spelling)
신의	신의	God's (or belief's)
애	애	Love
찬송하얏다	찬송하였다	Praised, sang praises of (older spelling)
어대까지든지	어디까지든지	To whatever extent, thoroughly (older spelling)
자의적	자의적	Self-consoling, arbitrary (context suggests self-consoling)
속정적	속정적	Sentimental, emotional (often implying base emotion)
부인할 수 업는	부인할 수 없는	Undeniable (older spelling)
사실이다	사실이다	It is a fact
시험삼아	시험삼아	As a test, for instance
최초	최초	First, initial
장편작	장편작	Full-length work (novel)
무정	무정	Mujŏng (Heartlessness - title of novel)
개척자	개척자	Kaech'ŏkcha (The Pioneer - title of novel)
최근	최근	Recent
재생	재생	Chaesaeng (Rebirth - title of novel)
혹은	혹은	Or
논문	논문	Essay, thesis, paper
등	등	Etc.
어느 것	어느 것	Which one
아인 것	아닌 것	Thing that is not
잇는가	있는가	Is there? (older spelling)
반하야	반하여	In contrast to (older spelling)
현실적	현실적	Realistic
고취하얏다	고취하였다	Inspired, advocated (older spelling)
업섯다	없었다	Did not exist (older spelling)
응시하얏다	응시하였다	Gazed intently at (older spelling)
동시	동시	Simultaneously
회의적	회의적	Skeptical
안되지 못하얏다	않지 못하였다	Could not help but be (older spelling)
대신에	대신에	Instead of
지적하얏다	지적하였다	Pointed out (older spelling)
사악	사악	Social evil (社會惡)
인간악	인간악	Human evil (人間惡)
해부	해부	Dissection, analysis
비판하려 하얏다	비판하려 하였다	Tried to critique (older spelling)
참말로	참말로	Truly, indeed (dialectal/older form of 참으로)
창작상	창작상	Regarding creative work
중심문제	중심문제	Central issue/problem
이엇다	이었다	Was (older spelling)
족으만	조그만	Small, little (older spelling)
주관	주관	Subjectivity
가지고써	가지고서	With, using (older form)
직분	직분	Duty, role
제씨	제씨	Messrs., various sirs (諸氏)
단편	단편	Short story
비하야	비하여	Compared to (older spelling)
비록	비록	Although, even though
마찬가지	마찬가지	Same, similar
하드라도	하더라도	Even if, although (older spelling)
싸울 수 업는	다툴 수 없는	Indisputable, undeniable (lit. cannot fight, older usage or nuance)
어찌하야서	어찌하여서	Why, for what reason (older spelling)
끌어내엇다	끌어내었다	Brought up, introduced (older spelling)
즉	즉	That is, namely
민족	민족	People, nation, ethnic group
전후하야	전후하여	Around the time of (before and after)
동경	동경	Aspiration, longing
끌엇든	끓었던	Boiled, seethed, was fervent (older spelling)
분위기	분위기	Atmosphere
가운대서	가운데서	Amidst, in the middle of (older spelling)
탄생되엇든	탄생되었던	Was born (older spelling)
거듭	거듭	Again, repeatedly
요구하얏든	요구하였던	Demanded (older spelling)
유일한	유일한	Only, sole
꿈	꿈	Dream
참혹한	참혹한	Cruel, tragic, horrible
깨어저 버릴 때	깨어져 버릴 때	When it shattered/was broken (older spelling)
거긔에는	거기에는	There (older spelling)
변하지 안흘 수 업섯다	변하지 않을 수 없었다	Could not help but change (older spelling)
현상	현상	Phenomenon
성립	성립	Establishment, formation
일반	일반	General
민중	민중	Populace, masses
생활	생활	Life, living
적합하냐	적합하냐	Is it suitable?
못하냐	못하냐	Is it not?
문제	문제	Problem, question
결정되는	결정되는	Is decided, is determined
낭만적	낭만적	Romantic
인도적	인도적	Humanistic
불성취	불성취	Failure, non-achievement
말미암아	말미암아	Due to, because of
비탄	비탄	Grief, lamentation
절망	절망	Despair
암굴	암굴	Dark cave
떨이지게 된	떨어지게 된	Having fallen into (older spelling)
질문	질문	Question
활약	활약	Activity,活躍
웅변으로	웅변으로	Eloquently
대답하얏다	대답하였다	Answered (older spelling)
요컨대	요컨대	In short, in a nutshell
이곳에서	이곳에서	Here
족하다	족하다	Sufficient, enough
발달	발달	Development
혁신	혁신	Innovation, reform
자신	자신	Oneself, self
정신	정신	Spirit, mind
현실	현실	Reality
요구	요구	Demand, requirement
~라고	~라고	That (quoting particle)
고전주의	고전주의	Classicism
몰락한	몰락한	Collapsed, declined
낭만주의	낭만주의	Romanticism
자유주의	자유주의	Liberalism
침쇠하야가는	침체하여가는	Declining, stagnating (older form)
모두가	모두가	All, entirely
작품	작품	Work (of art, literature)
전문적	전문적	Specialized, professional
예술가치	예술가치	Artistic value
변동	변동	Change, fluctuation
~으로 인함이 아니라	~으로 인함이 아니라	Not because of ~
시대시대	시대시대	Each era, period by period
변동된	변동된	Changed
까닭일 뿐이다	까닭일 뿐이다	It is merely the reason


---------------------------


잡지명	삼천리 제6호
발행일	1930년 05월 01일
