Magazine Title: 동광 제25호
Publication Date: 1931년 09월 04일
Article Title: 海外論壇 (Overseas Forum)
Article Type: 논설 (Editorial/Essay)

Who is the Luxurious Person
Editorial from America's *Nation* Magazine

The discovery was recently made that luxury is one of the causes of the depression.
Mr. Eugene Black, Governor of the Atlanta District of the U.S. Federal Reserve Bank, said this to investment bankers in New Orleans.
“We have become accustomed to the age of automobiles, refrigerators, and radios. We live in an atmosphere of luxury. Now, we cannot simply continue to live in that atmosphere while taking on debt. Let us abandon foolish thoughts. I cannot agree with those who say that America's current high standard of living must not be abandoned. As long as the heavy burden of debt hangs around our necks, we cannot expect permanent prosperity.”
Although Mr. Black did not specifically name anyone, it is needless to explain that his words referred to President Hoover's Cleveland speech. In President Hoover's speech, there is such a passage:
“I have seen in the newspapers that some have expressed the opinion that America’s standard of living must be lowered, but I am strongly opposed to that theory. The improvement of the standard of living is the philosophy of Americans today. If this philosophy were to waver even slightly, it would spread and result in driving most of our neighbors into the ditch of poverty.”
Let us first examine Hoover's words.
No one likes a reduction in their standard of living. However, when production becomes sluggish, people's incomes decrease due to lower wages and salaries, shortened working hours, or unemployment. Then, those who were barely making ends meet inevitably have no choice but to lower their standard of living. Thus, the supposedly sacred American standard of living declines. This is already in progress. No matter how much one protests verbally that the wavering of American philosophy drives people into the ditch of poverty, the fact that it is happening is an undeniable reality.
Then, let's look again at the content of Mr. Black's argument that living in an atmosphere of luxury is the cause of today's depression. Mr. Black's admonishing words that the debt situation is bad are indeed good lessons for the luxurious class. However, his remarks are still lacking. In fact, during the tremendous boom period that continued until 1929, people kept buying expensive goods that they could by no means afford with their monthly income, such as automobiles, refrigerators, and radios, on credit.
During this era, the so-called installment sales system flourished, further expanding individual credit, reaching billions of dollars, and people all lived on that credit. A prominent example is the automobile; manufacturers produced more cars than were actually needed and sought to sell them.
Therefore, to sell them to the general public, they taught the masses how to pawn their future income. The masses fell into this trap. Seeing this sales policy succeed, manufacturers recklessly built factories, causing their production capacity to exceed the actual demand of the entire United States by three-quarters. Who brought about this expansion of credit? Bankers and industrialists.<35>
The cause of this extremely dangerous excessive expansion of credit lies neither in luxury nor in the standard of living itself, which was artificially inflated due to the reckless creation of credit.
Where, then, does the cause lie? It lies in the inadequacy of the commercial transaction and credit systems behind the phenomenon, in other words, in the existence of an imperfect commercial transaction and credit system where profit cannot be generated unless the general public is made luxurious.
Even if the cause of today's hardship lies in luxury, it is meaningless to now advise the general public to stop being luxurious. Why? Because the only people who can afford a luxurious life today are probably Mr. Black's friends, the bankers and industrialists.
However, he did not direct this speech towards those bankers and industrialists, but in fact towards the likes of underwear sellers and the families of collar factory workers. But this type of people is already so impoverished that, even if not wandering the streets, they must sleep on bare floors without beds, so the sermon not to be luxurious is completely unnecessary. What we need to think about today, whether banker, industrialist, worker, or farmer, is the problem of how to realize a new, rational credit organization and method of controlling commercial transactions.<36>

The US-Japan War and China
From the Monthly Journal of Fengtian Feng Yong University
This seems to be a student's essay, and while somewhat immature, it appears to be a useful reference for studying Chinese sentiment.

Since the Pacific Conference of 1921, the great powers concluded disarmament treaties supposedly for the sake of perpetual world peace, but observing the current state of the great powers, far from reducing armaments, they are instead planning their expansion. Today, the world's great powers are Britain, America, Japan, France, and Russia, but among them, the countries with the closest relationship to our China are Japan and America.
Japan, since the Meiji Restoration, has devoted all its efforts to the development of national power and the buildup of military armaments. Because its territory is small and its resources are insufficient, while its population growth is enormous, it cannot avoid seeking territorial expansion to supply food. The closest continent to Japan is our Dongsanseong (Three Eastern Provinces). Japan first consumed Korea, then leased Lüshun (Port Arthur) and Dalian, and used railways like the South Manchuria and Anfeng lines to develop the rich resources of the Northeast. The iron ore of Benxihu and the coal of Fushun are among the world's best in quality and quantity. In this way, Japan has already achieved the invasion of Dongsanseong, but it is not satisfied with that. Japan further seeks to expand its command of the sea to the eastern shore of the Pacific Ocean and plans for the development of colonization projects.
America, since the 19th century, gradually revealed its prominence in wealth and military power, participated in the Great European War, achieved the final victory, and increased its national strength. America does not like other ethnic groups flourishing within its own country, so it excludes Japanese immigrants, but not only that; Japan's naval supremacy in the Pacific is even more disliked by America, so a future clash is inevitable. Therefore, at the last disarmament conference, America made harsh demands on Japan, worsening feelings between Japan and America.
If the two countries were to open hostilities today, the battlegrounds would likely be a naval battle at Honolulu and a land war zone in our Northeast region. If war breaks out, Japan will seek its supply of raw materials from China, specifically from the closest and most convenient Dongsanseong for transport. America will exert all its efforts to cut off China's support for Japan. At that time, if China lacks the military strength to maintain its national sovereignty and prevent invasion by both Japan and America, it will inevitably fall into the maelstrom of war. If it assists Japan and resists America, and America wins, China will become like Austria; even if America loses, China will gain nothing and only have its land ravaged by warhorses. If it sides with America, Japanese forces will overrun Dongsanseong before American troops arrive, and if America then loses, the disastrous situation cannot even be imagined. Therefore, China <36> must build up its military preparedness, strive to improve its international standing, and become a nation capable of gathering the full sympathy of the great powers when such an event occurs. Yet, what is China's current situation? Internal political chaos, rampant banditry, party strife, and political struggles intensify daily. Those who can save China are us, the youth. Rise up!<37>

Daily Life in New Russia
Professor Mount, Holyoke College, USA
(Excerpted here and there from Professor Mount's long essay.)

The state of Soviet Russia is gradually drifting away from external culture. The churches we used to see are broken, small farmers are disappearing, and small shops are closing their doors. Universities in Moscow and the provinces ignore European traditions, and artists and writers, irrespective of artistic conscience, promote social revolution through their works. Even the Soviet calendar has become a five-day system without Sundays.

What thoughts occupy Ivan, one of the workers leaving the factory late in the afternoon, as he stands waiting interminably for a crowded streetcar to go home? Is he worried about his child's illness? Or is he concerned about acquiring winter clothes? These are worries shared by workers all over the world. He might also be thinking about the fight with the housing committee or the fact that tonight, too, he'll have to wait in line for hours to buy alcohol.
A very small fraction of Moscow workers live in apartments built on the outskirts of the city. These are modern buildings with lighting fixtures and new arrangements for water and gas. In the courtyard, there are walking paths paved with pebbles, benches, flowers, and ponds. However, such housing is still scarce, and the majority of workers rent rooms in the bustling areas of the old city, in former merchants' large houses converted into apartments, or in buildings that were previously apartments. Of course, there are no flowers or ponds.

Rent is determined by the tenant's income and economic status, irrespective of the size of the dwelling. Overall, rent is very cheap, and among them, officials pay a nominal rent. It is rare for intellectual workers to pay even $15 a month, and ordinary workers usually pay between $2 and $5 a month.
In worker housing, if a family consists of six members, occupying three modest rooms is considered top-tier in today's crowded Moscow. Here, the room layout is good, and although it may seem cramped, as a material backdrop for daily life, it is not vastly different from tenements in Berlin, London, or New York. However, the suffering of those living in traditional housing is unspeakable. People live crammed together unbearably, and because there are no separate kitchens, they cook meals on kerosene stoves amidst constant arguments.
Soviet Russia intends to completely change this situation so that everyone eats at public cafeterias. This plan arises from the assumption that this will make food cheaper and that, in the future era when men and women work equally in factories or on farms, housewives will not have time for the domestic chore of cooking. In that era, all children will be raised in nurseries, and all meals will be prepared in central kitchens.
Looking at the cafeterias attached to factories in Moscow, one can see that the food is cheap and the quality is good. For just 25 cents, you get a bowl of delicious, thick soup and an even larger serving of a vegetable dish, and you can eat as much bread as you want. However, to get this meal, one must wait in line for a long time holding a knife, fork, and bowl, and is constantly pushed and rushed to eat quickly, making it thoroughly unsatisfactory as a substitute for a meal in a well-off working-class family's home.

Foreigners visiting Russia in 1930 noted that a striking difference between the Russian capital and Western European cities was the long lines in front of shops.<37> However, by autumn, thanks to the wheat harvest, workers with connections did not have to worry so much about food distribution. Nevertheless, food items still constitute the largest portion of the working-class household budget.
The Soviet government once tried to implement prohibition but stopped. As a result, the sale of vodka is currently a major source of state revenue. However, there is also an anti-vodka movement, and zealous Communist Party members continue to promote temperance. Workers often see colorful propaganda posters depicting the anti-alcohol movement. There are excellent pictures of a child with a worried face holding the hand of his father who is holding a glass, saying "Father, please don't drink," and pictures of an ideal worker smashing a liquor bottle with a sledgehammer labeled "Cultural Revolution."

In winter, workers and their families face the practical problem of heating. They do not spend money on clothes. This is partly because the clothes they want are not available in shops, and partly because in Soviet Russia, clothing does not indicate social status. Young women seem slightly more Europeanized, perhaps imitating French women seen in magazines, applying rouge and powder. But their clothes are cheap.
Church worship has disappeared. Churches exist, but the only people who come are gloomy old women. The general worker has no interest in religious ceremonies.
The center of the Bolshevik revolution, from any perspective, is the working class; the essence and center of interest in Soviet life is the factory. Work time is the most earnest and also emotional time. During the lunch break, there are meetings. These are noisy meetings reprimanding someone for carelessly discarding slag or for improperly cleaning machinery.
When the day's work ends, it becomes a school. Some learn the alphabet, while others learn foreign languages or technical skills. There are also separate meetings to study problems such as why raw materials are late arriving at the factory. This kind of life excites the workers' minds and gives them a sense of strength.
The calendar has changed, Saturdays and Sundays have disappeared, and a new five-color calendar with rotating holidays has emerged. Ivan is dissatisfied with this system. Why? Because the whole family cannot take a day off together. The husband is on the blue team, the wife is on the red team, and the eldest daughter is on the purple team. So, on holidays, Ivan feels a bit lonely.

Workers have no fear of unemployment. In Soviet Russia, any man or woman capable of handling machinery is sure to find work. Also, if one becomes unemployed, the unemployment relief fund provides assistance.<38>

**Summary**

This multi-part article from 1931 discusses global issues: the debate in the US about luxury, debt, and the Depression; the perceived inevitability of a US-Japan war and its implications for China; and observations on daily life in Soviet Russia. It reflects contemporary anxieties about economic instability, geopolitical tensions in East Asia, and the realities of the Soviet social experiment, particularly focusing on the lives of ordinary workers. For historians, this piece is interesting as it reveals how Korean intellectuals under Japanese rule were consuming and interpreting international news. It shows awareness of major global economic debates (Hoover vs. Black on the Depression), strategic concerns in East Asia (US-Japan rivalry impacting China and potentially Korea), and fascination mixed with critique regarding the Soviet alternative, all filtered through sources like American magazines and Chinese university publications.

**Named Entities**

미국 네슌誌	미국 네슌지	American Nation Magazine
미국 연방준비은행	미국 연방준비은행	US Federal Reserve Bank
아틀란트區	아틀란트구	Atlanta District
유진, 블랙	유진 블랙	Eugene Black
뉴올리안스	뉴올리안스	New Orleans
아메리카	아메리카	America
후버	후버	Hoover
클리블란드	클리블란드	Cleveland
미국	미국	United States
奉天	봉천	Fengtian / Bongcheon
馮庸大學	풍용대학	Feng Yong University
중국	중국	China
英	영	Britain
米	미	America
日	일	Japan
佛	불	France
露	로	Russia
明治維新	명치유신	Meiji Restoration
東三省	동삼성	Dongsanseong (Three Eastern Provinces / Manchuria)
조선	조선	Korea / Chosŏn
旅順	여순	Lüshun (Port Arthur) / Yeosun
大連	대련	Dalian / Taeryŏn
南滿	남만	South Manchuria / Namman
安奉	안봉	Anfeng / Anbong
本溪湖	본계호	Benxihu / Pongyeho
撫順	무순	Fushun / Musun
태평양	태평양	Pacific Ocean
歐洲	구주	Europe
墺太利	오태리	Austria
호놀룰루	호놀룰루	Honolulu
新露西亞	신로씨아	New Russia
홀리욕대학	홀리욕대학	Holyoke College
마운트	마운트	Mount
소베트露西亞	소베트 로씨아	Soviet Russia
모스코	모스코	Moscow
伯林	백림	Berlin
倫敦	륜돈	London
뉴욕	뉴욕	New York
西歐羅巴	서구라파	Western Europe
볼세빅	볼셰빅	Bolshevik
소베트	소베트	Soviet

**Glossary**

사치	사치	Luxury
불황	불황	Economic depression, recession
연방준비은행	연방준비은행	Federal Reserve Bank
장관	장관	Head, director, governor (of a bank district)
투자은행가	투자은행가	Investment banker
냉장고	냉장고	Refrigerator
빗	빚	Debt (older spelling/form of 빛)
생활 정도	생활 정도	Standard of living
동요	동요	Wavering, shaking, agitation
빈궁	빈궁	Poverty, destitution
검토	검토	Examine, review
減下	감하	Reduction, lowering
월부 판매제도	월부 판매 제도	Installment plan system
실수요	실수요	Actual demand
전당잡히는	전당잡히는	To pawn (verb phrase)
濫設	남설	Excessive establishment, reckless construction
팽창	팽창	Expansion, inflation
상거래	상거래	Commercial transaction
不備	불비	Deficiency, imperfection, inadequacy
군축	군축	Disarmament
사력	사력	Utmost effort
협소	협소	Narrow, small (of area)
조차	조차	Lease (territory), concession
침략	침략	Invasion, aggression
제해권	제해권	Command of the sea, naval supremacy
跋扈	발호	Rampancy, arrogance, domination
배척	배척	Exclude, ostracize, boycott
戰端	전단	Outbreak of war, hostilities
會戰地	회전지	Battleground, battlefield
유린	유린	Trample, violate, overrun
병력	병력	Military strength, troops
소베트	소베트	Soviet
교회당	교회당	Church building
소농	소농	Small farmer, peasant
宣揚	선양	Propagate, proclaim, publicize
曆書	역서	Calendar, almanac
만원전차	만원 전차	Crowded streetcar
瓦斯	와사/가스	Gas (older transliteration, now 가스)
집세	집세	Rent (for housing)
借家人	차가인	Tenant
智能勞動者	지능 노동자	Intellectual worker
석유 난로	석유난로	Kerosene stove
공중 식당	공중 식당	Public cafeteria/canteen
양육원	양육원	Nursery, orphanage
면보	면보	Bread (likely intended, context suggests staple food; older/uncommon term, possibly related to '빵')
소맥	소맥	Wheat
금주법	금주법	Prohibition law
워드카	워드카	Vodka (transliteration)
採暖	채난	Heating
볼세빅	볼셰빅	Bolshevik (transliteration)
精華	정화	Essence, quintessence, flower
晝食	주식	Lunch
遲着	지착	Delay, late arrival
新曆	신력	New calendar
실업 구제기금	실업 구제 기금	Unemployment relief fund


---------------------------


잡지명	동광 제25호
발행일	1931년 09월 04일
기사제목	海外論壇
기사형태	논설

海外論壇
사치한 사람이 누구
미국 네슌誌 사설
사치가 불황의 원인 중의 하나라고 하는 발견이 최근 잇엇다.
미국 연방준비은행 아틀란트區 장관인 유진, 블랙씨는 뉴올리안스에서 투자은행가들에게 이같이 말햇다.
『우리는 자동차와 냉장고와 라디오의 시대에 관습이 되엇다. 우리는 사치의 공기 중에 산다. 이제 우리는 빗을 물어가면서 그냥 그 공기 속에 살 수는 없다. 어리석은 생각을 버리자. 아메리카의 현재의 높은 생활 정도를 버려서는 안된다는 사람의 말을 나는 동의할 수 없다. 우리 목에 무거운 빗의 짐이 걸리어 잇는 이상 영구의 번영을 기대할 수 없는 것이다.』
블랙씨는 특히 누구라고 지목은 아니햇지마는 그 말이 후버 대통령의 클리블란드 연설을 지칭한 것임은 설명할 필요가 없다. 후버 대통령의 연설 중에 이러한 말이 잇다.
『아메리카의 생활정도를 낮추야 된다는 뜻을 발표한 사람이 잇다는 것을 신문지상에서 보앗으나 나는 그 설에 대반대다. 생활정도의 향상이란 것은 금일 미국인의 철학이다. 이 철학이 조곰이라도 동요된다하면 그것은 파급하야 우리의 隣人의 대부분을 빈궁의 개천 속으로 몰아 놓는 결과를 낳을 것이다』.
우리는 먼저 후버의 말을 검토해 보자.
누구나 생활정도의 減下를 좋아할 사람은 없다. 그러나 생산이 불활발하게 되면 임금, 봉급의 저하, 노동시간의 단축, 또는 실업으로 인하야 인민의 수입은 減한다. 그리면 지금까지 수지를 겨우 맞추든 사람들은 부득이 생활을 낮출 수 밖에 없게 된다. 그리하야 신성해야 될 미국인의 생활정도도 저하하게 되는 것이다. 현재 이미 그러케 진행중이다. 아모리 미국인의 철학의 동요가 인민을 빈궁의 개천으로 몰아 넣는다고 입으로 항의를 햇자 그러케 되고 잇는 사실은 부인할래야 할 수 없는 현실이다.
그러면 다시 블랙씨의 所論인 사치의 분위기 속에 생활한 것이 금일 불황의 원인이란 설의 내용은 如何. 블랙씨의 말하는 바 빗살림이 나쁘다는 훈계적 말은 과연 사치급에게는 좋은 교훈이다. 동씨의 언론에는 아직 부족한 점이 잇다. 사실 1929년까지 계속된 저 굉장한 호경기 시대에는 사람들은 그 월수입으로는 도저히 사 드리지 못할 고가의 물품 즉 자동차, 냉장고, 라디오 등을 신용으로 자꾸 사 들인 것이다.
이 시대에는 소위 월부 판매제도가 전성하야 개인의 신용을 더욱 확장하야 그 금액은 수십억 불에 달하고 사람들은 다 그 신용에서 생활햇다. 그 현저한 예로는 자동차를 들 수가 잇으니 제조업자들은 實需用 이상의 차 수를 제조해서 그것을 팔고저 햇다.
그래서 일반 인민에게 그것을 팔기 위해서는 민중에게 그 장래의 수입을 전당잡히는 법을 가르켯다. 민중은 그 術中에 빠지엇다. 이 판매정책이 성공햇다는 것을 본 제조업자는 공장을 濫設하야 그 製造高가 전 미국의 실수요보다 초과되기 4분지 3이나 되게 되엇다. 누가 이러케 신용의 팽창을 가저오게 햇나. 은행가와 실업가다.＜35＞
이 위험천만인 신용의 과도한 팽창은 그 원인은 사치에 잇는 것도 아니요 또 신용 濫設 때문에 인위적으로 騰貴한 생활정도 그 물건에 잇는 것도 아니다.
그 원인은 어데 잇느냐 하면 그 현상의 배후에 잇는 상거래와 신용제도의 不備, 다시 말하자면 일반을 사치화하지 아니하고는 이익이 생기지 안는 불완전한 상거래 及 신용제도의 존재에 잇은 것이다.
설사 금일의 곤궁의 원인이 사치에 잇다고 하드라도 인제와서 일반에게 사치를 그만두라고 권하는 것은 무의미하다. 웨 그러냐하면 금일 사치한 생활을 할 수 잇는 사람은 아마 블랙씨의 友人인 은행가와 및 실업가뿐일 것임이다.
그러나 그는 이 연설을 그 은행가, 실업가에게 대해서 한 것이 아니고 사실은 속옷장자의 무리와 칼라직공의 가족같은 群을 향해서 한 것이다. 그러하면 이런 종류의 인민은 이미 街頭에 방황은 아니할망정 침대 없는 마루바닥에서 잠을 자야 되리만큼 궁해젓으니까 사치하지 말라는 설교가 조곰도 필요가 없는 것이다. 오늘날 우리가 생각해야될 것은 은행가거나 실업가거나 노동자거나 농부거나를 물론하고 어떠케하면 새로운 합리적 신용조직과 상거래 통제방법을 실현할까 하는 문제다.＜36＞

日米戰爭과 중국
奉天 馮庸大學 월간에서
이것은 아마 일 학생의 논문인 듯하야 유치한 점이 잇으나 중국인의 감정을 연구하는데 일참고가 될 듯 하다.

1921년 태평양회의 이래, 열강은 세계 영구 평화를 위함이라고 군축조약을 체결햇으나 열강의 금일의 상태를 보건대 군비축소는 커녕 도리어 그 확장을 圖하고 잇다. 금일 세계의 열강은 英米日佛露의 5개국이나 그 중에 우리 중국과 가장 밀접한 관계를 가진 국가는 日米 양국이다.
일본은 明治維新 후에 국력의 발전과 군비의 충실에 사력을 다해 왓다. 국토는 협소하고 물산은 부족한데 인구 증식은 극대한 고로 식량공급을 위해서 영토의 확장을 꾀하지 않을 수 없다. 일본서 가장 가까운 대륙은 우리 東三省이다. 일본은 먼저 조선을 먹고 다음에 旅順大連을 조차하고 南滿, 安奉 등의 諸鐵路를 이용해서 東北의 富源을 개척햇다. 本溪湖의 철광, 撫順의 석탄 등은 그 질과 양이 세계에서 有數하다. 이리하야 일본은 東三省의 침략을 이미 달성햇으나 그것으로 만족하지 안는다. 일본은 다시 그 制海權을 태평양 東岸까지 확장하야 식민사업의 발달을 기한다.
미국은 19세기 이래로 富力과 병력이 두각을 漸顯하여 歐洲大戰에 참가해서 최후의 승리를 博하야 국력이 증가햇다. 미국은 자국 내에서 타민족이 跋扈하는 것을 좋아 아니함으로 일본 이민을 배척하나 그 뿐 아니라 일본 해군의 태평양 제패는 일층 미국이 不樂하는 일이므로 장래에 그 충돌은 不可免이다. 그러므로 지난번 군축회의에서 미국은 일본에게 대하야 가혹한 요구를 햇음으로 日米間 감정은 악화햇다.
