Magazine Title: 대동아 (大東亞)
Publication Date: 1942년 07월 01일
Article Title: 小磯新總督의 重大聲明, 半島民衆의 皇民鍊成을 高調 (New Governor-General Koiso's Important Statement, Emphasizing the Imperial Subject Training of the Peninsula Populace)
Article Type: 논설 (Editorial/Statement)

The fundamental basis of Korean governance, as clearly shown in the Imperial Rescript, is fixed and unchanging, and will not be altered in the slightest by the change of Governor-General. Therefore, to put it simply, I shall follow the policies established by my predecessor, Governor-General Minami. My role is to refine and fulfill the substance of the policies drafted and clarified by former Governor-General Minami. However, regarding the pace of <14> implementation, it will naturally be decided in adaptation to the trends of the times and the progress of the people's level, so of course, there will be corresponding differences at each juncture. In particular, administration must never be detached from reality. It goes without saying that armchair plans not suited to the actual situation must be excluded. From this standpoint, in striving for the further permeation of Imperial Benevolence, I hope that the populace itself, the target of this benevolence, will endeavor in the spiritual path progression of Imperial Subjects (皇國臣民 道精進) overflowing from within themselves. That is, embodying the Imperial Rescript of Impartial Benevolence (一視同仁), I intend to exert myself to raise the level of the Korean compatriots' qualities and abilities, and accordingly, gradually move towards a state of substantial non-discrimination. In response to this, I hope the Korean compatriots themselves will thoroughly penetrate the true meaning of the Imperial National Polity (皇國國體), delve into the mindset of true Imperial Subjects, and practice self-respect, cultivation, and training. As the cultivation of the mainland Japanese (내지인) in this regard cannot be said to be entirely sufficient either, I hope they too will take another step forward from the highest point. Thus, I am convinced that when these efforts from both sides align perfectly, like a box and lid fitting together (函蓋一致), the Peninsula will vigorously advance on the path of development and progress.

The National Spiritual Mobilization Movement (국민총력운동), which is the organization for practicing the Way of the Subject (臣道), also needs to have spirit instilled into it, to be developed and made thorough. Furthermore, I am convinced that the purport of the epoch-making decision to implement the conscription system in terms of governance thought will only come alive when the true meaning of the National Polity (國體) is thoroughly understood, and the true intentions of the various administrative policies left as gifts by successive Governors-General will also be understood and appreciated.

In my view, although the Imperial Rescript on Education clearly states, "Our Imperial Ancestors (皇祖皇宗) founded Our Empire on a basis broad and everlasting and have deeply and firmly implanted virtue," most people do not go beyond examining the 2,600-year history and modern Korean history, neglecting the documents and facts of the ancient founding era (肇國), namely the time of Amaterasu Ōmikami (天照大神) and Susanoo-no-Mikoto (素盞嗚尊), and I believe a great defect is concealed therein.

<15> There are not a few people who do not even know that the base of Susanoo-no-Mikoto's (素盞嗚尊御活躍) activities was the Korean Peninsula. To try to grasp the true meaning of the National Polity (國體) in such a state is, I believe, unavoidable of the criticism of seeking fish from a tree (綠木求魚). The construction of Greater East Asia is based on the Japanese Imperial Way (皇道), bestowing the highest human morality upon the peoples of Greater East Asia. It is clear that those who bestow this cannot become leading peoples without morality themselves. It goes without saying that the moral training of the entire Japanese nation is absolutely essential here, and I wish to particularly emphasize this point in Korea and request deep reflection from officials and people.

Henceforth, concerning those who are idly caught up in the Western-imported materialist view of history, pursue self-interest (私利), harm the unity of the hundreds of millions (億兆一心), ignore the true meaning of the Imperial National Polity (皇國國體), and commit insubordinate acts (不逞) that contravene the sacred task of constructing Greater East Asia, I cannot but punish them resolutely, regardless of whether they are Japanese or Korean officials or civilians.

Korea today cannot remain withdrawn in an old shell (舊殼) like a turban shell (蠑螺). Recognizing that it is positioned on the main line (幹線) of the national policy for the construction of Greater East Asia, it is a time when officials and people together must invigorate their spirit (氣字), fully develop both material and spiritual aspects (物心兩面), respond to the surrounding circumstances, and strive forward towards the national mission. This must be firmly kept in mind (牢記), and with the strength deeply cultivated within, preparations must be made to leap forth into the realm of Greater East Asia.

I am one who has already dedicated myself to governance, stands at the forefront of hardships, listens to all loyal advice, corrects my shortcomings, and intends to serve alongside you gentlemen in achieving the objectives of the Holy War (聖戰) and the material and spiritual development of this region. I earnestly hope that all officials and civilians of Korea (全鮮 官民諸君) will understand my intentions and cooperate with unified purpose. <16>

**Summary**

This statement by the newly appointed Governor-General Koiso Kuniaki outlines his administrative policy for Korea in 1942. He emphasizes continuity with his predecessor Minami's policies but stresses the intensification of "Imperial Subject Training" (皇民鍊成) for Koreans. This involves not just assimilation efforts but a deeper ideological grounding in the Japanese "National Polity" (國體), explicitly linking it to ancient Japanese mythology, including the claim that the god Susanoo was active on the Korean peninsula. Koiso calls for moral cultivation from both Japanese and Koreans, warns sternly against dissent (associated with Western materialism and self-interest) detrimental to the Greater East Asia project, and urges Korea to actively participate in this sphere and the "Holy War," preparing to "leap forth" after internal strengthening.

For historians, this document is significant as it explicitly details the late-stage colonial ideology aimed at total assimilation (皇民化), directly tying it to mythical narratives (Susanoo in Korea) to legitimize Japanese rule and Korea's role within the Empire. The emphasis on the National Polity (國體), the impending conscription, the framing of the war effort as a "Holy War," and the harsh warnings against dissent provide clear insights into the heightened wartime mobilization and ideological control exerted by Japan in Korea during this period. Koiso's specific invocation of Susanoo represents a unique, albeit historically unfounded, attempt to weave Korea into Japan's foundational myths.

**Named Entities**

小磯	고이소	Koiso
南	미나미	Minami
朝鮮	조선	Chosŏn
半島	반도	Pando (Peninsula)
皇國	황국	Hwangguk (Imperial Nation)
內地人	내지인	Naejiin (Mainlanders/Japanese)
天照大神	천조대신	Amaterasu Ōmikami
素盞嗚尊	소잔오존	Susanoo-no-Mikoto
大東亞	대동아	Tae Tonga (Greater East Asia)
日本	일본	Ilbon (Japan)
西洋	서양	Sŏyang (The West)
全鮮	전선	Chŏnsŏn (All of Korea)

**Glossary**

總督	총독	Governor-General
重大聲明	중대성명	Important Statement
半島民衆	반도민중	Peninsula Populace (Koreans)
皇民鍊成	황민연성	Imperial Subject Training/Forging
聖詔	성조	Imperial Rescript/Edict
更迭	경질	Change/Replacement (of personnel)
말미아마	말미암아	Due to / As a result of (Older spelling)
추호라도	추호라도	Even slightly / In the least
一言而蔽之	일언이폐지	To cover with one word / In a nutshell
答襲	답습	Follow / Tread in the footsteps of
施爲	시위	Implementation / Execution
시세	시세	Trend of the times / Current situation
民度	민도	Level of the people / Standard of public morals and education
卽應치 않은	즉응하지 않은	Not immediately responding to / Not suited to (Older grammar form)
机上計劃	책상 계획	Desk plan / Armchair plan
皇澤	황택	Imperial Benevolence/Grace
滲透	침투	Permeation / Infiltration
皇國臣民	황국신민	Subject of the Imperial Nation
道精進	도정진	Spiritual path progression / Devotion to the Way
一視同仁	일시동인	Impartiality / Viewing all with equal benevolence
奉體	봉체	Embody / Uphold respectfully
逐次	축차	Gradually / Sequentially
無差別	무차별	Non-discrimination / Equality
國體	국체	National Polity / Essence of the Nation (Japan's unique Emperor-centric system)
徹하야	철하여	Penetrate / Understand thoroughly (Older spelling/form)
파나려 가서	파내려 가서	Dig down into (Older spelling)
自重修養鍊磨	자중수양연마	Self-respect, cultivation, and training
內地人	내지인	Mainlander / Person from Japan proper
百尺竿頭	백척간두	Atop a 100-foot pole (idiom: need further progress even at a high point)
函蓋一致	함개일치	Box and lid fitting perfectly (idiom: perfect match/agreement)
躍進	약진	Rapid advance / Leap forward
臣道	신도	Way of the Subject
國民總力運動	국민총력운동	National Spiritual Mobilization Movement
너어서	넣어서	Putting in / Instilling (Older spelling)
徵兵制度	징병제도	Conscription System
歴代	역대	Successive generations
시정방침	시정방침	Administrative policy
眞義	진의	True meaning / Real intention
諒解	양해	Understanding / Appreciation
敎育勅語	교육칙어	Imperial Rescript on Education
皇祖皇宗	황조황종	Imperial Ancestors
肇國	조국	Founding of the nation
悠久	유구	Eternity / Immense length of time
閑却	한각	Neglect / Disregard
잇는데	있는데	There is / In the fact that (Older spelling)
御活躍	어활약	(Honorable) activities (Imperial/Divine context)
綠木求魚	연목구어	Seeking fish from a tree (idiom: futile effort; text uses 綠 'green' for standard 緣 'connection')
體得	체득	Learn through experience / Embody
唯物史觀	유물사관	Materialist view of history
捕捉되여	포착되어	Be captured by / Caught up in (Older spelling/form)
私利	사리	Private/Self-interest
逐求	추구	Pursue / Seek
億兆一心	억조일심	Hundreds of millions with one heart / National unity
悖反	패반	Go against / Contravene
不逞	불령	Disloyal / Lawless / Insubordinate
內鮮官民	내선관민	Japanese (内地人) and Korean (朝鮮人) officials and people
斷乎히	단호히	Resolutely / Firmly
應懲	응징	Punish / Retaliate
蠑螺	소라	Turban shell (sea snail)
舊殼	구각	Old shell
國策	국책	National policy
幹線	간선	Main line / Trunk line
自認	자인	Self-awareness / Recognition
官民	관민	Officials and people
氣字	기상/기개	Spirit / Mettle / Character (Possibly older or specific usage)
活達히	활달히	Lively / Vigorously
物心兩面	물심양면	Material and spiritual aspects
應酬	응수	Respond / Meet (a challenge/demand)
邁進	매진	Strive forward / Press onward
牢記	명심	Keep firmly in mind / Engrave on one's memory
비약	비약	Leap / Jump
奉公	봉공	Public service / Service (to the Emperor/State)
全鮮	전선	All of Korea
諸君	제군	Gentlemen / Everyone
諒知	양지	Understand / Appreciate


---------------------------


잡지명	대동아 제14권 제5호
발행일	1942년 07월 01일
기사제목	小磯新總督의 重大聲明, 半島民衆의 皇民鍊成을 高調
기사형태	논설

小磯新總督의 重大聲明, 半島民衆의 皇民鍊成을 高調
