Magazine Title: 大東亞 第14권 제5호
Publication Date: 1942년 07월 01일
Article Title: 文壇 (Literary World)
Author: Not specified
Article Type: 소식 (News)

Literary World

The Passing of Mr. Yi Hyosŏk
Mr. Yi Hyosŏk, the writer who wielded his talented pen through long and short stories such as 'When the Buckwheat Flowers Bloom,' 'Pollen,' and 'Pig,' sadly passed away on May 25th at the age of 36 after suffering from an illness for about 20 days. The entire literary world cannot cease its sorrow and condolences.

The Return of Mr. Yi Ŭnsang
Nosan Yi Ŭnsang, known for his elegant and beautiful poetry and prose, had hidden his traces from the literary scene for various reasons, reaching ten years of contemplation, but recently published a collection of poetry and prose, the 'Nosan Collection (鷺山文集)'.

Recent Publications
P'albong Kim Kijin is said to be publishing a new work titled 'Random Thoughts (隨想錄),' a collection of criticism, essays, and poetry, soon from a certain bookstore.
Wŏlt'an Pak Chonghwa published the essay collection 'Blue Moss Collection (靑苔集)' in late April and subsequently published the new novel 'The Eve (前夜)' recently.
Mr. Pak Kyeju is currently back in his hometown of Sŏnch'ŏn, North P'yŏngan Province (平北 宣川), to write the sequel to his full-length novel 'Record of Martyred Love (殉愛譜).'
It is said that Inmunsa (人文社) is preparing to publish collections of vernacular creative works several times a year.
P'ain Kim Tonghwan's poetry collection 'Rugosa Rose (海棠花)' was published in early May.

Writers' Recent Activities
Messrs. Chang Hyŏkchu, Yu Ch'ijin, and Chŏng Int'aek departed Kyŏngsŏng (京城) the other day as special dispatches of the Development Section (拓務課) for a cultural inspection tour concerning Manchurian (滿洲) settlers, returning in mid-June.
The novelist Ms. Ch'oe Chŏnghŭi has been working at the Kyŏngsŏng Broadcasting Station since early May.

Recommended Book Committee Members
In Tokyo (東京), the names of the Recommended Book Committee members for the literature, art, and film sections of the Japan Publishing Culture Association (日本出判文化協會), which is playing a great role in the advancement of publishing culture under the new system, are as follows:

Section 6 (Literature)
Imperial Rule Assistance Association (大政翼贊會) Cultural Director Kishida Kunio
Editor's Association President Saitō Ryūtarō
Writer Yoshikawa Eiji
Writer Osaragi Jirō
Tokyo Imperial University Honorary Professor, Doctor of Letters (文博) Anesaki Masaharu
First Higher School Professor Katayama Toshihiko
Tokyo Imperial University Professor, Doctor of Letters (文博) Tatsuno Yutaka
Doctor of Medicine (醫學博士) Saitō Mokichi
Tokyo Imperial University Professor, Doctor of Letters (文博) Hisamatsu Sen'ichi
Doctor of Medicine (醫學博士) Ōta Masao
Hosei University Professor Tanikawa Tetsuzō
Poet Toki Zenmaro

Section 8 (Art, Theater, Film)
Hosei University Professor Tanikawa Tetsuzō
Imperial Rule Assistance Association Cultural Department (大政翼贊會文化部) Deputy Director Kamiizumi Hidenobu
Tokyo Imperial University Professor, Doctor of Engineering (工博) Fujishima Gaijirō
Tokyo School of Fine Arts Assistant Professor Ihara Usaburō <68>

**Summary**

This article provides news from the Korean literary world in mid-1942. It reports the death of Yi Hyosŏk, the publication comeback of Yi Ŭnsang, new works by Kim Kijin, Pak Chonghwa, Pak Kyeju, and Kim Tonghwan, and the activities of other writers, including a government-sponsored trip to Manchuria and Ch'oe Chŏnghŭi joining the Kyŏngsŏng Broadcasting Station. It concludes by listing prominent Japanese cultural figures serving on the Japan Publishing Culture Association's Recommended Book Committee, overseeing literature, art, and film under the wartime "new system."
For historians, the article offers insights into the state of Korean literature during a peak period of Japanese colonial control and wartime mobilization. The mention of writers participating in activities sponsored by colonial entities (the Manchuria trip by the 拓務課, Ch'oe Chŏnghŭi at the broadcasting station) illustrates the complex interactions between Korean cultural figures and the colonial regime. The list of Japanese committee members highlights the mechanisms of cultural control Japan implemented to guide publishing and arts according to its national policies.

**Named Entities**

李孝石	이효석	Yi Hyosŏk
모밀꽃 필 무럽	메밀꽃 필 무렵	When the Buckwheat Flowers Bloom
花粉	화분	Pollen
豚	돈	Pig
李殷相	이은상	Yi Ŭnsang
鷺山	노산	Nosan
鷺山文集	노산문집	Nosan Collection
八峰	팔봉	P'albong
金基鎭	김기진	Kim Kijin
隨想錄	수상록	Random Thoughts
月灘	월탄	Wŏlt'an
朴鍾和	박종화	Pak Chonghwa
靑苔集	청태집	Blue Moss Collection
前夜	전야	The Eve
朴啓周	박계주	Pak Kyeju
殉愛譜	순애보	Record of Martyred Love
平北 宣川	평북 선천	Sŏnch'ŏn, North P'yŏngan Province
人文社	인문사	Inmunsa
파인	파인	P'ain
金東煥	김동환	Kim Tonghwan
海棠花	해당화	Rugosa Rose
張赫宙	장혁주	Chang Hyŏkchu
柳致眞	유치진	Yu Ch'ijin
鄭人澤	정인택	Chŏng Int'aek
滿洲	만주	Manchuria
拓務課	척무과	Development Section (Takumuka)
京城	경성	Kyŏngsŏng
崔貞熙	최정희	Ch'oe Chŏnghŭi
京城 방송국	경성 방송국	Kyŏngsŏng Broadcasting Station
東京	도쿄	Tokyo
日本出判文化協會	일본출판문화협회	Japan Publishing Culture Association
岸田國士	키시다 쿠니오	Kishida Kunio
大政翼贊會	대정익찬회	Imperial Rule Assistance Association
齋藤龍太郞	사이토 류타로	Saitō Ryūtarō
編輯者協會長	편집자협회장	Editor's Association President
吉川英治	요시카와 에이지	Yoshikawa Eiji
大佛次郞	오사라기 지로	Osaragi Jirō
東大	동대	Tokyo Imperial University
姉崎正治	아네사키 마사하루	Anesaki Masaharu
一高	일고	First Higher School (Tokyo)
片山敏彦	카타야마 토시히코	Katayama Toshihiko
辰野隆	타츠노 유타카	Tatsuno Yutaka
齋藤茂吉	사이토 모키치	Saitō Mokichi
久松潛一	히사마츠 센이치	Hisamatsu Sen'ichi
太田正雄	오오타 마사오	Ōta Masao
法大	법대	Hosei University
谷川徹三	타니카와 테츠조	Tanikawa Tetsuzō
土岐善麿	토키 젠마로	Toki Zenmaro
上泉秀信	카미이즈미 히데노부	Kamiizumi Hidenobu
藤島亥治郞	후지시마 가이지로	Fujishima Gaijirō
東京美校	도쿄미교	Tokyo School of Fine Arts
伊原宇三郞	이하라 우사부로	Ihara Usaburō

**Glossary**

文壇	문단	Literary world, literary circles
長逝	장서	Passing away, death (honorific)
무럽	무렵	Around the time when (Older spelling of 무렵)
才筆	재필	Talented writing, literary talent
날니든	날리던	Wielded, flourished, made famous (Older spelling/form of 날리던)
병환	병환	Sickness, illness (polite term)
신음타가	신음하다가	While groaning (in pain/illness)
일기	일기	As a period of one's life (used with age at death)
별세	별세	Passing away, death (honorific)
애석	애석	Sorrow, sadness, regret
추도	추도	Condolence, mourning
마지 않는다	마지 않는다	Cannot stop, cannot cease
複活	부활	Revival, comeback, return
流雅	유아	Flowing elegance, gracefulness
艶麗	염려	Gorgeous, beautiful, glamorous
알니우든	알려지던	Known as, who was known (Older spelling/form of 알려지던)
그간	그간	Meanwhile, during that time
外表	외표	Outside, exterior, surface
자최	자취	Trace, mark, vestige (Older spelling of 자취)
감처	감추어	Hiding, concealing (Older form of 감추어)
사색	사색	Contemplation, meditation, thought
미첬더러니	미쳤더니	Had reached, had amounted to (Older spelling/form of 미쳤더니)
詩文集	시문집	Collection of poetry and prose
발간	발간	Publication, issue
近刊	근간	Recent publication
諸書	제서	Various books
평론	평론	Criticism, critique, review
수필	수필	Essay
新著	신저	New work, new publication
書肆	서사	Bookstore (Archaic term)
하리라한다	하리라 한다	It is said that (someone) will do
간행	간행	Publication, issue
근일	근일	Recently, these days
신간	신간	New publication
장편	장편	Full-length novel/story
