Magazine Title: 大東亞 제14권 제5호
Publication Date: 1942년 07월 01일
Article Title: 映畵 (Movies)
Author: None listed
Article Type: 소식 (News/Short report)

Movies

What Japanese names (*ch'angssi*) have various actresses like Mun Yebong and Kim Sinjae adopted, and what Japanese names have male actors like Sim Yŏng and Kim Ilhae adopted? Furthermore, the Japanese names (*ch'angssi*) of all the directors, cameramen, etc., are recorded as follows:

Female Actresses
Im Chŏngwŏn (林丁元) (Mun Yebong 文藝峰)
Kim Hyedŭk (金惠得) (Kim Soyŏng 金素英)
Sŏng Sinjae (星信哉) (Kim Sinjae 金信哉)
Puch'ŏn Mari (富川馬利) (Pok Hyesuk 卜惠淑)
Ch'ŏngsan Ŭnjin (淸山銀珍) (Han Ŭnjin 韓銀珍)
Majang Pogun (馬場福云) (Kang Chŏngae 姜貞愛)
Chibon Kyŏngsun (池本京順) (Chi Kyŏngsun 池京順)
No Kapsun (盧甲順) (No Chaesin 盧載信)
Kŭmjŏng Yŏngsun (金井永順) (Kim Yŏngsun 金永順)
Changjŏn Sejŏng (張田世貞) (Chang Sejŏng 張世貞)
Kobayasi Oksun (小林玉順) (Yi Nanyŏng 李蘭影)
Matsubara Reiko (松原禮子) (Chŏn Ok 全玉)
Kŭmjŏng Silch'iyo (金井實千代) (Kim Yŏnsil 金蓮實)

Male Actors
Sŏngch'on Yang (星村洋) (Kim Han 金漢)
Hyangsan Changch'un (香山長春) (Yi Kŭmnyong 李錦龍)
Kim Yongjŏngsŏk (金用正錫) (Kim Ilhae 金一海)
Kwangsŏng Kŏn (光成健) (Tok Ŭn'gi 獨銀麒)
Songsan Chŏngung (松山正雄) (Yi Wŏnyong 李源容)
Kobong Sŭng (高峰昇) (Ch'oe Unbong 崔雲峰)
Kungjŏn T'aejang (宮田泰彰) (Chŏn T'aegi 田澤二)
Arai Pumio (新井文雄) (Pak Ch'angwŏn 朴昌遠)
Arai Saehaeng (新井齊行) (Pak Chehaeng 朴齊行)
Pokch'ŏn Wŏn (福川元) (Cho T'aegwŏn 趙澤元)
Ch'ŏngmok Simyŏng (靑木沈影) (Sim Yŏng 沈影)
Nasan Chunbu (羅山俊夫) (Na Ung 羅雄)
Anch'ŏn Munch'i (安川文治) (Chu In'gyu 朱仁奎)
Pakch'on Chungbaek (朴村重伯) (Pak Ch'anghyŏk 朴昌爀)
Ihara Tongnyong (伊原東龍) (Son Ilp'yŏng 孫一平)
P'ungwŏn Kyŏnggi (豊原敬基) (Nam Hongil 南弘一)
Kŭmwŏn Yongjun (金原龍俊) (Yu Hyŏn 柳玄)
Okamoto Pup'yŏng (岡本富平) (Ch'oe Namyong 崔南鏞)
Samgye Ch'ŏng (三溪淸) (Chin Hun 秦勳)
Kobayasi Kusao (小林久男) (Kim Haesong 金海松)

Directors
Yasuda Tatsuo (安田辰雄) (An Chonghwa 安鍾和)
Yasuda Sakae (安田榮) (An Sŏgyŏng 安夕影)
Iwamoto Keikan (岩本圭煥) (Yi Kyuhwan 李圭煥)
Hoshi Inkyu (星寅奎) (Ch'oe In'gyu 崔寅奎)
Tatsusŏng Kwangje (達成光霽) (Sŏ Kwangje 徐光霽)
Tokuyama Kō (德山高) (Hong Kaemyŏng 洪開明)
Izumi Shōkon (泉昌根) (Chŏn Ch'ang'gŭn 全昌根)
Hoshino Masashi (星野正史) (Yi Ik 李翼)
Im Sŭngbok (林勝福) (Im Sŏn'gyu 林仙圭)
Matsumura Eisetsu (松村永涉) (Chu Yŏngsŏp 朱永涉)

Cinematographers
Seto Mei (瀨戶明) (Yi Myŏngu 李明雨)
Mihara Seio (三原世雄) (Yang Se'ung 梁世雄)
Kyŏngson Pakhaeng (慶孫博行) (Son Yongjin 孫勇進)
Yi Sin (李信) (Yi Sinung 李信雄)
Seto Takeo (瀨戶武雄) (Yi P'iru 李弼雨)
Sinbon Ilho (新本一浩) (Pak P'ilho 朴弼浩)<69>

**Summary**

This short news piece from the July 1942 issue of *Taitōa* (大東亞 - Greater East Asia) magazine lists prominent Korean film figures—actresses, actors, directors, and cinematographers—along with the Japanese names they adopted under the *sōshi-kaimei* (창씨개명 - *ch'angssigaemyŏng*) policy enforced by the Japanese colonial government. The article simply presents these names without commentary. For historians, this list is a stark record of the cultural assimilation policies during the late colonial period in Korea, documenting the specific Japanese names adopted by well-known personalities in the Korean film industry. It provides concrete evidence of the reach and impact of the *sōshi-kaimei* policy on individuals in the public eye.

**Named Entities**

文藝峰	문예봉	Mun Yebong
金信哉	김신재	Kim Sinjae
沈影	심영	Sim Yŏng
金一海	김일해	Kim Ilhae
林丁元	임정원	Im Chŏngwŏn
金素英	김소영	Kim Soyŏng
金惠得	김혜득	Kim Hyedŭk
星信哉	성신재	Sŏng Sinjae
卜惠淑	복혜숙	Pok Hyesuk
富川馬利	부천마리	Puch'ŏn Mari
韓銀珍	한은진	Han Ŭnjin
淸山銀珍	청산은진	Ch'ŏngsan Ŭnjin
姜貞愛	강정애	Kang Chŏngae
馬場福云	마장복운	Majang Pogun
池京順	지경순	Chi Kyŏngsun
池本京順	지본경순	Chibon Kyŏngsun
盧載信	노재신	No Chaesin
盧甲順	노갑순	No Kapsun
金永順	김영순	Kim Yŏngsun
金井永順	금정영순	Kŭmjŏng Yŏngsun
張世貞	장세정	Chang Sejŏng
張田世貞	장전세정	Changjŏn Sejŏng
李蘭影	이난영	Yi Nanyŏng
小林玉順	소림옥순	Sobayashi Oksun (Kobayasi Oksun)
全玉	전옥	Chŏn Ok
松原禮子	송원예자	Songwŏn Yeja (Matsubara Reiko)
金蓮實	김련실	Kim Yŏnsil
金井實千代	금정실천대	Kŭmjŏng Silch'ŏndae (Kanai Michiyo)
金漢	김한	Kim Han
星村洋	성촌양	Sŏngch'on Yang
李錦龍	이금룡	Yi Kŭmnyong
香山長春	향산장춘	Hyangsan Changch'un
金用正錫	김용정석	Kim Yongjŏngsŏk
獨銀麒	독은기	Tok Ŭn'gi
光成健	광성건	Kwangsŏng Kŏn
李源容	이원용	Yi Wŏnyong
松山正雄	송산정웅	Songsan Chŏngung
崔雲峰	최운봉	Ch'oe Unbong
高峰昇	고봉승	Kobong Sŭng
田澤二	전택이	Chŏn T'aegi
宮田泰彰	궁전태창	Kungjŏn T'aechang
朴昌遠	박창원	Pak Ch'angwŏn
新井文雄	신정문웅	Sinjŏng Munung (Arai Fumio)
朴齊行	박제행	Pak Chehaeng
新井齊行	신정제행	Sinjŏng Chehaeng (Arai Saikō/Nariyuki)
趙澤元	조택원	Cho T'aegwŏn
福川元	복천원	Pokch'ŏn Wŏn
靑木沈影	청목심영	Ch'ŏngmok Simyŏng
羅雄	나웅	Na Ung
羅山俊夫	나산준부	Nasan Chunbu (Toshibu)
朱仁奎	주인규	Chu In'gyu
安川文治	안천문치	Anch'ŏn Munch'i (Yasugawa Bunji)
朴昌爀	박창혁	Pak Ch'anghyŏk
朴村重伯	박촌중백	Pakch'on Chungbaek
孫一平	손일평	Son Ilp'yŏng
伊原東龍	이원동룡	Iwŏn Tongnyong (Ihara Tōryū)
南弘一	남홍일	Nam Hongil
豊原敬基	풍원경기	P'ungwŏn Kyŏnggi (Toyohara Keiki)
柳玄	유현	Yu Hyŏn
金原龍俊	금원룡준	Kŭmwŏn Yongjun (Kinbara Ryūshun)
崔南鏞	최남용	Ch'oe Namyong
岡本富平	강본부평	Kangbon Pup'yŏng (Okamoto Tomihei)
秦勳	진훈	Chin Hun
三溪淸	삼계청	Samgye Ch'ŏng
金海松	김해송	Kim Haesong
小林久男	소림구남	Sobayashi Kunam (Kobayashi Hisao)
安鍾和	안종화	An Chonghwa
安田辰雄	안전진웅	Anjŏn Chinung (Yasuda Tatsuo)
安夕影	안석영	An Sŏgyŏng
安田榮	안전영	Anjŏn Yŏng (Yasuda Sakae)
李圭煥	이규환	Yi Kyuhwan
岩本圭煥	암본규환	Ambon Kyuhwan (Iwamoto Keikan)
崔寅奎	최인규	Ch'oe In'gyu
星寅奎	성인규	Sŏng In'gyu (Hoshi Inkyu)
徐光霽	서광제	Sŏ Kwangje
達成光霽	달성광제	Talsŏng Kwangje
洪開明	홍개명	Hong Kaemyŏng
德山高	덕산고	Tŏksan Ko (Tokuyama Kō)
全昌根	전창근	Chŏn Ch'ang'gŭn
泉昌根	천창근	Ch'ŏn Ch'ang'gŭn (Izumi Shōkon)
李翼	이익	Yi Ik
星野正史	성야정사	Sŏngya Chŏngsa (Hoshino Masashi)
林仙圭	임선규	Im Sŏn'gyu
林勝福	임승복	Im Sŭngbok
朱永涉	주영섭	Chu Yŏngsŏp
松村永涉	송촌영섭	Songch'on Yŏngsŏp (Matsumura Eisetsu)
李明雨	이명우	Yi Myŏngu
瀨戶明	뢰호명	Noeho Myŏng (Seto Mei/Akira)
梁世雄	양세웅	Yang Se'ung
三原世雄	삼원세웅	Samwŏn Se'ung (Mihara Seio/Kazuo)
孫勇進	손용진	Son Yongjin
