Magazine Title: 삼천리 제4권 제7호
Publication Date: 1932년 06월 15일
Article Title: 吉林監獄 脫出記 (Account of Escape from Jilin Prison)
Author: 辛日鎔
Article Type: 회고·수기 (Memoir/Personal Account)

Escape from Jilin Prison
						By Sin Ir-yong

1. Due to the Dunhua Incident

I was arrested by Chinese authorities in Dunhua, North Manchuria, on June 1, 1929. The reason was that I was identified as the ringleader of the Dunhua Railway Bombing Incident.
People may still remember. On May 31st of that year, Li Lisan, the leader of the Chinese Communist Party, issued directives for terrorist actions across the country. As a result, various startling bombing movements occurred in Kando, North Manchuria, and other regions. Furthermore, in Dunhua, where I was at the time, sabotage involving the railway lines and railway demolition suddenly occurred.
This was purely Li Lisan's policy, and I could only evaluate it as a kind of unreasonable, coercive act. Why? Because the timing was such that it had by no means reached a stage requiring such actions, but Li Lisan's course, which misjudged the objective situation, committed a grave error, as later criticized by the Comintern. In any case, due to this, I ended up bound by the ropes of the Chinese authorities and confined within prison walls. However, due to the fact that I was not involved in the incident and through the arrangements of comrades outside, I was released not long after.
At that time, rather than staying long in Dunhua, I felt the need to go into Jilin City. One day in August, I believe, I packed a simple travel bag and set off for Jilin. On the way, I was arrested by Chinese authorities for the second time, without any inquiry into the circumstances, and immediately incarcerated in Jilin Prison.
Upon arrival, I found about 240 Korean political prisoners detained, along with many young Chinese intellectuals such as elementary school teachers and leaders of various associations. Additionally, there were numerous prisoners convicted of shameless crimes like gambling, murder, and robbery.

2. To the Courtroom

Two days after being confined in prison, I was dragged to the courtroom and subjected to interrogation. The gist of the questioning seemed to view me as the ringleader no matter what.
At that time, considering everything, I stated bluntly from the outset:
"I have committed no crime such as you suspect. Your actions of illegally arresting and imprisoning someone like me, who has committed no criminal act, are truly deplorable for the sake of the Chinese nation. Therefore, I declare that I will refuse all answers and also reject this trial." Thus, I clearly announced my stance of refusing the hearing. Then, I theoretically explained that I was not involved in this Dunhua Incident, starting from the critique of Li Lisan's course. I also explained the reality of the escalating animosity and confrontation among Koreans in places like Jilin, suggesting repeatedly that there might have been actions by those seeking to slander me. After that, I remained completely silent in response to various questions.
I was aware that torture would begin if I remained silent. Moreover, Chinese torture truly beggars description. From what I heard, the methods included:
1. Pouring water mixed with chili powder into the nose.
2. Taking something like a sharp-pointed artillery shell casing and ruthlessly scraping the chest or back.
3. Hanging someone upside down and beating them indiscriminately.
4. Inserting iron bars between the fingers or legs and twisting them (jurœ).
Besides these, there were reportedly many other cruel tortures beyond imagination. How many people became disabled or even lost their lives on the spot due to these cruel tortures?
Furthermore, I heard that concerning those arrested in this incident, even people involved in minor matters were promptly sentenced to death, and the sentences were carried out immediately, resulting in numerous lives already having departed for the next world. I trembled. However, I could not falsely confess to a crime I did not commit. In that courtroom, I held out until the very end. At that time, the interrogating officials threatened me with all sorts of words. They placed various torture instruments before my eyes and demanded a confession. However, perhaps sensing something from my statement and my attitude, the judges suspended the interrogation for the day, and that afternoon, I was allowed to return to my cell.
Outside, it seemed executions were being carried out daily. Returning to my cell and collapsing onto my bedding, I resigned myself to facing capital punishment. Moreover, looking through all sorts of Chinese newspapers and magazines that occasionally rolled into the prison, the Pang Ik-ch'ŏl (方益哲) faction of the Nationalist Government (國民府) had linked me to this incident, writing all sorts of things, printing them, and distributing them throughout every corner of China. It must have been their intention to consolidate their faction's power through this opportunity, but I was so astonished I was dumbfounded. It was inconceivable that such propaganda would not reach the eyes of the Chinese judges, and if it did, I could well imagine what would become of my life.
Once I had resigned myself to death, my state of mind could actually become calm. One often thinks that one would feel great fear before execution, but contrary to that, my mind became tranquil. Only, as a human instinct, the attachment to life would intensely surface momentarily, tormenting all my nerves. And my mind became rough. My voice would become unintentionally gruff, and for no reason, I would just kick the walls and hit the ceiling.
However, contrary to imagination, my mind could remain composed. Often, reading prison memoirs written by Westerners, I found that prisoners who received the death penalty actually became docile and composed; seeing my own experience, I realized that must be true.

3. This and That of Chinese Prison Cells

Days passed, five days, then ten days. Waking up each morning, I wondered, "Will I be executed today? Or perhaps this evening?" I spent every day repeating this thought. Yet, without any particular event, a month passed, then two months. While thinking it was taking too long if they were delaying for evidence gathering, from then on, I immersed myself in reading.
Here, I shall briefly introduce the interior of a Chinese prison.
Chinese prisons are completely different from Japanese prisons. Firstly, they put iron shackles on the prisoners. It must be to prevent escape, but I couldn't help but be astonished by its barbarity. The iron shackle (鐵쇄) consists of a chain in the middle and heavy iron cuffs made of cast steel on both sides, fastened around the ankles. Once fastened, they are welded shut so they cannot be opened again. Therefore, the only way to remove these fetters is to cut them off with a chisel.
Furthermore, the heavier the crime, the heavier these fetters become. As a felon sentenced to death, I too wore heavy fetters weighing 8 kŭn (approx. 4.8 kg). When walking, I could only move inch by inch.
And the prison cells are earthen pits (土窟). Bedding, too, is bought by the prisoners themselves, using straw mats or straw. Food is provided by the authorities: one bowl of millet porridge in the morning<8> and one lump of millet rice in the evening. One cannot live on this without going hungry. Therefore, most prisoners inside the cells either buy extra food (買食) or cook for themselves.
The sight of cooking something in the cramped space of that narrow room with about 10 people is enough to make one's teeth chatter just imagining it. Eyes sting to the point of blindness from the smoke, and breathing becomes impossible. It is truly a miserable (慘絶) situation.
I also occasionally bought extra food to get by.
And reading, the thing prisoners long for most! In this respect, Chinese prisons are much freer. By giving money to the prison guards (獄吏), one could buy and read most newspapers and magazines. Not only could one read, but one could also obtain paper, brush, and ink to write manuscripts.
During my time in prison, I wrote about the astonishingly unsanitary, barbaric (野性的), and cruel tortures of the Chinese prison and repeatedly sent these writings (記送) to comrades outside. These were published in several newspapers in Manchuria and even in the Osaka Asahi Shimbun. For a while, articles about the hunger strike of Korean prisoners held in Jilin Prison, which appeared in various newspapers within Korea, were also written by our own hands and sent (送付) outside.
Not only was there freedom of writing, but in Chinese prisons, there was also a certain degree of convenience for visits and changing cells (移舍). The convenience of visits doesn't mean visits with outsiders. If fellow countrymen were, for example, in another cell, one could speak nicely to the guards and go visit that cell. This aspect was completely different and freer than here [likely referring to Japanese prisons or prisons in Korea under Japanese rule]. And the freedom of changing cells meant one could move to the cell of people one wished to be with.
Initially, I was in a shared cell (雜居房), but finding others cooking for themselves and feeling it was too chaotic, I then moved to a solitary cell (獨房) and focused solely on reading.
The books I read at that time were varied.

4. The Time of Escape

Time flowed quickly. The cold midwinter and the hot midsummer passed silently, and finally, September of last year arrived. One day, the atmosphere outside the prison (獄外) was quite agitated. Opening a secretly obtained newspaper, I saw that a clash had occurred between Japanese and Chinese troops in Fengtian (奉天). Thereafter, the urgent reports (飛報) that came in succession were all filled with startling news.
Then, it must have been the morning of September 23rd. On the Beishan Battery (北山砲臺) behind Jilin City, many regular Chinese soldiers gathered, repaired the battery, cleaned the cannons, mended collapsed trenches! Armed soldiers bustled back and forth – such complex and chaotic scenes could be seen beyond the iron bars.
All the prisoners inside were also unsure exactly what was happening. We only sensed that the situation was becoming extraordinary (尋常치 않어진), and everyone grew tense. That day and night were spent entirely sleepless in indescribable fear and trembling. The next morning, as soon as dawn broke, looking out the window, especially towards the position on Beishan Battery, for some reason, not even a shadow of the uniformed Chinese soldiers could be seen.
And from the distant city streets, the clamor of human activity arose loudly. Around that time, suddenly, an airplane appeared in the blue sky, and on that airplane, the Japanese flag was painted.
On this day, the Japanese army entered Jilin. This entry was extremely peaceful; without a single shot exchanged between the sides, the Chinese army completely withdrew, and the Japanese army entered. From afar, the sound of boots, horse hooves, and bugles faintly reached even inside the prison.
As I was grasping the general outline of the incident, a large number of Japanese soldiers came to the prison where we were held. Then, they took about 4 or 5 individuals, considered the most serious offenders, to the military headquarters. I was also among them.
After a brief interrogation at the Japanese military headquarters, we returned. The army's policy was decided to release us, and the iron shackles fastened to our ankles were cut off with a chisel.
The many Korean and Chinese prisoners in Jilin Prison, numbering several hundred, were all released.
This was on September 24th, meaning I had been confined behind iron bars for a crime I did not commit for a full 1 year and 4 months. Hearing the sound of the steel shackles being cut with a chisel, all the prisoners wondered if it was a dream.
Now, returning to Korea after more than 10 years, various emotions are uncontrollable. Especially recalling the passage of 1 year and 4 months in Jilin Prison, various feelings stir my heart and mind.(文責在記者)<9>

**Summary**

Sin Ir-yong recounts his two arrests in Manchuria in 1929, the second leading to his imprisonment in Jilin Prison for 1 year and 4 months. Accused of masterminding railway bombings linked to Chinese Communist Li Lisan (which he denies, attributing blame to Li's policies and internal Korean factional slander), Sin describes the brutal conditions of the Chinese prison—heavy shackles, poor food, unsanitary cells—but also the surprising freedom to read, write, and communicate internally. He details his interrogation, constant fear of execution, and psychological state while incarcerated. His imprisonment ended unexpectedly in September 1931 when the Japanese army occupied Jilin following the Mukden Incident and released all prisoners, including himself. From a historical perspective, the article provides a firsthand account of the chaotic political situation in Manchuria involving Chinese authorities, Korean political activists/refugees, communist movements, and the encroaching Japanese military presence. It highlights the harsh realities faced by Koreans caught in these conflicts, the internal factionalism within the Korean community abroad, and the complex, often brutal, nature of the prison system under Chinese jurisdiction at the time, just before Japanese takeover. Historians might find the description of prison conditions, the mention of specific figures like Li Lisan and Pang Ik-ch'ŏl's faction, and the circumstances of release by the invading Japanese army particularly interesting.

**Named Entities**

吉林監獄	길림감옥	Jilin Prison
辛日鎔	신일용	Sin Ir-yong
敦化	돈화	Dunhua
北滿	북만	North Manchuria (Pukman)
中國 官憲	중국 관헌	Chinese Authorities
敦化鐵路爆破事變	돈화철로폭파사변	Dunhua Railway Bombing Incident
中國 共產黨	중국 공산당	Chinese Communist Party
李立三	이립삼	Li Lisan
間島	간도	Kando (Gando)
컴인턴	컴인턴	Comintern
吉林城	길림성	Jilin City (Killim Sŏng)
吉林	길림	Jilin (Killim)
國民府	국민부	Nationalist Government (Kungminbu)
方益哲	방익철	Pang Ik-ch'ŏl
滿洲	만주	Manchuria (Manju)
大阪 朝日新聞	오사카 아사히신문	Osaka Asahi Shimbun
奉天	봉천	Fengtian (Pongch'ŏn)
日中 兩軍	일중 양군	Japanese and Chinese Armies
北山砲臺	북산포대	Beishan Battery (Puksan P'odae)
朝鮮	조선	Korea (Chosŏn)

**Glossary**

官憲	관헌	Government official; authorities
首謀者	수모자	Ringleader; mastermind
지목하다	지목하다	To point out; designate; identify
테로	테로	Terror (loanword, older form)
起하다	기하다	To begin; start; initiate (used with actions/events)
突起하다	돌기하다	To break out suddenly; arise abruptly
밧게	밖에	Only; outside of (older spelling of 밖에)
업섯다	없었다	Did not exist; was not (older spelling of 없었다)
코-스	코스	Course; policy (loanword)
如히	여히	Like; as (older form, now 같이)
포승	포승	Rope for binding criminals
밧다	받다	To receive (older spelling form of 받다)
獄裡	옥리	Inside prison
억매이다	얽매이다	To be bound; tied up; confined
주선	주선	Arrangement; good offices; mediation
늣기다	느끼다	To feel; sense (older spelling of 느끼다)
행장	행장	Travel preparations; luggage
투옥	투옥	Imprisonment
사상범	사상범	Political prisoner; thought criminal
인테리층	인테리층	Intelligentsia (loanword + 層 layer/class)
파렴치	파렴치	Shamelessness; brazenness
가치다	갇히다	To be locked up; confined (older spelling of 갇히다)
끄을러 가다	끌려 가다	To be dragged; pulled along
訊問	신문	Interrogation; questioning
劈頭	벽두	At the very beginning; outset
痛惜하다	통석하다	To deplore; lament deeply; regret keenly
宣明히	선명히	Clearly; distinctly; unequivocally
반목	반목	Animosity; antagonism; discord
中傷하다	중상하다	To slander; defame
누누	누누	Repeatedly; again and again
함구하다	함구하다	To keep silent; hold one's tongue
고문	고문	Torture
언어에 絶하다	언어에 절하다	To beggar description; be beyond words
고초가루	고춧가루	Chili powder (고추 + 가루)
붓다	붓다	To pour
끗	끝	End; tip (older spelling of 끝)
뾰족하다	뾰족하다	To be sharp; pointed
긁다	긁다	To scrape; scratch
꺽구로	거꾸로	Upside down; backward (older spelling of 거꾸로)
다라 매다	달아 매다	To hang up; suspend
亂杖질	난장질	Indiscriminate beating; flogging
넛코	넣고	Putting in (older spelling of 넣고)
주레	주뢰	A type of torture involving squeezing legs/fingers (obsolete term)
악형	악형	Cruel punishment; severe torture
만튼고	많던고	How many there were (older interrogative/exclamatory ending)
판결하다	판결하다	To sentence; adjudicate
直時	직시	Immediately; right away
집행하다	집행하다	To execute (a sentence); carry out
전율하다	전율하다	To tremble; shudder (with fear or excitement)
無實하다	무실하다	To be untrue; groundless; false
거즛	거짓	False; lie (older spelling of 거짓)
자백하다	자백하다	To confess
갓다 놋코	갖다 놓고	Bringing and placing (older spelling/form of 갖다 놓고)
늣기다	느끼다	To feel; perceive (older spelling of 느끼다)
밧갓헤	바깥에	Outside (older spelling of 바깥에)
연일	연일	Day after day; consecutively
쓰러지다	쓰러지다	To collapse; fall down
극형	극형	Capital punishment; extreme penalty
각오하다	각오하다	To be prepared for; resolved
심경	심경	State of mind; mentality
평정하다	평정하다	To be calm; composed; tranquil
공포	공포	Fear; terror; dread
도로혀	도리어	Rather; on the contrary; instead (older spelling of 도리어)
沈靜하다	침정하다	To be calm; quiet; serene
본능	본능	Instinct
애착	애착	Attachment; affection
대두하다	대두하다	To emerge; rise; come to the fore
들복다	들볶다	To torment; harass; pester
우럭우럭하다	우럭우럭하다	To be gruff; rough (of voice)
까닭	까닭	Reason; cause
태연자약하다	태연자약하다	To be calm and composed; nonchalant
옥중기	옥중기	Prison memoir; prison diary
온순하다	온순하다	To be gentle; meek; docile
깨달엇다	깨달았다	Realized; became aware (older spelling of 깨달았다)
뒤푸리하다	되풀이하다	To repeat; reiterate (older spelling of 되풀이하다)
아모	아무	Any (older spelling of 아무)
좌우간	좌우간	Anyway; in any case
열중하다	열중하다	To be absorbed in; engrossed in
딴판이다	딴판이다	To be completely different
첫재	첫째	Firstly; the first (older spelling of 첫째)
鐵쇄	철쇄	Iron shackles; fetters (쇄 is likely 鎖)
야만성	야만성	Barbarity; savagery
량쪽	양쪽	Both sides (older spelling of 양쪽)
족쇄	족쇄	Fetters; shackles for the feet
정	정	Chisel
절단하다	절단하다	To cut off; sever
죄	죄	Crime; sin
중하다	중하다	To be heavy; serious; important
거르다	걷다	To walk (older spelling/form of 걷다)
寸步	촌보	An inch of step; very short distance
옴기다	옮기다	To move; shift (older spelling of 옮기다)
토굴	토굴	Earthen cave; pit dwelling
자비	자비	One's own expense
거적자리	거적자리	Straw mat
관급	관급	Government supply; official provision
수수죽	수수죽	Sorghum porridge
덩이	덩이	Lump; chunk
곱하다	고프다	To be hungry (older form, now 배고프다)
買食	매식	Buying food (esp. in institutions like prisons/dormitories)
자취	자취	Cooking for oneself
끄리다	끓이다	To boil (older spelling of 끓이다)
틈바구니	틈바구니	Crevice; gap; midst
떨리다	떨리다	To tremble; shiver (often '이가 떨리다' - teeth chatter)
실명하다	실명하다	To lose one's eyesight; become blind
호흡	호흡	Breathing; respiration
慘絶하다	참절하다	To be miserable; wretched; tragic
각금	가끔	Sometimes; occasionally (older spelling of 가끔)
그립다	그립다	To miss; long for
훨신	훨씬	Much; far (adverb) (older spelling of 훨씬)
獄吏	옥리	Prison guard; jailer
뿌더러	뿐더러	Not only... but also (older spelling of 뿐더러)
지필묵	지필묵	Paper, brush, and inkstick; writing tools
어더	얻어	Getting; obtaining (older spelling of 얻어)
비위생적	비위생적	Unhygienic; unsanitary
野性的	야성적	Wild; savage; barbaric
記送하다	기송하다	To send a written message or report
멧멧	몇몇	Several; a few (older spelling of 몇몇)
낫섯고	났었고	Was published; appeared (older spelling of 났었고)
헝거 스트라익	헝거 스트라이크	Hunger strike (loanwords)
기사	기사	Article; news report
送付하다	송부하다	To send; forward (documents, etc.)
면회	면회	Visit (to someone in prison, hospital, etc.)
外人	외인	Outsider; foreigner
移舍	이사	Moving residence (here, changing cells)
십흔	싶은	Wanting to (older spelling of 싶은)
올머가다	옮아가다	To move (from one place to another) (older spelling of 옮아가다)
독방	독방	Solitary cell
치중하다	치중하다	To focus on; put emphasis on
세월	세월	Time; years
흘너서	흘러서	Flowing; passing (time) (older spelling of 흘러서)
마츰내	마침내	Finally; eventually (older spelling of 마침내)
하로	하루	One day (older spelling of 하루)
獄外	옥외	Outside the prison
수선수선하다	수선수선하다	To be noisy; agitated; bustling (onomatopoeic/mimetic)
몰내	몰래	Secretly; stealthily (older spelling of 몰래)
펴다	펴다	To open (a book, newspaper); spread out
련겁허	연거푸	Repeatedly; in succession (older spelling of 연거푸)
飛報	비보	Urgent report; flying news
엇 영문인	어떤 영문인지	What the reason/situation is (archaic characters likely representing 어쩐 영문인지)
修築하다	수축하다	To repair; rebuild (fortifications, etc.)
닥고	닦고	Wiping; cleaning; polishing (older spelling of 닦고)
문허지다	무너지다	To collapse; crumble (older spelling of 무너지다)
분주히	분주히	Busily
왓다갓다 하다	왔다갔다 하다	To come and go; move back and forth
철창	철창	Iron bars (of a prison window/cell)
尋常치 않다	심상치 않다	To be unusual; extraordinary
긴장하다	긴장하다	To be tense; strained
꼽박	꼬박	Entirely; fully (often with staying awake)
새이다	새우다	To stay up all night (older form of 새우다)
이튼날	이튿날	The next day; the following day
밧부게	바쁘게	Busily; hurriedly (older spelling of 바쁘게)
비행기	비행기	Airplane
일장기	일장기	Japanese flag (Hinomaru)
그리어 잇섯다	그려 있었다	Was drawn; painted (older spelling)
입성하다	입성하다	To enter a castle or city (esp. triumphantly or as an occupying force)
지극히	지극히	Extremely; exceedingly
피차	피차	Both sides; each other
퇴각하다	퇴각하다	To retreat; withdraw
구두발 소리	구두 발 소리	Sound of shoes (specifically Western-style shoes)
말발굽 소리	말발굽 소리	Sound of horse hooves
나팔 소리	나팔 소리	Sound of a trumpet; bugle
은은히	은은히	Faintly; dimly
들니엇다	들렸다	Was heard (older spelling of 들렸다)
大體	대체	General outline; gist; overview
짐작하다	짐작하다	To guess; infer; estimate
중죄범	중죄범	Serious offender; felon
사령부	사령부	Headquarters (military)
방침	방침	Policy; course of action
석방하다	석방하다	To release; set free
채우다	채우다	To fasten; lock; put on (shackles, handcuffs)
무쇠	무쇠	Cast iron
끈다	끊다	To cut; sever
만흔	많은	Many; numerous (older spelling of 많은)
억매이다	얽매이다	To be bound; tied; confined
감개	감개	Deep emotion; feeling
회상하다	회상하다	To recall; recollect; reminisce
心腦	심뇌	Heart and mind (lit. heart-brain)
흔들다	흔들다	To shake; sway; stir
께닷는다	깨닫는다	Realize; become aware (older spelling of 깨닫는다)
