잡지명	삼천리 제4권 제7호
발행일	1932년 06월 15일
기사제목	伊太利 公園의 하루밤 (A Night at the Italian Park)
필자	尹亨植
기사형태	회고·수기 (Reminiscence/Memoir)

伊太利 公園의 하루밤
						尹亨植

When one hears "Italian Park," anyone would likely imagine the parks of Rome, the bars of Venice, or the gardens of Florence. However, the Italian Park mentioned here is not that of Southern Europe's Italy; it refers to a small island at the edge of the Sea of Okhotsk, which might seem underwhelming once you know.

The Italian Park I want to talk about is a small island across from Vladivostok (海蔘威). I don't know why this island is called Italian Park, but anyway, those living in Vladivostok call this island Italian Park. That's why, to write about a night there, I titled this piece "A Night at the Italian Park (伊太利 公園의 하로밤)." Setting that aside, the night at that park was like this.

Even on the desolate Siberian plains, said to lack flowers and beauties, the endlessly bright moon illuminated the entire land. On this moonlit summer night, I went to meet Syura. It seemed Syura had also been waiting anxiously for me that day. As soon as I reached her door and knocked, Syura called out, asking, "Kislova (끼슬로바냐)?" and ran out. I quickly took her hand outside the door and said,

"Yes—it's me. Let's go hang out at the Italian Park. The moon is bright!"

"Oh! Moya Kislova! Khorosho! (오! 모야 끼슬로바! 호로소!)" she exclaimed. Syura always called me "My Kislova" back then. The name Kislova was the name Syura used for me.

So, that night! We went to the pier (馬頭崖) and Syura and I rowed a boat (뽀토), searching for the island called Italian Park. On that island, Syura's father had built a hut and was spending the night with fishermen, catching fish.

Syura used this as a pretext to leave for the island with me.

On the quiet night, the sporadically dipping oars shattered the moon reflected on the water into countless pieces as we silently rowed the boat towards the dimly visible island far away. After rowing along with the boat's momentum for a while, intoxicated by the moonlight, I gazed at Syura's face, shining like a pearl.

"Syura, I wish we could always row like this..."

"What?" Syura looked at me as if startled, then lowered her head and fell silent. Syura, who usually chattered like a sparrow, lowered her head as if embarrassed when I said this. She and I were friends, students in the same class. So, Syura and I used to hang out as friends without regard to gender distinction, but these words I spoke to her tonight seemed to make her delicate heart tremble.

It wasn't just Syura whose heart trembled. My head lowered just like Syura's. And so, holding the oars I had been rowing weakly, we drifted along, carried by the moon and the water. After drifting on the waves for some time, I suddenly exclaimed in surprise,

"Hey, hey! Syura!"

"Huh?" Syura looked around startled, then said,

"Hey! Kislova! Row, row."

I started rowing again.

"Syura, like this?"

"Yes!"

And Syura smiled brightly. I read this as a sign that she granted everything to me. Rowing the boat to the shore of the Italian Park island, I quickly jumped off, took Syura's hand, and pulled her onto the land (뭇). While helping Syura down like this, I too began to burn with passion. So, I couldn't just leave her be.

I embraced her tightly. And I gave her thin lips a powerful kiss. Then I said to Syura,

"I am not as innocent a young man as you might think."

Hearing these words, Syura suddenly began to sob, "heuk-heuk." Leaning her body against mine, forgetting herself, she cried as if disappointed in everything. Endlessly! Boundlessly! Then she pushed me away and ran off, weaving through the wave-splashed rocks.

Startled, I watched Syura disappear with the moon's shadow, shouting,

"Syura! Syura! Hey! Syura! Syura!" I ran after her. But Syura's shadow never appeared before my eyes again.

Later, when I met her at the Solodoiji Adŭl Theater (솔로도이지 아뜰 극장) in Leninskaya (레닌스카야), she didn't even greet me.

This was the romance in a foreign land (異域) left to me 10 years ago.<27>

**Summary**

The author, Yun Hyŏngsik, recounts a youthful memory from ten years prior in Vladivostok. On a moonlit night, he takes a boat trip with a Russian friend, Syura, to a small island they call "Italian Park." Initial romantic tension builds, but after they land and he kisses her, confessing he isn't entirely naive, she reacts with tears and runs away, ending their closeness. This memoir captures a poignant moment of cross-cultural youthful romance and misunderstanding. From a historical perspective, the article offers a valuable personal glimpse into the social interactions between Koreans and Russians in Vladivostok during the Japanese colonial period, shortly before the forced deportations of Koreans from the Soviet Far East in 1937. It documents the use of the Sino-Korean name for Vladivostok (Haesamwi), mentions specific locations, and reveals a level of integration and personal relationships that complicates simpler narratives of the era.

**Named Entities**

伊太利 公園	이태리 공원	It'aeri Kongwŏn
로마	로마	Roma
베니-스	베니스	Penissŭ
풀로렌스	플로렌스	P'ullorensŭ
南歐	남유	Nam'yu
오호쓰크海	오호츠크해	Ohossŭk'ŭ Hae
海蔘威	해삼위	Haesamwi
尹亨植	윤형식	Yun Hyŏngsik
슈라	슈라	Syura
끼슬로바	키슬로바	Kkisŭlloba
馬頭崖	마두애	Maduya
레닌스카야	레닌스카야	Reninsŭk'aya
솔로도이지 아뜰 극장	솔로도이지 아뜰 극장	Sollodoiji Adŭl Kŭkchang

**Glossary**

끗헤	끝에	At the end (older spelling of 끝에)
적음	작은	Small (older form/spelling of 작은)
가르처	가리켜	Pointing to, referring to (older spelling/form of 가리켜)
안이오	아니요/아니고	Is not (older spelling/form of 아니고)
몰으지만은	모르지만은	Although I don't know (older spelling of 모르지만은)
엇젯든	어쨌든	Anyway (older spelling of 어쨌든)
하로밤	하룻밤	One night (older spelling of 하룻밤)
부치엿다	붙였다	Attached, gave (a title) (older spelling of 붙였다)
이러하엿다	이러하였다	Was like this (older form of 이러했다)
맛나려	만나러	To meet (older spelling of 만나러)
갓다	갔다	Went (older spelling of 갔다)
기다리엿든	기다렸던	Had been waiting (older spelling of 기다렸던)
나다려	나더러	To me (older spelling/form of 나더러)
불으며	부르며	Calling (older spelling of 부르며)
잇글어	이끌어	Leading (older spelling of 이끌어)
외오치는	외치는	Shouting (older spelling of 외치는)
부러주는	불러주는	Calls (someone a name) (older spelling of 불러주는)
압빠가	아빠가	Father (subject) (colloquial, older spelling)
잠느라고	잡느라고	In order to catch (fish) (older spelling of 잡느라고)
지어놋코	지어놓고	Having built (older spelling of 지어놓고)
가티	같이	Together, with (older spelling of 같이)
잇는	있는	Is/are (located) (older spelling of 있는)
떠낫든	떠났던	Had left (older spelling of 떠났던)
깨트러 바리면서	깨뜨려 버리면서	Shattering (older spelling/form of 깨뜨려 버리면서)
달니엿다	달렸다	Ran, rowed quickly (older spelling of 달렸다)
빗나는	빛나는	Shining (older spelling of 빛나는)
얼골을	얼굴을	Face (object) (older spelling of 얼굴을)
바리보다	바라보다	To look at, gaze at (older spelling/form of 바라보다)
이러케	이렇게	Like this (older spelling of 이렇게)
저어갓스면	저어갔으면	If we rowed (older spelling of 저어갔으면)
놀래는	놀라는	Surprised (older spelling of 놀라는)
숙이고 말엇다	숙이고 말았다	Lowered (head) and stopped talking (older form of 숙이고 말았다)
재재거리든	재재거리던	Used to chatter (older spelling of 재재거리던)
하엿슬 때	하였을 때	When (I) did/said (older spelling of 하였을 때)
붓그럽든지	부끄럽든지	Whether feeling shy/embarrassed (older spelling of 부끄럽든지)
꿀스	클래스	Class (loanword)
눌러 다니엿지만은	놀러 다녔지만은	Although we hung out/played together (older spelling/form)
그의게	그에게	To him/her (older spelling of 그에게)
떨니게 하엿든	떨리게 하였던	Had caused to tremble (older spelling of 떨리게 하였던)
떨니엿든	떨렸던	Trembled (older spelling of 떨렸던)
숙으러젓다	수그러졌다	Was lowered (older spelling of 수그러졌다)
젓든	젓던	Was rowing (older spelling of 젓던)
씰니는 대로	실리는 대로	As (it) was carried (older spelling of 실리는 대로)
흘너 나러가는	흘러 내려가는	Flowing down, drifting down (older spelling of 흘러내려가는)
깜작	깜짝	Suddenly, with a start (older spelling of 깜짝)
모-든	모든	All, every (older form)
일엇다	읽었다	Read, interpreted (older spelling of 읽었다)
대이고	대고	Touching, bringing alongside (older spelling of 대고)
뛰여 나려서	뛰어 내려서	Jumping down (older spelling of 뛰어내려서)
뭇흐로	뭍으로	Onto the land, ashore (older form/spelling of 뭍으로)
나리케 하엿다	내리게 하였다	Made (her) get down/off (older form of 내리게 했다)
안어	안아	Holding, embracing (older spelling of 안아)
업섯다	없었다	Did not exist, was not (older spelling of 없었다)
끼여 안엇다	껴안았다	Embraced tightly (older spelling of 껴안았다)
