**Header Section**
Magazine Title: 삼천리 제5권 제1호
Publication Date: 1933년 01월 01일
Article Title: 映畵巡禮, 파社 特作 金髮의 女神 (Film Pilgrimage, Paramount Pictures Special Production: Blonde Goddess)
Article Type: 문예평론 (Literary Criticism/Review)

**Body Text Translation**
Film Pilgrimage, Paramount Pictures Special Production: Blonde Goddess (金髮의 女神)
Original Title: Blonde Venus (뿔론드·비―너스)
Director: Josef von Sternberg (죠세프·폰스탄벅)
Cast
Helen Faraday: Marlene Dietrich (마르레―네·디―트릿히)
Edward Faraday: Herbert Marshall (하―버―드·마―살)
Nick Townsend: Cary Grant (케리·크란트)
Johnny Faraday: Dickie Moore (닥키·무어)

Synopsis (梗槪)
The woman who blooms at night in the "Harem" cabaret! The woman nicknamed the Blonde Goddess sings cheerful songs amidst the blue and red waves of the cabaret's neon signs at night, but when she returns home, she is a wife and mother who must nurse her bedridden husband Edward (에드와-드) and soothe her young son Johnny (쪼니), who searches for his mother asking for milk. Her real name is Helen Faraday (헬렌 파라디).

Because of her livelihood, truly because of her livelihood, she must leave behind her husband, who watches her departure resentfully, and her beloved baby, who clings to her skirt, to sing jazz (쟈즈) on the cabaret stage (스텐드).

Gold causes mischief everywhere. A wealthy young man who appears at this cabaret hears Helen's difficult story and feels great sympathy for her situation. Helen looked up to Nick's (닉크) warm heart as if it were the sun appearing in the dark night of her fate (運命). Nick decided to arrange for a sanatorium (療養所) for Helen's husband, Edward. "Is it true?" Helen's eyes filled with tears of gratitude.

Time passed, and Edward, having recovered from his illness during that time, suddenly returned home from the sanatorium. When he returned, the situation at home appeared very changed to his eyes. When he felt that he was already someone whose connection to that house had been severed, being a man, he instead chased Helen out of the house. And he even takes Johnny away.

Helen, misunderstood by her husband, realized that no matter how much she tried to explain, it was useless, and simply left as she was chased out.

Once again, Nick appeared before Helen, who was wandering lost on the path of fate. Through Nick's introduction, Helen got to appear in a large theater (劇場) in Paris (파리/巴里). Unexpectedly, she achieved great success. Her reputation spread not only throughout Europe (구라파) but also across the Atlantic Ocean (大西洋) to America (아메리카).

Helen was eventually invited to a major theater in New York (뉴욕) and inevitably wanted to go to New York, where her husband and Johnny (쪼다 - *likely a typo for 쪼니*) were. Under Nick's protection, she set foot on the longed-for, resentment-filled land of New York. <88>

Johnny - the motherless baby - became ragged, thin, insignificant, and fretful. The appearance of the husband, too, holding the young baby in his arms and wandering from street to street, is endlessly shabby.

Helen's eyes, looking down upon her husband and Johnny wandering in the depths of misfortune, felt like her tear ducts were bursting.

Helen forgets everything and recklessly pulls Johnny into her arms and caresses him. Only then does the husband understand his wife's true heart and apologizes to her.

Thus, peace returned upon the heads of the three loved ones.

Song from "Blonde Venus" (「뿔론드·뷔―너쓰」의 노래)
Flowing silently through the depths of my heart
Giving beautiful sounds
Sing this lovely song of spring
Sing it over there too
Beyond the houses
Where the violets bloom
If you see the rose blossoms
Please tell them
"Be well" (『안령이 게십사』고 - *Formal closing*)

Mr. Sternberg's (「스탄박」氏) Conscience
This film is a Paramount (파社) special (스페씨알). The director is Mr. Josef von Sternberg (쬬깁폰·스탄박 - *alternate transliteration*), who rose to fame after making the acclaimed film "Those Who Seek Salvation" (救援을 엇으려는 사람들) and has since held the megaphone (메카폰) for superior films such as "Underworld" (暗黑街), "The Blue Angel" (歎息하는 天使), "An American Tragedy" (아메리카의 悲劇), "Morocco" (모롯코), "Dishonored" (間蝶X27), "Shanghai Express" (上海特急), occupying the top (톱푸) spot among world film directors. The lead actress is Miss Marlene Dietrich (마르레네 딧트릿희), who became a world-famous actress overnight in Germany (獨逸) through Sternberg's efforts in "The Blue Angel" and has since shown a series of fine performances in combination (콘비네손) with Mr. Sternberg, monopolizing popularity in '32.

However, there is an interesting episode (에피소-드) here. It is said that the thread of love became entangled between Mr. Sternberg and Miss Dietrich (?), who even has a husband and a precious child.

Mr. Sternberg, being an artist with self-respect who escaped the mentality of a hired director, intended to film after altering the movie introduced here, "Blonde Venus" (뿌론드 븨너-쓰), according to his own wishes.

At this time, the head of the cinematography department cautioning Mr. Sternberg became the fuse (도화선), leading to a clash, and when Mr. Sternberg ultimately resigned, Miss Dietrich also followed him out.

A huge sensation (셋세이슌) arose in the film world, and the employees of the Paramount (파社) studio, having respected Mr. Sternberg, tried to even start a strike (스트라익) to reinstate him.

Mr. Sternberg's influence was great. Eventually, the head of the cinematography department was dismissed, and the famous director and famous actress finally completed "Blonde Venus" (뿌론드 뷔너-쓰). <89>
<88-89>

**Summary**

This 1933 article from the Korean magazine *Samch'ŏlli* reviews the Paramount film "Blonde Venus," directed by Josef von Sternberg and starring Marlene Dietrich. It details the plot, where a cabaret singer (Dietrich) sacrifices her reputation to pay for her husband's medical treatment, leading to estrangement and her rise to fame in Europe before reuniting with her family in New York. The article includes lyrics from a song in the film and recounts a behind-the-scenes scandal involving Sternberg and Dietrich, their conflict with Paramount executives over creative control, and their eventual success in completing the film after studio employees threatened to strike in support of Sternberg. From a historical perspective, the article shows the keen interest Korean audiences had in Western, particularly Hollywood, cinema during the colonial period. It reflects the global reach of stars like Dietrich and directors like Sternberg, and the reporting on the production scandal indicates an awareness of off-screen Hollywood dynamics, presenting Sternberg as an uncompromising artist. The use of Japanese-derived loanwords like "sensation" (셋세이슌) and "strike" (스트라익) is also notable for the period.

**Named Entities**

파社	파사	Paramount Pictures (Pa Sa)
마르레―네·디―트릿히	마를레네 디트리히	Marlene Dietrich
죠세프·폰스탄벅	조세프 폰 스탄벅	Josef von Sternberg
하―버―드·마―살	허버트 마셜	Herbert Marshall
케리·크란트	캐리 그랜트	Cary Grant
닥키·무어	디키 무어	Dickie Moore
헬렌 ·파라디	헬렌 파라디	Helen Faraday
에도와―드·파라디	에드워드 파라디	Edward Faraday
닉크·타운센드	니크 타운센드	Nick Townsend
쪼니·파라디	조니 파라디	Johnny Faraday
파리	파리	Paris
巴里	파리	Paris
구라파	구라파	Europe
대서양	대서양	Atlantic Ocean
아메리카	아메리카	America
뉴욕	뉴욕	New York
獨逸	독일	Germany
스탄박	스탄벅	Sternberg

**Glossary**

映畵巡禮	영화순례	Film Pilgrimage
特作	특작	Special Production
金髮	금발	Blonde hair
女神	여신	Goddess
原名	원명	Original Name
監督	감독	Director
配役	배역	Cast/Roles
梗槪	경개	Synopsis/Outline
캬발레	카바레	Cabaret (older loanword spelling)
녀자	여자	Woman (older spelling)
네온싸인	네온사인	Neon sign (older loanword spelling)
도라가면	돌아가면	If (one) returns (older spelling)
잡바진	앓아누운	Bedridden (dialectal or older form for 아파 누운/앓아누운)
젓	젖	Milk (older spelling)
차중하는	찾는	Searching for/Seeking (older form or misspelling of 찾는)
어르만저	어루만져	Caressing/Soothing (older spelling)
안해	아내	Wife (older form)
떼여 두고는	떼어 두고는	Leaving behind (older spelling)
스텐드	스탠드	Stand/Stage (loanword)
쟈즈	재즈	Jazz (older loanword spelling)
어대서든지	어디서든지	Wherever/Anywhere (older spelling)
듯고	듣고	Hearing (older spelling)
료양소	요양소	Sanatorium/Convalescent home
늣길	느낄	To feel (older spelling)
쪼처낸다	쫓아낸다	Chases out/Expels (older spelling)
아모리	아무리	However much (older spelling)
헤메는	헤매는	Wandering/Roaming (older spelling)
아페	앞에	In front of (older spelling)
극장	극장	Theater
구라파	구라파	Europe (older phonetic rendering)
대서양	대서양	Atlantic Ocean
바드면서	받으면서	While receiving (older spelling)
잇는	있는	Being/Existing/Having (older spelling)
거에서	거리에서	On the street (contraction/older form)
쏘다지는	쏟아지는	Pouring down/Gushing
모-든	모든	All/Every (older orthography with hyphen)
이저버리고	잊어버리고	Forgetting (older spelling)
안령이 게십사	안녕히 계십시오	Be well/Goodbye (older spelling and phrasing for a formal closing)
스페씨알	스페셜	Special (older loanword spelling)
메카폰	메가폰	Megaphone (older loanword spelling, refers metonymically to the director)
톱푸	톱	Top (older loanword spelling)
점령하고	점령하고	Occupying
獨逸	독일	Germany
콘비네손	콤비네이션	Combination (older loanword spelling)
여기예	여기에	Here (older spelling)
자미잇는	재미있는	Interesting (older spelling)
에피소-드	에피소드	Episode (older loanword spelling)
얼키엿다	얽혔다	Became entangled (older spelling)
御用監督	어용감독	Hired director/Director serving the interests of the studio/power (implies lack of artistic independence)
버서난	벗어난	Having escaped from/Deviated from (older spelling)
자존심	자존심	Self-respect/Pride
잇기 때문에	있기 때문에	Because there is (older spelling '잇기')
개작한	개작한	Adapted/Rewritten
촬영하려고	촬영하려고	Intending to film
하엿다	하였다	Did (older spelling)
되여	되어	Becoming (older spelling)
충돌이 생기여	충돌이 생겨	A clash occurred (older spelling '생기여')
퇴사하자	퇴사하자	Upon resigning
따러나왓다	따라나왔다	Followed (someone) out (older spelling)
셋세이슌	센세이션	Sensation (loanword from Japanese pronunciation of 'sensation')
이러나고	일어나고	Occurring/Happening (older spelling)
존경하여 왓기 때문에	존경하여 왔기 때문에	Because (they) had respected (older spelling '왓기')
복귀식히려고	복귀시키려고	Intending to reinstate (older spelling '식히려고')
스트라익	스트라이크	Strike (loanword from Japanese pronunciation of 'strike')
이르키려고	일으키려고	Intending to start/cause (older spelling)
컷다	컸다	Was big/great (older spelling)
드듸여	드디어	Finally/At last (older spelling)
완성하엿다	완성하였다	Completed (older spelling)


---------------------------


잡지명	삼천리 제5권 제1호
발행일	1933년 01월 01일
기사제목	映畵巡禮, 파社 特作 金髮의 女神
기사형태	문예평론

映畵巡禮, 파社 特作 金髮의 女神
原名 뿔론드·비―너스
감독 죠세프·폰스탄벅
배역
헬렌 ·파라디 : 마르레―네·디―트릿히
에도와―드·파라디 : 하―버―드·마―살
닉크·타운센드 : 케리·크란트
쪼니·파라디 : 닥키·무어

梗槪
「하렘」의 「캬발레」 이 밤에 피는 그 녀자! 금발의 여신이라는 별명을 가진 그 녀자는 밤에는 「캬발레」의 「네온싸인」의 푸르고 붉은 물결 속을 유쾌한 노래를 부르지만 집으로 도라가면 병석에 잡바진 남편 「에드와-드」를 간호하여야 하고 젓을 달라고 엄마를 차중하는 어린 아들 「쪼니」의 머리를 어르만저 주어야 하는 「안해」요 「어머니」인 몸이다. 그 녀자의 본명은 실로 「헬렌 파라디」라.
그는 생활 때문에 실로 생활 때문에 그가 떠나는 것을 원망스럽게 바라보는 남편과 「스카-트」자락에 매여 달리는 사랑하는 아기를 떼여 두고는 「캬발레」의 「스텐드」에서 「쟈즈」를 노래하여야 한다.
