**Header Section:**
Magazine Title: 삼천리 (三千里) 제5권 제1호
Publication Date: 1933년 01월 01일
Article Title: 英國에 건너가 『파시즘』, 世界의 話題를 차저서 (Fascism Crosses Over to Britain, Seeking a Global Topic)
Author: 編輯局 (Editorial Department)
Article Type: 논설 (Editorial/Opinion Piece)

**Body Text Translation:**
It must be that there are many such places, but it was very recently that the Austrian authorities revealed that the headquarters of the Fourth International is in Vienna, the city of social democracy, the city of the Second International, surprising the eyes and ears of Europe. This fact itself is an irony. Mussolini himself declared, "In Italy, there is only one brain. And that is me," so it is a fact that Mussolini's thought will pass as the most correct thought within Italy. In any era, the ideology of the one who holds the power that dominates that era possesses the most legitimacy and currency. The majority of the populace takes off their hats before it. The form of thought is uniformly forced upon them.

However, despite Mussolini saying that Fascism is purely an Italian product and seemingly his exclusive patent, considering together the fact that the plan for the organization of the Fourth International, meaning the global formation of Fascists, that is, the "Fascist International," has finally surfaced, and the fact that according to the statements of the leaders of the aforementioned "Fascist International," Widemann and Artmann, they received guidance from "Comrades from the South," we believe our statement that "Fascism has crossed over to Britain" was not mistaken in its terminology.

Recently, we also encountered reports that the British Union of Fascists has clarified its banner under the leadership of Sir Oswald Mosley and begun to advance into the masses.
When Mosley broadcast Fascism to a crowd of thousands in Trafalgar Square, a part of the British populace enthusiastically applauded, while on the other hand, voices of criticism and attack were also loud. It is said that there was eventually even a direct clash between Fascists and members of the XX Party.

In recent Britain, there have been two golden opportunities for Fascism to rise. <100>
Years ago, when facing the difficulties of external troubles and internal worries, disputes within the Labour Party cabinet finally surfaced, and the situation became so complicated that it could not be resolved merely by a simple majority party cabinet, that is, by the normal course of parliamentary politics, Fascism emerged, claiming itself as the only suitable candidate to handle the national crisis.
At that time, Britain harbored 3 million unemployed and burdened the nation's head with the heavy load of an unemployment fund close to 1 billion won, so the people desperately hoped for some kind of breakthrough. However, when the cabinet of the majority Labour Party could only expose its meaninglessness, lack of control, and powerlessness, it goes without saying that the public's expectations did not turn towards the Conservative Party or the Liberal Party either.
At that time, parliamentary politics had already completely lost the trust of the populace. Oswald Mosley, noticing this and himself thoroughly disgusted with the useless complexity, procrastination, and powerlessness of parliamentary politics, kicked away the prestigious position of Chancellor of the Duchy of Lancaster like an old shoe, parted ways with Prime Minister MacDonald, and jumped out of the Cabinet. Not only that, but along with 17 comrades, he even seceded from the Labour Party to which he belonged and immediately issued a declaration, boldly asserting that the only way to save the economic crisis Britain faced at the time was the establishment of a dictatorship.
He says, "If we adhere to the tedious parliamentary politics handed down from the old era, it is undoubtedly almost impossible to cope with the economic crisis that Britain currently faces and resolve these difficult times."
It is not difficult to imagine the consternation and panic of the politicians of the Great British Empire when they sensed the alarming earthquake of a politician attempting to dig a tunnel under the very fortress of democracy, in the great headquarters of parliamentary politics, long admired like Mecca and Jerusalem by the believers of democracy.
Although there was no inclusion of Fascists in the cabinet, the rapid formation of the National Coalition Government led by MacDonald was, in fact, a compromise with Fascism in its <101> spiritual foundation. Why? Because a national cabinet is a somewhat weaker form of Fascist politics.
However, Mosley's ideology of dictatorship at that time had not yet completely shed the influence of parliamentarism. He said:
"First, fundamental revisions should be made to the organization of the government, and an emergency cabinet with a wide range of discretionary powers, limited to a certain period, should be established. I hope that five cabinet members, acting in perfect unity under a Prime Minister with practical power equivalent to a Dictator, will be appointed, and Parliament's role will be simply to concern itself only with the general direction of policy."
Since then, two years have already passed, the coalition cabinet again faced a crisis, saw the withdrawal of Philip Snowden, Herbert Samuel, Archibald Sinclair, and Isaac Foot from the cabinet last September, and although it temporarily recovered afterwards, it has not yet returned to the normal course of parliamentary politics.
This is the second chance for the rise of Fascism in Britain.
At this point, Mosley abandoned the conventional, compromising British-style Fascism, clarified his colours further, and advanced onto the forefront of the political scene.
He is the son-in-law of the famous Lord Curzon, a distinguished politician of aristocratic origin.
The British-made Hitler – his future will draw our attention for some time.
Throughout the world, parliamentary democracy cannot be a good organizer for the chaotic and disorderly capitalist mechanism. Even the capitalist magnates look forward to "whatever comes after it." Therefore, Fascism is being considered the best hygiene (衛生學) for reorganizing the XXist economy facing bankruptcy. They consider the other extreme political form dangerous, so they pay it no heed. That is indeed because it is not "what comes after" parliamentary politics, but "what comes after" XXism itself.
Insofar as Fascism, on one side, bases itself on nationalism, this will be a contradiction for Fascism's success.
This is because, amid the worldwide waves of the economic depression, arranging a national economic structure is hopeless. Italy's success is merely temporary and partial.
In this sense, the trend of the "Fascist International" on the one hand draws attention. <102>
<100-102>

**Summary**

This 1933 editorial from the Korean magazine *Samch'ŏlli* discusses the rise of Fascism beyond its origins in Mussolini's Italy, focusing specifically on its emergence in Great Britain under Sir Oswald Mosley. The author argues that the perceived failures and inefficiencies of parliamentary democracy, particularly in handling the economic crisis (Great Depression), created fertile ground for Fascist movements. Mosley's break from the Labour Party and call for dictatorial powers are presented as evidence of this trend. The article views the British National Coalition Government as a weak form of Fascism and sees Mosley's renewed, more radical push as Fascism's "second chance" in Britain. It concludes by noting the inherent contradiction in Fascism's nationalist basis during a global economic crisis and mentions the nascent "Fascist International" as a development to watch, while dismissing the "other extreme political form" (likely Communism) as a successor to capitalism itself, not just parliamentary democracy.

From the perspective of Korean colonial history, this article is interesting as it shows Korean intellectuals under Japanese rule actively observing and analyzing complex global political ideologies and shifts in major Western powers like Britain. It reflects an engagement with international affairs and debates about democracy versus authoritarianism, even from a colonized position. The discussion of Fascism as a potential successor to struggling capitalist democracies, and the implicit comparison with Communism (referred to vaguely as XXism or the "other extreme"), indicates the global ideological ferment of the era was keenly felt and interpreted in colonial Korea.

**Named Entities**

英國	영국	Yeongguk (Britain)
伊太利	이태리	It'aeri (Italy)
뷘나	빈나	Pinna (Vienna)
墺地利	오지리	Odiri (Austria)
歐洲	유주	Yuju (Europe)
뭇솔리니	뭇솔리니	Mussolini
위다만	위다만	Widemann
아르트만	아르트만	Artmann
英國「팟시스트」同盟	영국 파시스트 동맹	Yeongguk P'asisyŭt'ŭ Tongmaeng (British Union of Fascists)
써-오스왈드·모츨례이	서 오스왈드 모츨례이	Sŏ Osuwaldŭ Moch'ŭllyei (Sir Oswald Mosley)
트라팔-가-	트라팔가	T'ŭrap'alga (Trafalgar)
XX黨員	XX당원	XX Tangwŏn (XX Party Member)
勞働黨	노동당	Nodongdang (Labour Party)
保守黨	보수당	Posudang (Conservative Party)
自由黨	자유당	Chayudang (Liberal Party)
오스왈드 모즐레이	오스왈드 모즐레이	Osuwaldŭ Mojŭllei (Oswald Mosley)
란카스터-	랭커스터	Raengk'ŏsŭt'ŏ (Lancaster)
맥도날드	맥도날드	Maektonaldŭ (MacDonald)
大英帝國	대영제국	Tae-Yŏng Cheguk (Great British Empire)
필립스노-덴	필립 스노덴	P'illip Sŭnoden (Philip Snowden)
하-버-트사뮤엘	허버트 새뮤얼	Hŏbŏt'ŭ Saemyuŏl (Herbert Samuel)
아-취볼드 씽클레아	아치볼드 싱클레어	Ach'iboldŭ Singk'ŭlleŏ (Archibald Sinclair)
아이작 후-트	아이작 푸트	Aijak P'ut'ŭ (Isaac Foot)
카-존	커존	K'ŏjon (Curzon)
힛틀러	히틀러	Hit'ŭllŏ (Hitler)
제2「인테내슈날」	제2 인터내셔널	Che-i Int'ŏnaesyŏnŏl (Second International)
제4「인테내슈날」	제4 인터내셔널	Che-sa Int'ŏnaesyŏnŏl (Fourth International)
파시스트·인터내슈날	파시스트 인터내셔널	P'asisyŭt'ŭ Int'ŏnaesyŏnŏl (Fascist International)

**Glossary**

파시즘	파시즘	Fascism
社會民主主義	사회민주주의	Social Democracy
인테내슈날	인터내셔널	International (political organization)
관헌	관헌	Government official; authorities
판명되여서	판명되어서	Being revealed, being ascertained (older spelling of 되어)
아이로니	아이러니	Irony
두뇌	두뇌	Brain(s)
정당한	정당한	Correct, legitimate, just
통용될	통용될	Will be current, will pass for
사유형식	사유형식	Form of thought, way of thinking
강요되고	강요되고	Being forced, being compelled
전매특허	전매특허	Exclusive patent, monopoly
결성	결성	Formation, organization
수뇌자	수뇌자	Leader, head
지도바덧다고	지도받았다고	(They) received guidance (older spelling/form of 받았다고)
한께	함께	Together (older spelling)
밋는다	믿는다	Believe (older spelling)
동맹	동맹	Alliance, union, league
기치	기치	Banner, flag
선명이	선명히	Clearly, distinctly (adverbial form, older spelling)
진출하기	진출하기	To advance, to enter into
광장	광장	Square, plaza
향하야	향하여	Towards, facing (older spelling/form of 하여)
열광하야	열광하여	Enthusiastically (older spelling/form of 하여)
비난	비난	Criticism, blame
공격	공격	Attack
충돌	충돌	Clash, conflict
대두할	대두할	Will emerge, will rise
절호의	절호의	Golden, perfect (opportunity)
외우내환	외우내환	External troubles and internal worries
난관	난관	Difficulty, hardship
부대처서	부대껴서	Being burdened by, suffering from (colloquial/older form)
분쟁	분쟁	Dispute, conflict
표면화하야	표면화하여	Surfaced, became apparent (older spelling/form of 하여)
다수당	다수당	Majority party
내각	내각	Cabinet (government)
의회정치	의회정치	Parliamentary politics
상도	상도	Normal course, accepted practice
수습할 수 없을	수습할 수 없을	Cannot resolve, cannot handle
적임자	적임자	Suitable person, right person
자신하면서	자신하면서	Claiming oneself to be, being confident
등장하엿다	등장하였다	Appeared, emerged (older spelling)
실업자	실업자	Unemployed person
갓가운	가까운	Close to, near (older spelling)
중하	중하	Heavy burden
부담시키고	부담시키고	Burdening, imposing
타개	타개	Breakthrough, overcoming
바라 마지 안엇다	바라 마지 않았다	Ardently hoped for, desired greatly (older form/spelling)
무통제	무통제	Lack of control
무력	무력	Powerlessness, helplessness
폭로활	폭로할	Will expose (older spelling)
밧게 없을 때에	밖에 없을 때에	When there is nothing but/only (older spelling of 밖에)
신임	신임	Trust, confidence
일허버린	잃어버린	Lost (older spelling)
여거에	여기에	Here, at this point (older spelling)
압증	염증	Inflammation; fig. disgust, weariness
영직	영직	Honorable position, prestigious office
헌신작처럼	헌신짝처럼	Like an old shoe (idiom: discard easily)
차 버리고	차 버리고	Kick away, abandon
소속한	소속한	Belonging to
탈당하고	탈당하고	Leaving a political party
선언서	선언서	Declaration, manifesto
직면한	직면한	Faced, confronted
구원하는	구원하는	Saving, rescuing
독재제	독재제	Dictatorship system
수립	수립	Establishment
이외에는 없다	이외에는 없다	There is nothing other than, only
대담하게	대담하게	Boldly
주장하엿다	주장하였다	Asserted, claimed (older spelling)
묵수하고	묵수하고	Adhering to stubbornly
봉착한	봉착한	Encountered, faced
당하야	당하여	Facing, encountering (older spelling/form of 하여)
인난한	인난한	Difficult, troublesome
시국	시국	Current situation, state of affairs
데모크라시	데모크라시	Democracy
흠모밧고	흠모받고	Being admired, being looked up to (older spelling)
대본산	대본산	Headquarters, main center
성뢰	성루	Fortress wall, castle wall
미테	밑에	Under, below (older spelling)
갱도	갱도	Tunnel, mine shaft
지진	지진	Earthquake
감진햇술 때의	감진했을 때의	At the time of sensing (an earthquake, etc.) (older spelling)
창황낭패	창황낭패	Consternation and panic
상상하기에	상상하기에	To imagine
어렵지 안타	어렵지 않다	Is not difficult (older spelling)
수반	수반	Head, leader (esp. of cabinet)
국민협력내각	국민협력내각	National Coalition Government
급속히도	급속히도	Rapidly, quickly
조직된	조직된	Was organized, was formed
입각	입각	Joining the cabinet
