Magazine Title: 삼천리 第五卷 第一號
Publication Date: 1933년 01월 01일
Article Title: 印度雜感 (Miscellaneous Thoughts on India)
Author: 李如星
Article Type: 세태비평 (Social Commentary/Critique of the Times)

印度雜感
						李如星

The Indian movement grows strong in 'numbers' (衆) and weak in 'diversity' (多).

India is unified in 'divinity' (神性) but divided by religion.

Britain lives off India's land, profits, and 'division' (分裂).

India's bones grew strong with religion, but its blood runs dry because of religion.

However, India's anti-religion movement is like a water sprinkling truck (撒水車) in a tropical city.

The boycott movement of Indians is a way to gather the loyalty of Indian capitalists.

The picketing (人造障碍 - man-made obstacle) movement of Indians is the new fortress-building technique (新築城術) of non-violent Indians.

'Gandhi' (간디) lacks physical power (力) but has spirit (氣); he has light (光) but lacks heat (熱).

'Nehru' (네루) says, "India is 'more than Gandhi' (깐듸 以上)."

'MacDonald' (맥도날드) says, "India is 'less than Willingdon' (윌링톤 以下)."

Sparks fly as things move 'upwards' (以上) and 'downwards' (以下).

Hindu (印度敎徒) vs. Muslim (回回敎徒)

'Brahman' (뿌라만) vs. 'Untouchable' (언텃취에불) <42>

British India (英領印度) vs. Princely States (王候領)

These are India's endemic diseases (土疾).

'Gandhi' (깐듸) is a straight line. But sometimes, when passing through a prism (三菱鏡), he is a curve.

The enemy 'Irwin' (어-윈) is discount sales (割引賣),

The enemy 'Willingdon' (윌링톤) is fixed-price sales (正札賣),

Who will profit more?

Since India's purchasing power is gone, both are 'in recession' (不景氣).

The National Congress resolved for the third time to implement the non-cooperation movement.

'Gandhi' (깐듸) was imprisoned for the third time.

The National Congress and 'Gandhi' (깐듸) are in step (발이 맛는다).

Founding Congress of the Communist Party of India (印度共産黨結黨大會) held in 'Cawnpore' (콘포-레) (1924), Provisional Government of India (印度假政府) established in 'Peshawar' (페샤와르) (1931), between left and right (左右間).

The First Round Table Conference (第 1 圓卓會議) was a speech contest for the pro-British faction (親英派).

The Second Round Table Conference (第 2 圓卓會議) was an exhibition of eccentrics (奇人).

Are hosted spectacles (主體物) popular in Britain? Is it a cultural movement?

Even the British called 'Gandhi' (깐듸) a sacred hero (聖雄). To feed a saint prison food (콩밥 - lit. beans and rice) three times! Can the bells of London's (倫敦) St. Thomas's Temple (센트토마쓰寺) still be heard?

India has the 'colors' (彩色) of 'Sapru' (사풀), 'Jinnah' (진나), 'Gandhi' (깐듸), 'Bose' (뽀-쓰), 'Nehru' (네루), 'Patel' (까파), 'Roy' (로이). If you apply them in order, from white to yellow, yellow to orange, orange to red, the colors gradually intensify (緊하여 진다).

'Willingdon' (윌링톤) banned the fundraising for the National Movement, prohibited the customary convening of the National Congress, and issued unprecedented new suppression orders (彈壓令). But elephants live for three centuries (三世紀); if the ban doesn't add a note (註) specifying three centuries, it's invalid (無效).

After 'Gandhi's' (깐듸) imprisonment, a resistant non-cooperation movement arises.

After 'Gandhi's' (깐듸) release, a non-resistant non-cooperation movement arises. Better to release him. <43>

**Summary**

This article by Yi Yŏsŏng offers a critical Korean perspective on the Indian independence movement in the early 1930s. It highlights the internal divisions within India (religious, caste, political factions) and characterizes British rule as exploitative, feeding on these divisions. The author analyzes key figures like Gandhi and Nehru, portraying Gandhi as spiritually powerful but lacking practical heat, and contrasts British administrators Irwin and Willingdon. The piece comments on the cyclical nature of non-cooperation movements and Gandhi's imprisonments, sceptically viewing events like the Round Table Conferences. For historians studying Korean colonial history, this article is interesting as it shows a contemporary Korean intellectual analyzing another anti-colonial struggle. It reveals how Koreans under Japanese rule might have viewed other independence movements, drawing parallels or contrasts, and reflects a sophisticated, albeit critical, engagement with international anti-imperialist politics from a colonized perspective. The commentary on divisions and British exploitation likely resonated with the Korean experience.

**Named Entities**

印度	인도	Indo
英國	영국	Yŏngguk
李如星	이여성	Yi Yŏsŏng
간디 (깐듸)	간디 (깐듸)	Kandi
네루	네루	Neru
맥도날드	맥도날드	Maektollaldŭ
윌링톤	윌링톤	Willingt'on
印度敎徒	인도교도	Indo Kyodo
回回敎徒	회회교도	Hoehoe Kyodo
뿌라만	뿌라만	Ppuraman
언텃취에불	언텃취에불	Ŏnt'ŏch'wiebul
英領印度	영령인도	Yŏngnyŏng Indo
王候領	왕후령	Wanghuryŏng
어-윈	어윈	Ŏwin
국민회의	국민회의	Kungmin Hoeŭi
콘포-레	콘포레	K'onp'ore
印度共産黨	인도공산당	Indo Kongsandang
페샤와르	페샤와르	P'eshyawarŭ
印度假政府	인도가정부	Indo Kajŏngbu
第 1 圓卓會議	제1원탁회의	Che-il Wŏnt'ak Hoeŭi
第 2 圓卓會議	제2원탁회의	Che-i Wŏnt'ak Hoeŭi
倫敦	런던	Rŏndŏn
센트토마쓰寺	센트토마스 사	Sent'ŭt'omasŭ Sa
사풀	사풀	Sap'ul
진나	진나	Chinna
뽀-쓰	뽀스	Pposŭ
까파	까파	Kkap'a (Patel)
로이	로이	Roi

**Glossary**

雜感	잡감	Miscellaneous thoughts/impressions
衆	중	Multitude, masses, numbers
多	다	Many, diversity
여인다	여윈다	To become thin, weak; older spelling/form of 여위다
神性	신성	Divinity, divine nature
分裂	분열	Division, split, schism
굵엇스나	굵었으나	Although (it) was thick/strong; older spelling of 굵었으나
撒水車	살수차	Water sprinkling truck
보이콧	보이콧	Boycott
거더 드리는	거두어들이는	Gathering, collecting; older spelling/form of 거두어들이다
피켓	피켓	Picket, picketing
人造障碍	인조장애	Man-made obstacle (used here for 'picket line')
無抵抗	무저항	Non-resistance, non-violence
新築城術	신축성술	New fortress-building technique
업스나	없으나	Although there isn't; older spelling of 없으나
잇고	있고	And there is; older spelling of 있고
잇스나	있으나	Although there is; older spelling of 있으나
以上	이상	Above, more than
以下	이하	Below, less than
나리는	내리는	Falling, descending; older spelling/form of 내리다
土疾	토질	Endemic disease, local affliction
三菱鏡	삼릉경	Prism (lit. three-ridged mirror)
割引賣	할인매	Discount sale
正札賣	정찰매	Fixed-price sale
만히	많이	Many, much; older spelling of 많이
非協同運動	비협동운동	Non-cooperation movement
入獄	입옥	Imprisonment (entering prison)
발이 맛는다	발이 맞는다	To be in step, coordinated; older spelling/form of 맞다
結黨大會	결당대회	Party founding congress/convention
假政府	가정부	Provisional government
左右間	좌우간	Anyway, in any case (lit. between left and right)
圓卓會議	원탁회의	Round Table Conference
親英派	친영파	Pro-British faction
雄辯大會	웅변대회	Oratorical contest, speech contest
奇人	기인	Eccentric person, oddball
觀賞大會	관상대회	Viewing competition, exhibition (for appreciation)
聖雄	성웅	Sacred hero, great saintly figure
콩밥	콩밥	Prison food (lit. rice mixed with beans)
彩色	채색	Coloring, hues
漸次	점차	Gradually, increasingly
緊하여 진다	긴하여진다	To become tense, intense, tight; older form of 긴해지다
恒例	항례	Customary practice, established rule
彈壓令	탄압령	Suppression order, oppressive decree
나렷다	내렸다	Issued, proclaimed; older spelling of 내렸다
壽하나니	수하나니	To live long (as lifespan); form indicating reason/cause
註	주	Note, annotation

---------------------------


잡지명	삼천리 제5권 제1호
발행일	1933년 01월 01일
기사제목	印度雜感
필자	李如星
기사형태	세태비평

印度雜感
						李如星
印度運動은 『衆』에서 굵고 『多』에서 여인다.
印度는 『神性』에서 통일되고 종교에서 분열된다.
英國은 印度의 지대와 이윤과 『分裂』을 먹고산다.
印度는 종교로 뼈가 굵엇스나 종교로 피가 마른다.
그러나 印度의 反宗敎運動은 열대도시의 撒水車다.
