Magazine Title: 삼천리 제13권 제11호
Publication Date: 1941년 11월 01일
Article Title: 一千兵士の森 (A Thousand Soldiers' Forest)
Author: 白山靑樹
Article Type: 시 (Poem)

A Thousand Soldiers' Forest
						Hakusan Seiju

East of the capital, from the forest of Yangju,
Morning and evening, joyous voices are heard.
A thousand young volunteer warriors
Each singing of the Emperor's eternal reign.

Listen, you! Were you yesterday
Scooping fishing nets (漁綱) on the reed-deep banks of the Tuman River?
Or perhaps chasing horses on a pasture in southern Cheju?
How fitting! Children of the north and south, today dreaming together in one barracks (梀).

In the four hundred-plus provinces where the wheat harvest ripens richly,
A million men of Yamato have already hurried to the field of battle.
Young men, you too must quickly complete your training,
Go forth and beat the war drums, go forth and brave the rain of bullets (彈雨).

Ah, today too, the sound of wooden swords (木劍), the echo of military boots (軍靴) can be heard<116>
That manly singing voice, from the forest of Yangju to the east.
Preparing for tomorrow, to become shields for the Emperor,
The cheerful singing voices of young stalwarts can be heard.

—At the Volunteer Soldier Training Center—

At Goransa Temple

Standing in the garden where a hundred monks performed a thousand readings, even now I hear the voice of Kudara's (Paekche's) sacred scriptures (御經).

Perhaps on a spring night, like butterflies, Yamato maidens danced in this garden.

On days of flowers, did the island woman (島女) on her journey pick Goran flowers (皐蘭) and long for Kyōto?
Oh, stone woman (石女), pouring clear water (淸水) for the artisans carrying bronze pillars (靑銅の柱) and hurrying along the mountain path (山地).

Is it the rich woman (豊女), saying "It is spring" (春聯はるとて), standing still at the Suzaku Gate (朱雀門) on the capital's main street (都大路) at dusk?

Standing alone in the garden the Yamato maidens departed, I listen to the hammers of the honorable construction (御造營) and recall a thousand years.

—Visiting for Labor Service for the Honorable Construction of Puyŏ Shrine—<117>

**Summary**

The document presents two poems by Hakusan Seiju (likely a Korean author using a Japanese pen name). The first poem, "A Thousand Soldiers' Forest," glorifies young Korean men from different regions who have volunteered for the Japanese army, training at a center in Yangju to become "shields for the Emperor" and fight in the war. The second poem, "At Goransa Temple," is set during labor service for the construction of the Puyŏ Shrine. It evokes the ancient history of the Paekche kingdom (Kudara), imagining Japanese (Yamato) maidens there in the past, and reflects on the thousand-year connection while observing the shrine's construction, blending historical reflection with contemporary imperial projects. For historians, these poems are significant as they exemplify Japanese wartime propaganda aimed at Koreans, promoting participation in the military ('volunteer' soldiers) and reinforcing the imperial narrative of shared history (Japan-Paekche connection) through projects like the Puyŏ Shrine, built using mobilized Korean labor (勤勞奉仕 - kinrō hōshi). The poems starkly illustrate the cultural and political assimilation policies during the late colonial period.

**Named Entities**

白山靑樹	はくさんせいじゅ	Hakusan Seiju
楊州	ヤンジュ	Yangju
豆滿江	トマンガン	Tuman River
濟州	チェジュ	Cheju
大和	やまと	Yamato
皐蘭寺	コランサ	Goransa Temple
くたら	クダラ	Kudara (Paekche)
京	きょう	Kyōto
扶餘神宮	プヨジングウ	Puyŏ Shrine
朱雀門	すざくもん	Suzakumon
都大路	みやこおおじ	Miyako Ōji

**Glossary**

兵士	へいし	Soldier
森	もり	Forest, grove
朝な、夕な	あさな、ゆうな	Morning and evening (poetic/classical form)
うれしき	うれしき	Happy, joyous (classical adjective form)
ますらお	ますらお	Valiant man, warrior
大君	おおきみ	Great Lord (Emperor)
八千代	やちよ	Eternity (lit. 8000 generations)
唄ふ	うたう	To sing (older kana usage)
葦深き	あしぶかき	Deep with reeds (classical adjective form)
岸邊	きしべ	Shore, riverbank
漁綱	ぎょこう	Fishing net
掬ひし	すくいし	Scooped (classical past form)
將又	はたまた	Or again, furthermore
牧場	ぼくじょう	Pasture, ranch
宜なるかな	うべなるかな	How fitting!, Indeed! (classical expression)
梀	れん (?)	Barracks (This Kanji 梀 is rare in Japanese; meaning inferred from context, possibly related to 棟 'building')
麥秋	ばくしゅう	Wheat harvest time (early summer)
實る	みのる	To bear fruit, ripen
四百餘州	しひゃくよしゅう	400-plus provinces (poetic reference, likely to Japan here)
大和男子	やまとだんし	Men of Yamato (Japanese men)
旣に	すでに	Already
戰の庭	いくさのにわ	Battlefield (lit. garden of war)
急げる	いそげる	To be hurrying
若人	わこうど	Young person/people
御身	おんみ	You (respectful, archaic)
速かに	すみやかに	Quickly, promptly
敎練	きょうれん	Training, drill
了へ	おえ	Finish (imperative of classical 了ふ)
出でて	いでて	Go out (te-form of classical 出づ)
軍鼓	ぐんこ	War drum
叩けよ	たたけよ	Strike!, beat! (imperative + emphatic particle)
征きて	ゆきて	Go on expedition/conquer (te-form of 行く/征く)
彈雨	だんう	Rain of bullets
潜れよ	くぐれよ	Pass under!, go through! (imperative + emphatic particle)
聞ゆ	きこゆ	Can be heard (classical form)
木劍	ぼっけん	Wooden sword
軍靴	ぐんか	Military boots
響き	ひびき	Sound, echo, reverberation
雄々しき	おおしき	Manly, brave (classical adjective form)
唄聲	うたごえ	Singing voice
あす	あす	Tomorrow (older form)
備へ	そなえ	Preparing for, preparation
楯	たて	Shield
壯士	そうし	Stalwart men, heroes
ほがらかな	ほがらかな	Cheerful, bright
志願兵訓練所	しがんへいくんれんじょ	Volunteer Soldier Training Center
百僧	ひゃくそう	One hundred monks
千讀	せんどく	Thousand readings (of sutras)
御經(こえ)	みこえ	Voice (of sutra reading); unusual use of 經 Kanji for こえ (voice)
蝶々	ちょうちょう	Butterflies
舞ひしならむ	まいしならん	Would have danced (classical grammar)
大和乙女	やまもおとめ	Maiden(s) of Yamato (Japanese women)
皐蘭	こうらん	Goran flower/plant (likely related to Goransa Temple name)
摘みつ	つみつ	While picking (classical grammar)
京	きょう	Capital city (likely an ancient Japanese capital)
偲ひし	しのびし	Longed for/remembered (classical past form)
旅なる	たびなる	Being on a journey (classical grammar)
島女	しまおんな	Island woman (likely refers to Japanese woman/women)
靑銅	せいどう	Bronze
柱	はしら	Pillar
かついて	かついて	Carrying on the shoulder (archaic/dialectal form of 担いで)
山地	やまじ	Mountain path
工人	こうじん	Craftsman, artisan
淸水	しみず	Clear water, spring water
注く	つぐ	To pour (archaic form of 注ぐ)
石女	いしおんな (?)	Stone woman (meaning unclear, possibly metaphorical or locational)
春聯	しゅんれん	Spring couplets (here perhaps used poetically for 'Spring')
豊女	とよめ	Rich/Abundant Woman (possibly a name or description)
夕暮	ゆうぐれ	Dusk, twilight
都大路	みやこおおじ	Capital's main street
朱雀門	すざくもん	Suzaku Gate
佇むかな	たたずむかな	Stands still (classical verb + exclamatory particle)
去りし	さりし	Departed (classical past adjectival form)
御造營	ごぞうえい	Honorable construction (of a shrine/temple)
鎚	つち	Hammer
聽きつ	ききつ	While listening (classical grammar)
千年	せんねん	A thousand years
偲ぶかな	しのぶかな	Recalls/longs for (classical verb + exclamatory particle)
勤勞奉仕	きんろうほうし	Labor service (often compulsory during wartime)


---------------------------


잡지명	삼천리 제13권 제11호
발행일	1941년 11월 01일
기사제목	一千兵士の森
필자	白山靑樹
기사형태	시

一千兵士の森
						白山靑樹
都の東、楊州の森より
朝な、夕な、うれしき 聲あり
若き 一千の志願の ますらお等
口々に 大君の 八千代を 唄ふなり。

聞けよ、君が 昨日は
葦深き 豆滿江岸邊にて 漁綱を 掬ひしか
將又 南の 濟州、牧場にて 馬を追ひしか
宜なるかな、南北の童、今日は一つの梀にて夢を結ぶ。

麥秋豊かに實る 四百餘州では
百萬の 大和男子 旣に戰の庭へと急げるあり
若人よ、御身も速かに 敎練を了へ
出でて 軍鼓を叩けよ、征きて 彈雨を 潜れよ。

あゝ、今日も聞ゆ 木劍の音、軍靴の響き＜116＞
雄々しき あの唄聲、東なる 楊州の森より
あすの 日に備へ、大君の楯となるべく
若き壯士の ほがらかな唄聲 聞ゆるなり。

―志願兵訓練所にて―

皐蘭寺にて

百僧 千讀せし 庭へ立てば いまも聞ゆ くたらの御經(こえ)、

春の夜に 蝶々のこと 舞ひしならむ 大和乙女はこの庭にて、

