Magazine Title:	삼천리 제13권 제11호
Publication Date:	1941년 11월 01일
Article Title:	臨戰愛國者의 大獅子吼!!, 太平洋風雲의 展望 (Great Lion's Roar of a Wartime Patriot!!, Outlook on the Turbulent Situation in the Pacific)
Author:	申興雨(高靈興雨) (Shin Hŭng-u (Koryŏng Hŭng-u))
Article Type:	논설 (Editorial/Opinion Piece)

Great Lion's Roar of a Wartime Patriot!!, Outlook on the Turbulent Situation in the Pacific
						Shin Hŭng-u (Koryŏng Hŭng-u)

To foresee the present and the future, it is necessary to reflect on the past.
Although it is generally known that the first crossing of the Pacific Ocean (太平洋) was by Spain's Magellan around the 16th century, in truth, a thousand years before that, in the 5th century, a yellow race Chinese (支那人) Buddhist monk crossed first and went to Mexico (墨西哥). And only in 1521 did Magellan finally round the southern tip of the South American continent, reach the South Pacific, cross from there, and come as far as the Philippines (比律賓). He engaged in unreasonable actions with the islanders and ended up being killed.

In any case, from this time, the various islands (諸島嶼) of the Pacific Ocean turned into hunting grounds for Europeans to acquire colonies, and among them, Britain's harvest was large due to the activities of Britain's Captain Cook. To list the colonies of the European white people roughly: first, in 1508, the Portuguese occupied a part of Sumatra, which reverted to the Netherlands (和蘭國) in 1819. Java was occupied by the Portuguese in 1511 and reverted to the Netherlands in 1705. New Guinea was discovered by white people in 1511, mostly reverted to the Netherlands in 1545, the remainder belonging to Britain in 1828, and another part was occupied by Germany (獨逸), later placed under Australian (澳太利) administration after the European Great War. Celebes (쎌레베스) was discovered in 1512 and reverted to the Netherlands in 1607. Borneo (뽀-니오) was discovered in 1521, reverted to the Netherlands in 1607, and a part became British possession in the early 19th century. The islands mentioned above are what is called the Dutch East Indies (蘭領印度) today, said to be number one in the world in terms of resources. <26> And the Australian continent (澳太利洲) was discovered in 1521 and became a British colony in 1770. New Zealand (新西蘭) was discovered by the Englishman Tasman in 1642, rediscovered by Captain Cook in 1773, and has belonged to Britain since 1839.

Hawaii was discovered in 1527, rediscovered by Captain Cook in 1778, remained an independent nation, but was annexed by the United States (米國) in 1900. The Alaska (알라스카) Peninsula at the northwest tip of the North American continent and the Aleutian Islands (알루시안諸島) extending from there towards the Asian continent were discovered by the Dane Bering, employed by the Russian (露西亞) government. Later, in 1867, the United States bought them for 7.02 million dollars, and in 1900, established civil administration and judicial districts there, confirming them as US territory. The Philippines, as mentioned above, were discovered in 1521, became Spanish territory from 1571, and then in 1898, taking the opportunity of a Filipino rebellion, after the US-Spanish naval battle in Manila harbor, the US gave Spain 20 million dollars as compensation and made it its own territory. The movement of the Filipino Aguinaldo, resisting the US, ultimately ended in failure.

Following this, the United States occupied Wake Island (웨잌島) and Guam Island (꾸암島), linking the US mainland and the Philippines, and also utilized Midway Island (믿웨이島) five years later, and acquired Yap Island (얍島) after the European Great War.
Thus, the US naval bases we see today connect the US mainland, Hawaii, Guam, and Manila. The first line of operations forms a triangle connecting Alaska, Hawaii, and important zones in Southern California (南加州). Currently, the air route involves seaplanes flying via Oakland or Los Angeles in California (加洲) to Manila as the final destination, and passing Alaska to the Aleutian Islands as the terminus, simultaneously posing a military threat to Asia (亞細亞).

So, whose sphere of activity will the Pacific become in the future? Will today's yellow race become the pioneers, just as the yellow race did 1500 years ago? Or will we entrust all this to the Europeans and Americans (歐米人) and give up? Absolutely not! We must never yield. Look at the culture, religion, geography, history, and population of the yellow race. It is superior to anyone else's. <27> Not only that, but the time has now come for a new, even greater resurgence (發興). Asia's religions dominate all of humanity worldwide. East Asia's Hanja (漢字) are a vast treasure trove of human culture. The military power of the Mongols conquered as far west as Europe (歐羅巴). The current population exceeds 500 million, and furthermore, other races surrounding us, looking up to and expecting our movements, amount to 450 million. If from 100 million to 500 million, and from 500 million to 1 billion, unite and strive together step by step, there will be nothing impossible on this earth.

Who is the pioneer of this resurgence movement now? This needs no explanation: it is the Empire of Japan (日本帝國). It is the vanguard and harvester of the East (東洋). It cleared away and forced the retreat of the power coming from Europe in Manchuria (滿洲) 36 years ago, and in Shandong (山東) 26 years ago. Now it is in the midst of clearing away the power of Europe and America (歐米) from all of China (支那).

Let us examine the position of the Empire of Japan. In past eras, humanity considered continents advantageous. However, now that navigation and aviation skills have developed and are developing further, it is well understood that nations possessing extensive coastlines rather than continents are most advantageous. Japan faces the world's number one ocean, the Pacific, to its front, and has the number one continent, Asia, behind it. Furthermore, after the Paris Peace Conference (巴里講和), it governs the Caroline Islands (가로리나群島), Mariana Islands (마리아나群島), and Marshall Islands (마-쇌群島) scattered in the middle of the Pacific, which have become our very own advance *area, so geographically speaking, it holds a divinely bestowed advantage for dominating the Pacific. From now on, it must exert all its strength not only for East Asia (東亞) but also for the happiness of the various peoples living in Oceania (大洋洲). This is the mission of our yellow race and the Holy Task (聖業) of the Empire of Japan. The various peoples of Asia, together with the Empire of Japan which has stepped forward to the front lines (陳頭), must achieve this supreme objective; this is the great duty of all. In this situation, if there were a true hero in the Chongqing Government (支那 重慶政府) of China, they would forget local, minor issues and, without the slightest shame, henceforth shake hands with the Empire of Japan and cooperate and strive forward in this great enterprise.

Only by doing so will the qualifications and value of a great people emerge. What role does our Peninsula (半島) have?
I want to say this without hesitation. We must lay down our lives and property to ensure this is achieved. What is done out of duty will become voluntary, and what is done voluntarily will become joyful self-sacrifice (自樂的). <28> The fate and happiness of countless future generations depend on this.
Therefore, first, we must comply with national policy (國策) and offer our labor (勞務) without hesitation, and exert ourselves in all other aspects, wherever and whenever.

For example, if there are student youths among the audience here, they must offer both their physical effort (努力) and mental effort (腦力) in service (奉公). Why? Because although tactics are necessary in war now, economic, governmental, population, industrial, and general heavy industry science are absolutely essential.
Confronted with those people's large aircraft carrying 40-50 passengers across the Pacific, we must quickly conceive plans to attach wings to large ships like the Asama Maru (淺間丸), carrying 2,000-3,000 people across the Pacific, to achieve the great task. Faced with what those people boast of now – being able to cross the Atlantic carrying cannons and machine guns and return without landing – you here must quickly formulate plans to attach wings to Imperial warships like the Kongō (金剛) or Nagato (長門), enabling them to cross the Pacific and return with capacity to spare.

Who will be the final victor in the turbulent Pacific situation? It will be those who exert their physical and mental efforts joyfully (自樂的) in all the various fields of human activity mentioned above, are loyal to the Sovereign and the Nation (君國) and filial to their parents, and based on the fundamental psychological principle of this loyalty and filial piety, make 100 million become of one mind (一心) and 500 million become of one mind. (Applause) <29>

**Summary**

The article, written by Shin Hŭng-u in 1941, presents a historical overview of Western colonization in the Pacific, arguing it was a predatory act against Asia. It posits that the time has come for the "yellow race," led by the Empire of Japan, to reclaim its rightful place and dominance in the Pacific and Asia, freeing it from Western influence. Shin calls upon Koreans ("our Peninsula") to wholeheartedly support Japan's "Holy Task" by sacrificing lives, property, and labor ("joyful self-sacrifice") for the war effort, aligning completely with Japanese national policy and contributing intellectually and physically to achieve victory and build a future where Asians, united under Japan, control their destiny. This piece is highly significant for historians as a clear example of pro-Japanese collaborationist ideology articulated by a prominent Korean intellectual during the height of wartime mobilization. It reveals the arguments used to justify sacrificing Korean interests for the Japanese imperial cause, framing collaboration as a patriotic act for a larger Asian resurgence and appealing to concepts of racial unity, historical destiny, and traditional values like loyalty and filial piety redirected towards the Japanese Emperor and state.

**Named Entities**

申興雨	신흥우	Shin Hŭng-u
高靈興雨	고령흥우	Koryŏng Hŭng-u
太平洋	태평양	T'aep'yŏngyang
西班牙	서반아	Sŏbana (Spain)
마젤렌	마젤렌	Magellan
支那人	지나인	Chinain (Chinese person)
墨西哥	멕사코	Mek'siko (Mexico)
南亞米利加	남아미리가	Nam Amirilika (South America)
比律賓	비율빈	Piryukpin (Philippines)
歐羅巴人	구라파인	Kurap'ain (European person)
英國人	영국인	Yŏnggugin (British person)
쿡大佐	쿡대좌	K'uk Taejwa (Captain Cook)
英國	영국	Yŏngguk (Britain)
葡萄牙人	포도아인	P'odoain (Portuguese person)
스마츄라	스마츄라	Sŭmach'yura (Sumatra)
和蘭國	화란국	Hwarankuk (Netherlands)
쟈바	쟈바	Jyaba (Java)
和蘭	화란	Hwaran (Netherlands)
新끼니아	신끼니아	Sin Kkinia (New Guinea)
獨逸	독일	Togil (Germany)
歐洲大戰亂	구주대전란	Kuju Taejŏllan (European Great War)
澳太利	오태리	Ot'aeri (Australia)
쎌레베스	쎌레베스	Ssellebesŭ (Celebes)
뽀-니오	뽀-니오	Ppo-nio (Borneo)
蘭領印度	난령인도	Nallyŏng Indo (Dutch East Indies)
澳太利洲	오태리주	Ot'aeri Chu (Australian Continent)
新西蘭	신서란	Sinsŏran (New Zealand)
타스만	타스만	T'asŭman (Tasman)
하와이	하와이	Hawai (Hawaii)
米國	미국	Miguk (United States)
北亞米利加	북아미리가	Puk Amirilika (North America)
알라스카	알라스카	Allasŭk'a (Alaska)
亞細亞	아세아	Asea (Asia)
알루시안諸島	알루시안제도	Allusian Chedo (Aleutian Islands)
露西亞	노서아	Nosŏa (Russia)
丁抹人	정말인	Chŏngmarin (Dane)
빼-링	빼-링	Ppae-ring (Bering)
아귀날도	아귀날도	Agwinaldo (Aguinaldo)
웨잌島	웨잌도	Weik To (Wake Island)
꾸암島	꾸암도	Kkuam To (Guam Island)
믿웨이島	믿웨이도	Midŭwei To (Midway Island)
얍島	얍도	Yap To (Yap Island)
南加州	남가주	Nam Kaju (Southern California)
加洲	가주	Kaju (California)
옥클랜드	옥클랜드	Ok'ŭllaendŭ (Oakland)
로스앤즐	로스앤즐	Rosŭaenjŭl (Los Angeles)
마닐라	마닐라	Manilla (Manila)
歐米人	구미인	Kumiin (Europeans and Americans)
黃人종	황인종	Hwanginjong (Yellow race)
蒙古人	몽고인	Monggoin (Mongol person)
日本帝國	일본제국	Ilbon Cheguk (Empire of Japan)
東洋	동양	Tong'yang (The East/Orient)
滿洲	만주	Manju (Manchuria)
山東	산동	Santong (Shandong)
支那	지나	China (China - derogatory term used by Japan at the time)
巴里講和	파리강화	P'ari Kanghwa (Paris Peace Conference)
가로리나群島	가로리나군도	Karorina Kundo (Caroline Islands)
마리아나群島	마리아나군도	Mariana Kundo (Mariana Islands)
마-쇌群島	마-쇌군도	Ma-swael Kundo (Marshall Islands)
東亞	동아	Tong-a (East Asia)
大洋洲	대양주	Taeyangju (Oceania)
諸民族	제민족	Cheminjok (Various peoples/ethnic groups)
陳頭	진두	Chindu (Front lines/Vanguard)
重慶政府	중경정부	Chunggyŏng Chŏngbu (Chongqing Government)
半島	반도	Pando (Peninsula - refers to Korea)
淺間丸	천간환	Ch'ŏn'ganhwan (Asama Maru - Japanese ship name)
大西洋	대서양	Taesŏyang (Atlantic Ocean)
金剛	금강	Kŭmgang (Kongō - Japanese warship name)
長門	장문	Changmun (Nagato - Japanese warship name)
君國	군국	Kun'guk (Sovereign and Nation/State)

**Glossary**

臨戰	임전	Wartime; facing war
大獅子吼	대사자후	Great Lion's Roar (metaphor for a powerful speech/declaration)
展望	전망	Outlook; prospect
회고하다	회고하다	To reflect on the past; look back
횡단	횡단	Crossing; traversing
佛敎僧侶	불교승려	Buddhist monk
南端	남단	Southern tip
回航하다	회항하다	To sail around; circumnavigate
諸島嶼	제도서	Various islands (older term)
획득하다	획득하다	To acquire; obtain
수렵장	수렵장	Hunting ground
化하다	화하다	To become; turn into
귀속하다	귀속하다	To belong to; revert to
발견되다	발견되다	To be discovered
통치	통치	Rule; administration
置하다	치하다	To place; put (older usage, now usually 두다)
富源	부원	Resources; source of wealth
식민지	식민지	Colony
돠었으며	되었으며	Became (older spelling of 되었으며)
합방되다	합방되다	To be annexed
뻐처있다	뻗쳐있다	To stretch out; extend (older spelling of 뻗쳐있다)
매수하다	매수하다	To purchase; buy
설정하다	설정하다	To establish; set up
확실케 하다	확실케 하다	To make certain; confirm
영지	영지	Territory
반란	반란	Rebellion; revolt
기회	기회	Opportunity; chance
대가	대가	Price; compensation
반항하다	반항하다	To resist; oppose
畢竟	필경	After all; ultimately; in the end
도라가다	돌아가다	To return to; end up as (older spelling of 돌아가다)
연쇄시키다	연쇄시키다	To link; chain together
점령하다	점령하다	To occupy
근거지	근거지	Base; stronghold
작전	작전	Military operation; tactics
종점	종점	Terminus; final destination
위협	위협	Threat; menace
장래	장래	Future
선구자	선구자	Pioneer; forerunner
맡겨버리다	맡겨버리다	To entrust completely; leave entirely to
양보하다	양보하다	To yield; concede
優勝하다	우승하다	To be superior; excel (used here instead of 우수하다)
발흥하다	발흥하다	To rise; surge; prosper
기운	기운	Spirit; energy; trend; sign
지배하다	지배하다	To rule; dominate; control
한자	한자	Chinese characters (Hanja)
막대하다	막대하다	Immense; vast
보고	보고	Treasure trove; repository
무력	무력	Military power; force
정복하다	정복하다	To conquer
인근	인근	Vicinity; neighborhood
동향	동향	Trend; movement; tendency
촉망하다	촉망하다	To look up to with expectation
기대하다	기대하다	To expect; anticipate
달하다	달하다	To reach; amount to
계단적	계단적	Step-by-step; gradual
합치분발하다	합치분발하다	To unite and strive eagerly
능치 못할 것	능치 못할 것	Thing which cannot be achieved; impossibility (older phrasing)
선각자	선각자	Enlightened person; pioneer thinker
수확자	수확자	Harvester; reaper (metaphorical)
세력	세력	Power; influence
청산하다	청산하다	To liquidate; clear away; settle
후퇴시키다	후퇴시키다	To make retreat; push back
지위	지위	Position; status
유리하다	유리하다	To be advantageous
항해술	항해술	Art of navigation
항공술	항공술	Art of aviation
발달되다	발달되다	To be developed
숙지하다	숙지하다	To know well; be familiar with
제패하다	제패하다	To dominate; gain supremacy over
천부적	천부적	Heaven-sent; innate; natural
행복	행복	Happiness; well-being
전력하다	전력하다	To exert all one's strength
사명	사명	Mission; calling
성업	성업	Holy task; sacred undertaking
진두에 나서다	진두에 나서다	To stand at the forefront; take the lead
더부러	더불어	Together with (older form of 더불어)
최고	최고	Highest; supreme
목적	목적	Objective; goal; purpose
달케 하다	달하게 하다	To make reach; enable to attain (older causative form)
지대하다	지대하다	Immense; great
의무	의무	Duty; obligation
국민	국민	People (of a nation); citizen
자격	자격	Qualification; right
가치	가치	Value; worth
나타나다	나타나다	To appear; emerge
역할	역할	Role; part
서슴지 않다	서슴지 않다	Without hesitation
생명	생명	Life
재산	재산	Property; assets
성취되다	성취되다	To be achieved; accomplished
의무적	의무적	Obligatory; compulsory
자발적	자발적	Voluntary
자락적	자락적	Finding joy in self-sacrifice/effort (wartime term)
운명	운명	Fate; destiny
국책	국책	National policy
순응하다	순응하다	To comply with; conform to
노무	노무	Labor; work service
주저하다	주저하다	To hesitate
