Magazine Title: 동광 제28호
Publication Date: 1931년 12월 01일
Article Title: 一九三一年의 總決算, 過去 一年間의 朝鮮女性運動 (A Final Reckoning for 1931, The Korean Women's Movement Over the Past Year)
Author: 禹鳳雲
Article Type: 논설 (Editorial/Argumentative Essay)

The Final Reckoning for 1931, The Korean Women's Movement Over the Past Year
						By U Pongun (禹鳳雲)

The women's movement is one sectional movement. Therefore, the direction of its growth and development is always determined depending on the general situation of the entire movement.
In reviewing the women's movement of 1931, we cannot depart from this basic premise. The main focus of this article will be to examine the extent to which the program of the Korean proletarian movement in 1931—which comprised almost the entirety of its content with the "expansion and strengthening of the class camp, and the reorganization of the cooperative front"—was achieved within the realm of the <12> women's movement.

"The women's movement of 1931 is stagnation. It is quietude." - This is the majority of the common view regarding this year's women's movement. However, being common, it has failed to grasp the true essence of things.
"A cooperative front of the grand unity style, which forgets class distinctiveness and rejects proletarian hegemony, becomes fetters and obstacles to the class movement."
This is the correct theory that already began to move the entire field of our movement with immense pressure from the end of the latter half of 1930. Simply put, the struggle for the dissolution of the Sin'ganhoe (新幹會) is part of the practical implementation of that theory.
And it was exposed beyond doubt that the Kŭnuhwoe (槿友會), which until now we had thought of as the one and only general headquarters of the Korean women's movement, also lacked the capability to swim against this inevitable great tide. Thus, currently, the memory of the Kŭnuhwoe's existence is merely fading daily from the minds of the masses.
However, while the Kŭnuhwoe thus merged into the trend of dissolution, irrespective of the intentions of its executive level (almost entirely), the form of its progression was quite different from that of the Sin'ganhoe. Whereas the Sin'ganhoe, in its manifested situation, saw the theory first arise from one limb of its internal organizational body and then decided on dissolution also through a resolution of an internal body, the Kŭnuhwoe followed a completely different path.
Not only that, but although the Kŭnuhwoe headquarters, passively driven by external pressure, sent notices for convening a general meeting three times to all branches nationwide to discuss this issue of decisive importance to its own existence, there was decidedly no hope of forming the meeting. The Kyŏngsŏng (京城) branch meeting, considered the representative branch among the branches, also fell asleep in eternal adjournment in the same manner.
Here too, we can fully see the non-combative and passive nature of the petit bourgeois stratum. They obstructed the formation of the meeting, either through desperate curses or conscious sabotage. They disliked replicating in the Kŭnuhwoe the miserable defeat of their own class at the Sin'ganhoe general meeting (May 15th, 16th).
Nevertheless, despite this, the courageous working women throughout the country showed no hesitation whatsoever in carrying out the historical tasks imposed upon them. Thus, the Kŭnuhwoe was left with only an empty outer shell, and the XX elements (XX的 分子們) of the packaged masses did not stray from the path they were meant to take.

Since the state of the Kŭnuhwoe had already become like this, it is rather natural that in the eyes of those who considered the Kŭnu movement as the entirety of the women's movement, the 1931 women's movement appeared to have fallen into the depths of stagnation. At the same time, this inevitably provided potent self-justification material for the petit bourgeois forces opposing the Kŭnuhwoe's dissolution.
They lament, joining voices with all anti-dissolution parties, in an indignant yet powerless tone – "Look! You who ruin the movement in Korea! You insisted so much on dissolution, yet isn't there only such silence in Korea after the dissolution was approved?"
However, we reply – "To those who deliberately close their ears to the solemn reality, even the roar of Mount T'aesan will not be heard. And to those who hide themselves in a cave (窟), all phenomena of the outside world appear entirely as darkness. Pitiful ladies and gentlemen! Your joys and sorrows objectively cannot become the joys and sorrows of Korea."

Let's summarize the above again. <13>

History always rushes towards its proper course. The Korean women's movement has completely shifted its direction away from Kŭnuhwoe centralism. The general situation of the Third Period no longer permits the center of the movement to remain dormant under the command of petit bourgeois women.
As evidence for this, it suffices to recall the heroic struggle of women workers during the P'yŏngyang rubber strike last summer. Besides this, despite the unspeakable severe oppression by the ruling power, we are seeing the beginnings of the sound foundation for new organizations such as the expansion and strengthening of labor unions and peasant unions, and the establishment of women's departments within unions, taking root everywhere.
Therefore, to speak of the stagnation of the women's movement immediately upon seeing the hibernation or demise of the Kŭnuhwoe is the same folly as concluding that a tree has died upon seeing the falling leaves in autumn. The falling of leaves is simultaneously the starting point for new 'luxuriance'.
In essence, the Korean women's movement, constrained by its class totality, has inevitably begun to tread a new scene of history, and 1931 became a temporal starting point for this new axis. In this respect, we hold a view diametrically opposed to how the forces, who attempted reactionary resistance against the dissolution struggle either through counterattacks or sabotage, see this year's women's movement. And our view is scientific in that it aligns with reality.
- 1931.11.6 - <14>

**Summary**

The author, U Pongun, argues against the common perception that the Korean women's movement stagnated in 1931 following the effective collapse of the Kŭnuhwoe (槿友會). Instead, U frames this period as a necessary and positive transition, aligning with the broader shift in the Korean proletarian movement towards class Purity and rejecting the "grand unity" model represented by the dissolving Sin'ganhoe and Kŭnuhwoe. The author contends that the decline of the Kŭnuhwoe, dominated by petit-bourgeois interests, signifies not an end but a beginning, allowing the movement's center to shift towards genuinely proletarian women workers, as evidenced by labor actions like the P'yŏngyang rubber strike and the formation of women's sections in unions. The apparent quietude is seen merely as the shedding of an old shell before new, class-conscious growth. Historians might find this article particularly interesting for its explicit articulation of the Marxist critique within the Korean women's movement during the colonial period, showcasing the internal ideological conflicts between nationalist unity approaches (represented by Sin'ganhoe/Kŭnuhwoe) and class-based revolutionary strategies. It highlights the tension between bourgeois/petit-bourgeois leadership and the emerging focus on mobilizing working-class women.

**Named Entities**

禹鳳雲	우봉운	U Pongun
朝鮮	조선	Chosŏn (Korea)
新幹會	신간회	Sin'ganhoe
槿友會	근우회	Kŭnuhwoe
京城	경성	Kyŏngsŏng
平壤	평양	P'yŏngyang
泰山	태산	Mount T'aesan

**Glossary**

女性運動	여성운동	Women's movement
總決算	총결산	Final reckoning; final account settlement
部門運動	부문운동	Sectional movement; sector movement
全體運動	전체운동	Entire movement; whole movement
一般的	일반적	General
情勢	정세	Situation; state of affairs
依存하야	의존하여	Depending on (older spelling/form of 하여)
階級	계급	Class (social/economic)
陣營	진영	Camp; bloc
擴大	확대	Expansion
强化	강화	Strengthening
協同戰線	협동전선	Cooperative front; united front
푸로레타리아	프로레타리아	Proletariat (loanword)
沈滯	침체	Stagnation; depression
靜淑	정숙	Quietude; stillness (used here metaphorically for inactivity)
凡俗한	범속한	Common; vulgar; mundane
正鵠	정곡	Bullseye; the mark; the essence
捕捉하다	포착하다	To capture; to grasp; to seize
獨自性	독자성	Distinctiveness; uniqueness; autonomy
헤게모니	헤게모니	Hegemony (loanword)
拒否하다	거부하다	To refuse; to reject
大同團結	대동단결	Grand unity; great consolidation
桎梏	질곡	Fetters; shackles
障碍物	장애물	Obstacle; barrier
新幹會解消鬪爭	신간회해소투쟁	Struggle for the dissolution of the Sin'ganhoe
總本營	총본영	General headquarters
逆行하다	역행하다	To go against; to move backwards
暴露되엇섯다	폭로되었었다	Was exposed (older past perfect tense form)
幹部級	간부급	Executive level; cadre level
意思如何	의사여하	Regardless of intentions/will
合流되엇으나	합류되었으나	Merged into; joined, but... (older spelling/form of 되었으나)
經路	경로	Course; path; route
外的壓力	외적압력	External pressure
被動된	피동된	Passively driven; passive
自體	자체	Itself; one's own body
討議하기	토의하기	To discuss; debate
召集通知	소집통지	Convening notice; call notice
支會	지회	Branch (of an organization)
流會	유회	Adjournment (of a meeting) due to lack of quorum
小부루주아	소부르주아	Petit bourgeoisie (loanword)
非戰鬪性	비전투성	Non-combativeness
消極性	소극성	Passivity; negativeness
咀呪	저주	Curse; malediction
意識的	의식적	Conscious; deliberate
사보타지	사보타주	Sabotage (loanword)
阻碍하엿든	저애하였던	Obstructed; hindered (older spelling/form)
複製하기	복제하기	To replicate; to copy
慘敗	참패	Crushing defeat; miserable defeat
果敢한	과감한	Courageous; daring; bold
勞働婦女	노동부녀	Working women
課賦된	과부된	Imposed; assigned (as a task/duty)
遂行	수행	Execution; carrying out; performance
跼蹙함이	국축함이	Hesitation; cowering (older literary term)
없엇섯다	없었었다	There was not (emphatic past/past perfect)
外殼	외각	Outer shell; husk
XX的 分子	XX적 분자	XX elements/members (likely censored or self-censored term, perhaps 'revolutionary' or 'core')
眼目	안목	Eye; viewpoint; perspective
悲憤慷慨	비분강개	Indignation and lamentation
無氣力한	무기력한	Powerless; lethargic
語調	어조	Tone of voice; tone
儼然한	엄연한	Solemn; stern; undeniable
現實	현실	Reality
鳴動	명동	Rumbling; roaring
外界	외계	Outside world
萬象	만상	All phenomena; everything
暗黑	암흑	Darkness
客觀的으로	객관적으로	Objectively
正軌	정궤	Proper course; right track
轉換하엿으니	전환하였으니	Has shifted/changed, so... (older spelling/form)
麾下	휘하	Under the command of
蟄伏하기를	칩복하기를	To hibernate; to lie dormant
容許하지	용허하지	Does not permit/allow (older form of 허락하다)
證左	증좌	Evidence; proof
英雄的	영웅적	Heroic
鬪爭	투쟁	Struggle; fight
支配權力	지배권력	Ruling power; dominant power
言語道斷	언어도단	Unspeakable; outrageous; beyond description
强壓	강압	Coercion; oppression; pressure
勞働組合	노동조합	Labor union
農民組合	농민조합	Peasant union
確立	확립	Establishment
築成	축성	Building; construction; fortification
土臺	토대	Foundation; basis
冬眼	동면	Hibernation
死滅	사멸	Extinction; dying out; perishing
枯死한	고사한	Withered and died
斷定하는	단정하는	Concluding; deciding definitively
落葉	낙엽	Falling leaves
樹木	수목	Tree(s)
愚見	우견	Foolish view; stupid opinion
凋落	조락	Withering and falling
茂盛	무성	Luxuriance; flourishing; thriving
要컨대	요컨대	In short; in a nutshell
階級的 全體性	계급적 전체성	Class totality/wholeness
制約되어	제약되어	Being constrained/limited by
必然的인	필연적인	Inevitable; necessary
機軸	기축	Axis; pivot; cornerstone
起點	기점	Starting point
逆襲	역습	Counterattack
싸보타지쥬	사보타주	Sabotage (alternate transliteration/spelling)
反動的	반동적	Reactionary
抗爭	항쟁	Resistance; struggle against
實在	실재	Reality; actual existence
科學的인	과학적인	Scientific


---------------------------


잡지명	동광 제28호
발행일	1931년 12월 01일
기사제목	一九三一年의 總決算, 過去 一年間의 朝鮮女性運動
필자	禹鳳雲
기사형태	논설

一九三一年의 總決算, 過去 一年間의 朝鮮女性運動
						禹鳳雲
女性運動은 한 개의 部門運動이다. 그럼으로 그것의 成長과 發展의 方向은 항상 全體運動의 一般的 情勢에 依存하야 決定되는 것이다.
