**Header Section:**
Magazine Title: 삼천리 第12卷 第8號 (Samch'ŏlli Vol. 12, No. 8)
Publication Date: 1940년 09월 01일 (September 1, 1940)
Article Title: 我觀『近衛首相』 (My View of 'Prime Minister Konoe')
Author: 李鍾麟, 崔昌學, 鄭僑源, 鄭錫泰, 朴錫胤, 李光洙, 李鍾萬, 李克魯, 咸尙勳, 金東進, 辛泰嶽, 李定宰, 朴昌薰, 司空桓, 洪陽明, 李晶燮, 李晟煥, 金東煥 (Yi Chong-nin, Ch'oe Ch'ang-hak, Chŏng Kyo-wŏn, Chŏng Sŏk-t'ae, Pak Sŏk-yun, Yi Kwang-su, Yi Chong-man, Yi Kŭk-no, Ham Sang-hun, Kim Tong-jin, Sin T'ae-ak, Yi Chŏng-jae, Pak Ch'ang-hun, Sakong Hwan, Hong Yang-myŏng, Yi Chŏng-sŏp, Yi Sŏng-hwan, Kim Tong-hwan)
Article Type: 설문 (Survey)

**Body Text Translation:**
My View of 'Prime Minister Konoe'
Yi Chong-nin, Leader of Ch'ŏndogyo

A fine gentleman, free to advance or retreat.

Ch'oe Ch'ang-hak, President of Taech'ang Mining Co., Ltd.

I am confident that the Konoe Maru (近衛丸), embodying 'one body, one heart' (一體一心), will push through the tempests of the century and complete the great task of constructing the New East Asia (新東亞建設).

Chŏng Kyo-wŏn, Standing Director of the National Spiritual Mobilization Chosŏn League

It is inappropriate in any sense to offer commentary at this time on Mr. Konoe, who took office as Prime Minister only a few days ago. Therefore, I will refrain from giving 'My View' of him.

Chŏng Sŏk-t'ae, Doctor of German Medicine

1. While advocating for an emergency period (非常時), there seems to be no figure with the confidence to step forward, even temporarily, besides Prime Minister Konoe to liquidate the corrupt political parties of the past and the detrimental plutocrats (財閥) and establish fundamental national policies.
2. Since the China Incident (支那事變) occurred during his previous term as Prime Minister, it seems Prime Minister Konoe, having returned to office, is resolved to finally reap the seeds he sowed this time, and this is also what is hoped for.

Pak Sŏk-yun, Former Consul-General of Manchukuo stationed in Poland

The hope of all peoples of East Asia. <35>

Yi Kwang-su, Former Chairman of the Chosŏn Writers' Association

Seeing Prime Minister Konoe's photograph in the newspaper, my wife commented that his features looked Chosŏn-like (朝鮮的).
We also remarked that Duke Konoe is probably the most fortunate person in the political world.
While everyone knows Duke Konoe, it seems few know his view of life, or broadly speaking, his thought. This might be why he is a great statesman.
It will be 30 years until Duke Konoe turns 80, and these 30 years will be the most crucial period for our Japan (我日本). Perhaps the central figure of this period will be Duke Konoe. After fulfilling this duty, I hope he enters a leisurely retirement and lives as long as Saionji (西園寺).

Yi Chong-man, President of Taedong Mining Co., Ltd.

Establishing the new political structure (新政治體制) is the role solely entrusted to Prime Minister Konoe. Putting aside tomorrow's tasks for tomorrow, he is at least the most suitable person to take charge of today's political situation.

Yi Kŭk-no, Chosŏn Language Society (Doctor of German Philosophy)

A powerful person.

Ham Sang-hun, Editor-in-Chief of the Chosŏn Ilbo

He is not merely a simple nobleman raised in peaceful circumstances. However, neither did he fight his way to his current position through the struggles and hardships experienced by past great revolutionaries and statesmen. Therefore, while it might be fine when the military, political parties, and all other forces support him as they do now, will he be able to overcome serious difficulties without trouble when faced with them? Given his wide-ranging contacts and non-rigid thinking, might it not be beneficial for both him and the state to place him in the position of a political critic at an opportune moment? <36>

Kim Tong-jin, Councilor of the Sŏnman Colonization Company

Recently, there have been many Prime Ministers in our Japan (我日本) who were unknown quantities, but Duke Konoe is a first-rate figure belonging to the known quantities, thus commanding great trust from the people. The Duke is currently in a situation of 'smooth sailing with favorable winds' (順風掛帆), but in pushing forward the politics of the new structure (新體制), a time requiring self-reflection will surely arrive. How he overcomes this period will likely determine his political life.

Sin T'ae-ak, Lawyer

As a descendant of a distinguished Japanese family (日本의 名門後裔) whose rank has reached the pinnacle of human peerage (人爵), what personal avarice could he possibly possess? However, merely lacking greed is not the sole condition for being a statesman; I wish he had a bit more drive (迫力) regarding his work. His emergence as the final maintainer of Japan's old order (舊秩序) and a darling of the era (時代的 寵兒) is truly interesting when juxtaposed with the Empire's current situation in a transitional period (變轉期).

Yi Chŏng-jae, Executive Director of Yŏngbo Limited Partnership Company

I consider him the foremost statesman who can command the utmost trust and following from the people, who yearn for the realization of strong policies dedicated to resolving the China Incident (支那事變) and building the New East Asia (新東亞建設).

Pak Ch'ang-hun, Doctor of Medicine

He is truly a clean, ambition-free, splendid person. While those called heroes possess strengths surpassing others, they also carry many weaknesses others do not; Prime Minister Konoe is different, being a person with few weaknesses, someone who can be supported as a well-rounded, remarkable central figure.

Sakong Hwan <37>

Prime Minister Konoe (近衛首相) is a giant of character who will bring East Asia close (近衛東亞) and harmonize afar with the Western regions (遠和西域). Judging by the fact that not only the 100 million citizens but also the nations of the world praise unceasingly the re-establishment of the Konoe Cabinet, he is clearly a practitioner of the Imperial Way spirit (皇道精神), distinctly different from Chancellor Hitler's exercise of the 'Way of the Hegemon' (覇道行使).

Hong Yang-myŏng, Editor-in-Chief of the Mansŏn Ilbo

Although sitting in Shinkyō (新京), I cannot know the details of recent political affairs in Tokyo (東京), but seeing how Duke Konoe's emergence has been desired in unison by the military, officials, and civilians (軍官民) each time the cabinet changes, it is clear that Duke Konoe is the greatest 'hope' (홉) of the entire nation today. To venture an opinion now about the Duke, who stands on the testing ground as the Great Prime Minister (大宰相) bathed in the spotlight of national reorganization, would rather be impolite; ultimately, time will evaluate his qualifications as a leader.

Yi Chŏng-sŏp, Kyŏngsŏng Central Broadcasting Station

Regarding the idea of having a 'one country, one party' system (1國1黨主義) and appointing the party leader as Prime Minister, I read in the newspaper Duke Konoe's opinion that such a system resembles the past 'Daimyo' (大名) system, evoking the Shogunate (幕府), and thus is incompatible with Japan's national polity (國體). Seeing this, I trust that if he proceeds with such a spirit, the movement to establish the new structure will succeed without major errors. The ability to critically observe one's own actions is, I believe, a strength rather than a weakness.

Yi Sŏng-hwan, Executive Director of Taedong Mining Co., Ltd.

A transitional figure playing the role of laying the groundwork (地均工事) for the Shōwa Restoration (昭和維新).

Kim Tong-hwan, President of Samch'ŏlli Company

That he reportedly walked down the main street near his Kamakura (鎌倉) villa whistling popular songs, that he placed his son as a reporter for page 3 of the newspaper (新聞3面記者), that he sleeps in late in the morning and takes naps <38> every day, etc.—seeing how he tries to shed the skin of formality and standards of the court nobility (公卿家) and live as a bare human being, I think he is a good person. Whether he succeeds as a statesman depends solely on the extent to which he incorporates the intentions of the healthy national strata—the working class (勤勞階級) and returning soldiers (歸還將兵)—in organizing the current new structure (新體制). <39>

**Summary**

This 1940 article from the Korean magazine *Samch'ŏlli* compiles opinions from various prominent Korean figures (and a few others connected to the region) on the newly reappointed Japanese Prime Minister, Konoe Fumimaro. The views range from strong endorsements hoping Konoe can lead Japan and East Asia through the "emergency period" and establish a "New Order," to more cautious assessments questioning his ability to handle severe challenges or suggesting alternative roles. Several commentators link his return to the need to conclude the Sino-Japanese War he started in his first term. The overall tone reflects the pressures and expectations of the colonial period, with many expressing faith (or feigned faith) in Japanese leadership, while a few offer subtle critiques or focus on Konoe's personality.

For historians, this article is valuable as it showcases the diverse reactions within the Korean elite to Japanese political developments during a critical wartime period. It reveals the language of collaboration and accommodation used by some, the cautious or critical stances taken by others (often veiled), and the pervasive influence of Japanese imperial ideology (e.g., "New Order in East Asia," "Imperial Way"). Yi Kwang-su's remark about Konoe's "Korean-like" appearance and Kim Tong-hwan's focus on incorporating the working class and returning soldiers offer particularly interesting glimpses into contemporary perceptions and concerns under colonial rule. The range of professions represented (business leaders, intellectuals, journalists, officials, doctors, lawyers) provides a cross-section of elite opinion.

**Named Entities**

近衛	코노에	Konoe
天道敎	천도교	Ch'ŏndogyo
李鍾麟	이종린	Yi Chong-nin
大昌鑛業株式會社	대창광업주식회사	Taech'ang Mining Co., Ltd.
崔昌學	최창학	Ch'oe Ch'ang-hak
新東亞建設	신동아건설	New East Asia Construction (Shin Tōa Kensetsu)
國民精神總動員朝鮮聯盟	국민정신총동원조선연맹	National Spiritual Mobilization Chosŏn League
鄭僑源	정교원	Chŏng Kyo-wŏn
獨逸	독일	Germany (Doitsu)
鄭錫泰	정석태	Chŏng Sŏk-t'ae
支那事變	지나사변	China Incident (Shina Jihen)
波蘭	파란	Poland (Pōrando)
滿洲國	만주국	Manchukuo
朴錫胤	박석윤	Pak Sŏk-yun
東亞	동아	East Asia (Tōa)
朝鮮文人協會	조선문인협회	Chosŏn Writers' Association
李光洙	이광수	Yi Kwang-su
朝鮮的	조선적	Chosŏn-like / Korean-like
日本	일본	Japan (Nihon/Ilbon)
西園寺	사이온지	Saionji
大同鑛業株式會社	대동광업주식회사	Taedong Mining Co., Ltd.
李鍾萬	이종만	Yi Chong-man
朝鮮語學會	조선어학회	Chosŏn Language Society
李克魯	이극로	Yi Kŭk-no
朝鮮日報	조선일보	Chosŏn Ilbo
咸尙勳	함상훈	Ham Sang-hun
鮮滿拓殖會社	선만척식회사	Sŏnman Colonization Company (Sen-Man Takushoku Kaisha)
金東進	김동진	Kim Tong-jin
辛泰嶽	신태악	Sin T'ae-ak
永保合名會社	영보합명회사	Yŏngbo Limited Partnership Company
李定宰	이정재	Yi Chŏng-jae
朴昌薰	박창훈	Pak Ch'ang-hun
司空桓	사공환	Sakong Hwan
西域	서역	Western Regions (Seiiki)
世界	세계	World (Sekai)
列國	열국	Various nations
힛틀러	히틀러	Hitler
皇道精神	황도정신	Imperial Way Spirit (Kōdō Seishin)
覇道	패도	Way of the Hegemon (Hadō)
滿鮮日報	만선일보	Mansŏn Ilbo
洪陽明	홍양명	Hong Yang-myŏng
東京	동경	Tokyo
新京	신경	Shinkyō (Xinjing)
京城中央放送局	경성중앙방송국	Kyŏngsŏng Central Broadcasting Station
李晶燮	이정섭	Yi Chŏng-sŏp
大名	대명	Daimyō
幕府	막부	Shogunate (Bakufu)
國體	국체	National Polity (Kokutai)
李晟煥	이성환	Yi Sŏng-hwan
昭和維新	소화유신	Shōwa Restoration (Shōwa Ishin)
三千里社	삼천리사	Samch'ŏlli Company
金東煥	김동환	Kim Tong-hwan
鎌倉	가마쿠라	Kamakura
公卿家	공경가	Court Nobility families (Kugyō-ke)
歸還將兵	귀환장병	Returning soldiers

**Glossary**

我觀	아관	My view; My observation
首相	수상	Prime Minister
敎領	교령	Religious leader
株式會社	주식회사	Joint-stock company; Corporation
一體一心	일체일심	One body, one heart; Complete unity
世紀	세기	Century
風浪	풍랑	Wind and waves; Hardships; Tempests
新東亞建設	신동아건설	Construction of the New East Asia (Japanese wartime slogan)
大業	대업	Great task; Great undertaking
國民精神總動員	국민정신총동원	National Spiritual Mobilization (wartime movement)
聯盟	연맹	League; Federation
常務理事	상무이사	Standing Director
취임	취임	Taking office; Inauguration
幾日	기일	A few days
此際	차제	At this time; On this occasion
論評	논평	Commentary; Criticism; Review
타당치	타당치	Not appropriate; Not valid (Older contraction of 타당하지)
중지하겠나이다	중지하겠나이다	Will cease/stop (Formal, older ending)
醫學博士	의학박사	Doctor of Medicine (M.D.) or Medical Science (Ph.D.)
非常時	비상시	Emergency period; Time of crisis
主唱	주창	Advocate; Champion
在來	재래	Existing; Conventional; Past
부패	부패	Corruption; Decay
政黨	정당	Political party
百害	백해	A hundred harms; Great detriment
재벌	재벌	Plutocrat; Wealthy business group (Zaibatsu)
청산	청산	Liquidation; Clearing away
기본국책	기본국책	Fundamental national policy
出馬	출마	Stepping forward; Running for office (lit. riding out on a horse)
인물	인물	Figure; Personage
전번	전번	Previous time; Last time
~드니만큼	~드니만큼	Since ~ happened (Older grammatical form)
再出馬	재출마	Returning to office; Running again
응당	응당	Naturally; Deservedly; Of course
種子	종자	Seed
今般	금반	This time; Now
기여코	기어코	By all means; Definitely; Finally
성과	성과	Result; Fruit; Achievement
거둘	거둘	To harvest; To gather; To achieve
결심	결심	Determination; Resolve
註在	주재	Stationed in; Resident in
總領事	총영사	Consul-General
全民族	전민족	All peoples; Entire race/nation
希望	희망	Hope
協會	협회	Association
안해	아내	Wife (Slightly older/colloquial form)
용모	용모	Appearance; Features
~的	~적	Suffix meaning '-like' or '-ic'
公爵	공작	Duke
政界	정계	Political world; Political circles
팔자좋은	팔자 좋은	Fortunate; Lucky (lit. good fate/destiny)
汎博히	범박히	Broadly; Widely
사상	사상	Thought; Ideology; Philosophy
所以	소이	Reason why; Grounds
~ㄹ는지	~ㄹ는지	Whether ~ might be (Older conjectural ending)
閒養生活	한양생활	Life of leisure and recuperation; Retirement
西園寺	사이온지	Saionji Kinmochi (Japanese statesman)
만큼	만큼	As much as; To the extent of
사시기를	사시기를	Wish that (someone) lives (Honorific, older form of 사시기를)
바란다	바란다	Hope; Wish
新政治體制	신정치체제	New Political Structure (Konoe's initiative)
樹立	수립	Establishment
부여된	부여된	Entrusted; Granted; Given
역할	역할	Role
明日	명일	Tomorrow
미루어	미루어	Postpone; Put off
적어도	적어도	At least
금일	금일	Today
정국	정국	Political situation
담당자	담당자	Person in charge
適任	적임	Suitable person; Right person
語學會	어학회	Language Society
哲學博士	철학박사	Doctor of Philosophy (Ph.D.)
힘찬	힘찬	Powerful; Strong; Vigorous
編輯局長	편집국장	Editor-in-Chief; Managing Editor
平和境	평화경	Peaceful circumstances/environment
귀공자	귀공자	Nobleman's son; Young man of high birth
從來	종래	Conventionally; In the past; Hitherto
혁명가	혁명가	Revolutionary
경험한 바와 가처	경험한 바와 같이	As experienced (Older form of 같이)
투쟁	투쟁	Struggle; Fight
고난	고난	Hardship; Suffering
싸흔	쌓은	Built up; Accumulated (Older spelling of 쌓은)
軍部	군부	Military authorities; Military clique
기타	기타	Others; Etc.
勢力	세력	Power; Influence; Force
支持	지지	Support
모르지만	모르지만	Although (one) doesn't know; May not know, but
중대난관	중대난관	Serious difficulty; Major obstacle
처할	처할	To face; To encounter
무난히	무난히	Without difficulty; Smoothly
돌파할가	돌파할까	Will (he) break through? (Older interrogative form)
다각적	다각적	Multifaceted; From various angles
접촉	접촉	Contact
固陋	고루	Rigid; Inflexible; Narrow-minded
만큼	만큼	As; Since; Given that
적당한	적당한	Suitable; Opportune
기회	기회	Opportunity; Chance
비판자	비판자	Critic
지위	지위	Position; Status
두게	두게	To place; To put (Causative form)
함이	함이	Doing so (Nominalization + subject marker)
유익	유익	Benefit; Advantage
아닐가	아닐까	Might it not be? Isn't it? (Older interrogative form)
參事	참사	Councilor; Advisor
輓近	만근	Recently; Lately (Literary/older term)
我日本	아일본	Our Japan
미지수	미지수	Unknown quantity; X factor
總理大臣	총리대신	Prime Minister
旣知數	기지수	Known quantity
第一級	제일급	First-rate; Top class
인만치	인만치	As (he) is; Since (he) is (Older form, ~이므로 + 만큼)
국민	국민	People; Nation; Citizenry
信賴	신뢰	Trust; Confidence
방금	방금	Just now; Currently
順風掛帆	순풍괘범	Hoist sail in a fair wind; Smooth sailing
경지	경지	State; Situation; Realm
新體制	신체제	New Structure/System
강행	강행	Forcing through; Pushing forward
당하여서는	당하여서는	When facing; In regard to
자기반성	자기반성	Self-reflection
요할	요할	To require; To need
시기	시기	Time; Period
반듯이	반드시	Surely; Certainly; Inevitably
迫到	박도	To arrive; To approach; To impend
여하히	여하히	How; In what way (Older form of 어떻게)
타개하겠는가	타개하겠는가	How will (he) overcome?
