Magazine Title:	삼천리 제12권 제8호
Publication Date:	1940년 09월 01일
Article Title:	事變後의 現地朝鮮民衆, 靑島 濟南의 活·氣, 北支一帶에 朝鮮人 增加率 激甚 (The Korean Populace on Site After the Incident, the Vitality of Ch'ingtao and Chinan, Drastic Increase Rate of Koreans Throughout North China)
Author:	韓相龍 (Han Sangnyong)
Article Type:	기행문 (Travelogue)

The Korean Populace on Site After the Incident, the Vitality of Ch'ingtao and Chinan, Drastic Increase Rate of Koreans Throughout North China
						Han Sangnyong

I recently traveled through Tientsin, Peking, Ch'ingtao, and other places, and during that time, the development of Koreans throughout the North China (北支) area was astonishing. Here are a few impressions from my journey.

The Korean Volunteer Corps of Tientsin
Tientsin's population, which was 1.6 million before the Incident (事變), is currently 1.42 million; this is because a number of evacuated Chinese have not yet returned. The number of Mainland Japanese (內地人) is 50,000, an increase of 40,000 compared to before the war, and there are 8,000 Koreans, an increase of 4,000 from before the war. What is particularly noteworthy here is the Korean Volunteer Corps (朝鮮人義勇隊), which was organized immediately after the Incident. When the Japanese and Chinese forces first clashed at Tientsin Station, the Volunteer Corps Special Unit, composed solely of Korean youths, is said to have been considerably active on the front lines. At that time, a man named Paek Kwangch'ŏl (白光哲) died a heroic death. Afterwards, the military and other sectors were very concerned about the trends among Koreans, but among the Korean youth, even more applied to join this Volunteer Corps, increasing its numbers. Thus, it has now become a Volunteer Corps of 300 members. Initially, 20 of them were enlisted into the army for a short period of military training, followed by another 60 who received the same training. <70> This Volunteer Corps Special Unit played a very necessary role during the blockade of the concessions. They assisted by participating in inspections or serving as guards. Therefore, the military intended to pay them a daily wage for their labor, but they firmly refused; when forced to accept it, they reportedly collected it and contributed it as a National Defense Donation (國防獻金). They are youths burning with such patriotic devotion (愛國의 赤誠).
Also, during the Tientsin flood, this Volunteer Corps engaged in desperate activities, launching boats in the city to evacuate Mainland Japanese and Korean (內鮮) women and children to safe zones, rescuing those nearly drowned, and performing splendid lifesaving work for other Mainland Japanese and Koreans, achieving extraordinary and admirable results.
There is also a Korean National Defense Women's Association (朝鮮人國防婦人會), and regarding the actions of this National Defense Women's Association, I heard high praise when I met with Division Commander Honma (本間師團長).

Lutai Farm
This is a place where the Government-General (總督府), through the Oriental Development Company (東拓), purchased approximately 2,900 chōbo (町步) [approx. 2,876 hectares] of land in Lutai (盧臺) and is relocating Korean farmers (鮮農). Of this, 2,400 chōbo have been allocated to Korean farmers, and another 500 chōbo have been allocated to Chinese farmers. When the entire plan is completed, water conservancy will be abundant, and it appears harvests will yield four koku (石) [approx. 0.72 cubic meters] of unhulled rice per tanbo (反步) [approx. 0.1 hectare]. The capital for this project is 1.8 million yen, and it is now steadily nearing completion. Each household is given 2 chōbo of paddy field and 4 chōbo of dry field, and furthermore, for the Korean farmers, the land will become the cultivator's property after 25 years. The results of these relocated farmers seem generally best among those coming from the P'yŏngan North Province (平北) area. Therefore, the Government-General provides mediation, loans for farming tools, provisions, and other supplies, as well as low-interest funds.

Peking
Peking's population is calculated at 1.7 million people, among whom 50,000 are Mainland Japanese (內地人) and 20,000 are Koreans, both increasing compared to before the Incident.
In Peking, a new city plan is still being drafted. Outside Sŏjikmun (西直門), a city plan is being implemented on approximately 250,000 p'yŏng [approx. 82.6 hectares], with a policy decided to relocate government offices and various shops there, and it is currently progressing steadily. Furthermore, once that is completed, they intend to lay out road plans outside Tongjikmun (東直門). <71>

Public Order in North China
Currently, the number of Mainland Japanese residing in North China is estimated at 300,000, and Koreans at 50,000. Among them, quite a few have previously received censure from the authorities, but now, control in that area is very strict, and due to the populace's self-awareness, they are rapidly taking up legitimate occupations. This is truly a pleasing phenomenon.
The population density in North China is very high, so in my opinion, there seems to be little room left for immigration. Even in normal years, food supplies like 16 million bags of wheat, 3 million koku (石) of rice, and 400,000 tons of miscellaneous grains were insufficient, and last year's drought and floods caused severe shortages. Cotton production, normally 5 million tan (擔) [1 tan ≈ 60kg], was also very poor last year, yielding only about 900,000 tan.
Currently, one can distinguish between areas where public order is maintained and areas where bandits (匪賊) appear, but I believe it will take a considerable amount of time to maintain order even in these bandit-infested regions. In this regard, while expressing gratitude for the past labors of the Imperial Army (皇軍), I also place my hopes in their future efforts. The Communist forces (共産軍) too, following what might be called the "Three Norths Doctrine" (三北主義), are eyeing only the north of Suiyuan Province (綏遠省), the north of Hopeh Province (河北省), and the north of Shansi Province (山西省) and causing trouble. They are truly like flies; when the Imperial Army advances, they quickly flee and scatter, but when the Imperial Army returns, they gather again, making the situation very troublesome.
I also heard talk that if you go a little north from Peking, there are bandits and Communist forces.

Chinan
Chinan (濟南), the capital of Shantung Province (山東省), is situated midway along the Tsinpu Line (津浦線), built in Meiji 41 (1908) with German capital, and is now a center of activity for important military organizations. I inspected this place in Taishō 6 (1917), and the difference between then and now is like that between heaven and earth. Businesses run by Mainland Japanese are prosperous, and consequently, many Peninsular people (半島人 - Koreans) have also gone there. Among them, there are 15,000 Mainland Japanese and 3,000 Koreans.
This place has the best and most abundant water quality in North China. There are many underground water veins, and clear water emerges anywhere if you dig just 2 or 3 ch'ŏk (尺) [1 ch'ŏk ≈ 30.3 cm]. Traveling through North China, where water is bad, <72> coming to Chinan truly gives one a refreshed, clear feeling, as if revived. The water sources are indeed abundant in volume, and places like P'ao-t'u Spring (王突泉 - Baotu Spring) are splendid ponds where water springs forth everywhere.

Ch'ingtao
Ch'ingtao (靑島) came into being through German occupation in 1897; previously, it was a remote village. Although it has had a varied history, on January 10, Shōwa 13 (1938), after driving out Han Fuju (韓復渠) from Chinan, the Imperial Army occupied it, leading to the present day. The city features German-style red-tiled roofs, with small hills covered in green trees behind it, built along a beautiful coastline. The mountains are green, the water is blue, and the entire city is paved with asphalt, making it the cleanest city in North China. The wharves are divided into 1, 2, and 3, capable of accommodating ships of 10,000 tons.
The annual trade volume is 280 million yen, with an import surplus of about 50 million yen. For trade from Korea to North China, Ch'ingtao is the closest distance; recently, one can reach Kyŏngsŏng (京城 - Seoul) by airplane in two and a half hours.
Ch'ingtao's population is roughly 250,000, with about 20,000 Mainland Japanese and 3,000 Koreans living there. There are spinning mills located in various places.
Besides these, coal is produced, and salt production and agriculture are also prosperous.
Regarding transportation, there are regular ship lines from Shanghai, Dairen (大連), and Inch'ŏn (仁川), and it is connected by rail to Shanghai, Chinan, Tientsin, and Peking. It is cool in summer and warm in winter, truly a hygienic and healthy place. An interesting thing is that every year from June to early September, about 50 British and American warships come here to escape the heat (避暑). They conduct drills in the morning and rest in the afternoon. Merchant ships invariably follow the warships, carrying the families of the servicemen. Therefore, the amount of money spent by British and American military personnel in Ch'ingtao during these few months is said to reach about 10 million dollars. These sailors are very rough with their spending, tossing 4 or 5 yuan for a single ride in a Chinese rickshaw (人力車). Then, in late September, these warships return to warmer regions, namely Hong Kong and Singapore.

Mr. Lin Hun's Tobacco Business
Mr. Lin (林薰氏), a native of Chinnamp'o (鎭南浦), studied abroad in Germany early on. Spurred by his father's <73> business failure, he went to Ch'ingtao in Shōwa 10 (1935) and obtained a tobacco manufacturing permit from the consulate. He now has two factories there, equipped with 30 machines, producing about 5 billion sticks of double-cut cigarettes annually. Previously, the Anglo-American trust (英米토라스트) held significant influence in the North China region, but currently, due to Mr. Lin's tobacco industry, the Anglo-American trust retains only 30%. About 70% of the tobacco sold is Mr. Lin's, and it seems the Anglo-American influence has been driven out. This business is very promising, and with the second phase plan, it will be possible to produce 10 billion sticks. Currently, he has entrusted sole distribution rights to Mitsui Bussan (三井物産), and the annual commission paid is nearing one million yen.
Although the company is currently called a stock company (주식회사), it is entirely under Mr. Lin's ownership. He is currently applying for permission for a plan with 5 million yen fully paid-in capital. Furthermore, as British relations in China are not thriving much now, and Chinese authorities also tend to obstruct the sale of Anglo-American trust tobacco in shops, the products of Mr. Lin's company are becoming even more advantageous. The Government-General has also provided considerable assistance, both human and material, to this company, making it truly promising.

Conclusion
Overall, I was very pleased with my inspection tour of North China this time, and I have high hopes for the future. My only wish is that I keenly feel the need for Japanese and Chinese people (日支人) in the North China region to further recognize Korea anew. I also hope that considerable capital from both Mainland Japanese and Koreans (內鮮人) from the Peninsula will be sent in to conduct business. And in terms of personnel, I hope for significant contributions from the Peninsula. -End- <74>

**Summary**

This 1940 travelogue by Han Sangnyong describes his observations of Korean communities and activities in Japanese-occupied North China (Tientsin, Peking, Chinan, Ch'ingtao) following the outbreak of the Second Sino-Japanese War ("the Incident"). He highlights the significant increase in the Korean population, their active participation in pro-Japanese activities like the Tientsin Volunteer Corps and National Defense Women's Association, the Government-General sponsored agricultural settlement project at Lutai, and the success of Korean entrepreneurs like Lin Hun in Ch'ingtao's tobacco industry, displacing Western competitors. Han expresses satisfaction with these developments and calls for greater Japanese/Chinese recognition of Korea's role and further investment and personnel contribution from Korea to the region. From a historical perspective, the article is revealing as it provides a contemporary, pro-Japanese Korean elite viewpoint on Korean migration and integration into Japan's wartime expansion in China. Historians might find the specific details on the Korean Volunteer Corps, the Lutai settlement project, Lin Hun's business displacing Anglo-American interests, and the author's explicit framing of these activities as positive contributions to the Japanese empire particularly interesting for studying collaboration, colonial migration, and economic dynamics during the period.

**Named Entities**

韓相龍	한상룡	Han Sangnyong
天津	톈진	Tientsin
北京	베이징	Peking
靑島	칭다오	Ch'ingtao
北支	북지	North China
濟南	지난	Chinan
白光哲	백광철	Paek Kwangch'ŏl
朝鮮人義勇隊	조선인 의용대	Korean Volunteer Corps
本間師團長	혼마 사단장	Division Commander Honma
朝鮮人國防婦人會	조선인 국방부인회	Korean National Defense Women's Association
蘆台	노대	Lutai
總督府	총독부	Government-General
東拓	동척	Oriental Development Company (Tōyō Takushoku)
平北	평북	P'yŏngan North Province (abbreviation)
西直門	서직문	Sŏjikmun (Xizhimen)
東直門	동직문	Tongjikmun (Dongzhimen)
綏遠省	수원성	Suiyuan Province
河北省	하북성	Hopeh Province (Hebei)
山西省	산서성	Shansi Province (Shanxi)
皇軍	황군	Imperial Army (Japanese)
共産軍	공산군	Communist Army
津浦線	진포선	Tsinpu Line (Tianjin-Pukou Railway)
山東省	산동성	Shantung Province (Shandong)
韓復渠	한복거	Han Fuju
林薰氏	임훈 씨	Mr. Lin Hun (Im Hun)
鎭南浦	진남포	Chinnamp'o
三井物産	미쓰이 물산	Mitsui Bussan

**Glossary**

事變	사변	Incident (Referring to the Second Sino-Japanese War, 1937-)
現地	현지	The actual place, on site
活·氣	활기	Vitality, liveliness
一帶	일대	Throughout the area, zone
激甚	격심	Drastic, severe, intense
印象	인상	Impression
內地人	내지인	Mainland people (Referring to Japanese from the Japan mainland)
義勇隊	의용대	Volunteer corps
卽後	즉후	Immediately after
交戰	교전	Battle, engagement
第一線	제일선	Front line
壯烈	장렬	Heroic, brave (esp. in death)
戰死	전사	Death in battle
동향	동향	Trend, tendency
租界	조계	Concession (foreign settlement area in China)
臨檢	임검	Inspection, check
파수병	파수병	Guard, sentry
勞	노	Labor, effort
日給	일급	Daily wage
사양	사양	Refusal, declining (out of modesty or politeness)
國防獻金	국방헌금	National Defense Donation
赤誠	적성	Sincere heart, devotion
水害	수해	Flood damage
救命	구명	Lifesaving
奇特	기특	Admirable, praiseworthy
町步	정보	Chōbo (unit of area, approx. 0.99 hectare)
鮮農	선농	Korean farmer(s) (abbreviation)
割受	할수	Allocation, allotment
水利	수리	Water conservancy, irrigation
一反步	일반보	Tanbo (unit of area, approx. 0.1 hectare)
籾	모	Unhulled rice, paddy
石	석	Koku (unit of volume, approx. 180 liters)
戶	호	Household
作人	작인	Cultivator, tenant farmer
斡旋	알선	Mediation, arrangement
農糧	농량	Farm provisions
貸付	대부	Loan, lending
治安	치안	Public order, security
在留	재류	Residing (in a foreign country)
譴責	견책	Reprimand, censure
取締	취체	Control, crackdown, regulation (Older term, modern Korean: 단속)
正業	정업	Legitimate occupation
旱害	한해	Drought damage
擔	담	Dan (unit of weight, approx. 60kg, also Picul)
匪賊	비적	Bandits
囑望	촉망	To place hope in, expect much from
驅逐	구축	Expulsion, driving out
埠頭	부두	Wharf, pier
入超	입초	Import surplus, trade deficit
近者	근자	Recently
石炭	석탄	Coal
鹽業	염업	Salt industry
토라스트	토라스트	Trust (loanword for economic trust, e.g., 英米토라스트 - Anglo-American Trust)
振興	진흥	Promotion, encouragement
製品	제품	Product, manufactured goods
切望	절망	Earnest hope, desire
寄與	기여	Contribution


---------------------------


잡지명	삼천리 제12권 제8호
발행일	1940년 09월 01일
기사제목	事變後의 現地朝鮮民衆, 靑島 濟南의 活·氣, 北支一帶에 朝鮮人 增加率 激甚
필자	韓相龍
기사형태	기행문

事變後의 現地朝鮮民衆, 靑島 濟南의 活·氣, 北支一帶에 朝鮮人 增加率 激甚
						韓相龍
나는 이번에 天津, 北京, 靑島 등지로 다녀왓는데, 그 사이에 北支 一帶의 朝鮮人의 발전은 놀랍습데다. 이제 여행중 印象된 몇가지를 적어보면 이러험니다.

天津의 朝鮮人 義勇隊
天津인구는 事變前에는 160만이든 것이 현재는 142만명인데, 避難支那人들이 아직 귀환치 않은 수효가 있어 그러합니다. 內地人은 5만명, 戰前에 비하여 4만명의 증가요, 朝鮮人은 8천명이 있는데 戰前보다 4천명이 늘었습니다. 여기서 특별히 기록할 것은 朝鮮人義勇隊로서 事變卽後에 조직되었어요. 최초 日支兩軍이 天津驛에서 交戰했을 때 朝鮮人 청년으로만 조직된 義勇隊特別班은 第一線에서 상당히 활약했다 합니다. 그때 白光哲이라는 이가 壯烈한 戰死를 하였던 것입니다. 그 뒤 軍, 그他 방면에서 朝鮮人의 동향을 매우 근심했었는데 朝鮮人 청년중에는 더욱 이 義勇隊에 가입을 신청하여 인원이 증가되었습니다. 그래서 지금은 3백명이나 되는 義勇隊가 되었으며, 처음에는 그 중에서 20명을 군대에 입영시켜서 단기간이지만 군대교육을 시킨 뒤, 계속해서 60명을 입영시켜서 같은 교육을 시켰었는데＜70＞이 義勇隊特別班이 租界封鎖때 매우 필요한 역할을 했던 것이외다. 혹은 臨檢에 從事하고, 혹은 파수병이 되어서 도왔던 것입니다. 故로 軍은 그 勞에 대하여 日給을 주려하며, 그들은 굳이 사양했으며, 억지로 주면 그들은 이것을 모아서 國防獻金하였다고 합니다. 그처럼 愛國의 赤誠에 불타고 있는 청년들입니다.
또 天津의 水害時에는 이 義勇隊가 필사적 활동을 하여서 市中에 배를 띠우고 內鮮의 婦人子女를 안전지대에 피난시켰고, 거의 익사케된 者를 구조했으며, 그 他의 內鮮人에 대하여 훌륭한 救命작업을 해서 그 성적이 非常했을 뿐만 아니라 奇特했던 것입니다.
그 他 朝鮮人國防婦人會도 있고, 이 國防婦人會의 행동에 대해서도 나는 本間師團長을 면회했을 때에도 매우 칭찬하는 말씀을 들었습니다.

蘆台農場
이곳은 總督府가 東拓을 통하여 盧臺에 약2천9백町步의 토지를 매입했으며, 鮮農을 移住시키는 곳입니다. 그중 鮮農에는 2천4백町步를 割受했고, 더욱 支那농민에게도 5백町步를 割受해 주었습니다. 그리고 전체의 계획이 끝나면 水利도 풍부하고, 수확같은 것도 一反步에 籾四石의 수확이 있을 모양입니다. 이 사업자금은 180만원이며, 지금 착착 완성되고 있습니다. 그리고 한 戶에 대해서 논 2町步, 밭 4町步를 주고 있으며, 더욱 鮮農에서는 25개년만에 그 토지를 作人의 소유가 되도록 합니다. 그 移住農民의 成績은 대체로 平北방면으로부터 오는 者가 제일 많은 듯 합니다. 그래서 總督府에서는 斡旋해서 農具와 農糧, 그他 비품을 貸付하고, 또 低利資金을 貸付합니다.

北京
北京의 인구는 백70만人을 算하고 있으며, 그 중에 內地人이 5만人이오 朝鮮人 2만人으로 모두 事變前에 비하여 증가하고 있습니다.
北京의 시가는 아직 신시가를 계획중이며, 西直門외에는 약25만坪에 시가지 계획을 시행하여 官署와 諸상점을 그곳에 옮기기로 방침이 결정되었으며, 지금 착착 진행중입니다. 더욱, 그것이 끝나면 東直門외에 도로은 계획을 세우려고 합니다. ＜71＞

北支의 治安
현재 北支에 在留하고 있는 內地人은 30만人, 朝鮮人은 5만人을 헤이게 됩니다. 이들 중에는 종래 당국의 譴責을 받은 者가 상당히 많으나, 지금은 그 방면의 取締가 매우 엄중하고, 또 민중의 자각에 의해서 속속 正業을 붙잡습니다. 이것은 실로 기뿐 현상입니다.
北支의 인구는 매우 조밀하여서, 내 생각으로는 移民餘地는 별로 여유가 없으리라고 생각합니다. 食糧같은 것도 平年에는 小麥 천6백만袋, 米 3백만石, 雜穀 40만噸이었는데 그것으로도 부족을 가져왔으며, 더욱 작년의 旱害와 水害에 의해서 몹시 부족했습니다. 棉花도 평년 5백만擔 産하고 있었는데, 작년에는 매우 흉작으로 약 90만擔 밖에 産出못한 정도입니다.
지금, 치안이 유지된 구역과 匪賊이 출몰하는 구역을 각각 구별할 수는 있으나, 이 匪賊이 출몰하는 지역까지도 치안을 유지케 하려며는 상당한 시일이 걸리리라고 생각합니다. 이에 있어서 더욱 皇軍의 활동에 대하여 종래의 勞를 감사하는 동시에 장래를 囑望하는 바입니다. 共産軍들도 소위 三北主義이라고 말할지, 즉 綏遠省의 北河北省의 北, 山西省의 北方만을 엿보고 시끄럽게 굴고 있습니다. 그들은 정말 파리와 같이 皇軍이 진격하면 얼른 逃走四散하지만 皇軍이 돌아오면 다시 모여드는 상태이매 매우 조찬습니다.
또 北京에서 좀 北쪽으로 가면 匪賊과 共産軍이 있다고도 말하는 것을 들었습니다.

濟南
濟南은 明治41년 獨逸의 자본에 의해서 건설된 津浦線 중간에 위치하여 있는 山東省의 首府요, 지금은 軍의 중요한 기관의 활동지가 되어 있습니다. 나는 大正6년에 當地를 시찰했었는데 당시는 지금과 天地霄壤의 差가 있습니다. 內地人의 장사도 殷盛하며, 따라서 半島人도 많이 가 있습니다. 그 중에 內地人이 1만5천人이고, 朝鮮人이 3천人입니다.
當地는 北支에서 제일 水質이 양호하고 풍부한 곳으로 그리고 지하에 수맥이 많아서 2,3尺가량 파도 어데서든지 맑은 물이 나옵니다. 北支처럼 물 나쁜 곳을＜72＞ 다니다가 濟南에 오면 실로 다시 산듯한 맑은 기분을 가지게 됩니다. 수원지도 실로 수량이 풍부하며 王突泉같은 것도 훌륭한 못이여서 물이 어데서든지 産出하고 있습니다.

靑島
