**Header Section:**
Magazine Title: 三千里 第12卷 第8號
Publication Date: 1940년 09월 01일 (September 1, 1940)
Article Title: 我觀『히틀러總統』 (My View of 'President Hitler')
Author: [Multiple contributors listed below]
Article Type: 설문 (Survey)

**Body Text Translation:**
My View of 'President Hitler'

Pak Sŏk-yun, Former Manchukuo Consul General stationed in Poland

A hero of singular genius.

Pak Ch'ang-hun, Doctor of Medicine

Judging by Lombroso's book "Genius and Insanity," he seems half-mad, half-genius, but the conclusion is that he is an outstanding person.

Sakong Hwan

President Hitler is a genius hero who is now conquering the European world and attempting to renew the hearts and minds of the world. Seeing his consistent pursuit of hegemony (覇道一貫) and exaggeration of bold spirit, it would not be an overstatement to say he surpasses the great Napoleon.

Yi Chong-man, Founder of Taedong Mining College

President Hitler is the hero of today. However, the existence of today's Hitler is a gift of the great unity of the German people. As long as progress can be expected from the world being in flux, Germany's victory will surely spur a transition to a new order. <39>

Yi Chŏng-sŏp, Kyŏngsŏng Central Broadcasting Station

I don't know if he can be called a hero, but whether he is a politician or not is difficult to assert without seeing the progress of the future European new order construction movement. Things like visiting Napoleon's tomb to pay respects after capturing Paris can be seen as a masterpiece from a human perspective.

Yi Chŏng-jae, Director at Yŏngbo Hapmyŏng Hoesa

President Hitler is a hero and a man of spirit born of the 20th century. When he conducted the signing ceremony for the subjugation of France in the sleeping car, the long-cherished desire of the Germanic people, displayed in the Forest of Compiegne, not only we of the friendly nation Japan, but surely everyone must have felt exhilaration. He will certainly achieve final victory, and I pray it will be so.

Yi Kŭk-ro, Chosŏn Language Society (Doctor of German Philosophy)

A forceful person.

Sin T'ae-ok, Lawyer

Although I think there might be room for various criticisms regarding his character as a human being, he is an unprecedented hero produced by the German nation; furthermore, he is truly a god-like man of genius who creates his own foundation, base, and even stirs the winds and clouds. Thinking about it, his future will be eventful.

Kim Tong-jin, Counsellor at Sŏnman Colonization Company

Until the "Hitler Jugend" becomes the backbone of Germany, it might be premature to speak of the stability of "Hitler's Germany." What does his pilgrimage to Napoleon's tomb right after entering Paris suggest? It is difficult for an ordinary person to guess what lies behind that gate. <40>

Hong Yang-myŏng, Editor-in-Chief at Mansŏn Ilbo

The fact that figures who followed conventional paths, gaining seniority and climbing the ladder step-by-step, cannot accomplish great things is a practical lesson given by the epoch-making success today of Mr. Hitler, who was a corporal 21 years ago—a truly thrilling event! Moreover, his fanatical passion and speedy drive speak to him being a genius among geniuses.

Chŏng Sŏk-t'ae, Doctor of German Medicine

One. To the German people, rather than President Hitler, he will be recognized as a savior who resurrected the German nation from the land of the dead.
Two. He becomes a leader providing the motive for self-awareness to find a way forward for the world's poor nations (Japan, Germany, Italy) and oppressed countries (India, China, South America, etc.), allowing us to see a bright world reformation, and making Britain, France, the US, etc., receive punishment for the sins they committed—he seems to be a rare, exhilarating great man of modern history.

Chŏng Kyo-wŏn, Managing Director of the National Spiritual Mobilization Chosŏn League

Based on his actions up to today, I do not hesitate to call Mr. Hitler one of the great men of the modern era. Whether looking at his spirit of sacrifice or his executive ability... However, whether he will truly become a great man in history or not remains to be seen in the future. If he merely ends with a vain, hegemonic victory, he will be nothing more than a prominent figure of his time; if he can capably complete his proclaimed thousand-year project with justice, he will truly become Europe's foremost great man in history.

Yi Kwang-su, Former Chairman of the Chosŏn Literary Association

Around Shōwa 5 (1930), I translated and published a part of Hitler's "Mein Kampf" (in the Tōkō Sōsho series). And I pointed out that this totalitarianism (全體主義) would surely sweep the world of the future. The word 全體主義 in Chinese characters <41> was first used by me in "Tōkō" (東光). At that time, the word "Fascio" existed, but the word 全體主義 did not.
In the movie "Festival of the Nations" (民族의 祭典), there were several snaps of President Hitler watching the Olympic Games. There were scenes of him clenching both fists and fretting when German athletes were in tight spots, and rejoicing when German athletes won. Seeing his demeanor as a human being like that made me happy.
He is a person who has no family, no pleasures, and makes patriotism his life.

Ham Sang-hun, Editor-in-Chief at Chosŏn Ilbo

Having risen from a corporal through struggle to attain his current position, there is no doubt he is a hero. The mission of the Führer, who has emerged bearing the thousand-year destiny of the German nation, is heavy and great. I look forward to the day he succeeds in breaking the world dominance of the Anglo-Saxon race. However, if, in dealing with the Anglo-Saxons, he uses Germanness, and instead of capital, uses violence to oppress numerous weak and small nations, the people of the world will once again be unable to live in peace.

Ch'oe Ch'ang-hak, President of Taech'ang Mining Company

Hoping he doesn't become a second Napoleon?

Yi Chong-nin, Leader of T'iandoism (天道敎)

A hero with two sides, wisdom and foolishness.

Yi Sŏng-hwan, Director at Taedong Mining Company

An energetic man of the emergency type; once the Great War ends and perhaps a European federation is formed, he will be an unnecessary figure for the German populace.

Kim Tong-hwan, President of Samch'ŏlli Company <42>
(Continued on page 141)
More than anything, he knows how to write with his own hand, speaks his mind without a secretary's draft; whereas the path to becoming a hero often involves deification by hiding one's rather unattractive face from the crowd as much as possible, he enjoys appearing before the crowd too much; he doesn't wear a bulletproof vest out of fear of the people, nor does he sit in a car fitted with bulletproof glass windows; he has served time in prison; before becoming Commander-in-Chief, he carried a rifle as a corporal and went to the battlefield; he has not married for the sake of the country; I have not heard of beautiful women and fine wine in his residence—thus, he gives the impression of a great man, a truthful man.—(End)— <141>
<39-42, 141>

**Summary**

This 1940 article from the Korean magazine *Samch'ŏlli* compiles opinions from various prominent Korean figures on Adolf Hitler. The views are diverse, ranging from admiration for Hitler as a "genius," "hero," and "savior" of Germany who challenges the existing world order dominated by Britain and France, to more cautious or critical assessments questioning his methods, long-term impact, and comparing him (sometimes unfavorably) to Napoleon. Several commentators express exhilaration at Germany's victories, seeing them as paving the way for a "new order," while others worry about replacing one form of dominance (Anglo-Saxon) with another (German). For historians of colonial Korea, this article is revealing as it shows a spectrum of elite Korean opinion during the height of Japanese imperialism and the early stages of WWII. It demonstrates how some Koreans aligned themselves ideologically with the Axis powers, viewing Hitler's rise as a positive force against Western imperialism, while others, even amidst praise, expressed reservations about the nature of his power and the potential consequences for weaker nations, reflecting the complex political positioning of Koreans under colonial rule. Yi Kwang-su's claim to have coined the Korean term for "totalitarianism" (全體主義) is also noteworthy.

**Named Entities**

히틀러總統	히틀러 총통	President Hitler
波蘭	파란	Poland
滿洲國	만주국	Manchukuo
朴錫胤	박석윤	Pak Sŏk-yun
朴昌薰	박창훈	Pak Ch'ang-hun
롬부로소	롬부로소	Lombroso
司空桓	사공환	Sakong Hwan
歐洲	구주	Europe
奈巴崙	나파륜	Napoleon
大同鑛業專門學校	대동광업전문학교	Taedong Mining College
李鍾萬	이종만	Yi Chong-man
獨逸	독일	Germany
京城中央放送局	경성중앙방송국	Kyŏngsŏng Central Broadcasting Station
李晶燮	이정섭	Yi Chŏng-sŏp
巴里	파리	Paris
永保合名會社	영보합명회사	Yŏngbo Hapmyŏng Hoesa
李定宰	이정재	Yi Chŏng-jae
큼펜뉴의 森林	콩피에뉴의 삼림	Forest of Compiegne
佛	불	France (Abbreviation for 佛蘭西)
日本	일본	Japan
朝鮮語學會	조선어학회	Chosŏn Language Society
李克魯	이극로	Yi Kŭk-ro
辛泰嶽	신태악	Sin T'ae-ok
鮮滿拓殖會社	선만척식회사	Sŏnman Colonization Company (Sŏnman T'akshik Hoesa)
金東進	김동진	Kim Tong-jin
힛틀러유겐트	히틀러 유겐트	Hitler Jugend
奈翁	나옹	Napoleon (翁 means old man/venerable man)
滿鮮日報	만선일보	Mansŏn Ilbo
洪陽明	홍양명	Hong Yang-myŏng
鄭錫泰	정석태	Chŏng Sŏk-t'ae
伊	이	Italy (Abbreviation for 伊太利)
印	인	India
支	지	China (Used archaically/pejoratively)
南米	남미	South America
英	영	Britain (Abbreviation for 英國)
米	미	USA (Abbreviation for 米國)
國民精神總動員朝鮮聯盟	국민정신총동원조선연맹	National Spiritual Mobilization Chosŏn League
鄭僑源	정교원	Chŏng Kyo-wŏn
前朝鮮文人協會	전조선문인협회	Former Chosŏn Literary Association
李光洙	이광수	Yi Kwang-su
昭和	쇼와	Shōwa (Japanese era name)
東光叢書	동광총서	Tōkō Sōsho (Tonggwang Ch'ongsŏ - East Light Series)
東光	동광	Tōkō (Tonggwang - East Light, likely a publication name)
民族의 祭典	민족의 제전	Festival of the Nations (Olympia film title)
朝鮮日報	조선일보	Chosŏn Ilbo
咸尙勳	함상훈	Ham Sang-hun
앵글로·싹손	앵글로색슨	Anglo-Saxon
게르만	게르만	German (people/race)
大昌鑛業株式會社	대창광업주식회사	Taech'ang Mining Company
崔昌學	최창학	Ch'oe Ch'ang-hak
天道敎	천도교	T'iandoism (Ch'ŏndogyo)
李鍾麟	이종린	Yi Chong-nin
李晟煥	이성환	Yi Sŏng-hwan
三千里社	삼천리사	Samch'ŏlli Company
金東煥	김동환	Kim Tong-hwan

**Glossary**

我觀	아관	My view/observation
總統	총통	President (used for Hitler, equivalent to Führer)
駐在	주재	Stationed in, resident
總領事	총영사	Consul General
一天才	일천재	A singular genius, a unique talent
빗추면	비추면	If compared to, judging by (Older spelling of 비추면)
狂人	광인	Madman, insane person
뛰여난	뛰어난	Outstanding, excellent (Older spelling of 뛰어난)
석권	석권	To conquer, sweep over
人心	인심	People's hearts and minds
一新	일신	Renewal, complete change
覇道	패도	Hegemony, rule by force
豪氣	호기	Bold spirit, heroism
奈巴崙	나파륜	Napoleon (Phonetic transcription)
校主	교주	Founder (of a school)
단결력	단결력	Power of unity, solidarity
流動	유동	Flux, flow, movement
戰勝	전승	Victory in war
新秩序	신질서	New Order
박차를 가하다	박차를 가하다	To spur on, accelerate
放送局	방송국	Broadcasting station
헐 수	할 수	Can do (Dialectal/older form of 할 수)
안이고는	아니고는	If not, unless it is
금후	금후	Hereafter, from now on, the future
함락	함락	To capture, fall (of a city)
경의를 표하다	경의를 표하다	To pay respect/homage
傑作	걸작	Masterpiece
重役	중역	Director, executive (of a company)
쾌남아	쾌남아	Man of spirit, gallant man
큼펜뉴	콩피에뉴	Compiegne (Phonetic transcription)
진열	진열	Display, exhibition
켈만민족	게르만 민족	Germanic people (켈만 is likely a phonetic rendering of German)
숙원	숙원	Long-cherished desire/dream
寢臺車	침대차	Sleeping car (train carriage)
佛	불	France (Abbreviation)
제압	제압	Subjugation, suppression
調印	조인	Signing (of a treaty/agreement)
友邦	우방	Friendly nation, ally
통쾌	통쾌	Exhilaration, great satisfaction
획득	획득	Acquisition, attainment
세찬	세찬	Forceful, strong, fierce
辯護士	변호사	Lawyer
인격상	인격상	Regarding personality/character
논평	논평	Commentary, criticism
여지	여지	Room, scope
不出世	불출세	Unprecedented, never seen before
地盤	지반	Foundation, base
土臺	토대	Foundation, groundwork
風雲造化	풍운조화	Stirring winds and clouds; creating a great disturbance or change
自作自演	자작자연	Writing and performing oneself; doing everything oneself
多端	다단	Eventful, complicated
參事	참사	Counsellor
早計	조계	Premature calculation, hasty conclusion
벽두	벽두	Very beginning
示唆	시사	Suggestion, implication
凡人	범인	Ordinary person
門裏	문리	Inner workings, hidden meaning (Literally 'inside the gate')
編輯局長	편집국장	Editor-in-Chief
貫錄	관록	Experience and seniority
階梯	계제	Steps, ladder, stages
밟아 올너온	밟아 올라온	Having climbed up step-by-step (올너온 is older spelling of 올라온)
舊套依然	구태의연	Following old customs, conventional
實物敎育	실물교육	Object lesson, practical lesson
一伍長	일오장	Corporal (伍長 is an older term)
劃時代的	획기적	Epoch-making, groundbreaking
광신적	광신적	Fanatical
돌진력	돌진력	Driving force, momentum, impetus
死地	사지	Place of death, desperate situation
부활	부활	Resurrection, revival
구세주	구세주	Savior, Messiah
貧難國	빈난국	Poor nations
被壓迫國	피압박국	Oppressed nations
活路	활로	Way out, path to survival
自覺	자각	Self-awareness, consciousness
동기	동기	Motive, cause
맹주	맹주	Leader (of an alliance)
明朗	명랑	Bright, cheerful (here implies a positive future)
改造	개조	Reformation, remodeling
罪惡	죄악	Sins, evils
行狀	행장	Conduct, behavior
躊躇	주저	Hesitation
희생적	희생적	Sacrificial
실행력	실행력	Executive ability, ability to act
허영적	허영적	Vain, ostentatious
패도적	패도적	Hegemonic, tyrannical
終始	종시	To end up as, merely result in
傑物	걸물	Prominent figure, outstanding person
不外	불외	Nothing more than, merely
標榜	표방	Advocacy, proclamation
千年事業	천년사업	Thousand-year project/enterprise
정의	정의	Justice, righteousness
