Magazine Title: 삼천리 제12권 제8호
Publication Date: 1940년 09월 01일
Article Title: 女性消息 (Women's News)
Article Type: 소식 (News/Updates)

**Women's News**

Ms. Hwang Sin-dŏk (黃信德氏) (Former Tong-A Ilbo Reporter)
Having recently resigned from the Tong-A Ilbo, Ms. Hwang is said to be transitioning from the field of journalism to education and is establishing a home economics girls' school, keeping her very busy with preparations.

Ms. Im Yŏng-sin (任永信氏) (Principal of Central Nursery School)
It was heard that she had been in the United States for a long time raising funds for the school, and the results were good, so she returned safely last month.

Ms. Mo Yun-suk (毛允淑氏) (Poet)
Not only does she write poetry well, but she is also very skilled in speech. Since joining the broadcasting station, her speaking skills have become even more proficient. In the morning, she connects with housewives through cooking lectures, and in the evening, she connects with children through the children's newspaper. Rumor has it that her voice is getting better day by day, making both mothers and children happy.

Namgung Yoanna (南宮요안나) (Wife of Mr. Chŏng Hyŏn-ung 鄭玄雄氏)
They were said to be enjoying their newlywed life set up in Ttuksom, and she gave birth to a precious baby boy a month ago.

Ms. Yi Hyŏn-uk (李現郁氏) (Wife of Mr. Im Hwa 林和氏)
As she is frail, she is recuperating at her parents' home in Masan. It's said that she loves the blue sea, and on fine days, she goes out to the sea and enjoys gathering sea cucumbers, oysters, and clams.

Ms. No Ch'ŏn-myŏng (盧天命氏) (Poet)
Although she has become quite cheerful after visiting her older sister's house in the countryside, during the monsoon, moisture <152> has seeped into her room, making the walls damp. She says she feels frustration just sitting quietly in the room.

Ms. Yi Sŏn-hŭi (李善熙氏) (Novelist)
Her baby has already grown quite big. She is an enthusiast who takes her baby to see movies whenever a good one is showing.

Ms. Son Ch'o-ak (孫初岳氏) (Poet)
She gave birth to a precious baby boy some time ago. Despite the tedious monsoon, both mother and baby are reportedly doing well.

Ms. Im Hyo-jŏng (林孝貞氏) (Former Girls' Commercial School Teacher)
She built a new house on high ground in P'yŏngdong-jŏng (平洞町) and was living comfortably with her daughter, though without her husband. However, during the recent monsoon, the retaining wall collapsed, causing the house to lean to one side, resulting in significant damage.

Ms. Im Chŏng-hŭi (林貞姬氏) (Widow of the late Pak Yong-ch'ŏl 朴龍喆氏)
She collected the manuscripts of her late husband and published a complete collection of his poetry and criticism.

Ms. Kim Su-im (金壽任氏) (Seburansŭ Dental Clinic 世富蘭偲齒科)
After a month of seaside living, her face has become tanned and glossy, and her figure quite plump. With her hair down and a red ribbon tied on top, rumor has it she looks as cute as a child.

Ms. Ch'oe Ok-hŭi (崔玉禧氏) (Hagyessa 學藝社)
She had been recuperating from a chronic illness at a sanatorium outside the city for a long time, but recently she has fully recovered and is active again in company affairs.

Ms. Cho Kyŏng-hŭi (趙敬姬氏) (Chosŏn Ilbo Reporter)
She has recently resigned from the Chosŏn Ilbo and intends to embark on a long journey far away.

Ms. Chŏng Ok-kyŏng (鄭玉卿氏) (Wife of Mr. An Hwa-nam 安懷南氏)
Having previously had two sons, she has now given birth to a daughter as round as the moon.<153>

**Actress Correspondence**

Ms. Chi Kyŏng-sun (池京順氏)
Having spent a long time only in stage life, perhaps with something specific in mind, she has reportedly taken on the role of Kim Yŏng-suk (金英淑) in the first production of Kyŏngsŏng Film Company (京城映畵社), "The Ethics of a Wife" (안해의 倫理).

Ms. Mun Ye-bong (文藝峯氏)
News is that she went to Tokyo on the 28th of last month to appear in films, having signed a contract with Tokyo's Shōchiku Ōfuna Studio (松竹大船).

Ms. Kim Yŏn-sil (金蓮實氏)
She was active in the Hyŏmnŭk Theater Troupe (高協劇團), but a few months ago, <152> she suddenly went down to P'yŏngyang and organized the Kim Yŏn-sil Show. She has currently come up to Seoul (上京) and is delighting fans by singing and dancing on the stage of the Tongyang Theater (東洋劇場).

Ms. Kim So-yŏng (金素英氏)
Having returned from Tokyo, she is scheduled to appear in a new production by Koryŏ Film Company (高麗映畵社).

Ms. Han Ŭn-jin (韓銀珍氏)
As an exclusive actress for Chosŏn Stage (朝鮮舞台), she is currently touring the Kuanbuk (關北) region.

Ms. Pak On-sil (朴溫實氏)
Ms. Pak, who received the honor of being selected as Miss Chosŏn (미쓰朝鮮) for the Korean edition of Modern Japan (모던日本朝鮮版), has now become exclusive to Koryŏ Film Company (高麗映畵社) and is expected to appear on the silver screen in the future.<153>
<152-153>

**Summary**

This article from the September 1940 issue of *Samch'ŏlli* magazine provides short updates on the activities and personal lives of various prominent Korean women, including writers, educators, professionals, and actresses. It covers career changes (journalism to education, joining broadcasting), travel (USA, Japan), personal milestones (births, recuperation from illness), misfortunes (house damage due to monsoon), and cultural activities (publishing manuscripts, film appearances, stage performances). For colonial history, the article offers glimpses into the lives of educated and professional women navigating careers and personal lives under Japanese rule. It highlights their engagement in modern fields like media (newspapers, radio, film), education, and the arts, their mobility (travel abroad and within Korea), and their participation in both traditional and emerging cultural forms, reflecting the social dynamics and cultural landscape of late colonial Korea. The mention of actresses moving between Korean and Japanese film industries (Mun Ye-bong to Shochiku) is particularly notable.

**Named Entities**

黃信德氏	황신덕씨	Hwang Sin-dŏk
東亞日報	동아일보	Tong-A Ilbo
家政女學校	가정여학교	Home Economics Girls' School
任永信氏	임영신씨	Im Yŏng-sin
中央保育校	중앙보육학교	Central Nursery School
米國	미국	United States
毛允淑氏	모윤숙씨	Mo Yun-suk
방송국	방송국	Broadcasting Station
南宮요안나	남궁 요안나	Namgung Yoanna
鄭玄雄氏	정현웅씨	Chŏng Hyŏn-ung
뚝섬	뚝섬	Ttuksom
李現郁氏	이현욱씨	Yi Hyŏn-uk
林和氏	임화씨	Im Hwa
馬山	마산	Masan
盧天命氏	노천명씨	No Ch'ŏn-myŏng
李善熙氏	이선희씨	Yi Sŏn-hŭi
孫初岳氏	손초악씨	Son Ch'o-ak
林孝貞氏	임효정씨	Im Hyo-jŏng
女商敎諭	여상교유	Girls' Commercial School Teacher
平洞町	평동정	P'yŏngdong-jŏng
林貞姬氏	임정희씨	Im Chŏng-hŭi
朴龍喆氏	박용철씨	Pak Yong-ch'ŏl
金壽任氏	김수임씨	Kim Su-im
世富蘭偲齒科	세부란스 치과	Seburansŭ Dental Clinic (Severance Dental Clinic)
崔玉禧氏	최옥희씨	Ch'oe Ok-hŭi
學藝社	학예사	Hagyessa
趙敬姬氏	조경희씨	Cho Kyŏng-hŭi
朝鮮日報	조선일보	Chosŏn Ilbo
鄭玉卿氏	정옥경씨	Chŏng Ok-kyŏng
安懷南氏	안회남씨	An Hwa-nam
池京順氏	지경순씨	Chi Kyŏng-sun
京城映畵社	경성영화사	Kyŏngsŏng Film Company
金英淑	김영숙	Kim Yŏng-suk
文藝峯氏	문예봉씨	Mun Ye-bong
東京	동경	Tokyo
松竹大船	송죽대선	Shōchiku Ōfuna (Studio)
金蓮實氏	김련실씨	Kim Yŏn-sil
高協劇團	고협극단	Hyŏmnŭk Theater Troupe (Kojŭp Kŭktan)
平壤	평양	P'yŏngyang
東洋劇場	동양극장	Tongyang Theater
金素英氏	김소영씨	Kim So-yŏng
高麗映畵社	고려영화사	Koryŏ Film Company
韓銀珍氏	한은진씨	Han Ŭn-jin
朝鮮舞台	조선무대	Chosŏn Stage
關北	관북	Kuanbuk (Region)
朴溫實氏	박온실씨	Pak On-sil
모던日本朝鮮版	모던일본조선판	Modern Japan Korean Edition
미쓰朝鮮	미쓰조선	Miss Chosŏn

**Glossary**

그만두신	그만두신	Who quit/resigned (honorific past participle of 그만두다)
전향하시려고	전향하시려고	Intending to change direction/field (honorific form of 전향하다)
창설하신다는데	창설하신다는데	It is said that (she) is establishing (honorific form of 창설하다)
모집하는 중이시라드니	모집하는 중이시라더니	It was heard that (she) was in the midst of collecting/recruiting (honorific, older form combining -시-, -이-, -라-, -더니)
귀국하섰다고	귀국하셨다고	Reportedly returned to the country (honorific, older spelling of 하셨다고)
쓰시려니와	쓰시려니와	Not only does (she) write (honorific form of 쓰다 + -려니와 connective)
能熟하시다	능숙하시다	To be skilled/proficient (honorific form)
말솜씨	말솜씨	Speech skill, eloquence
곻와지고	좋아지고	Getting better (older spelling of 좋아지고)
좋와 한다는	좋아한다는	That (they) like (older spelling of 좋아한다는)
나으섰다고	낳으셨다고	Reportedly gave birth (honorific, older spelling of 낳으셨다고)
친정댁	친정댁	One's parents' home (for a married woman)
靜養	정양	Rest and recuperation
날세	날씨	Weather (dialectal or older form of 날씨)
눅어들어와서	눅어들어와서	Becoming damp and seeping in (older form combining 눅다 and 들어오다)
울화증	울화증	Anger/frustration building up inside
크다래젔다	커다래졌다	Has become quite big (older spelling/form)
상영된다면	상영된다면	If (a movie) is screened/shown
다니시는	다니시는	Who goes around/attends (honorific present participle of 다니다)
옥동자	옥동자	Precious baby boy (lit. jade boy)
평안하시단다	평안하시단다	Reportedly are well/peaceful (honorific)
지대	지대	Area, zone, ground
夫君	부군	Husband (formal term)
축대	축대	Retaining wall
문허지며	무너지며	Collapsing (older spelling of 무너지며)
大損害	대손해	Great damage/loss
遺稿	유고	Manuscripts left by the deceased
蒐集하시여	수집하시어	Having collected (honorific, older spelling of 수집하시어)
발간하셨다	발간하셨다	Published (honorific)
깜앟게	까맣게	Blackly, tanned dark (older spelling)
윤끼나고	윤기나고	Being glossy/shiny (older spelling of 윤기나고)
똥똥해지신	통통해지신	Having become plump (honorific, older spelling/form of 통통해지신)
리봉	리본	Ribbon (loanword, older spelling)
귀여워젔다는	귀여워졌다는	That (she) has become cute (older spelling of 귀여워졌다는)
身病	신병	Chronic illness, physical ailment
쾌차하서서	쾌차하셔서	Having fully recovered (honorific, older spelling of 쾌차하셔서)
社務	사무	Company affairs/business
두시드니	두시더니	Used to have (two sons), and then... (honorific, older form of 두시더니)
무대생활	무대생활	Stage life, life as a stage performer
결탁되여	결탁되어	Being contracted/tied up with (older spelling of 결탁되어)
출연하고저	출연하고자	Intending to appear/perform (older spelling/form of 출연하고자)
渡東	도동	Going over to the East (i.e., going to Japan/Tokyo)
上京	상경	Going up to the capital (Seoul)
專屬	전속	Exclusive (contract)
순회중이시다	순회중이시다	Is in the midst of touring (honorific)
當選	당선	Being selected/elected
光榮	광영	Glory, honor
바든	받은	Received (older spelling of 받은)
나타나시리라	나타나시리라	Will appear (honorific future form)


---------------------------


