Magazine Title: 삼천리 제12권 제8호
Publication Date: 1940년 09월 01일
Article Title: 현지보고, 漢口서 朝鮮人이 學校經營하기까지 (Field Report: How a Korean Came to Manage a School in Hankow)
Author: 漢口和平日語學校長 柳相垠 (Yu Sang-ŭn, Principal of Hankow Hwap'yŏng Japanese Language School)
Article Type: 논설 (Editorial/Essay)

Field Report: How a Korean Came to Manage a School in Hankow
						By Yu Sang-ŭn, Principal of Hankow Hwap'yŏng Japanese Language School

After Going to Shanghai
To pursue my initial aspirations, I departed again from Chosŏn (Korea) in January of Shōwa 13 (1938), planning to travel through the South Sea Islands and India. I arrived in Shanghai on April 1st of this year. Upon arrival, I found it was still a very critical time due to the Sino-Japanese Incident (日支事變). Consequently, both the authorities and friends advised me, saying, "Under the current emergency system, traveling without funds is absolutely impossible." Thus, I decided to temporarily halt my travel plans and seek employment. One day, while at the ferry landing between Shanghai and Pootung (浦東), I happened to meet a fellow countryman, Mr. Yu Tae-bok (劉大福), and we crossed the river together. Mr. Yu currently holds the position of Police Inspector (警部) at the Shanghai Great Way Municipal Government (上海 大道市政府) Police Bureau and was a compatriot highly renowned in Chinese official circles. I explained my situation to Mr. Yu Tae-bok in detail. Mr. Yu immediately sympathized and said, "Take this calling card (名剌) and visit Mr. Yong Pyŏng-saeng (龍炳生), the Head of the Education Section at the Shanghai Great Way Municipal Government," providing an introduction. After bidding farewell to Mr. Yu, I went straight to find Section Head Yong Pyŏng-saeng.

Mr. Yong was a very kind person with clearly pro-Japanese sentiments (親日思想).
While Mr. Yong and I were talking, Mr. Yu joined us, and as a result of the three of us discussing the matter, I was appointed as a Japanese language teacher at the Great Way Municipal Primary Schools in both Fahua Town (法華鎭) and Caojiadu (曺家渡).

Seeing the Shanghai Refugee Dens
Due to the Sino-Japanese Incident, refugees from various places had all gathered in the large city of Shanghai. The population of Shanghai, which was around 3.5 or 3.6 million before the incident, suddenly swelled to 6.5 or 6.6 million after the incident began.

The Living Conditions of the Refugees
The refugees all live communal, group-based lives.
However, their clothes are ragged (람누하고), and they cannot eat proper food. As the summer season<136> arrived, cholera (虎列刺) broke out. Among the refugees residing throughout Shanghai city, the average number dying daily from cholera was about 50 children alone who passed away.
Though precious, life holds no nobility or baseness once dead.
I took up lodging at the Fahua Town Municipal First Primary School and commuted daily in the afternoon to the Caojiadu Municipal First Primary School, about half a *ri* away. Every day on the streets, six, seven, or eight corpses lay rolling about, and starved pigs and dogs tore at and ate pieces of their intestines.

Invited to a Chinese Mock Wedding Ceremony
One day, Mr. Yi Yŏp (李燁), the principal of the Caojiadu school, came to me and sent invitation cards to all the faculty members, stating that June 1st was his younger sister's wedding day (出嫁日).
Intending to learn about Shanghai customs, I went to the invitation venue first. At the entrance sat a Chinese clerk (支那人 서기), and in the upper part of the room (房 上便), twin candles were lit, and a red paper (赤色紙) sign saying "Groom's Place" (新郞之位) was displayed. After a short while, about 60 or 70 of Yi Yŏp's invited friends arrived.
Finding it very strange, I asked Yi Yŏp, "Why? Can't I see the bride and groom?" He replied, "You still don't know Shanghai customs well." In fact, it was the day his younger sister was getting married back in her hometown (鄕里), and this was a congratulatory reception (축하연) for it.
However, each person who came upon invitation brought at least 2 *yuan* and up to 10 *yuan*, giving it to the clerk.
The total income that night reached 260 or 270 *yuan*. According to some, people hold events like this when they face financial difficulties (困難時). I worked here for about a year, then resigned due to personal circumstances. I departed from Shanghai on May 16th, Shōwa 14 (1939), and arrived in Hankow on June 1st. As it was right in the middle of wartime, disembarking midway was strictly prohibited.

Establishing the Hwap'yŏng Japanese Language School
Upon arriving in Hankow, a place entirely new to me (初面江山), I had no friends or acquaintances except for Mr. Han Sŭng-il (韓承日).
Through Mr. Han's introduction, I checked into the P'yŏnghwa Ryogwan (平和旅館 Peace Inn) at No. 28 Qingfen Road (淸芬路), Hankow City.
A few days later, seeking employment, I applied to be a Chinese language interpreter (通譯) at the XX Logistics Command Headquarters (XX兵站司令部). Fortunately, I passed the test and began working as an interpreter for the XX Logistics Command. However, since my purpose in coming to Hankow was to establish a Japanese language school, that is, to engage in cultural work (문화사업), my life as an interpreter lasted only about three months. Later, on September 1st, Shōwa 14 (1939), while searching for a school building (校舍) with Mr. O Cha-sŏng (吳刺成), wandering here and there through the city, we happened upon the Xiaogan Fellow Provincials' Association (孝感同鄕會) hall at No. 141 Qingfen 3rd Road (淸芬3路), Hankow City. After finding the manager and introducing ourselves, I explained my <137> purpose and aspirations in detail. The manager, Mr. Yŏ So-hyang (余小鄕), expressed his gratitude, saying "Many thanks, many thanks" (多謝多謝).
Mr. Yŏ So-hyang and I became close, and it was decided that I could use this hall free of charge.
Of course, being a Chinese house (支那人가옥), it was an empty house (空家) without a single desk or chair, and quite dark (어듬컴컴한). Using all my strength and effort, I recruited students on one hand, while also repairing the house and preparing school equipment on the other. Sincerity moves heaven (지성이면 감천이라), and as a result of student recruitment, about 60 or 70 Chinese students began commuting daily to study Japanese (日本語를 修學하게 되었다).

What Kind of Place is Hankow?
Everyone recognizes Hankow as a major city in China (中國).
However, this place is convenient in terms of economic life. While prices have soared everywhere under the current emergency, wartime system (戰局體制下), Hankow region's prices are comparatively very cheap (답싼 세옴이다).
It has also become a collection point for products from various small cities and rural villages. The climate features long spring and autumn seasons, with the period of extreme heat (酷暑期) lasting only around June, July, and August; otherwise, the weather is cool (冷冷한).

Observing China's Double Tenth Day Commemoration
Behind the Yellow Crane Tower (黃鶴樓) in Wuchang (武昌) stands a bronze statue of Mr. Hwang (黃公銅像). Mr. Hwang's courtesy name (字) is said to be Kèqiáng (克强). A native of Hunan (湖南人), he studied at the Lianghu Academy (兩湖書院) and also studied abroad in Japan (at a Normal School - 師範學校). Together with Mr. Sun Wen (孫文), he founded the Tongmenghui (同盟會), raised a righteous army (의병) in Wuchang, and captured Hanyang Castle (漢陽城), lighting the beacon fire (烽火) of revolution. Later generations designated this day of uprising (起義), October 10th, as the Double Tenth Day (雙十節), celebrating it as a major holiday (大祭日) in China with closures and the setting off of firecrackers (爆竹).

Future Goals of the Hwap'yŏng Japanese Language School
My goal is, spiritually, for the sake of the New Order in East Asia (東亞新建設) and in accordance with the new order (신질서), to extensively teach the Japanese language to the Chinese masses (支那민중). I conclude my field report here for now and will send a more detailed account when another opportunity arises. (138)
<136-138>

**Summary**

The author, Yu Sang-ŭn, recounts his journey from Korea to Shanghai in 1938 during the Sino-Japanese War. Unable to pursue his original travel plans due to the war, he found work as a Japanese teacher in Shanghai through connections. He describes the harsh conditions of refugees and a peculiar local custom of a "mock wedding" used for fundraising. Later, he moved to Hankow in 1939, worked briefly as a military interpreter, and finally achieved his goal of establishing the Hwap'yŏng Japanese Language School for Chinese students in a donated building, aiming to contribute to the "New Order in East Asia."

This article is interesting for historians as it provides a personal account of a Korean navigating life and pursuing ambitions in Japanese-occupied China during wartime. It reveals the complex realities faced by Koreans under colonialism, including cooperation with Japanese authorities (teaching Japanese, working for the military) while pursuing personal or potentially nationalistic goals (cultural work, education). The author's pro-Japanese rhetoric ("New Order in East Asia") reflects the pressures or perhaps genuine beliefs of some Koreans during that period, offering insight into the diverse responses of Koreans to Japanese imperialism. The descriptions of wartime Shanghai and Hankow also provide valuable social history details.

**Named Entities**

柳相垠	유상은	Yu Sang-ŭn
朝鮮	조선	Chosŏn
南洋群島	남양군도	South Sea Islands
印度	인도	India
上海	상해	Shanghai
日支事變	일지사변	Sino-Japanese Incident
浦東	포동	Pootung (Pudong)
劉大福	유대복	Yu Tae-bok
大道市政府	대도 시정부	Great Way Municipal Government
警察局	경찰국	Police Bureau
龍炳生	용병생	Yong Pyŏng-saeng
敎育科長	교육과장	Head of the Education Section
法華鎭	법화진	Fahua Town
曺家渡	조가도	Caojiadu
兩處 大道市立小學校	양처 대도 시립 소학교	Great Way Municipal Primary Schools (in both locations)
支那	지나	China (Used historically, now often considered offensive)
支那人	지나인	Chinese person/people (Used historically, now often considered offensive)
李燁	이엽	Yi Yŏp
漢口	한구	Hankow (Hankou)
韓承日	한승일	Han Sŭng-il
淸芬路	청분로	Qingfen Road
平和旅館	평화여관	P'yŏnghwa Ryogwan (Peace Inn)
XX兵站司令部	XX 병참사령부	XX Logistics Command Headquarters
吳刺成	오자성	O Cha-sŏng
淸芬3路	청분3로	Qingfen 3rd Road
孝感同鄕會	효감동향회	Xiaogan Fellow Provincials' Association
余小鄕	여소향	Yŏ So-hyang (Yu Xiaoxiang)
中國	중국	China
武昌	무창	Wuchang
黃鶴樓	황학루	Hwanghangnu (Yellow Crane Tower)
黃公	황공	Hwang Kong (Mr. Huang / Huang Xing)
克强	극강	Kŭk-kang (Kèqiáng - Huang Xing's courtesy name)
湖南人	호남인	Hunan native
兩湖書院	양호서원	Lianghu Academy
日本	일본	Japan
師範學校	사범학교	Normal School
孫文	손문	Son Mun (Sun Wen / Sun Yat-sen)
同盟會	동맹회	Tongmenghui (Chinese United League)
漢陽城	한양성	Hanyang Castle
雙十節	쌍십절	Ssangsipchŏl (Double Tenth Day)
東亞	동아	East Asia
和平日語學校	화평일어학교	Hwap'yŏng Japanese Language School

**Glossary**

初志	초지	Initial aspiration, original intention
更次	갱차	Again, once more
事變	사변	Incident, disturbance (here referring to the Sino-Japanese War)
비상시	비상시	Emergency period
無錢旅行	무전여행	Penniless travel, traveling without money
취직전선	취직전선	Employment front, the task of finding a job
상봉	상봉	Meeting, encountering (someone)
渡江	도강	Crossing a river
任職	임직	Holding a position, being employed in an office
명성	명성	Fame, reputation
사정	사정	Circumstances, situation
同情	동정	Sympathy
名剌	명자	Calling card, name card (Older term)
방문	방문	Visit
作別	작별	Saying farewell, parting
親日思想	친일사상	Pro-Japanese ideology/sentiment
現實	현실	Clear, evident, actual (Here modifying 親日思想)
담화	담화	Conversation, talk
의논	의논	Discussion, consultation
근무	근무	Work, service, duty
難民	난민	Refugee
집합	집합	Gathering, assembly
인구	인구	Population
생활상태	생활상태	Living conditions
단체적	단체적	Group-based, collective
람누하다	남루하다	To be ragged, shabby (Older spelling: 람누)
夏節	하절	Summer season
虎列刺	호열자	Cholera (Older transliteration/term)
발생	발생	Outbreak, occurrence
평균	평균	Average
사망	사망	Death
宿舍	숙사	Lodging, dormitory
통근•˜였다	통근하였다	Commuted (Older verb ending conjugation: •˜였다 instead of 하였다)
街路	가로	Street
死體	사체	Corpse, dead body
굴너단이며	굴러다니며	Rolling around (Older spelling: 굴너)
一片	일편	One piece, a fragment
창자	창자	Intestines
뜨더먹고	뜯어먹고	Tearing off and eating (Older spelling: 뜨더)
假結婚禮式	가결혼예식	Mock wedding ceremony
招待	초대	Invitation
교직원	교직원	Teaching staff, faculty members
妹弟	매제	Younger sister (or possibly younger sibling, but context implies sister's wedding)
出嫁日	출가일	Wedding day (for a woman leaving her home)
초대장	초대장	Invitation card
풍습	풍습	Custom, practice
알어볼	알아볼	To find out, to learn about (Older spelling: 알어)
먼첨	먼저	First, beforehand (Older spelling)
입구	입구	Entrance
서기	서기	Clerk, secretary
房 上便	방 상편	Upper part of the room
쌍촛불	쌍촛불	Pair of candles
켜놋고	켜놓고	Having lit (candles) (Older spelling: 놋고)
新郞之位	신랑지위	Groom's place/seat
赤色紙	적색지	Red paper
노여	놓여	Being placed, laid down (Older spelling: 노여)
何故로	하고로	Why, for what reason
뵈지 안느냐	보이지 않느냐	Isn't visible, cannot be seen (Older spelling/form)
문의한즉	문의한즉	Upon asking, when inquired
鄕里	향리	Hometown, native village
축하연	축하연	Congratulatory banquet/reception
초대밧어	초대받아	Being invited (Older spelling: 밧어)
필히	필히	Surely, certainly, without fail
總수입금	총수입금	Total amount of income/receipts
困難時	곤란시	Time of difficulty/hardship
행사	행사	Event, function
사직	사직	Resignation
初面江山	초면강산	Unfamiliar territory (lit. 'first meeting rivers and mountains')
親友	친우	Close friend
소개르	소개로	Through an introduction (Older particle form: 르 instead of 로)
투숙	투숙	Staying (at an inn), lodging
兵站司令部	병참사령부	Logistics Command Headquarters
通譯	통역	Interpreter, interpretation
지원	지원	Application, volunteering
시험	시험	Test, examination
합격	합격	Passing (an exam)
목적	목적	Purpose, goal, objective
설립	설립	Establishment, founding
문화사업	문화사업	Cultural work, cultural enterprise
校舍	교사	School building
차저	찾아	Finding, searching for (Older spelling: 차저)
도라단이다가	돌아다니다가	While wandering around (Older spelling: 도라)
맛츰	마침	Just then,ちょうど, coincidentally (Older spelling)
회관	회관	Assembly hall, meeting hall
관리인	관리인	Manager, custodian
포부	포부	Aspiration, ambition
설명	설명	Explanation
감사	감사	Gratitude, thanks
무료	무료	Free of charge
사용	사용	Use
가옥	가옥	House, building (esp. traditional)
탁자	탁자	Table
의자	의자	Chair
空家	공가	Empty house
어듬컴컴한	어둠컴컴한	Dark, gloomy (Older spelling: 어듬)
모집	모집	Recruitment
집수리	집수리	House repair
학교용 도구	학교용 도구	School supplies/equipment
준비	준비	Preparation
지성	지성	Utmost sincerity
감천	감천	Moving heaven (as in the proverb 지성이면 감천)
통학	통학	Commuting to school
修學	수학	Study, learning (esp. formally)
인식	인식	Recognition, awareness
경제상	경제상	Economically, in terms of economy
편의	편의	Convenience
戰局體制下	전국체제하	Under the wartime system/structure
물가	물가	Prices (of goods)
폭등	폭등	Soaring, sharp rise (esp. prices)
비례	비례	Proportion, comparison
답싼	값싼	Cheap, inexpensive (Older spelling: 답)
세옴이다	셈이다	It is the calculation/reckoning (Older spelling: 세옴)
소산물	소산물	Produce, products (esp. agricultural)
집합지	집합지	Collection point, gathering place
기후	기후	Climate
春秋兩期	춘추양기	Spring and Autumn periods (lit. both periods)
酷暑期	혹서기	Period of extreme heat
冷冷한	냉랭한	Cool, chilly
기념	기념	Commemoration
후면	후면	Rear side, back
銅像	동상	Bronze statue
字	자	Courtesy name (in East Asian tradition)
云한다	운한다	Is called, is said to be (Literary/older form)
유학	유학	Studying abroad
의병	의병	Righteous army, militia raised for a just cause
攻畧	공략	Capture, conquest (of a castle/territory)
혁명	혁명	Revolution
烽火	봉화	Beacon fire
起義	기의	Uprising for a righteous cause
後人	후인	Later people, posterity
大祭日	대제일	Major festival/holiday
휴업	휴업	Closing business (for a holiday), temporary cessation of work
爆竹	폭죽	Firecracker
터치우며	터뜨리며	Setting off, exploding (firecrackers) (Older spelling: 터치우며)
將來	장래	Future
정신적	정신적	Spiritual, mental
東亞新建設	동아 신건설	Construction of a New East Asia (Japanese wartime slogan)
신질서	신질서	New order (Often refers to the Japanese concept of a new order in Asia)
伴하야	수반하여	Accompanying, in accordance with (Older form: 하야 instead of 하여)
