**Header Section:**
Magazine Title: 삼천리 제5권 제10호
Publication Date: 1933년 10월 01일
Article Title: 내 作品의 演劇映畵化 所感 (Thoughts on the Theatrical and Cinematic Adaptation of My Works)
Author: 金八峰 (Kim P'albong), 春園 (Ch'unwŏn / Yi Kwangsu), 安夕影 (An Sŏgyŏng), 李鐘鳴 (Yi Chongmyŏng)
Article Type: 문예기타 (Literary Miscellany)

**Body Text Translation:**

Thoughts on the Theatrical and Cinematic Adaptation of My Works

A Statement from the Author of "The Engagement" (約婚)
Kim P'albong

"The Engagement" was my debut novel, a full-length work that I serialized in the *Sidae Ilbo*, where I worked as a reporter back in 1925. I only managed to publish about 100 or 105 installments before the *Sidae Ilbo* company faced financial difficulties, forcing me to abruptly stop just a few dozen installments short of completion. When it was decided to turn it into a film, I was inwardly delighted at the opportunity for what I couldn't finish in the newspaper to appear before the world as a completed work. Even if the immature concept and clumsy technique might make me feel ashamed to present the work to the world, the active themes I attempted in this work—an analysis of 1920s Korean society, the unrest among the intellectual class, and the expression of the inevitable process of social development—have not lost their relevance even now. Consequently, as the author, I still hold considerable affection for this work. Therefore, I trust that readers can sufficiently imagine the kind of joy I felt when it was adapted into a film back then.

This story should be the very first thing I pour out among my impressions regarding the film adaptation of my novel, but <70> I should just say in one word that I was happy and leave it at that, as dragging it out further wouldn't be good, so I'll stop here.

Furthermore, since this novel, which was incomplete in the newspaper, appeared on screen as a finished work in the film adaptation, some might say that my desires as an author were fully met by that alone. However, I hope readers will understand that the relationship between the author of a novel and the filmed version of the novel is not that simple. No matter how personally close the author of the novel and the adaptation director are, and no matter how often they consult and exchange opinions, the filmed movie does not immediately become identical to the original novel. My biggest dissatisfaction upon seeing the film "The Engagement" lay in this point. More than dissatisfaction with specific individual scenes, such as the unskilled techniques of inexperienced actors or clumsy scenes that might evoke unpleasant feelings in the audience, the previously mentioned dissatisfaction was my major one. And it goes without saying that the cause of this dissatisfaction lies in the crucial fact that the original author and the adaptation director did not share the same artistic view—in other words, it was not a joint production between practitioners of the same "ideology."

Thus, while I was initially very happy, I also had considerable dissatisfaction; this was my honest feeling at the time. However, saying only this might easily lead to the misunderstanding that I disregarded the significant efforts made by the adaptation director and the actors in the film "The Engagement." On the contrary, I still believe that the efforts of these individuals in the film "The Engagement" were a culmination of effort and sincerity no less than the effort and sincerity I myself invested in this work from the time I started writing the novel. Director Kim Yŏnghwan seemed to have long agonized over the problem of how to bring the theme of this work to life without failing commercially. I acknowledge that the result did not stray too far from the theme of the original novel. And the sincere performance of Na Ung, a newcomer to the film industry at the time, who faithfully played the role of the protagonist Yi Myŏngguk, was truly admirable. I have sometimes wondered if the film "The Engagement" would have turned out even that well if Na Ung's presence had been replaced by someone else. However, I believe that would have been impossible.

The novel "The Engagement," which depicts the engagement process of a passionate and sensitive young Korean man of the 1920s who holds Chosŏn (朝鮮 - Korea) as his lover and pours out ardent affection, is something the author intends to revise whenever there is an opportunity. I believe the film "The Engagement" is naturally in a position to be revised at that time. (End) <71>

Regarding the Filming of "The Pioneer" (開拓者) and the Staging of "Rebirth of Prince Maui" (麻衣太子再生)
Ch'unwŏn (春園 - pen name of Yi Kwangsu)

It must have been several years ago already. I received an invitation from Na Un'gyu and Sin Ilsŏn, among others, saying they had made a film of my humble "The Pioneer" and asking me to come see it.
However, at that time, I unfortunately had an illness and was confined to my home, so I ended up never seeing it. Later, through stories from friends and circulating rumors, I heard that the skills of Mr. Na and Ms. Sin were relatively superior, and that "The Pioneer" was successful enough to be called a triumph in our early film industry. But since I didn't see or hear it with my own eyes and ears, I don't know how closely it corresponded to the original work.

This was the first time one of my works became a motion picture, and to this day, it remains the only one. Fortunately, I have heard that several of my works have been adapted into plays and performed on stage.
I heard that "Prince Maui" (麻衣太子) was performed in Kaesŏng (開城) some years ago, and besides that, I heard that "Rebirth" (再生) was also made into a play in several locations and received favorable reviews. Of course, I only heard this through relayed news and haven't seen them directly, so I also cannot know whether they were done well or otherwise.

However, to speak my mind honestly, whether my works become motion pictures or plays, I do not regret not having seen their silver screen adaptations.
Somehow, I also dislike watching them. What if many audience members find my work uninteresting and wear displeased expressions or utter unpleasant words? How could I bear to watch that? How disappointed and embarrassed I myself would be. With such thoughts, I don't want to go to such places.
Secondly, this might sound somewhat presumptuous, but I don't see many people to whom I can entrust my works with peace of mind. So I hesitate.
My current state of mind is that I don't have much interest in my works being filmed. <72>

Nevertheless, I recall an instance, though I forget when, where a one-act play I wrote about a martyr—based on the fact of a Catholic priest being persecuted near the Taedong River (大同江)—was performed in some region and received much praise from the audience. Hearing that, I couldn't suppress a feeling of great pleasure in my heart.

After Writing "Singing Season" (노래하는 時節)
An Sŏgyŏng

You asked me to write my thoughts as the original author regarding the filming of "Singing Season," so I am writing them, but personally, I have no thoughts worth boasting about regarding this film, which I wish could have been burned.
Firstly, the title "Singing Season" itself was chosen with the intention of commercializing it, and the content too is undeniably an extremely poor original work.
This work, akin to a deformed entity, was produced by someone aiming for big profits from a very small investment. Except for myself as the original author and one or two others involved in the production, everyone lacked experience. Furthermore, even the cinematographer was a foreigner (外人) who couldn't understand our lives. Consequently, the film, already shot on the cheapest "positive" film, had imperfections due to the cinematographer's technique, and scenes were cut without regard for the original content. In this respect too, it is shameful. Everything had to proceed according to the wishes of the person providing the capital, so "Singing Season" essentially served only as raw material for making money.
An original work can live or die by the skill of the adaptation or direction, but the adaptation was my own clumsy work to begin with. Additionally, the director at the time had a sort of superiority complex and was also largely under the influence of the cinematographer, so even the wretched original work couldn't be brought to life properly.
Except for Yun Pongch'un and Kim Myŏngsun, all those who performed were beginners (初對). Moreover, while good guidance might have helped, the rushed filming schedule left no time for refinement, so the shooting just ended up being muddled. Anyway, <73> the responsibility for its success or failure lies with me, the original author who put this work out.
However, what truly killed "Singing Season" was the rampant slashing by the cruel pens (殘虛한 筆棒) of translation-critics (飜譯評論家) who intended to obliterate Korean cinema.
While the ideology of the critics might be an issue, if a film is not significantly harmful, they should offer genuine constructive criticism (鞭韃) while also providing encouragement. The fact that the path for Korean cinema has been cut off is likely thanks to these pseudo-film critics who only engage in reckless bravado (蠻勇). And yet, there was no film as childish and embarrassing as the one produced by such critics...
Anyway, this "Singing Season" is a completely dead film. However, the only person who benefited (자미를 본 사람) from this film production is the one who provided the capital. If they recouped their investment, made a profit, and even pawned the film rights, then the only loss was to the audience.
In any case, the new path for Korean cinema requires the emergence of a financier (資主) who understands film and has entrepreneurial ambition, as well as good screenwriters, good directors, and good cinematographers.
However, unless these individuals are of good character, even those with excellent skills will be useless in the Korean film industry. If I have the chance in the future, I intend to try and redeem the failure of "Singing Season."

As the Original Author of "Wandering" (流浪)
Yi Chongmyŏng

Rather than being a literary work adapted into a film, "Wandering" (流浪) was written specifically for film adaptation, so I think it might not qualify for your inquiry. However, if you ask me to write my thoughts as the original author even about something like this, I will speak briefly.
This "Wandering" is a novel that was serialized in the *Chungoe Ilbo* already 5 or 6 years ago. As I had an indirect connection to the "Chosŏn Film Art Association" (朝鮮映畵藝術協會) that filmed it, although I am nominally credited as the original author, I wrote it after receiving much guidance (敎示) from experts who had direct experience in filming at the time. Although I had sympathy and goodwill towards cinema, I lacked knowledge about actual filming or <74> scenarios (씨나리오), so I felt considerable constraint when writing the original work. Due to these circumstances, I believe this work is by no means among my better pieces.
Kim Yŏngp'al did the adaptation, Kim Yuyŏng directed, and Im Hwa, Sŏ Kwangje, Cho Kyŏnghŭi were the main actors, with Yun Kijŏng conducting—that was the cast (캬스트) at the time.
These individuals have now all achieved success and dispersed, becoming prominent figures (重鎭) in their respective fields, but back then, they were all debuting directors and debuting lead actors, so there were many difficulties during the actual filming.
Ultimately, after completing it and holding a screening (試驗), the result was incredibly disappointing (긔맥힌 성과엿슴니다 - *note: this phrase usually means 'amazing result' but context implies negative*). Since I had faithfully written the original story scene by scene, like a literal translation (逐字譯式), based on the planned film's story from the outset, I had no particular objections as the original author. Nevertheless, the technical skill in filming the scenes and the actors' makeup and movements were extremely unnatural. As I was directly involved (關與) in this filming, I know well the reasons that made this film unsuccessful. First, the lack of technicians, incomplete equipment, insufficient funds, etc.—since nothing is perfect in our Chosŏn (朝鮮), it would actually be surprising if a decent film emerged.
After seeing "Wandering," I thought that Korean cinema was hopeless for the time being (當分). Since then, about ten films have been made by various hands, and nearly 7 or 8 years of hardship have passed, yet Korean cinema shows no sign of progress. Moreover, considering the recent situation where films cannot make headway unless they are talkies (토-커), interest in Korean cinema seems to have completely died out.
Shameless profiteers who only care about money still seem to be dragging this poor "Wandering" around all over Chosŏn (全朝鮮) and exploiting it. Since the rights (版權) are in their hands, nothing can be done, but thinking that the credit "Original Work by Yi Chongmyŏng" (原作 李鍾鳴) still appears on screens everywhere makes my face burn (얼골이 뜨거워지는 것 갓슴니다). If I had the money, I would want to buy back the rights and burn it.
—End— <75>

**Summary**

This article compiles reflections from four prominent Korean authors (Kim P'albong, Yi Kwangsu/Ch'unwŏn, An Sŏgyŏng, Yi Chongmyŏng) in 1933 regarding the film and stage adaptations of their literary works. Their feelings are mixed: initial excitement about seeing their stories visualized often gives way to dissatisfaction with artistic compromises, technical limitations (inexperienced actors, poor cinematography, lack of funding), commercial pressures overriding artistic intent, and a perceived lack of skilled directors or adaptors capable of faithfully rendering the original work's spirit or themes. Several authors express reluctance to even watch the adaptations due to potential disappointment or embarrassment, and lament the poor state and lack of progress in the nascent Korean film industry, blaming unqualified personnel, profit-driven producers, and destructive critics.

From a historical perspective, the article offers valuable insights into the struggles of artists and the fledgling cultural industries in colonial Korea. It highlights the economic precariousness, the technical and resource deficits (equipment, skilled labor), the tension between artistic integrity and commercial viability, and the authors' anxieties about losing control over their narratives in a new medium dominated by different constraints and personnel, including foreign technicians. The expressed desire for authentic Korean storytelling and capable Korean cultural producers reflects underlying nationalist sentiments amidst the limitations imposed by the colonial context and the burgeoning, yet troubled, film industry.

**Named Entities**

約婚	약혼	Yak'on (The Engagement)
金八峰	김팔봉	Kim P'albong
時代日報	시대일보	Sidae Ilbo
朝鮮	조선	Chosŏn
金永煥	김영환	Kim Yŏnghwan
李明國	이명국	Yi Myŏngguk
羅雄	나웅	Na Ung
開拓者	개척자	Kaech'ŏkcha (The Pioneer)
春園	춘원	Ch'unwŏn (pen name of Yi Kwangsu)
羅雲奎	나운규	Na Un'gyu
申一仙	신일선	Sin Ilsŏn
麻衣太子	마의태자	Maui T'aeja (Prince Maui)
開城	개성	Kaesŏng
再生	재생	Chaesaeng (Rebirth)
大同江	대동강	Taedong River
天主敎	천주교	Ch'ŏnjugyo (Catholicism)
노래하는 時節	노래하는 시절	Noraehanŭn Sijŏl (Singing Season)
安夕影	안석영	An Sŏgyŏng
尹逢春	윤봉춘	Yun Pongch'un
金明淳	김명순	Kim Myŏngsun
流浪	유랑	Yurang (Wandering)
李鐘鳴	이종명	Yi Chongmyŏng
中外日報	중외일보	Chungoe Ilbo
朝鮮映畵藝術協會	조선영화예술협회	Chosŏn Yŏnghwa Yesul Hyŏphoe (Chosŏn Film Art Association)
金永八	김영팔	Kim Yŏngp'al
金幽影	김유영	Kim Yuyŏng
林和	임화	Im Hwa
徐光齊	서광제	Sŏ Kwangje
趙敬姬	조경희	Cho Kyŏnghŭi
尹基鼎	윤기정	Yun Kijŏng

**Glossary**

作品	작품	Work (literary, artistic)
演劇映畵化	연극영화화	Adaptation into play and film
所感	소감	Thoughts, impressions
處女作	처녀작	Debut work
映畵	영화	Film, movie (older term using 映)
늣기게	느끼게	To make feel (older spelling of 느끼게)
잇서서	있어서	In, regarding (older spelling of 있어서)
일허버리지	잃어버리지	Does not lose (older spelling/form of 잃어버리지)
밋는다	믿는다	Believe (older spelling of 믿는다)
쏘더노하야	쏟아놓아야	Should pour out (older spelling/form of 쏟아놓아야)
각색감독자	각색감독자	Adaptation director, screenwriter-director
이데올로기	이데올로기	Ideology
안헛든	않았던	Was not (older spelling of 않았던)
俳優諸君	배우제군	Actors (諸君 is a polite plural suffix)
맨들지	만들지	Make (older spelling of 만들지)
밧치는	바치는	Dedicate, offer (older spelling of 바치는)
듯기는	듣기는	Hearing (older spelling of 듣기는)
하든	하던	Used to do (older spelling of 하던)
끗끗내	끝끝내	In the end, finally (older spelling of 끝끝내)
말엇다	말았다	Ended up not doing (older spelling of 말았다)
듯건대	듣건대	According to what I heard (older spelling of 듣건대)
멧개가	몇 개가	Several items (older spelling of 몇 개가)
밧엇단	받았단	Received (older spelling of 받았단)
엇저고의	어쩌고의	Of doing this or that, whether it was good or bad (older spelling of 어쩌고의)
업다	없다	To not exist, lack (common older spelling of 없다)
실타	싫다	To dislike (older spelling of 싫다)
엇더케	어떻게	How (older spelling of 어떻게)
십지 안타	싶지 않다	Does not want to (older spelling of 싶지 않다)
맛길	맡길	To entrust (older spelling of 맡길)
갓지 안는다	갖지 않는다	Does not have (older spelling of 갖지 않는다)
밋천	밑천	Capital, seed money (dialectal/older form of 밑천)
빼여노코는	빼어놓고는	Excluding, putting aside (older spelling of 빼어놓고는)
외인(外人)	외인	Foreigner
갓득이나	가뜩이나	Already, as it is (older spelling of 가뜩이나)
필림	필름	Film (photographic)
업지 안음으로	없지 않으므로	Because there isn't (older spelling/form of 없지 않으므로)
하엿든	하였던	Was, did (older spelling of 하였던)
바덧섯든	받았었던	Had received (older spelling of 받았었던)
업섯든	없었던	Did not exist, was not (older spelling of 없었던)
우헤	위에	On, above (older spelling of 위에)
업섯는	없었는	Did not exist, was not (older spelling of 없었는)
고로	고로	Therefore (archaism, from Sino-Korean 故로)
잇습니다	있습니다	There is/are (formal, older spelling of 있습니다)
말살의도	말살의도	Intention to obliterate/erase
필봉(筆鋒)	필봉	Tip of the writing brush; refers to the power or style of writing/criticism
편달(鞭韃)	편달	Whipping, urging on; constructive criticism
사이비	사이비	Pseudo-, sham
어잿든	어쨌든	Anyway (older spelling of 어쨌든)
자미	재미	Interest, fun, benefit (dialectal/older form of 재미)
잇섯슬	있었을	Would have been (older spelling of 있었을)
조흔	좋은	Good (older spelling of 좋은)
잇스면	있으면	If there is (older spelling of 있으면)
씨나리오	시나리오	Scenario, screenplay
늣기지	느끼지	Feel (older spelling of 느끼지)
안엇슴니다	않았습니다	Did not (formal, older spelling of 않았습니다)
되여잇지만	되어있지만	Although it has become (older spelling of 되어있지만)
만헛슴니다	많았습니다	Were many (formal, older spelling of 많았습니다)
긔맥힌	기막힌	Astounding, breathtaking (often implies negative surprise here, older spelling of 기막힌)
넘어도	너무도	Extremely, too (older spelling of 너무도)
스러웟슴니다	스러웠습니다	Was like (formal, older spelling/form of -스러웠습니다)
식혓는지	시켰는지	Caused, made happen (older spelling of 시켰는지)
보히지	보이지	Is not visible (older spelling of 보이지)
갓슴니다	같습니다	Seems like (formal, older spelling of 같습니다)
낫하날	나타날	Will appear (older spelling of 나타날)
십슴니다	싶습니다	Want to (formal, older spelling of 싶습니다)


---------------------------


잡지명	삼천리 제5권 제10호
발행일	1933년 10월 01일
기사제목	내 作品의 演劇映畵化 所感
기사형태	문예기타

내 作品의 演劇映畵化 所感
「約婚」作者의 辨
金八峰
약혼은 내가 1925년에 그때에 내가 기자로 다니고 잇든 時代日報에 105회까지인가 100회까지인지박게 발표를 하지 못하고서 時代日報社의 경영난으로 종결을 불과 몃십 회 남기지 못하고 드듸어 중단하게 되고만 장편소설로서 물론 나의 處女作이엇는데 나는 이것이 영화로 되게 될 때에 끗까지 신문에 내보지 못하든 것이 완성된 한 개의 작품으로 세상에 나타나게되는 기회를 어든 것을 마음으로 깃버하엿섯다. 비록 유치한 구상과 졸렬한 수법이 그 작품을 세상에 내 놋키에 붓그러움을 늣기게 할만큼 되엇다 할지라도 내가 그 당시에 이 작품에 잇서서 기도한 1920년대의 조선사회의 解剖와 지식계급의 동요와 사회발전의 필연적인 과정의 표현의 적극적인 주제는 지금도 그 정당성을 일허버리지 아니하고 잇고 따라서 이 작품에 대한 작자로서의 애착도 다분히 가지고 잇스니까 그때 영화화 될 때의 내가 늣긴바 깃븜이라는 것이 어떠한 것이엇슬 것이리라는 것은 讀者諸君도 넉넉히 상상할 수 잇슬 줄로 밋는다.
이런 이야기는 나의 소설의 영화에 대한 나의 감상 중에서 제일 먼저 쏘더노하야 할 이야기이지마는 ＜70＞ 깃벗든 것을 한 말로 깃벗다고 말해 버리고 말어야지 더 길게 스리 늘허 노흐면 조치 못하다 할 것임으로 그만 둔다.
그리고 이 소설이 신문에서는 완결되지 아니하엿든 것이 영화로서는 완성된 한 개의 작품으로 화면에 나타낫스니까 그것만이로도 나의 작자로서의 욕망은 다하엿다고 말할 사람도 잇슬 것이나 소설의 작자와 영화화된 소설과는 그러케 단순한 관계에 잇지 안타는 것은 독자들은 양해해 주기를 바란다. 소설의 작자와 각색감독자가 아모리 인간적으로 친밀한 사이고 또 아모리 時時로 서로 의논하고 의견을 교환하고 한다할지라도 그것으로는 촬영된 영화가 즉시 원작소설과 동일한 물건이 되지 못한다. 영화로 된 「約婚」을 보고서 나의 제일 큰 불만은 이 점에 잇섯다. 不熱練한 배우의 기교라든지 또는 불쾌한 감정을 親衆으로 하여금 이르키게 할 만한 졸렬한 장면이라든지 하는 특정한 個個의 장면에 대한 불만보다도 먼저 지적한 불만이 나의 커드란 불만이엇다는 것이다. 그리고 이 불만의 원인이 전혀 원작자와 각색감독자가 동일한 예술관을 가진 다시 말하면 동일한 「이데올로기」의 실천가끼리의 공동제작이 아니엇다는 중대한 사실에 잇다는 것은 물론이다.
이와가티 제일 먼저 깃브면서도 또한 불만도 적지 안헛든 것이 그때의 나의 거짓업는 감상인데 이러케만 말하면 내가 영화 「約婚」에 잇서서 적지 안케 노력한 각색감독자와 밋 俳優諸君을 무시하얏다는 오해를 이르키기 쉬웁다. 그러나 그 반대로 나는 영화 「約婚」에 잇서서의 이 여러분의 노력이야말로 내가 이 소설을 집필하면서부터 이 작품에 대해서 지불한 노력과 성의 보담 그다지 못하지 아니한 노력의 結晶이라고 지금도 이가티 생각하고 잇다. 감독인 金永煥君은 이 作이 가진 주제를 어떠케하면 흥행적으로 실패하지 안코서 살리겟느냐 하는 문제 때문에 오랫동안 그러서는 머리를 썩히엇든 것 가티 보이엿다. 그 결과가 그다지 元小說의 주제에서 멀리 떠러진 물건은 맨들지 아니한 것이라고 이 점은 나도 인정한다. 그리고 주인공 李明國의 역을 충실히 한 당시 영화계의 신인 羅雄君의 진지한 연기는 전혀 感心할 만한 것이엇다. 나는 영화 「約婚」에서 羅雄君의 존재를 다른 사람과 밧구엇드면 과연 그만큼이나 맨들어 젓슬가? 하고 의심하야 보기도 한 적이 잇다. 그러나 그것은 불가능한 것이엇스리라고 밋는다.
朝鮮을 애인으로 붓잡고서 열렬한 사랑을 밧치는 다정다감형의 1920년대 朝鮮靑年의 「約婚」과정을 그리어 본 소설 「約婚」은 언제든지 틈만 잇스면 작자가 다시 改作하여 볼려고 생각하고 잇는 물건이다. 영화 「約婚」은 그때에 당연히 改作되어질 입장에 잇다고 나는 생각한다. (了) ＜71＞

「開拓者」映畵化와 麻衣太子再生의 演出에 對하야
春園
벌서 여러 해 전 일인가보다. 羅雲奎
申一仙 氏等이 변변치 못한 나의 「開拓者」를 영화로 만들엇스니 한번 와 구경하라고 하는 청을 듯기는-
그러치만 그때는 나는 공교히 몸에 병이 잇서 門外不出하든 때이엇슴으로 끗끗내 그것을 보지 못하고 말엇다. 그 뒤 友人들의 이야기와 흘너오는 풍문에 듯건대 羅氏나 申氏의 기량이 비교적 우월하야 초기의 우리 영화계에 잇서 성공이라 하리 만치 開拓者는 잘 되엇섯더란 말을 들엇다. 그러나 내 눈으로 직접 보고 드른 것이 아니기에 원작과 얼마나 부합되엇는지 모르겟다.

