Magazine Title: 삼천리 제5권 제10호
Publication Date: 1933년 10월 01일
Article Title: 인테리 청년 성공 직업(1) (Successful Occupations for Intellectual Youths (1))
Author: 朴玉花
Article Type: 소식 (News/Report)

Successful Occupations for Intellectual Youths
						Pak Ok-hwa

Mr. Yŏn Hak-nyŏn, Graduate of Tōkyō University of Commerce, and His Russian Liquor Business

Some may not know the alley in Myŏngdong, Seoul well, but there likely isn't anyone who doesn't know the Catholic Cathedral alley or Meiji-chō (明治町).
On the Meiji-chō street going up that steep hill, there is a Western liquor store called "Troika" (도로이까). This is the Western liquor store managed by Mr. Yŏn Hak-nyŏn, whom we are about to discuss. Mr. Yŏn Hak-nyŏn is a graduate of Tōkyō's Hitotsubashi University of Commerce (東京一ツ橋商科大學) and was also a formidable figure in the tennis world, renowned for leading the Tōkyō international students' team for a while. It was already six years ago that he focused on Russian Western liquor and opened the aforementioned store. At that time, there were many White Russians, and since Koreans had traditionally enjoyed strong vodka-type liquors, he grasped this and began direct imports from Vladivostok (海蔘威) and Harbin (哈爾賓). Indeed, it suited tastes, and demand is said to be increasing dramatically year by year. Thus, starting with an initial capital of 3,000 won, he imported 10 cases of liquor through the commercial attaché at the Russian Consulate in Chŏngdong (貞洞). Now, there isn't a month where he doesn't import 10 or 20 cases, and the popularity of vodka continues to rise.

Besides vodka, all sorts of Western liquors are fully stocked here. Therefore, it is said that in the vast expanse of Seoul, apart from the bar at the Chosŏn Hotel in Hasegawa-chō (長谷川町), there is no place with as many varieties of Western liquor as Troika.

He not only wholesales but has also elegantly set up a bar inside and sells liquor by the glass. A "vodka cocktail" generally costs from 50 chŏn to 3 wŏn. He employs a specialized bartender (뽀이) to make these mixed drinks, and he also seats a beauty like a single branch of sweet brier (海棠花) at the counter, further attracting popularity.

The prime season for "Troika" is winter rather than summer. When white clouds drift by (or perhaps, when snow falls softly - 白雲이 푸실푸실 오는 때), White Russian men and women, Westerners staying at the Chosŏn Hotel, and foreign consulate staff appear, pulling up their collars high, down 4 or 5 glasses of vodka in one go, shout "Khorosho!" (허러소), and return home. Also, Japanese and Korean youths who love the atmosphere of Siberia flock here to drink vodka. Doesn't the place, starting with its name, exude a Russian ambiance, as if it brought a scene from Siberia?

The capital Mr. Yŏn initially invested was 3,000 wŏn.
Breakdown:
Vodka 20 cases, Western liquor 5 cases, interior decoration 500 wŏn, advertising expenses 50 wŏn.
Current monthly income and expenses are:
Sales 350 wŏn, Cost of goods & miscellaneous expenses 200 wŏn, Net profit: secret, Employees: 3.

Mr. Yi Ki-se, Former Editor-in-Chief of M Newspaper, and His Chongno Musical Instrument Store

Across from Pagoda Park (빠고다 公園) on Chongno (鐘路) 2-chōme, there is the Chongno Musical Instrument Store, also known as the Chosŏn Gramophone Company (朝鮮蓄音機商會). Here, besides Victor records, other musical instruments are also sold.
The owner of this instrument store is Mr. Yi Ki-se, who was the editor-in-chief of the M newspaper until 7 or 8 years ago. After leaving his writing career, Mr. Yi Ki-se used the 3,000 wŏn severance pay he received upon retirement as seed money to establish this instrument store. Today, the Nitchiku (日蓄) records featuring famous singers like Song Man-gap (宋萬甲) and Yi Tong-baek (李東伯) performing pieces like "Eight Views of Xiaoxiang" (繡湘八景) or "Autumn Moon over Dongting" (洞庭秋月) are exclusively sold in Korea by him. <98>
Mr. Yi not only sells records like this but also strives for the revival of traditional Korean songs and ballads (歌謠) by forming the Chosŏn Music Association (朝鮮音律協會) and having famous singers like Yi, Song, Pak Nok-chu (朴綠珠), and Kim Ch'ang-hwan (金昌煥) diligently focus on revitalizing songs.
Furthermore, recently Mr. Yi included a song titled "Tanjong Kyŏnggok" (端宗京曲) and is promoting it via gramophone. The main purpose behind Mr. Yi originally setting up shop and initiating this song movement is to strive to elevate noble and venerable aspects of human sentiment, such as the principles of filial piety, loyalty, righteousness, and human feeling. Therefore, even with record discs, he tries his best to promote a moral view imbued with an old-fashioned flavor, rather than decadent ones. For this reason, receiving absolute support from educators and the intellectual class, Mr. Yi's instrument business is now well-established.
According to what was heard, the initial amount Mr. Yi invested was 5,000 wŏn. It cost over 2,000 wŏn to buy the building across from Pagoda Park on Chongno, purchase musical instruments, and prepare the commercial fixtures, and he is utilizing several thousand more wŏn.
Thus, it is said he is treading a sound business path with monthly sales of 3,000 wŏn, miscellaneous expenses and cost of goods over 2,000 wŏn, and net profit不明 (unknown). Among the clean business ventures run by intellectuals, Mr. Yi Ki-se's instrument store stands as a successful example.

Mr. Yi Sun-sŏk, Graduate of Tōkyō School of Fine Arts, and His Tearoom, Nangnang Parlour

Passing by the ancient palace gate of Taehanmun (大漢門) towards the Chosŏn Hotel, at the entrance of Hasegawa-chō (長谷川町), there stands a chic two-story Western-style building. At the entrance, plantain trees (파초) overflowing with green, as if transplanted from the South Seas, are placed. Upon entering the interior, on a floor made of earth mixed with wood shavings and white sand (白沙), photos of artists like "Schubert" (슈-벨트) and "Diderot" (?) (데-도릿지) are hung, along with good sketches appropriately displayed. Somehow, the interior and exterior blend harmoniously, and the atmosphere pervading the interior gives customers a stable calm.
This is "Nangnang Parlour" (樂浪팔라). It is a place where painters, musicians, and writers in Seoul gather most often, where recitals of famous musical pieces are held a couple of times each week, and gatherings like an evening dedicated to the literary giant "Goethe" (꾀-터) are occasionally held.
This establishment sells delicious tea (틔), cake (케-크), fruit (푸룻), etc.
The owner of this tearoom is the painter Mr. Yi Sun-sŏk, who graduated from the Tōkyō School of Fine Arts (東京美術學校) years ago. Mr. Yi is a young artist around 30 years old. Thus, he has set up an "atelier" (아토리에) (studio) on the second floor and is always busy with his creations.
The feel of this place gives the impression of an artist's studio in the backstreets (裏町) of Paris (巴里), preserving integrity while diligently pursuing the path of art.
It also seems like a piece from the set of the famous movie "Under the Roofs of Paris" (巴里の屋根の下).

Mr. Yi started this Nangnang Parlour two years ago. At that time, "Mexico" (멕시코) and "Bon Ami" (뽄아미) on Chongno were absorbing the intellectual youth. There was much doubt whether choosing a location next to this asphalt road, separated from Pukch'on (北村), would succeed or not. However, the proprietor's insight seems to have been ultimately outstanding; creating this small resting place in this wooded area (삼림가 - likely metaphorical, referring to the setting near the palace/hotel grounds) within a Western house built with steel and stone, avoiding the noise of the streetcars, suited the public's preference.
The intellectuals gathering here continue to increase. Perhaps Mr. Yi's business can now be considered established. And the name of the tearoom is good. Nangnang Parlour! This attaches a modifier derived from the essence of the Koguryŏ culture of Kangsŏ (江西), and not only is its meaning infinitely good, but its bright sound has a refined taste, like peeled ginseng (참배).

It is said the capital Mr. Yi initially invested (扱下한) in this tearoom was about 2,000 wŏn.
Setup costs 1,100 wŏn, working capital 500 wŏn, advertising expenses 30 wŏn.
The current monthly income and expenses are as follows:
Sales 300 wŏn, Cost of goods & miscellaneous expenses 200 wŏn, Net profit 不明 (unknown) <99>
<98-99>

**Summary**

This 1933 article highlights three successful businesses founded by educated Korean men ("intellectual youths") in Seoul during the Japanese colonial period. It profiles Yŏn Hak-nyŏn's Russian liquor store "Troika," specializing in vodka; Yi Ki-se's "Chongno Musical Instrument Store," which sells records and promotes traditional Korean music; and Yi Sun-sŏk's tearoom "Nangnang Parlour," a gathering place for artists and intellectuals. Each profile details their educational background, initial investment, business strategy, clientele, and estimated finances, portraying them as examples of successful modern entrepreneurship by Koreans. From a historical perspective, the article is interesting as it showcases Korean agency and adaptation within the colonial economy, focusing on niche markets (Russian liquor, traditional music records, artistic tearooms) and catering to diverse clienteles including Koreans, Japanese, Westerners, and White Russians. It reflects the burgeoning modern consumer culture in Seoul and the ways educated Koreans navigated economic and cultural spheres under colonial rule.

**Named Entities**

朴玉花	박옥화	Pak Ok-hwa
東京商科大學	도쿄상과대학	Tōkyō Shōka Daigaku (Tokyo University of Commerce)
延鶴年	연학년	Yŏn Hak-nyŏn
露西亞	노서아	Russia
서울	서울	Seoul
明洞	명동	Myŏngdong
天主敎堂	천주교당	Catholic Cathedral
明治町	메이지정	Meiji-chō
도로이까	도로이까	Troika (Name of the shop)
東京	도쿄	Tōkyō
一ツ橋商科大學	히토츠바시 상과대학	Hitotsubashi Shōka Daigaku (Hitotsubashi University of Commerce)
庭球界	정구계	Tennis world
白系露人	백계노인	White Russian(s)
朝鮮	조선	Chosŏn (Korea)
海蔘威	해삼위	Haejamwi (Vladivostok)
哈爾賓	합이빈	Habin (Harbin)
貞洞	정동	Chŏngdong
露西亞 領事館	노서아 영사관	Russian Consulate
長谷川町	하세가와정	Hasegawa-chō
朝鮮호텔	조선호텔	Chosŏn Hotel
西伯利亞	서백리아	Siberia
日本	일본	Japan
李基世	이기세	Yi Ki-se
M新聞	M신문	M Newspaper
鐘路	종로	Chongno
빠고다 公園	파고다 공원	Pagoda Park (T'apkol Park)
鍾路 樂器店	종로 악기점	Chongno Musical Instrument Store
朝鮮蓄音機商會	조선축음기상회	Chosŏn Gramophone Company
삑타-	빅터	Victor (brand)
宋萬甲	송만갑	Song Man-gap
李東伯	이동백	Yi Tong-baek
日蓄	일축	Nitchiku (Japan Gramophone Co., Ltd.)
朝鮮 在來歌謠	조선 재래가요	Traditional Korean songs/ballads
朝鮮音律協會	조선음률협회	Chosŏn Music Association
朴綠珠	박녹주	Pak Nok-chu
金昌煥	김창환	Kim Ch'ang-hwan
端宗京曲	단종경곡	Tanjong Kyŏnggok (Name of a song)
李舜石	이순석	Yi Sun-sŏk
喫茶店	킷사텐	Coffee shop/Tearoom (Japanese term used)
樂浪팔라	낙랑팔라	Nangnang Parlour (Name of the tearoom)
大漢門	대한문	Taehanmun (Gate)
南洋	남양	South Seas (Southeast Asia)
슈-벨트	슈베르트	Schubert
데-도릿지	데도릿지	Diderot (?) (Unclear referent, possibly Diderot or another artist)
아토리에	아틀리에	Atelier (French loanword for studio)
巴里	파리	Pari (Paris)
裏町	이정	Backstreet (Japanese term used)
巴里の屋根の下	파리의 지붕 밑	Under the Roofs of Paris (Film title)
멕시코	멕시코	Mexico (Name of a cafe)
뽄아미	본아미	Bon Ami (Name of a cafe)
北村	북촌	Pukch'on
江西	강서	Kangsŏ
高句麗	고구려	Koguryŏ
꾀-터	괴테	Goethe

**Glossary**

인테리	인텔리	Intelligentsia, intellectual (loanword from Russian/German via Japanese)
잇슬 것이로되	있을 것이로되	Although there might be (older spelling)
업슬 것이다	없을 것이다	There probably isn't (older spelling)
잇다	있다	To be, exist (older spelling)
하든	하던	Used to do/be (older verbal ending form)
착안하고	착안하고	Paying attention to, focusing on
만히	많이	Many, much (older spelling)
워듸카	보드카	Vodka (loanword transliteration)
마저	맞아	Suiting, fitting
업	없	Without, lack of (older spelling/form)
록	도록	To the extent that, so that (older spelling/form)
熟	숙	Popularity, vogue (contextual meaning here, Hanja means 'ripe' or 'mature')
노엿다	놓였다	Was placed, was arranged (older spelling)
만치	만큼	As much as (older form)
노코	놓고	Placing, setting up; also used for 'including' (older spelling)
안처	앉혀	To seat (someone) (older spelling)
끄은다	끈다	Draws, attracts (older spelling)
푸실푸실	펄펄/소복소복?	Softly/lightly (describing falling snow or drifting clouds; archaic/dialectal onomatopoeia)
올니치키고	올려 치키고	Pulling up high (older spelling)
허러소	하라쇼	Khorosho (Хорошо - Russian for 'good'/'fine')
몰닌다	몰린다	Flock, gather (older spelling)
갓치	같이	Like, as (older spelling)
안느냐	않느냐	Isn't it? (interrogative form)
밧은	받은	Received (older spelling)
식혀	시켜	Making (someone) do something, ordering (older spelling)
나안저	나앉아	Sitting out, appearing publicly (older spelling)
이르키는	일으키는	Starting, raising, causing (older spelling)
바더	받아	Receiving (older spelling)
젓다	졌다	Has become, has been established (contracted form)
작만하느라고	장만하느라고	While preparing/setting up (older spelling)
들니라	들리라	Will be counted/included (future tense form)
압흐로	앞으로	Forward, in front of (older spelling)
녯	옛	Old, ancient (older form)
드러서면	들어서면	Upon entering (older spelling)
석근	섞은	Mixed (older spelling)
노아잇서	놓여 있어	Is placed/arranged (older spelling)
엇전지	어쩐지	Somehow, for some reason (older spelling)
모히고	모이고	Gather (older spelling)
열니고	열리고	Is held, opens (older spelling)
각금	가끔	Sometimes, occasionally (older spelling)
틔	티	Tea (loanword)
마춘	마친	Finished, graduated from (older spelling)
직혀가며	지켜가며	While observing/keeping (older spelling)
늣김	느낌	Feeling, impression (older spelling)
쪼각	조각	Piece, fragment (older spelling)
갓기도 하다	같기도 하다	Seems like, is also like (older spelling)
엇저겟느냐고	어쩌겠느냐고	Asking what would happen/how it would be (older spelling)
퍽도	퍽도	Very much, quite
엽헤	옆에	Beside, next to (older spelling)
마젓섯다	맞았었다	It suited, it matched (past perfect, older spelling)
만허	많아	Many, numerous (older spelling)
조타	좋다	Good (older spelling)
조커니와	좋거니와	It is good, and also (older connective form)
부첫는데	붙였는데	Attached, named (older spelling)
깍근	깎은	Peeled, carved, refined (older spelling)
扱下한	투하한	Invested (using Hanja 扱 for 투 'throw/invest')
每朔	매삭/매월	Every month (朔 means 'new moon'/'first day of month', used for 'month')


---------------------------


잡지명	삼천리 제5권 제10호
발행일	1933년 10월 01일
기사제목	인테리 청년 성공 직업(1)
필자	朴玉花
기사형태	소식

인테리 청년 성공 직업
						朴玉花
東京商科大學出 延鶴年氏의 露西亞洋酒商
서울 明洞 골목이라 하면 잘 아지 못하는 이도 잇슬 것이로되 天主敎堂 골목이라거나 明治町이라 하면 모르는 이가 업슬 것이다.
그 즌고개 올나가는 明治町 길가에 『도로이까』라는 洋酒店이 잇다, 이 집이 지금 말하려는 延鶴年氏가 경영하는 洋酒店이다. 延鶴年氏는 東京一ツ橋商科大學 出身이요 또한 庭球界의 猛將으로 한동안 東京留學生 텝을 잇글고 명성이 嘖嘖하든 분이다, 氏가 露西亞 洋酒에 착안하고 前記場所에 酒舖를 낸 것이 벌서 6년전 그때는 白系露人도 만히 잇는 때이며 또한 독한 워듸카 類의 술을 朝鮮 사람이 在來로 즐겨 오든 것임으로 이를 간파하고 海蔘威와 哈爾賓으로 직수입을 개시하엿더니 과연 기호에 마저 수요가 年年 격증하여가는 중이라 한다. 그래서 최초 3,000원을 가지고 貞洞잇는 露西亞 領事館의 商務官 손을 거처 10 상자의 술을 수입한 것이 매월 1, 20상자를 아니 수입하는 달이 업 록 워듸까 熟은 고조되어가고 잇다.
여기에는 워듸까 이외에도 온갓 양주가 모다 구비되여 노엿다. 그러기에 너른 서울 천지에서도 長谷川町 朝鮮호텔의 酒場 以外에는 양주종류가 도로이까 만치 가지가지 잇는 곳이 업다 한다.
그는 도매도 할 뿐더러 그 안에 端麗하게 酒場도 만드러 노코 한잔 두잔 술도 판다. 「워듸까의 칵텔」 한 잔에 대개 50錢에서부터 3원 짜리까지 잇다. 이 混合酒 만들기 위하야 전문의 뽀이를 두엇고 또 카운타-에는 一朶 海棠花가튼 미인을 안처 인기를 一層 끄은다.
